time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,39.29,37.34,39.64,37.1,51980.0,星期五,-0.0098,-0.0496
2026-06-25,41.29,39.68,41.88,39.4,40788.0,星期四,-0.0029,-0.039
2026-06-24,42.03,41.41,43.6,40.33,45595.0,星期三,-0.0087,-0.0148
2026-06-23,41.36,42.4,43.31,40.53,76287.0,星期二,-0.011,0.0251
2026-06-22,44.58,41.82,44.99,40.8,72477.0,星期一,0.0038,-0.0619
2026-06-18,44.2,44.41,45.9,43.26,48948.0,星期四,0.0071,0.0048
2026-06-17,43.99,43.89,44.88,43.0,34218.0,星期三,-0.0025,-0.0023
2026-06-16,43.81,44.1,44.69,43.38,37166.0,星期二,0.0018,0.0066
2026-06-15,42.15,43.73,44.02,42.15,47123.0,星期一,0.0002,0.0375
2026-06-12,44.18,42.14,44.18,42.06,44913.0,星期五,0.0232,-0.0462
2026-06-11,44.76,43.18,45.63,42.76,41690.0,星期四,0.0,-0.0353
2026-06-10,45.99,44.76,46.0,43.0,50143.0,星期三,-0.0127,-0.0267
2026-06-09,46.5,46.58,47.57,45.51,47976.0,星期二,0.0294,0.0017
2026-06-08,45.34,45.17,47.35,44.44,50338.0,星期一,-0.0552,-0.0037
2026-06-05,49.25,47.99,49.25,46.28,44588.0,星期五,0.0178,-0.0256
2026-06-04,48.41,48.39,49.55,47.8,36630.0,星期四,-0.011,-0.0004
2026-06-03,48.5,48.95,50.7,47.77,53393.0,星期三,-0.0084,0.0093
2026-06-02,47.13,48.91,49.86,46.4,54460.0,星期二,-0.025,0.0378
2026-06-01,49.51,48.34,50.26,47.9,58430.0,星期一,-0.0002,-0.0236
2026-05-29,53.39,49.52,53.88,49.0,102962.0,星期五,0.0013,-0.0725
2026-05-28,55.83,53.32,56.79,53.25,80958.0,星期四,-0.0171,-0.045
2026-05-27,59.0,56.8,59.36,55.3,79817.0,星期三,-0.003,-0.0373
2026-05-26,55.5,59.18,60.25,53.71,118203.0,星期二,-0.013,0.0663
2026-05-25,58.8,56.23,58.8,55.58,83866.0,星期一,0.0258,-0.0437
2026-05-22,59.2,57.32,61.29,56.47,98924.0,星期五,0.0125,-0.0318
2026-05-21,59.16,58.47,64.0,58.0,114421.0,星期四,0.0146,-0.0117
2026-05-20,57.02,58.31,58.5,55.65,86813.0,星期三,-0.0203,0.0226
2026-05-19,57.37,58.2,59.48,56.11,104556.0,星期二,0.0374,0.0145
2026-05-18,57.0,55.3,57.38,54.8,97206.0,星期一,-0.0123,-0.0298
2026-05-15,61.72,57.71,62.01,56.89,124652.0,星期五,-0.012,-0.065
2026-05-14,60.99,62.47,65.1,59.6,146950.0,星期四,0.0,0.0243
2026-05-13,54.8,60.99,63.42,53.89,153733.0,星期三,0.0079,0.113
2026-05-12,54.17,54.37,54.69,52.36,84388.0,星期二,-0.0099,0.0037
2026-05-11,52.94,54.71,55.98,51.96,122449.0,星期一,0.004,0.0334
2026-05-08,50.67,52.73,54.54,50.2,90437.0,星期五,-0.0065,0.0407
2026-05-07,48.73,51.0,51.41,48.06,83299.0,星期四,0.0008,0.0466
2026-05-06,48.09,48.69,49.5,46.5,75296.0,星期三,0.0042,0.0125
2026-04-30,47.38,47.89,49.45,46.47,75418.0,星期四,0.0004,0.0108
2026-04-29,48.51,47.36,48.67,46.7,61904.0,星期三,0.0106,-0.0237
2026-04-28,47.2,48.0,48.48,46.55,75321.0,星期二,-0.0177,0.0169
2026-04-27,45.88,48.05,48.71,42.0,147311.0,星期一,-0.0253,0.0473
2026-04-24,45.22,47.07,47.6,44.77,81322.0,星期五,-0.0075,0.0409
2026-04-23,44.96,45.56,47.97,44.85,84005.0,星期四,0.0009,0.0133
2026-04-22,44.89,44.92,45.63,44.25,52842.0,星期三,-0.0064,0.0007
2026-04-21,43.89,45.18,45.55,43.13,58915.0,星期二,0.003,0.0294
2026-04-20,43.68,43.76,46.58,43.33,78228.0,星期一,0.0053,0.0018
2026-04-17,40.48,43.45,44.99,39.52,100334.0,星期五,-0.001,0.0734
2026-04-16,37.89,40.52,40.9,37.6,71810.0,星期四,0.0101,0.0694
2026-04-15,37.78,37.51,38.86,37.43,42929.0,星期三,0.0096,-0.0071
2026-04-14,37.06,37.42,37.5,36.88,24675.0,星期二,0.0065,0.0097
2026-04-13,37.85,36.82,37.85,36.55,28704.0,星期一,0.0016,-0.0272
2026-04-10,36.89,37.79,38.98,36.2,42977.0,星期五,0.0163,0.0244
2026-04-09,36.0,36.3,36.5,35.07,23813.0,星期四,-0.0028,0.0083
2026-04-08,35.0,36.1,36.35,34.73,34018.0,星期三,0.0324,0.0314
2026-04-07,34.34,33.9,35.45,33.87,29971.0,星期二,0.002,-0.0128
2026-04-03,36.34,34.27,36.69,33.95,30337.0,星期五,0.0162,-0.057
2026-04-02,36.49,35.76,36.91,35.42,20085.0,星期四,0.0,-0.02
2026-04-01,36.87,36.49,37.41,36.15,18723.0,星期三,0.0219,-0.0103
2026-03-31,36.22,36.08,37.22,35.82,25291.0,星期二,0.0,-0.0039
2026-03-30,35.2,36.22,36.4,34.7,33560.0,星期一,-0.0082,0.029
2026-03-27,34.21,35.49,36.08,33.88,24881.0,星期五,-0.0172,0.0374
