time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,12.95,12.56,13.07,12.5,46948.0,星期五,-0.0107,-0.0301
2026-06-25,13.7,13.09,13.7,13.0,51789.0,星期四,0.0209,-0.0445
2026-06-24,14.08,13.42,14.17,13.22,47943.0,星期三,-0.0126,-0.0469
2026-06-23,14.01,14.26,14.59,14.0,37194.0,星期二,-0.0085,0.0178
2026-06-22,14.34,14.13,14.5,13.58,36880.0,星期一,0.0056,-0.0146
2026-06-18,14.42,14.26,14.63,14.24,23515.0,星期四,-0.0021,-0.0111
2026-06-17,14.65,14.45,14.89,14.28,42187.0,星期三,-0.0041,-0.0137
2026-06-16,14.58,14.71,14.94,14.32,31060.0,星期二,0.0,0.0089
2026-06-15,14.4,14.58,14.85,14.28,30688.0,星期一,0.0119,0.0125
2026-06-12,14.33,14.23,14.5,14.1,24781.0,星期五,0.0192,-0.007
2026-06-11,14.15,14.06,14.34,13.82,28996.0,星期四,-0.0119,-0.0064
2026-06-10,14.88,14.32,14.97,14.03,38128.0,星期三,-0.0047,-0.0376
2026-06-09,15.0,14.95,15.13,14.67,25192.0,星期二,0.0149,-0.0033
2026-06-08,15.07,14.78,15.47,14.45,35898.0,星期一,-0.0259,-0.0192
2026-06-05,15.23,15.47,15.64,15.05,38889.0,星期五,-0.0104,0.0158
2026-06-04,14.99,15.39,15.56,14.86,36471.0,星期四,-0.0112,0.0267
2026-06-03,15.08,15.16,15.33,14.93,32868.0,星期三,-0.004,0.0053
2026-06-02,15.68,15.14,15.9,14.9,35715.0,星期二,-0.0019,-0.0344
2026-06-01,15.48,15.71,16.29,15.3,45504.0,星期一,-0.0051,0.0149
2026-05-29,16.6,15.56,16.67,15.4,51879.0,星期五,-0.0012,-0.0627
2026-05-28,16.77,16.62,17.1,16.25,47424.0,星期四,0.0006,-0.0089
2026-05-27,17.33,16.76,17.33,16.42,52890.0,星期三,0.0,-0.0329
2026-05-26,18.33,17.33,18.35,17.09,75975.0,星期二,0.0,-0.0546
2026-05-25,19.31,18.33,19.68,18.09,86329.0,星期一,0.0005,-0.0508
2026-05-22,19.24,19.3,20.45,18.95,89724.0,星期五,0.0021,0.0031
2026-05-21,20.24,19.2,20.69,19.02,104128.0,星期四,-0.0083,-0.0514
2026-05-20,20.83,20.41,21.34,20.21,95133.0,星期三,-0.0048,-0.0202
2026-05-19,18.96,20.93,21.72,18.9,172948.0,星期二,0.0005,0.1039
2026-05-18,17.94,18.95,19.47,17.83,101813.0,星期一,-0.0017,0.0563
2026-05-15,17.74,17.97,18.42,17.63,30199.0,星期五,-0.0073,0.013
2026-05-14,18.27,17.87,18.28,17.59,32725.0,星期四,-0.0016,-0.0219
2026-05-13,17.95,18.3,18.5,17.63,46006.0,星期三,-0.0055,0.0195
2026-05-12,18.39,18.05,19.08,18.01,45876.0,星期二,-0.0097,-0.0185
2026-05-11,18.08,18.57,18.8,18.08,51901.0,星期一,0.0022,0.0271
2026-05-08,17.73,18.04,18.46,17.46,72813.0,星期五,0.0,0.0175
2026-05-07,17.72,17.73,18.36,17.39,78405.0,星期四,0.0085,0.0006
2026-05-06,16.2,17.57,18.2,16.1,105950.0,星期三,-0.0055,0.0846
2026-04-30,15.68,16.29,16.4,15.68,41567.0,星期四,-0.2911,0.0389
2026-04-29,22.62,22.12,22.62,22.06,27339.0,星期三,-0.007,-0.0221
2026-04-28,23.33,22.78,23.43,22.55,25729.0,星期二,-0.0043,-0.0236
2026-04-27,23.38,23.43,24.7,23.24,32677.0,星期一,0.0026,0.0021
2026-04-24,23.57,23.32,23.66,23.12,21152.0,星期五,0.0,-0.0106
2026-04-23,23.66,23.57,23.99,23.36,27426.0,星期四,0.0051,-0.0038
2026-04-22,24.1,23.54,24.1,23.35,28011.0,星期三,0.0,-0.0232
2026-04-21,23.95,24.1,24.16,23.58,21166.0,星期二,-0.0013,0.0063
2026-04-20,23.97,23.98,24.2,23.55,27791.0,星期一,0.0013,0.0004
2026-04-17,24.35,23.94,24.6,23.84,34175.0,星期五,-0.0025,-0.0168
2026-04-16,23.95,24.41,24.53,23.68,52396.0,星期四,0.0004,0.0192
2026-04-15,22.78,23.94,25.15,22.78,82767.0,星期三,0.0,0.0509
2026-04-14,22.8,22.78,22.8,22.43,19333.0,星期二,0.0084,-0.0009
2026-04-13,22.4,22.61,22.81,22.0,21706.0,星期一,0.0,0.0094
2026-04-10,22.12,22.4,22.62,22.07,26020.0,星期五,0.0105,0.0127
2026-04-09,22.19,21.89,22.49,21.8,20261.0,星期四,0.0,-0.0135
2026-04-08,21.78,22.19,22.28,21.7,26822.0,星期三,0.0178,0.0188
2026-04-07,21.24,21.4,21.55,21.03,17017.0,星期二,-0.0009,0.0075
2026-04-03,21.9,21.26,21.95,21.2,26108.0,星期五,0.0078,-0.0292
2026-04-02,21.74,21.73,22.44,21.5,42960.0,星期四,-0.0181,-0.0005
2026-04-01,23.4,22.14,23.42,21.88,68028.0,星期三,0.0,-0.0538
2026-03-31,22.5,23.4,23.99,22.07,77681.0,星期二,0.0036,0.04
2026-03-30,22.2,22.42,23.17,21.9,40173.0,星期一,-0.0054,0.0099
2026-03-27,21.66,22.32,22.64,21.51,17526.0,星期五,-0.0096,0.0305
2026-03-26,22.09,21.87,22.45,21.66,17282.0,星期四,0.0,-0.01
2026-03-25,21.78,22.09,22.48,21.78,17003.0,星期三,-0.0009,0.0142
2026-03-24,21.35,21.8,21.86,20.81,27003.0,星期二,0.0294,0.0211
2026-03-23,22.57,20.74,22.57,20.5,39271.0,星期一,0.0031,-0.0811
2026-03-20,23.23,22.5,23.5,22.5,18285.0,星期五,0.0056,-0.0314
2026-03-19,23.96,23.1,24.02,22.94,21600.0,星期四,-0.0029,-0.0359
2026-03-18,24.0,24.03,24.19,23.61,16322.0,星期三,0.0033,0.0013
2026-03-17,24.0,23.92,24.79,23.86,25867.0,星期二,0.0046,-0.0033
2026-03-16,23.8,23.89,24.12,23.68,17418.0,星期一,-0.0063,0.0038
2026-03-13,24.25,23.95,24.36,22.15,32307.0,星期五,-0.0012,-0.0124
2026-03-12,25.03,24.28,25.06,24.13,26624.0,星期四,-0.0024,-0.03
