time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.68,9.38,9.73,9.33,39458.0,星期五,-0.0041,-0.031
2026-06-25,10.08,9.72,10.08,9.63,35117.0,星期四,0.009,-0.0357
2026-06-24,10.32,9.99,10.41,9.9,34523.0,星期三,-0.0048,-0.032
2026-06-23,10.33,10.37,10.53,10.27,29807.0,星期二,-0.0019,0.0039
2026-06-22,10.27,10.35,10.38,9.86,50365.0,星期一,0.0,0.0078
2026-06-18,10.35,10.27,10.42,10.22,30631.0,星期四,-0.0048,-0.0077
2026-06-17,10.71,10.4,10.8,10.36,34263.0,星期三,-0.0028,-0.0289
2026-06-16,10.81,10.74,10.92,10.48,42410.0,星期二,0.0,-0.0065
2026-06-15,10.6,10.81,10.98,10.6,50262.0,星期一,0.0076,0.0198
2026-06-12,10.62,10.52,10.7,10.41,46685.0,星期五,0.0192,-0.0094
2026-06-11,10.61,10.42,10.68,10.21,37936.0,星期四,0.0038,-0.0179
2026-06-10,10.85,10.57,10.95,10.48,30088.0,星期三,-0.0091,-0.0258
2026-06-09,10.78,10.95,11.06,10.78,33259.0,星期二,0.0084,0.0158
2026-06-08,10.8,10.69,11.15,10.54,43577.0,星期一,-0.0305,-0.0102
2026-06-05,10.86,11.14,11.3,10.71,40796.0,星期五,-0.0037,0.0258
2026-06-04,11.03,10.9,11.1,10.82,33195.0,星期四,-0.0063,-0.0118
2026-06-03,11.12,11.1,11.28,10.93,44525.0,星期三,-0.0009,-0.0018
2026-06-02,11.39,11.13,11.53,11.03,42176.0,星期二,0.0009,-0.0228
2026-06-01,10.94,11.38,11.53,10.79,52355.0,星期一,-0.0135,0.0402
2026-05-29,11.75,11.09,11.75,11.0,45275.0,星期五,0.0129,-0.0562
2026-05-28,11.73,11.6,11.79,11.35,46336.0,星期四,0.0,-0.0111
2026-05-27,12.22,11.73,12.27,11.66,43931.0,星期三,-0.0024,-0.0401
2026-05-26,12.36,12.25,12.76,12.15,52200.0,星期二,-0.0048,-0.0089
2026-05-25,12.97,12.42,13.1,12.18,67747.0,星期一,0.0,-0.0424
2026-05-22,12.73,12.97,13.1,12.59,47598.0,星期五,-0.0047,0.0189
2026-05-21,13.4,12.79,13.56,12.74,53384.0,星期四,0.0015,-0.0455
2026-05-20,13.31,13.38,13.64,13.26,38112.0,星期三,-0.0097,0.0053
2026-05-19,13.04,13.44,13.44,12.92,50261.0,星期二,0.0054,0.0307
2026-05-18,13.03,12.97,13.13,12.83,40994.0,星期一,-0.0023,-0.0046
2026-05-15,13.09,13.06,13.36,13.0,45900.0,星期五,0.0008,-0.0023
2026-05-14,13.6,13.08,13.65,13.08,55849.0,星期四,0.0,-0.0382
2026-05-13,13.11,13.6,13.69,13.11,68809.0,星期三,-0.0015,0.0374
2026-05-12,13.48,13.13,13.49,13.13,53737.0,星期二,0.0037,-0.026
2026-05-11,13.34,13.43,13.47,13.2,52370.0,星期一,0.0045,0.0067
2026-05-08,13.23,13.28,13.28,13.04,47918.0,星期五,-0.003,0.0038
2026-05-07,13.19,13.27,13.27,12.93,47393.0,星期四,0.0,0.0061
2026-05-06,13.08,13.19,13.32,13.0,55173.0,星期三,0.01,0.0084
2026-04-30,13.09,12.95,13.29,12.93,54133.0,星期四,0.0008,-0.0107
2026-04-29,12.87,13.08,13.22,12.78,46452.0,星期三,0.0,0.0163
2026-04-28,13.0,12.87,13.12,12.76,32180.0,星期二,-0.0069,-0.01
2026-04-27,12.98,13.09,13.23,12.72,45024.0,星期一,-0.0015,0.0085
2026-04-24,13.13,13.0,13.15,12.81,41530.0,星期五,0.0038,-0.0099
2026-04-23,13.48,13.08,13.58,13.02,49224.0,星期四,-0.0022,-0.0297
2026-04-22,13.38,13.51,13.53,13.33,35672.0,星期三,-0.0059,0.0097
2026-04-21,13.25,13.46,13.58,13.15,44729.0,星期二,-0.0097,0.0158
2026-04-20,13.12,13.38,13.48,13.02,41952.0,星期一,-0.0023,0.0198
2026-04-17,13.19,13.15,13.19,12.94,34161.0,星期五,0.0023,-0.003
2026-04-16,13.02,13.16,13.18,12.86,33685.0,星期四,0.0039,0.0108
2026-04-15,13.18,12.97,13.27,12.94,37870.0,星期三,0.0076,-0.0159
2026-04-14,13.14,13.08,13.15,12.85,35835.0,星期二,0.0131,-0.0046
2026-04-13,13.21,12.97,13.44,12.84,56858.0,星期一,0.0023,-0.0182
2026-04-10,12.69,13.18,13.72,12.65,98743.0,星期五,0.0048,0.0386
2026-04-09,12.49,12.63,12.76,12.33,56895.0,星期四,-0.0079,0.0112
2026-04-08,12.5,12.59,12.62,12.26,47068.0,星期三,0.0263,0.0072
2026-04-07,11.6,12.18,12.27,11.6,57497.0,星期二,0.0017,0.05
2026-04-03,12.11,11.58,12.11,11.58,40787.0,星期五,0.0067,-0.0438
2026-04-02,12.41,12.03,12.41,11.92,40783.0,星期四,0.0114,-0.0306
2026-04-01,12.31,12.27,12.51,12.1,56106.0,星期三,0.0207,-0.0032
2026-03-31,12.12,12.06,12.55,12.05,56110.0,星期二,0.0,-0.005
2026-03-30,11.79,12.12,12.13,11.7,45108.0,星期一,-0.0126,0.028
2026-03-27,11.69,11.94,11.98,11.64,41303.0,星期五,-0.0143,0.0214
2026-03-26,12.18,11.86,12.33,11.79,48723.0,星期四,-0.0033,-0.0263
2026-03-25,12.19,12.22,12.4,12.01,48728.0,星期三,0.0041,0.0025
2026-03-24,12.0,12.14,12.27,11.72,60895.0,星期二,0.0221,0.0117
2026-03-23,12.57,11.74,12.57,11.58,78269.0,星期一,0.0,-0.066
2026-03-20,13.33,12.57,13.43,12.56,71348.0,星期五,0.0145,-0.057
2026-03-19,13.54,13.14,13.59,13.0,62052.0,星期四,-0.0073,-0.0295
2026-03-18,13.24,13.64,13.67,13.18,72401.0,星期三,0.003,0.0302
2026-03-17,13.91,13.2,13.91,13.15,84066.0,星期二,0.0007,-0.051
2026-03-16,13.85,13.9,14.04,13.75,70050.0,星期一,-0.0072,0.0036
2026-03-13,14.14,13.95,14.35,13.88,87743.0,星期五,-0.0056,-0.0134
2026-03-12,14.5,14.22,14.59,14.16,128519.0,星期四,-0.0068,-0.0193
2026-03-11,14.7,14.6,14.84,14.43,193785.0,星期三,0.0055,-0.0068
2026-03-10,14.46,14.62,14.71,14.34,209969.0,星期二,0.0,0.0111
2026-03-09,14.38,14.46,14.6,14.12,340030.0,星期一,-0.0496,0.0056
2026-03-06,12.55,15.13,15.13,12.47,242978.0,星期五,-0.0048,0.2056
2026-03-05,12.82,12.61,13.09,12.53,60910.0,星期四,0.0191,-0.0164
2026-03-04,12.82,12.58,12.92,12.45,58296.0,星期三,-0.007,-0.0187
2026-03-03,13.71,12.91,13.73,12.85,43324.0,星期二,0.0096,-0.0584
2026-03-02,13.85,13.58,13.98,13.41,68838.0,星期一,-0.0093,-0.0195
2026-02-27,13.7,13.98,14.0,13.61,53790.0,星期五,-0.0036,0.0204
2026-02-26,13.67,13.75,13.81,13.62,48501.0,星期四,0.0007,0.0059
2026-02-25,14.09,13.66,14.11,13.62,71869.0,星期三,-0.0014,-0.0305
2026-02-24,13.95,14.11,14.18,13.9,51192.0,星期二,0.0087,0.0115
2026-02-13,13.89,13.83,14.01,13.83,36979.0,星期五,-0.0029,-0.0043
2026-02-12,13.91,13.93,14.11,13.78,53136.0,星期四,0.0014,0.0014
2026-02-11,13.86,13.89,14.04,13.8,47939.0,星期三,0.0007,0.0022
2026-02-10,13.92,13.85,14.04,13.84,55783.0,星期二,0.0022,-0.005
2026-02-09,13.69,13.89,13.89,13.57,60238.0,星期一,0.0096,0.0146
2026-02-06,13.29,13.56,13.8,13.27,66175.0,星期五,-0.0089,0.0203
2026-02-05,13.47,13.41,13.6,13.36,52676.0,星期四,-0.0059,-0.0045
2026-02-04,13.49,13.55,13.72,13.41,62025.0,星期三,0.003,0.0044
2026-02-03,13.26,13.45,13.52,13.21,50936.0,星期二,0.0076,0.0143
2026-02-02,13.2,13.16,13.56,13.16,88003.0,星期一,-0.0045,-0.003
2026-01-30,13.11,13.26,13.4,13.02,80262.0,星期五,-0.0015,0.0114
2026-01-29,13.35,13.13,13.54,13.01,97734.0,星期四,-0.0126,-0.0165
2026-01-28,13.6,13.52,13.95,13.45,104066.0,星期三,-0.0087,-0.0059
2026-01-27,13.81,13.72,14.07,13.55,142194.0,星期二,-0.0281,-0.0065
2026-01-26,13.43,14.21,14.47,13.28,248035.0,星期一,0.0,0.0581
2026-01-23,13.65,13.43,13.69,13.36,153816.0,星期五,-0.0194,-0.0161
