time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,61.73,60.64,63.5,60.6,10093.0,星期五,-0.0068,-0.0177
2026-06-25,62.0,62.15,62.8,59.6,13268.0,星期四,-0.0075,0.0024
2026-06-24,62.64,62.47,63.78,62.0,14710.0,星期三,-0.0057,-0.0027
2026-06-23,60.07,63.0,64.19,60.0,16629.0,星期二,-0.005,0.0488
2026-06-22,59.68,60.37,60.58,58.05,11023.0,星期一,-0.015,0.0116
2026-06-18,59.54,60.59,61.46,58.72,9923.0,星期四,0.0,0.0176
2026-06-17,59.0,59.54,59.88,58.85,6258.0,星期三,-0.0071,0.0092
2026-06-16,59.95,59.42,60.01,58.9,6368.0,星期二,-0.0042,-0.0088
2026-06-15,60.12,60.2,60.92,59.83,6778.0,星期一,0.0,0.0013
2026-06-12,59.35,60.12,60.16,58.81,7108.0,星期五,0.0025,0.013
2026-06-11,59.92,59.2,59.92,58.53,6074.0,星期四,0.0003,-0.012
2026-06-10,60.3,59.9,60.3,59.09,4626.0,星期三,0.0025,-0.0066
2026-06-09,60.04,60.15,60.7,59.64,4659.0,星期二,0.0032,0.0018
2026-06-08,60.1,59.85,61.28,59.0,6920.0,星期一,-0.0173,-0.0042
2026-06-05,61.29,61.16,61.97,60.69,7265.0,星期五,0.0086,-0.0021
2026-06-04,62.93,60.77,63.09,60.71,9632.0,星期四,0.0,-0.0343
2026-06-03,65.1,62.93,65.1,62.8,12451.0,星期三,-0.0091,-0.0333
2026-06-02,63.8,65.7,66.62,63.77,13848.0,星期二,0.0016,0.0298
2026-06-01,62.64,63.7,64.26,62.58,9729.0,星期一,-0.0096,0.0169
2026-05-29,62.96,63.25,64.0,62.36,7473.0,星期五,-0.0024,0.0046
2026-05-28,64.25,63.11,64.61,61.97,9919.0,星期四,-0.0093,-0.0177
2026-05-27,65.02,64.85,65.53,64.0,6772.0,星期三,-0.0058,-0.0026
2026-05-26,66.11,65.4,66.11,64.95,7364.0,星期二,-0.0015,-0.0107
2026-05-25,66.75,66.21,67.29,65.6,9669.0,星期一,-0.0007,-0.0081
2026-05-22,66.72,66.8,67.11,66.01,8472.0,星期五,-0.0027,0.0012
2026-05-21,67.54,66.9,68.89,66.9,8522.0,星期四,-0.0027,-0.0095
2026-05-20,68.29,67.72,68.5,66.96,7210.0,星期三,-0.0016,-0.0083
2026-05-19,67.65,68.4,68.94,67.65,6142.0,星期二,-0.0081,0.0111
2026-05-18,69.51,68.2,69.51,67.7,8386.0,星期一,0.0064,-0.0188
2026-05-15,69.01,69.07,70.35,68.68,9079.0,星期五,-0.017,0.0009
2026-05-14,72.02,70.2,72.14,69.97,13790.0,星期四,-0.0014,-0.0253
2026-05-13,73.07,72.12,73.09,71.89,10918.0,星期三,-0.0004,-0.013
2026-05-12,73.8,73.1,74.65,72.65,14551.0,星期二,-0.0004,-0.0095
2026-05-11,72.6,73.83,74.39,71.46,19348.0,星期一,0.0057,0.0169
2026-05-08,71.11,72.19,72.84,71.05,9633.0,星期五,-0.0031,0.0152
2026-05-07,71.39,71.33,71.63,70.8,9506.0,星期四,0.0041,-0.0008
2026-05-06,71.49,71.1,72.94,70.82,17005.0,星期三,0.0062,-0.0055
2026-04-30,71.01,71.05,71.25,70.27,6930.0,星期四,0.001,0.0006
2026-04-29,70.0,70.94,71.4,69.75,9565.0,星期三,-0.0014,0.0134
2026-04-28,72.27,70.1,73.05,69.41,13488.0,星期二,-0.0043,-0.03
2026-04-27,71.98,72.58,73.22,71.9,7055.0,星期一,-0.0083,0.0083
2026-04-24,72.51,72.58,73.14,72.1,7030.0,星期五,-0.0022,0.001
2026-04-23,74.6,72.67,74.6,72.45,9558.0,星期四,-0.0005,-0.0259
2026-04-22,73.59,74.64,74.64,73.14,7913.0,星期三,-0.0007,0.0143
2026-04-21,73.98,73.64,74.56,73.3,6606.0,星期二,-0.0023,-0.0046
2026-04-20,75.0,74.15,75.44,74.03,9147.0,星期一,-0.0033,-0.0113
2026-04-17,74.96,75.25,75.5,74.6,8888.0,星期五,-0.0036,0.0039
2026-04-16,75.75,75.23,75.75,74.53,10767.0,星期四,0.0056,-0.0069
2026-04-15,75.22,75.33,75.63,73.9,16773.0,星期三,0.0037,0.0015
2026-04-14,73.02,74.94,75.1,72.83,19025.0,星期二,0.0005,0.0263
