time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.03,6.73,7.05,6.7,244220.0,星期五,-0.0057,-0.0427
2026-06-25,7.05,7.07,7.17,6.98,183798.0,星期四,-0.0014,0.0028
2026-06-24,7.3,7.06,7.34,7.04,212640.0,星期三,0.0,-0.0329
2026-06-23,7.41,7.3,7.59,7.28,198966.0,星期二,-0.008,-0.0148
2026-06-22,7.35,7.47,7.56,7.3,174326.0,星期一,-0.0121,0.0163
2026-06-18,7.67,7.44,7.68,7.39,208427.0,星期四,0.0026,-0.03
2026-06-17,7.81,7.65,8.14,7.62,203611.0,星期三,-0.0064,-0.0205
2026-06-16,7.68,7.86,7.93,7.62,224076.0,星期二,-0.0026,0.0234
2026-06-15,7.62,7.7,7.89,7.59,219525.0,星期一,-0.0026,0.0105
2026-06-12,7.48,7.64,7.74,7.43,223264.0,星期五,0.0013,0.0214
2026-06-11,7.52,7.47,7.62,7.17,317403.0,星期四,-0.0066,-0.0066
2026-06-10,7.88,7.57,7.95,7.52,229260.0,星期三,-0.0025,-0.0393
2026-06-09,7.82,7.9,7.98,7.69,212157.0,星期二,0.0,0.0102
2026-06-08,8.04,7.82,8.17,7.77,266770.0,星期一,-0.0147,-0.0274
2026-06-05,8.22,8.16,8.41,8.08,267481.0,星期五,-0.006,-0.0073
2026-06-04,8.7,8.27,8.76,8.13,469948.0,星期四,-0.0091,-0.0494
2026-06-03,9.01,8.78,9.11,8.67,385477.0,星期三,-0.0131,-0.0255
2026-06-02,9.45,9.13,9.51,9.11,365979.0,星期二,-0.0063,-0.0339
2026-06-01,9.05,9.51,9.55,9.0,453665.0,星期一,-0.0098,0.0508
2026-05-29,9.12,9.14,9.27,9.02,304605.0,星期五,-0.0065,0.0022
2026-05-28,9.36,9.18,9.4,9.06,307277.0,星期四,-0.0106,-0.0192
2026-05-27,9.59,9.46,9.74,9.4,411726.0,星期三,-0.0113,-0.0136
2026-05-26,9.27,9.7,9.89,9.22,681571.0,星期二,-0.0096,0.0464
2026-05-25,9.41,9.36,9.75,9.33,384286.0,星期一,-0.0084,-0.0053
2026-05-22,9.45,9.49,9.61,9.38,394957.0,星期五,-0.0063,0.0042
2026-05-21,9.26,9.51,9.75,9.25,754815.0,星期四,-0.0086,0.027
2026-05-20,9.1,9.34,9.36,9.0,585624.0,星期三,-0.0267,0.0264
2026-05-19,8.9,9.35,9.53,8.74,1027053.0,星期二,0.0458,0.0506
2026-05-18,8.5,8.51,8.77,8.41,204272.0,星期一,-0.0012,0.0012
2026-05-15,8.44,8.51,8.78,8.41,286018.0,星期五,-0.0012,0.0083
2026-05-14,8.68,8.45,8.73,8.44,232162.0,星期四,-0.0012,-0.0265
2026-05-13,8.7,8.69,8.73,8.58,207764.0,星期三,-0.0023,-0.0011
2026-05-12,8.88,8.72,8.88,8.66,206268.0,星期二,0.0011,-0.018
2026-05-11,8.78,8.87,8.92,8.71,237936.0,星期一,-0.0011,0.0103
2026-05-08,8.65,8.79,8.86,8.64,232741.0,星期五,-0.0023,0.0162
2026-05-07,8.78,8.67,8.82,8.57,296190.0,星期四,0.0011,-0.0125
2026-05-06,8.82,8.77,8.9,8.74,238336.0,星期三,-0.0023,-0.0057
2026-04-30,8.84,8.84,9.11,8.82,202684.0,星期四,-0.0023,0.0
2026-04-29,8.56,8.86,8.92,8.55,318209.0,星期三,-0.0058,0.035
2026-04-28,8.76,8.61,8.83,8.53,235277.0,星期二,-0.0079,-0.0171
2026-04-27,8.67,8.83,8.86,8.65,200683.0,星期一,-0.0057,0.0185
2026-04-24,8.79,8.72,8.81,8.67,179368.0,星期五,-0.0068,-0.008
2026-04-23,8.8,8.85,8.99,8.75,256686.0,星期四,-0.0056,0.0057
2026-04-22,8.8,8.85,8.93,8.73,193583.0,星期三,-0.0023,0.0057
2026-04-21,8.9,8.82,8.95,8.75,194658.0,星期二,-0.0011,-0.009
2026-04-20,8.87,8.91,8.92,8.79,204312.0,星期一,0.0,0.0045
2026-04-17,8.8,8.87,8.92,8.73,234020.0,星期五,-0.0056,0.008
