time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.2,12.71,13.2,12.62,55698.0,星期五,0.0154,-0.0371
2026-06-25,13.06,13.0,13.09,12.81,43945.0,星期四,0.0008,-0.0046
2026-06-24,13.37,13.05,13.48,13.02,49223.0,星期三,0.0075,-0.0239
2026-06-23,13.36,13.27,13.56,13.23,53724.0,星期二,-0.0037,-0.0067
2026-06-22,13.38,13.41,13.48,12.91,59343.0,星期一,-0.0067,0.0022
2026-06-18,13.55,13.47,13.72,13.36,48917.0,星期四,0.0044,-0.0059
2026-06-17,13.38,13.49,13.66,13.33,49248.0,星期三,0.0,0.0082
2026-06-16,13.54,13.38,13.65,13.35,45073.0,星期二,-0.0015,-0.0118
2026-06-15,13.3,13.56,13.58,13.24,54653.0,星期一,0.0045,0.0195
2026-06-12,13.07,13.24,13.31,12.91,73618.0,星期五,0.0054,0.013
2026-06-11,13.37,13.0,13.37,12.96,61173.0,星期四,0.0022,-0.0277
2026-06-10,13.53,13.34,13.63,13.27,57447.0,星期三,-0.0088,-0.014
2026-06-09,13.72,13.65,13.79,13.58,35333.0,星期二,0.0022,-0.0051
2026-06-08,13.77,13.69,13.95,13.49,48765.0,星期一,-0.0129,-0.0058
2026-06-05,13.85,13.95,14.16,13.83,49991.0,星期五,-0.0036,0.0072
2026-06-04,13.95,13.9,14.03,13.71,50216.0,星期四,-0.0007,-0.0036
2026-06-03,14.29,13.96,14.43,13.86,84180.0,星期三,0.0,-0.0231
2026-06-02,14.6,14.29,14.6,14.28,63102.0,星期二,0.0021,-0.0212
2026-06-01,14.5,14.57,14.85,14.37,76526.0,星期一,0.0076,0.0048
2026-05-29,14.34,14.39,14.57,14.31,44732.0,星期五,0.0,0.0035
2026-05-28,14.4,14.34,14.55,14.16,46284.0,星期四,-0.0041,-0.0042
2026-05-27,14.85,14.46,14.89,14.37,59881.0,星期三,0.0047,-0.0263
2026-05-26,14.99,14.78,15.08,14.69,53962.0,星期二,-0.004,-0.014
2026-05-25,15.09,15.05,15.15,14.97,42141.0,星期一,0.002,-0.0027
2026-05-22,14.95,15.06,15.18,14.8,45901.0,星期五,0.002,0.0074
2026-05-21,15.44,14.92,15.5,14.9,55721.0,星期四,0.0032,-0.0337
2026-05-20,15.59,15.39,15.65,15.28,44736.0,星期三,-0.0038,-0.0128
2026-05-19,15.25,15.65,15.73,15.22,61076.0,星期二,-0.0007,0.0262
