time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,22.64,20.61,22.73,20.37,115443.0,星期五,0.0013,-0.0897
2026-06-25,20.9,22.61,22.98,20.39,114612.0,星期四,-0.001,0.0818
2026-06-24,21.28,20.92,21.39,20.5,58994.0,星期三,-0.0098,-0.0169
2026-06-23,21.34,21.49,21.88,21.21,58677.0,星期二,-0.0051,0.007
2026-06-22,21.31,21.45,21.87,20.6,70071.0,星期一,-0.0093,0.0066
2026-06-18,21.08,21.51,21.55,20.76,58697.0,星期四,0.0009,0.0204
2026-06-17,21.01,21.06,21.19,20.75,46664.0,星期三,-0.0061,0.0024
2026-06-16,21.0,21.14,21.31,20.54,53474.0,星期二,0.0101,0.0067
2026-06-15,20.14,20.79,20.8,20.14,56615.0,星期一,0.0075,0.0323
2026-06-12,20.22,19.99,20.76,19.92,66206.0,星期五,0.0161,-0.0114
2026-06-11,19.85,19.9,20.1,19.44,54929.0,星期四,-0.0119,0.0025
2026-06-10,20.75,20.09,20.83,19.82,60664.0,星期三,0.0034,-0.0318
2026-06-09,20.96,20.68,21.11,20.55,53917.0,星期二,0.0034,-0.0134
2026-06-08,21.15,20.89,21.63,20.6,61153.0,星期一,-0.0217,-0.0123
2026-06-05,22.0,21.62,22.25,21.2,65591.0,星期五,0.0027,-0.0173
2026-06-04,22.55,21.94,22.9,21.82,64395.0,星期四,-0.0097,-0.0271
2026-06-03,22.17,22.77,23.18,22.1,68802.0,星期三,-0.0125,0.0271
2026-06-02,23.12,22.45,23.3,21.75,84010.0,星期二,-0.0137,-0.029
2026-06-01,23.3,23.44,23.66,22.81,69721.0,星期一,-0.0068,0.006
2026-05-29,23.22,23.46,23.85,22.42,96173.0,星期五,-0.0068,0.0103
2026-05-28,22.82,23.38,23.44,22.25,100061.0,星期四,-0.0078,0.0245
2026-05-27,24.55,23.0,24.57,22.75,135733.0,星期三,-0.0141,-0.0631
2026-05-26,26.0,24.9,26.06,24.5,126687.0,星期二,-0.008,-0.0423
2026-05-25,25.66,26.21,27.48,25.66,153224.0,星期一,0.0166,0.0214
2026-05-22,24.99,25.24,25.44,24.17,103804.0,星期五,0.0183,0.01
2026-05-21,26.24,24.54,26.45,24.4,165297.0,星期四,-0.0098,-0.0648
2026-05-20,26.92,26.5,27.55,26.06,213880.0,星期三,-0.0327,-0.0156
2026-05-19,25.01,27.83,28.5,24.3,303382.0,星期二,0.0008,0.1128
2026-05-18,24.92,24.99,25.43,24.7,79239.0,星期一,-0.0123,0.0028
2026-05-15,25.6,25.23,26.03,25.0,109668.0,星期五,0.0,-0.0145
2026-05-14,27.31,25.6,27.35,25.6,174379.0,星期四,0.0004,-0.0626
2026-05-13,26.11,27.3,27.4,25.87,242421.0,星期三,-0.0099,0.0456
2026-05-12,24.86,26.37,26.38,24.66,209432.0,星期二,-0.0048,0.0607
2026-05-11,25.37,24.98,25.49,24.81,108777.0,星期一,0.01,-0.0154
2026-05-08,24.75,25.12,25.41,24.64,117658.0,星期五,-0.0096,0.0149
2026-05-07,24.62,24.99,25.17,24.33,120026.0,星期四,0.0186,0.015
2026-05-06,23.39,24.17,24.58,23.38,128261.0,星期三,0.0108,0.0333
2026-04-30,24.35,23.14,24.37,23.08,128567.0,星期四,0.0095,-0.0497
2026-04-29,24.59,24.12,24.69,24.01,109299.0,星期三,-0.0093,-0.0191
2026-04-28,23.87,24.82,24.94,23.23,130704.0,星期二,-0.0128,0.0398
2026-04-27,23.97,24.18,24.38,23.69,103042.0,星期一,0.0038,0.0088
2026-04-24,25.99,23.88,26.15,23.85,194857.0,星期五,-0.0012,-0.0812
2026-04-23,27.23,26.02,27.99,26.0,183324.0,星期四,-0.0087,-0.0444
2026-04-22,27.05,27.47,27.57,26.4,192322.0,星期三,-0.0221,0.0155
2026-04-21,28.0,27.66,28.98,26.9,242170.0,星期二,-0.0036,-0.0121
2026-04-20,26.08,28.1,28.3,26.01,257186.0,星期一,-0.0121,0.0775
2026-04-17,27.2,26.4,27.21,26.18,209822.0,星期五,-0.0134,-0.0294
2026-04-16,27.01,27.57,27.78,26.55,255987.0,星期四,-0.0059,0.0207
2026-04-15,25.68,27.17,27.6,25.03,297742.0,星期三,0.017,0.058
2026-04-14,25.88,25.25,26.0,24.8,183858.0,星期二,-0.0065,-0.0243
2026-04-13,24.54,26.05,26.19,24.4,200689.0,星期一,-0.0133,0.0615
2026-04-10,25.71,24.87,26.0,24.8,213304.0,星期五,0.0008,-0.0327
2026-04-09,27.0,25.69,27.0,25.34,253886.0,星期四,-0.0288,-0.0485
2026-04-08,28.2,27.8,28.45,27.0,318247.0,星期三,-0.0098,-0.0142
2026-04-07,26.5,28.48,29.5,26.0,314328.0,星期二,-0.0214,0.0747
2026-04-03,24.98,27.08,28.28,24.98,322604.0,星期五,-0.0344,0.0841
2026-04-02,25.14,25.87,27.16,24.84,345022.0,星期四,0.006,0.029
2026-04-01,25.02,24.99,25.32,24.52,224231.0,星期三,-0.013,-0.0012
2026-03-31,22.98,25.35,25.9,22.66,344163.0,星期二,0.0097,0.1031
2026-03-30,22.53,22.76,22.88,21.43,165329.0,星期一,-0.0351,0.0102
2026-03-27,22.62,23.35,23.7,22.22,165929.0,星期五,-0.03,0.0323
2026-03-26,24.45,23.32,24.45,23.09,221252.0,星期四,-0.0282,-0.0462
2026-03-25,24.75,25.16,26.48,24.48,292657.0,星期三,-0.0313,0.0166
2026-03-24,24.91,25.55,25.67,23.75,298756.0,星期二,-0.0036,0.0257
2026-03-23,22.7,25.0,25.76,22.6,335553.0,星期一,-0.0406,0.1013
2026-03-20,23.0,23.66,23.85,22.08,281323.0,星期五,0.0155,0.0287
2026-03-19,21.73,22.65,22.98,21.73,198611.0,星期四,-0.0325,0.0423
2026-03-18,21.99,22.46,22.88,21.91,181560.0,星期三,0.0005,0.0214
2026-03-17,23.44,21.98,23.53,21.84,245202.0,星期二,-0.0266,-0.0623
2026-03-16,23.71,24.08,24.23,22.66,264777.0,星期一,0.0251,0.0156
2026-03-13,25.31,23.13,25.99,23.03,339569.0,星期五,-0.031,-0.0861
2026-03-12,25.19,26.12,28.88,25.19,469751.0,星期四,-0.0426,0.0369
2026-03-11,24.08,26.31,26.35,23.8,394339.0,星期三,-0.0579,0.0926
2026-03-10,24.68,25.56,26.4,23.12,529292.0,星期二,0.0253,0.0357
2026-03-09,19.62,24.07,24.07,19.5,346482.0,星期一,-0.0219,0.2268
2026-03-06,19.9,20.06,20.95,19.27,223832.0,星期五,-0.0207,0.008
2026-03-05,19.62,20.32,20.8,19.51,286438.0,星期四,0.0072,0.0357
2026-03-04,18.95,19.48,19.75,18.81,278789.0,星期三,0.0037,0.028
2026-03-03,17.75,18.88,20.44,17.75,272722.0,星期二,0.004,0.0637
2026-03-02,17.52,17.68,17.94,17.41,45433.0,星期一,-0.019,0.0091
2026-02-27,17.75,17.86,17.96,17.69,30894.0,星期五,-0.0039,0.0062
2026-02-26,17.5,17.82,17.83,17.41,40866.0,星期四,0.0,0.0183
2026-02-25,17.59,17.5,17.77,17.36,33010.0,星期三,0.0,-0.0051
2026-02-24,17.37,17.59,17.77,17.27,37815.0,星期二,0.0099,0.0127
2026-02-13,17.36,17.2,17.45,17.16,28152.0,星期五,-0.008,-0.0092
2026-02-12,17.17,17.5,17.66,17.1,49955.0,星期四,0.0088,0.0192
2026-02-11,17.16,17.02,17.21,17.0,20915.0,星期三,0.0018,-0.0082
2026-02-10,17.24,17.13,17.24,17.07,21234.0,星期二,0.0,-0.0064
2026-02-09,17.14,17.24,17.24,16.93,31674.0,星期一,0.0142,0.0058
2026-02-06,16.81,16.9,17.16,16.65,34263.0,星期五,-0.0059,0.0054
2026-02-05,17.06,16.91,17.15,16.88,32320.0,星期四,-0.0058,-0.0088
2026-02-04,17.23,17.16,17.54,17.06,35155.0,星期三,0.0006,-0.0041
2026-02-03,16.81,17.22,17.26,16.81,41891.0,星期二,0.0024,0.0244
2026-02-02,16.71,16.77,17.28,16.7,52700.0,星期一,-0.003,0.0036
2026-01-30,16.81,16.76,16.85,16.22,42135.0,星期五,0.0006,-0.003
2026-01-29,17.39,16.8,17.47,16.71,52138.0,星期四,0.0023,-0.0339
2026-01-28,17.45,17.35,17.64,17.31,33443.0,星期三,-0.0029,-0.0057
