time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,106.22,100.33,106.3,99.0,43352.0,星期五,-0.0187,-0.0555
2026-06-25,107.0,108.24,109.46,104.1,47044.0,星期四,0.001,0.0116
2026-06-24,106.62,106.89,108.0,104.48,32802.0,星期三,-0.0047,0.0025
2026-06-23,109.87,107.12,110.7,105.5,36176.0,星期二,-0.0117,-0.025
2026-06-22,111.24,111.17,113.24,105.86,60622.0,星期一,0.0023,-0.0006
2026-06-18,105.31,110.98,114.92,103.67,72089.0,星期四,0.0001,0.0538
2026-06-17,103.8,105.3,105.99,102.8,40347.0,星期三,-0.0089,0.0145
2026-06-16,104.16,104.73,108.09,101.93,52450.0,星期二,0.0059,0.0055
2026-06-15,92.8,103.55,104.8,92.14,84605.0,星期一,0.0107,0.1158
2026-06-12,96.21,91.82,97.64,90.6,40220.0,星期五,0.0254,-0.0456
2026-06-11,94.06,93.83,96.84,92.28,44602.0,星期四,-0.014,-0.0024
2026-06-10,93.72,95.4,96.48,91.95,36539.0,星期三,-0.013,0.0179
2026-06-09,93.0,94.95,94.99,91.0,42765.0,星期二,0.0299,0.021
2026-06-08,90.31,90.3,94.0,87.9,56592.0,星期一,-0.3354,-0.0001
2026-06-05,138.5,135.88,140.81,133.67,45327.0,星期五,-0.0195,-0.0189
2026-06-04,139.42,141.25,142.44,135.58,45515.0,星期四,-0.0244,0.0131
2026-06-03,149.0,142.9,154.95,141.0,53783.0,星期三,0.0257,-0.0409
2026-06-02,142.48,145.27,147.5,139.03,39814.0,星期二,0.0091,0.0196
2026-06-01,152.65,141.2,156.97,140.01,50494.0,星期一,0.0003,-0.075
2026-05-29,166.66,152.6,168.0,151.02,62855.0,星期五,-0.0122,-0.0844
2026-05-28,160.0,168.71,169.98,159.56,55951.0,星期四,-0.0044,0.0544
2026-05-27,169.0,160.7,170.98,159.03,58894.0,星期三,0.0106,-0.0491
2026-05-26,183.5,167.22,186.5,164.2,69245.0,星期二,-0.0043,-0.0887
2026-05-25,173.65,184.3,190.0,170.0,82160.0,星期一,0.0531,0.0613
2026-05-22,150.61,164.9,165.8,150.55,54772.0,星期五,0.0035,0.0949
2026-05-21,168.19,150.08,169.66,149.5,58579.0,星期四,0.0016,-0.1077
2026-05-20,160.0,167.92,177.0,159.03,70360.0,星期三,-0.0177,0.0495
2026-05-19,155.0,162.88,162.94,148.6,53269.0,星期二,-0.0041,0.0508
2026-05-18,151.17,155.64,160.62,150.85,35722.0,星期一,-0.0209,0.0296
2026-05-15,156.93,154.4,160.98,150.15,54813.0,星期五,-0.0004,-0.0161
2026-05-14,169.99,157.0,175.74,156.48,69113.0,星期四,0.0516,-0.0764
2026-05-13,153.0,161.65,167.0,150.1,66529.0,星期三,-0.0167,0.0565
2026-05-12,163.68,155.6,164.88,154.11,67158.0,星期二,-0.0187,-0.0494
2026-05-11,161.59,166.8,169.86,157.33,73235.0,星期一,0.0142,0.0322
2026-05-08,154.88,159.32,161.7,152.01,55826.0,星期五,0.0005,0.0287
2026-05-07,153.33,154.8,157.94,150.83,43034.0,星期四,-0.0003,0.0096
2026-05-06,146.82,153.37,161.77,145.0,65107.0,星期三,0.03,0.0446
2026-04-30,148.46,142.54,150.72,137.92,47849.0,星期四,-0.0057,-0.0399
2026-04-29,143.91,149.31,153.85,143.31,40409.0,星期三,-0.0164,0.0375
2026-04-28,152.86,146.31,153.0,144.18,51565.0,星期二,-0.0035,-0.0428
2026-04-27,159.35,153.4,161.4,152.3,49180.0,星期一,0.0088,-0.0373
2026-04-24,150.99,157.96,168.18,138.88,87352.0,星期五,0.0055,0.0462
2026-04-23,156.0,150.16,157.56,148.8,40433.0,星期四,-0.0052,-0.0374
2026-04-22,142.99,156.82,162.0,142.0,64946.0,星期三,-0.0045,0.0967
2026-04-21,143.59,143.64,145.8,140.25,31372.0,星期二,-0.0167,0.0003
2026-04-20,145.01,146.03,152.8,143.08,41298.0,星期一,-0.0068,0.007
2026-04-17,149.0,146.0,150.95,145.77,38441.0,星期五,-0.0051,-0.0201
2026-04-16,148.0,149.77,155.9,145.34,48601.0,星期四,-0.02,0.012
2026-04-15,140.99,151.02,152.68,138.6,76143.0,星期三,-0.0019,0.0711
2026-04-14,144.0,141.26,145.28,138.36,45632.0,星期二,0.0049,-0.019
2026-04-13,146.0,143.3,148.3,142.73,44895.0,星期一,-0.0168,-0.0185
2026-04-10,148.0,148.5,152.99,144.5,49560.0,星期五,0.0092,0.0034
2026-04-09,147.83,146.65,150.8,145.3,50656.0,星期四,-0.0182,-0.008
2026-04-08,149.0,150.57,159.5,146.45,92573.0,星期三,0.0245,0.0105
2026-04-07,137.71,145.44,149.0,135.78,75342.0,星期二,-0.0015,0.0561
2026-04-03,136.22,137.92,141.89,134.05,63389.0,星期五,0.0082,0.0125
2026-04-02,135.56,135.11,138.94,134.1,39140.0,星期四,-0.0198,-0.0033
2026-04-01,129.0,138.3,138.38,126.8,62117.0,星期三,0.0238,0.0721
2026-03-31,127.27,126.0,130.03,122.11,34945.0,星期二,-0.005,-0.01
2026-03-30,125.69,127.91,129.85,125.5,37804.0,星期一,-0.05,0.0177
2026-03-27,128.0,132.3,135.0,127.35,67150.0,星期五,0.0061,0.0336
2026-03-26,129.69,127.22,132.9,126.88,39751.0,星期四,-0.0099,-0.019
2026-03-25,130.1,130.99,132.47,128.88,60377.0,星期三,-0.0203,0.0068
2026-03-24,121.8,132.8,134.68,119.0,82010.0,星期二,0.0312,0.0903
2026-03-23,121.96,118.11,128.94,116.76,47889.0,星期一,-0.0064,-0.0316
2026-03-20,128.62,122.74,132.29,122.74,61678.0,星期五,0.0025,-0.0457
2026-03-19,126.77,128.3,136.99,125.01,79511.0,星期四,-0.0091,0.0121
2026-03-18,108.75,127.94,127.94,106.95,70970.0,星期三,0.02,0.1765
2026-03-17,117.29,106.62,117.5,106.0,38026.0,星期二,0.0042,-0.091
2026-03-16,118.61,116.8,119.75,114.9,28448.0,星期一,-0.007,-0.0153
2026-03-13,124.96,119.45,126.03,119.0,28271.0,星期五,0.0019,-0.0441
2026-03-12,127.54,124.72,130.95,124.0,37790.0,星期四,0.0043,-0.0221
2026-03-11,119.96,127.0,130.9,118.53,66561.0,星期三,0.0051,0.0587
2026-03-10,108.26,119.35,121.6,108.0,50668.0,星期二,0.015,0.1024
2026-03-09,108.08,106.66,108.35,100.66,35105.0,星期一,-0.0324,-0.0131
2026-03-06,111.9,111.7,114.9,110.67,20479.0,星期五,-0.009,-0.0018
2026-03-05,116.6,112.92,118.5,112.12,21572.0,星期四,0.0242,-0.0316
2026-03-04,111.99,113.84,115.7,111.38,18958.0,星期三,-0.0192,0.0165
2026-03-03,124.53,114.18,127.25,113.75,36761.0,星期二,-0.0091,-0.0831
2026-03-02,124.49,125.67,131.61,124.0,28269.0,星期一,-0.0202,0.0095
2026-02-27,124.25,127.06,127.99,119.77,30755.0,星期五,-0.0256,0.0226
2026-02-26,121.09,127.52,130.74,121.0,35476.0,星期四,-0.0034,0.0531
2026-02-25,121.02,121.5,122.39,118.88,20522.0,星期三,0.0053,0.004
2026-02-24,117.88,120.38,125.4,114.2,43523.0,星期二,0.0013,0.0212
2026-02-13,119.46,117.73,122.91,116.6,35475.0,星期五,0.0125,-0.0145
2026-02-12,114.95,117.99,120.0,114.0,35120.0,星期四,0.0085,0.0264
2026-02-11,113.85,113.98,116.68,113.17,18409.0,星期三,0.0,0.0011
2026-02-10,113.05,113.85,115.86,112.82,27664.0,星期二,-0.0054,0.0071
2026-02-09,106.0,113.66,114.97,105.62,53812.0,星期一,0.0172,0.0723
2026-02-06,103.28,104.21,106.16,102.08,14572.0,星期五,-0.0141,0.009
2026-02-05,108.0,104.76,108.0,103.08,26735.0,星期四,-0.009,-0.03
2026-02-04,111.11,108.98,112.0,106.58,25323.0,星期三,-0.0088,-0.0192
2026-02-03,105.4,112.1,112.84,105.0,35941.0,星期二,0.0115,0.0636
2026-02-02,108.25,104.2,110.28,104.0,17810.0,星期一,-0.0058,-0.0374
2026-01-30,106.62,108.88,110.26,104.01,21897.0,星期五,-0.0028,0.0212
2026-01-29,111.0,106.92,111.29,106.15,26744.0,星期四,-0.0027,-0.0368
2026-01-28,111.81,111.3,113.7,109.75,20005.0,星期三,-0.0061,-0.0046
2026-01-27,114.11,112.5,114.11,107.2,33166.0,星期二,-0.0007,-0.0141
2026-01-26,119.0,114.19,119.42,113.02,30251.0,星期一,-0.0082,-0.0404
2026-01-23,113.0,119.98,122.68,113.0,69221.0,星期五,0.0082,0.0618
2026-01-22,106.86,112.08,112.11,106.4,32734.0,星期四,0.0044,0.0488
2026-01-21,105.48,106.39,107.65,104.95,16727.0,星期三,0.0009,0.0086
2026-01-20,111.01,105.39,112.19,103.77,31637.0,星期二,-0.006,-0.0506
2026-01-19,114.0,111.68,114.0,110.31,30093.0,星期一,0.0001,-0.0204
2026-01-16,117.0,113.99,117.0,112.49,27818.0,星期五,0.0126,-0.0257
2026-01-15,117.58,115.54,118.0,113.5,34550.0,星期四,-0.0144,-0.0173
2026-01-14,109.7,119.3,120.88,108.5,65912.0,星期三,0.0,0.0875
2026-01-13,115.5,109.7,116.41,109.32,32731.0,星期二,-0.008,-0.0502
2026-01-12,114.55,116.43,117.98,113.15,48843.0,星期一,0.0004,0.0164
2026-01-09,109.44,114.5,115.48,107.24,43678.0,星期五,-0.01,0.0462
2026-01-08,109.19,110.54,112.78,107.8,35106.0,星期四,0.0,0.0124
2026-01-07,108.68,109.19,109.85,107.24,30952.0,星期三,-0.0221,0.0047
2026-01-06,109.96,111.14,115.33,105.03,56264.0,星期二,-0.0004,0.0107
2026-01-05,108.0,110.0,111.7,106.51,28588.0,星期一,0.0045,0.0185
2025-12-31,110.6,107.52,111.17,107.0,29080.0,星期三,-0.0015,-0.0278
2025-12-30,113.82,110.77,117.0,110.14,41980.0,星期二,-0.0201,-0.0268
2025-12-29,119.9,116.15,120.0,112.06,57505.0,星期一,0.0288,-0.0313
2025-12-26,110.19,116.54,124.1,108.16,79822.0,星期五,-0.0115,0.0576
2025-12-25,116.07,111.47,125.99,111.22,81483.0,星期四,0.0461,-0.0396
2025-12-24,112.99,110.96,113.0,109.38,44403.0,星期三,-0.009,-0.018
2025-12-23,104.14,114.02,117.55,104.0,90840.0,星期二,0.0013,0.0949
2025-12-22,103.0,104.0,105.13,102.42,27118.0,星期一,0.0039,0.0097
2025-12-19,105.26,102.6,105.88,101.34,28813.0,星期五,0.0047,-0.0253
2025-12-18,99.01,104.77,106.96,98.36,42171.0,星期四,-0.0229,0.0582
2025-12-17,99.61,101.33,101.4,97.5,26935.0,星期三,0.0,0.0173
2025-12-16,102.0,99.61,103.78,98.5,24253.0,星期二,-0.0068,-0.0234
2025-12-15,104.58,102.7,104.6,101.4,25185.0,星期一,-0.0002,-0.018
2025-12-12,101.0,104.6,106.14,100.17,38886.0,星期五,-0.0097,0.0356
2025-12-11,107.0,101.99,107.1,101.56,43569.0,星期四,-0.0093,-0.0468
2025-12-10,103.73,108.0,108.1,102.08,54098.0,星期三,-0.0026,0.0412
2025-12-09,104.7,104.0,108.9,103.11,45547.0,星期二,-0.0002,-0.0067
2025-12-08,99.7,104.72,105.96,99.67,55285.0,星期一,-0.0203,0.0504
2025-12-05,108.0,101.77,108.0,100.08,68071.0,星期五,-0.0258,-0.0577
2025-12-04,107.0,110.86,110.99,104.0,73562.0,星期四,-0.0063,0.0361
2025-12-03,107.71,107.68,109.84,102.49,97542.0,星期三,-0.04,-0.0003
2025-12-02,93.49,112.2,112.2,92.37,104895.0,星期二,-0.0001,0.2001
2025-12-01,91.51,93.5,94.35,90.85,21337.0,星期一,0.0012,0.0217
2025-11-28,90.52,91.4,91.49,90.0,13908.0,星期五,0.002,0.0097
2025-11-27,89.13,90.34,92.44,87.25,17799.0,星期四,-0.0046,0.0136
2025-11-26,88.91,89.54,91.48,88.53,16318.0,星期三,-0.0019,0.0071
2025-11-25,86.64,89.08,90.2,86.6,17212.0,星期二,0.0063,0.0282
2025-11-24,84.68,86.1,86.65,84.19,10336.0,星期一,0.0068,0.0168
2025-11-21,85.82,84.11,86.33,83.53,12757.0,星期五,-0.0113,-0.0199
2025-11-20,88.5,86.8,89.65,85.6,12383.0,星期四,0.0051,-0.0192
2025-11-19,88.6,88.05,89.9,87.18,9500.0,星期三,-0.0043,-0.0062
2025-11-18,88.6,88.98,89.98,88.24,7860.0,星期二,-0.0033,0.0043
2025-11-17,88.47,88.89,89.88,88.05,10133.0,星期一,0.0001,0.0047
2025-11-14,90.22,88.46,90.9,88.45,11212.0,星期五,-0.0065,-0.0195
2025-11-13,90.91,90.81,91.86,90.18,9047.0,星期四,0.0024,-0.0011
2025-11-12,90.96,90.69,91.17,89.3,10028.0,星期三,-0.0031,-0.003
2025-11-11,93.96,91.24,94.15,91.01,11382.0,星期二,0.0111,-0.0289
2025-11-10,93.84,92.93,95.45,91.91,9888.0,星期一,-0.0023,-0.0097
2025-11-07,94.68,94.06,95.58,93.48,10339.0,星期五,-0.0074,-0.0065
2025-11-06,93.35,95.39,95.7,93.35,13845.0,星期四,0.0003,0.0219
2025-11-05,92.88,93.32,93.8,91.87,9396.0,星期三,-0.0095,0.0047
2025-11-04,95.64,93.77,95.64,93.11,12948.0,星期二,-0.0025,-0.0196
2025-11-03,96.86,95.88,96.86,94.03,12455.0,星期一,0.0063,-0.0101
2025-10-31,95.3,96.25,97.2,94.91,13121.0,星期五,-0.0081,0.01
2025-10-30,99.5,96.08,99.51,95.73,22948.0,星期四,-0.0038,-0.0344
2025-10-29,101.55,99.88,102.58,99.1,28433.0,星期三,0.0242,-0.0164
2025-10-28,100.66,99.15,101.19,99.11,23368.0,星期二,-0.0039,-0.015
2025-10-27,98.0,101.05,101.35,97.03,36191.0,星期一,0.0031,0.0311
2025-10-24,95.96,97.7,98.5,94.88,21696.0,星期五,0.0068,0.0181
2025-10-23,94.74,95.31,95.48,93.31,14521.0,星期四,-0.0059,0.006
2025-10-22,95.5,95.3,96.38,94.03,15819.0,星期三,-0.0071,-0.0021
2025-10-21,92.87,96.18,97.66,92.11,28636.0,星期二,0.0,0.0356
2025-10-20,92.52,92.87,94.13,91.38,20776.0,星期一,0.0194,0.0038
2025-10-17,96.04,90.76,97.1,90.49,26095.0,星期五,0.0109,-0.055
2025-10-16,98.25,95.0,99.37,94.5,30929.0,星期四,-0.0073,-0.0331
2025-10-15,99.4,98.97,100.5,97.27,24635.0,星期三,-0.0057,-0.0043
2025-10-14,100.64,99.97,104.5,99.0,46150.0,星期二,0.0102,-0.0067
2025-10-13,97.48,99.62,100.49,96.54,27799.0,星期一,-0.0377,0.022
2025-10-10,106.96,101.3,107.4,100.06,40493.0,星期五,-0.0054,-0.0529
2025-10-09,112.01,107.54,113.18,107.09,35787.0,星期四,0.0141,-0.0399
2025-09-30,119.53,110.45,120.78,108.63,58745.0,星期二,0.0132,-0.076
2025-09-29,123.01,117.97,128.22,117.34,49601.0,星期一,-0.0165,-0.041
2025-09-26,118.42,125.08,133.88,117.25,81669.0,星期五,0.0104,0.0562
2025-09-25,117.29,117.2,122.88,116.54,62219.0,星期四,0.0361,-0.0008
2025-09-24,109.99,113.2,116.2,108.54,33039.0,星期三,-0.0101,0.0292
2025-09-23,114.08,111.11,115.47,106.68,38482.0,星期二,0.0002,-0.026
2025-09-22,109.5,114.06,116.78,107.02,49548.0,星期一,0.0075,0.0416
2025-09-19,113.0,108.69,114.4,107.55,48683.0,星期五,-0.018,-0.0381
2025-09-18,110.61,115.07,122.0,109.8,83872.0,星期四,0.0,0.0403
2025-09-17,104.38,110.61,111.58,102.89,51543.0,星期三,-0.0077,0.0597
2025-09-16,100.9,105.19,106.48,99.49,38799.0,星期二,-0.0094,0.0425
2025-09-15,99.68,101.86,102.85,97.35,27761.0,星期一,-0.0012,0.0219
2025-09-12,99.0,99.8,101.74,98.22,29705.0,星期五,-0.0098,0.0081
2025-09-11,95.12,99.98,100.88,94.81,32134.0,星期四,-0.0067,0.0511
2025-09-10,94.38,95.76,97.8,94.38,21539.0,星期三,-0.0004,0.0146
2025-09-09,96.02,94.42,96.4,93.58,17892.0,星期二,-0.0076,-0.0167
2025-09-08,96.89,96.76,97.83,95.28,21936.0,星期一,-0.0094,-0.0013
2025-09-05,94.8,97.81,98.2,93.0,30077.0,星期五,0.0083,0.0318
2025-09-04,100.91,94.02,101.9,92.6,40613.0,星期四,-0.0006,-0.0683
2025-09-03,100.5,100.97,104.2,99.02,35796.0,星期三,0.0,0.0047
2025-09-02,106.0,100.5,106.3,99.0,49278.0,星期二,-0.0114,-0.0519
2025-09-01,105.99,107.22,109.9,103.76,46504.0,星期一,0.0051,0.0116
2025-08-29,114.43,105.45,114.6,103.33,81385.0,星期五,-0.0311,-0.0785
2025-08-28,114.3,118.1,118.6,112.0,74736.0,星期四,-0.0153,0.0332
2025-08-27,118.0,116.08,127.5,113.56,104817.0,星期三,-0.0084,-0.0163
2025-08-26,116.26,119.0,125.0,112.45,124030.0,星期二,-0.0041,0.0236
2025-08-25,110.51,116.74,124.15,109.02,119905.0,星期一,0.0681,0.0564
2025-08-22,101.86,103.46,106.4,101.3,55302.0,星期五,0.01,0.0157
2025-08-21,107.87,100.85,114.0,100.0,65693.0,星期四,0.053,-0.0651
2025-08-20,100.0,102.44,104.8,96.88,48827.0,星期三,-0.0465,0.0244
2025-08-19,103.99,104.88,109.96,103.8,50643.0,星期二,-0.0077,0.0086
2025-08-18,97.1,104.8,110.0,96.81,73463.0,星期一,0.0031,0.0793
2025-08-15,94.72,96.8,97.75,93.51,37390.0,星期五,0.0058,0.022
2025-08-14,96.0,94.17,97.96,94.17,46571.0,星期四,-0.0016,-0.0191
2025-08-13,94.33,96.15,97.0,93.12,38483.0,星期三,-0.0005,0.0193
2025-08-12,91.32,94.38,94.87,90.5,39274.0,星期二,0.0,0.0335
2025-08-11,89.0,91.32,91.95,89.0,23274.0,星期一,-0.0024,0.0261
2025-08-08,90.98,89.21,91.66,88.88,24055.0,星期五,-0.0111,-0.0195
2025-08-07,92.21,92.0,93.8,91.41,33380.0,星期四,0.012,-0.0023
2025-08-06,91.1,91.12,92.3,90.2,26124.0,星期三,0.0001,0.0002
2025-08-05,90.41,91.09,91.88,89.44,23339.0,星期二,0.0002,0.0075
2025-08-04,88.25,90.39,91.18,87.59,23975.0,星期一,-0.0085,0.0242
2025-08-01,90.7,89.01,92.4,87.99,32507.0,星期五,-0.0054,-0.0186
2025-07-31,89.2,91.19,94.9,89.2,49491.0,星期四,-0.0045,0.0223
2025-07-30,91.45,89.6,91.71,88.8,37006.0,星期三,-0.016,-0.0202
2025-07-29,85.94,92.94,95.17,84.5,74421.0,星期二,-0.0006,0.0815
2025-07-28,87.0,85.99,87.8,85.4,19940.0,星期一,0.0137,-0.0116
2025-07-25,85.71,85.82,87.5,85.3,18913.0,星期五,0.0001,0.0013
2025-07-24,84.0,85.7,85.88,84.0,17174.0,星期四,-0.0187,0.0202
2025-07-23,85.0,85.6,86.09,84.28,15230.0,星期三,-0.0028,0.0071
2025-07-22,86.15,85.24,87.25,85.05,23666.0,星期二,-0.0054,-0.0106
2025-07-21,87.0,86.62,87.29,85.85,19996.0,星期一,0.0014,-0.0044
2025-07-18,88.5,86.88,88.7,86.28,31206.0,星期五,-0.0024,-0.0183
2025-07-17,86.01,88.71,89.0,85.6,36566.0,星期四,-0.0057,0.0314
2025-07-16,86.08,86.5,88.58,85.11,33940.0,星期三,0.002,0.0049
2025-07-15,83.9,85.91,89.29,83.4,52640.0,星期二,-0.002,0.024
2025-07-14,84.77,84.07,88.6,83.85,24077.0,星期一,0.0064,-0.0083
2025-07-11,85.0,84.23,85.58,83.01,25367.0,星期五,0.0127,-0.0091
2025-07-10,85.29,83.93,85.5,83.3,24954.0,星期四,-0.0034,-0.0159
2025-07-09,85.0,85.58,86.68,84.46,33403.0,星期三,-0.0171,0.0068
2025-07-08,81.9,86.48,89.79,81.9,66624.0,星期二,0.016,0.0559
2025-07-07,81.6,80.61,81.71,79.75,16692.0,星期一,-0.0004,-0.0121
2025-07-04,83.25,81.63,83.75,81.05,19443.0,星期五,-0.0001,-0.0195
2025-07-03,82.7,83.26,83.59,82.29,13927.0,星期四,-0.0008,0.0068
2025-07-02,85.14,82.77,85.14,82.0,20406.0,星期三,-0.0025,-0.0278
2025-07-01,86.78,85.35,86.88,84.5,22411.0,星期二,0.0001,-0.0165
2025-06-30,86.5,86.77,88.2,85.17,28303.0,星期一,0.0058,0.0031
2025-06-27,84.12,86.0,87.5,83.69,31422.0,星期五,-0.0049,0.0223
2025-06-26,83.02,84.53,86.5,83.02,28545.0,星期四,-0.0088,0.0182
2025-06-25,83.9,83.76,86.5,82.65,40020.0,星期三,0.01,-0.0017
2025-06-24,78.5,83.07,83.8,78.47,40433.0,星期二,0.0041,0.0582
2025-06-23,77.01,78.18,78.64,76.57,17427.0,星期一,-0.0177,0.0152
2025-06-20,79.88,78.4,81.32,77.2,21504.0,星期五,-0.0001,-0.0185
2025-06-19,82.65,79.89,83.98,79.2,25786.0,星期四,-0.0034,-0.0334
2025-06-18,80.0,82.93,83.18,79.4,27248.0,星期三,-0.0053,0.0366
2025-06-17,80.01,80.43,81.11,78.22,16585.0,星期二,0.0001,0.0052
2025-06-16,78.57,80.0,81.97,78.0,18481.0,星期一,-0.0009,0.0182
2025-06-13,81.06,78.64,82.57,78.3,21858.0,星期五,-0.0113,-0.0299
2025-06-12,80.9,81.99,84.35,80.27,24828.0,星期四,-0.0098,0.0135
2025-06-11,83.2,81.7,83.8,81.66,17515.0,星期三,-0.0002,-0.018
2025-06-10,84.8,83.22,85.35,81.9,23499.0,星期二,-0.006,-0.0186
2025-06-09,84.84,85.31,86.32,83.76,30590.0,星期一,0.002,0.0055
2025-06-06,78.57,84.67,86.86,78.57,58069.0,星期五,-0.0066,0.0776
2025-06-05,76.5,79.09,79.65,75.75,24634.0,星期四,-0.0005,0.0339
2025-06-04,75.3,76.54,77.36,75.29,17346.0,星期三,0.0053,0.0165
2025-06-03,74.66,74.9,75.59,74.5,7733.0,星期二,-0.0052,0.0032
2025-05-30,76.91,75.05,77.28,73.9,17961.0,星期五,-0.0058,-0.0242
2025-05-29,75.72,77.36,77.36,75.02,15789.0,星期四,0.0025,0.0217
2025-05-28,75.3,75.53,76.25,74.86,10673.0,星期三,0.0003,0.0031
2025-05-27,76.88,75.28,76.99,74.6,12635.0,星期二,0.0003,-0.0208
2025-05-26,73.89,76.86,77.1,73.42,22789.0,星期一,0.0,0.0402
2025-05-23,75.5,73.89,75.8,73.8,18091.0,星期五,0.0015,-0.0213
2025-05-22,76.3,75.39,76.99,75.08,16088.0,星期四,0.0,-0.0119
2025-05-21,77.85,76.3,78.2,76.16,15488.0,星期三,0.0001,-0.0199
2025-05-20,78.28,77.84,78.65,76.9,15586.0,星期二,0.0001,-0.0056
2025-05-19,79.0,78.27,79.33,77.3,20963.0,星期一,-0.0083,-0.0092
2025-05-16,78.0,79.66,81.65,76.6,24440.0,星期五,0.0001,0.0213
2025-05-15,82.66,77.99,82.66,77.77,31820.0,星期四,0.0007,-0.0565
2025-05-14,84.0,82.6,85.17,82.19,19299.0,星期三,0.0,-0.0167
2025-05-13,86.8,84.0,87.0,83.41,22702.0,星期二,0.013,-0.0323
