time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,38.0,41.69,43.36,37.51,737721.0,星期五,0.0218,0.0971
2026-06-25,38.03,37.19,39.37,37.01,308247.0,星期四,-0.0039,-0.0221
2026-06-24,39.68,38.18,40.0,38.01,359507.0,星期三,-0.0149,-0.0378
2026-06-23,38.58,40.28,40.63,37.86,525625.0,星期二,-0.0141,0.0441
2026-06-22,38.3,39.13,39.15,37.01,320874.0,星期一,-0.0067,0.0217
2026-06-18,38.18,38.56,39.18,37.54,282140.0,星期四,-0.0078,0.01
2026-06-17,39.97,38.48,40.05,38.21,359959.0,星期三,-0.0055,-0.0373
2026-06-16,39.88,40.19,40.53,38.38,378709.0,星期二,-0.0156,0.0078
2026-06-15,40.0,40.51,40.75,39.41,303822.0,星期一,0.0063,0.0127
2026-06-12,41.6,39.75,42.2,39.72,487089.0,星期五,0.0114,-0.0445
2026-06-11,43.61,41.13,44.04,40.86,572394.0,星期四,-0.0068,-0.0569
2026-06-10,43.6,43.91,46.0,43.5,564562.0,星期三,-0.0259,0.0071
2026-06-09,43.3,44.76,46.82,42.5,771007.0,星期二,-0.0053,0.0337
2026-06-08,40.58,43.53,44.5,40.51,729809.0,星期一,-0.0292,0.0727
2026-06-05,41.24,41.8,43.86,41.24,551867.0,星期五,-0.0082,0.0136
2026-06-04,42.2,41.58,42.95,41.03,507259.0,星期四,-0.0319,-0.0147
2026-06-03,40.81,43.59,43.6,40.81,805183.0,星期三,-0.0375,0.0681
2026-06-02,41.41,42.4,43.91,39.63,1013276.0,星期二,0.0444,0.0239
2026-06-01,34.35,39.65,39.65,34.31,379416.0,星期一,0.0396,0.1543
2026-05-29,35.51,33.04,35.88,32.88,255106.0,星期五,0.0068,-0.0696
2026-05-28,36.5,35.27,36.67,34.01,316293.0,星期四,0.0,-0.0337
2026-05-27,38.0,36.5,38.26,36.45,228875.0,星期三,-0.0117,-0.0395
2026-05-26,39.14,38.45,40.4,37.89,238515.0,星期二,-0.0071,-0.0176
2026-05-25,38.93,39.42,39.77,38.25,218547.0,星期一,0.0099,0.0126
2026-05-22,38.33,38.55,38.89,37.88,161442.0,星期五,0.0055,0.0057
2026-05-21,40.23,38.12,40.76,38.04,239215.0,星期四,0.006,-0.0524
2026-05-20,40.81,39.99,41.16,39.95,186501.0,星期三,-0.0058,-0.0201
2026-05-19,40.26,41.05,41.15,39.73,246021.0,星期二,0.0025,0.0196
2026-05-18,38.99,40.16,41.17,38.99,220169.0,星期一,-0.0149,0.03
2026-05-15,39.61,39.58,40.3,39.19,211806.0,星期五,0.0028,-0.0008
2026-05-14,42.21,39.5,42.21,39.5,261221.0,星期四,0.0072,-0.0642
2026-05-13,41.18,41.91,42.28,40.95,169269.0,星期三,-0.0058,0.0177
2026-05-12,42.42,41.42,42.6,41.3,181406.0,星期二,-0.0068,-0.0236
2026-05-11,41.76,42.71,43.17,41.41,286454.0,星期一,-0.001,0.0227
2026-05-08,41.8,41.8,42.79,41.33,237184.0,星期五,0.0002,0.0
2026-05-07,41.67,41.79,41.96,40.87,214908.0,星期四,0.0034,0.0029
2026-05-06,40.16,41.53,41.75,40.12,264233.0,星期三,0.0183,0.0341
2026-04-30,39.2,39.44,39.84,38.95,146218.0,星期四,-0.0061,0.0061
2026-04-29,39.64,39.44,40.11,39.41,168444.0,星期三,0.0,-0.005
2026-04-28,40.85,39.64,41.1,39.4,238912.0,星期二,0.0,-0.0296
2026-04-27,42.23,40.85,42.24,40.36,377391.0,星期一,-0.0402,-0.0327
2026-04-24,42.9,44.0,44.46,42.04,408664.0,星期五,0.0082,0.0256
2026-04-23,42.5,42.55,43.29,42.1,294082.0,星期四,-0.0089,0.0012
2026-04-22,39.91,42.88,44.59,39.66,504608.0,星期三,0.0013,0.0744
2026-04-21,41.0,39.86,41.3,39.67,143991.0,星期二,0.0007,-0.0278
2026-04-20,40.51,40.97,42.27,40.41,223592.0,星期一,0.006,0.0114
2026-04-17,39.74,40.27,40.49,39.6,169935.0,星期五,-0.004,0.0133
2026-04-16,39.25,39.9,39.95,39.22,163682.0,星期四,0.0074,0.0166
2026-04-15,39.73,38.96,39.86,38.83,122787.0,星期三,0.0081,-0.0194
