time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,54.49,52.9,55.1,51.38,69451.0,星期五,-0.0139,-0.0292
2026-06-25,55.9,55.26,57.07,54.06,93765.0,星期四,0.0,-0.0114
2026-06-24,50.81,55.9,57.57,50.81,128058.0,星期三,-0.0053,0.1002
2026-06-23,52.49,51.08,53.18,50.58,48684.0,星期二,-0.0128,-0.0269
2026-06-22,54.45,53.17,54.5,51.19,64171.0,星期一,0.0035,-0.0235
2026-06-18,53.97,54.26,54.87,53.21,53852.0,星期四,-0.0072,0.0054
2026-06-17,52.12,54.36,54.98,52.12,67741.0,星期三,-0.0099,0.043
2026-06-16,51.99,52.64,52.88,50.6,67798.0,星期二,0.0074,0.0125
2026-06-15,47.0,51.61,52.2,46.94,79396.0,星期一,0.0151,0.0981
2026-06-12,47.93,46.3,49.33,46.3,54796.0,星期五,0.0108,-0.034
2026-06-11,45.01,47.42,48.39,44.5,54813.0,星期四,-0.0179,0.0535
2026-06-10,47.8,45.83,48.5,45.28,54668.0,星期三,-0.0144,-0.0412
2026-06-09,46.31,48.5,49.4,45.67,74934.0,星期二,0.0207,0.0473
2026-06-08,46.69,45.37,46.86,44.4,74809.0,星期一,-0.0199,-0.0283
2026-06-05,47.5,47.64,49.76,45.91,73372.0,星期五,-0.0125,0.0029
2026-06-04,48.59,48.1,49.5,47.56,80296.0,星期四,-0.0158,-0.0101
2026-06-03,52.67,49.37,53.2,48.53,108353.0,星期三,-0.0009,-0.0627
2026-06-02,50.5,52.72,53.94,49.7,88754.0,星期二,0.0068,0.044
2026-06-01,52.0,50.16,52.9,49.55,81476.0,星期一,0.0,-0.0354
2026-05-29,52.88,52.0,55.88,51.35,111389.0,星期五,-0.2836,-0.0166
2026-05-28,71.54,73.81,74.47,71.17,53438.0,星期四,-0.0126,0.0317
2026-05-27,73.21,72.45,75.35,71.21,67857.0,星期三,-0.0085,-0.0104
2026-05-26,74.44,73.84,77.77,72.32,85378.0,星期二,-0.014,-0.0081
2026-05-25,74.13,75.5,75.84,72.13,84184.0,星期一,0.0183,0.0185
2026-05-22,69.05,72.8,74.34,68.63,75753.0,星期五,0.0132,0.0543
2026-05-21,71.5,68.15,73.96,67.81,62760.0,星期四,0.0115,-0.0469
2026-05-20,71.0,70.69,72.49,69.5,40319.0,星期三,-0.0007,-0.0044
2026-05-19,68.1,71.05,71.31,67.1,53244.0,星期二,-0.0044,0.0433
2026-05-18,68.3,68.4,69.69,66.18,36179.0,星期一,0.005,0.0015
2026-05-15,68.81,67.96,69.97,67.05,40751.0,星期五,0.0064,-0.0124
2026-05-14,71.3,68.37,71.51,67.69,55605.0,星期四,0.0049,-0.0411
2026-05-13,67.38,70.95,72.18,67.02,75520.0,星期三,-0.0145,0.053
2026-05-12,67.55,68.37,69.8,67.2,55963.0,星期二,0.0006,0.0121
2026-05-11,69.0,67.51,69.5,67.2,51297.0,星期一,0.0155,-0.0216
2026-05-08,66.0,67.95,68.5,64.8,52076.0,星期五,-0.0118,0.0295
2026-05-07,65.21,66.79,67.76,65.01,52817.0,星期四,0.0099,0.0242
2026-05-06,64.07,64.57,66.26,63.2,60554.0,星期三,0.0181,0.0078
2026-04-30,64.58,62.93,66.63,62.44,36544.0,星期四,0.016,-0.0255
2026-04-29,62.5,63.56,64.49,61.5,53963.0,星期三,-0.0054,0.017
2026-04-28,60.0,62.84,68.88,59.51,98393.0,星期二,-0.0708,0.0473
2026-04-27,63.99,64.57,65.77,63.9,41340.0,星期一,0.0006,0.0091
2026-04-24,64.5,63.95,65.29,61.65,49344.0,星期五,0.0031,-0.0085
2026-04-23,67.99,64.3,68.17,63.11,53008.0,星期四,0.0,-0.0543
2026-04-22,66.78,67.99,68.97,66.5,38764.0,星期三,-0.0071,0.0181
2026-04-21,67.1,67.26,67.88,66.15,33042.0,星期二,-0.0027,0.0024
2026-04-20,68.26,67.28,68.8,67.01,39376.0,星期一,-0.0022,-0.0144
2026-04-17,68.51,68.41,69.25,67.5,42701.0,星期五,0.0007,-0.0015
2026-04-16,67.53,68.46,71.5,67.53,65324.0,星期四,0.0,0.0138
2026-04-15,68.2,67.53,69.69,67.47,57660.0,星期三,0.0,-0.0098
2026-04-14,70.07,68.2,72.06,67.63,66353.0,星期二,0.0362,-0.0267
2026-04-13,65.61,67.62,68.0,65.61,60356.0,星期一,-0.0091,0.0306
2026-04-10,64.38,66.21,68.05,64.0,78995.0,星期五,-0.0063,0.0284
2026-04-09,61.97,64.79,64.92,61.81,68990.0,星期四,-0.0176,0.0455
2026-04-08,62.0,63.08,63.16,60.49,68527.0,星期三,0.0296,0.0174
2026-04-07,63.56,60.22,64.8,59.95,93819.0,星期二,0.1023,-0.0525
2026-04-03,55.14,57.66,58.98,54.71,55691.0,星期五,0.0047,0.0457
2026-04-02,56.98,54.88,57.0,54.3,30128.0,星期四,-0.0033,-0.0369
2026-04-01,57.51,57.17,57.97,56.28,37400.0,星期三,0.0396,-0.0059
2026-03-31,56.31,55.32,57.75,54.75,35101.0,星期二,-0.0032,-0.0176
2026-03-30,55.29,56.49,57.13,54.84,31907.0,星期一,-0.0195,0.0217
2026-03-27,55.46,56.39,57.8,54.88,29436.0,星期五,-0.0184,0.0168
2026-03-26,57.43,56.5,58.35,56.02,36340.0,星期四,-0.005,-0.0162
2026-03-25,58.18,57.72,59.06,57.0,39575.0,星期三,0.0171,-0.0079
2026-03-24,56.68,57.2,57.27,54.52,43981.0,星期二,0.0259,0.0092
2026-03-23,57.59,55.25,58.69,54.66,63412.0,星期一,-0.0313,-0.0406
2026-03-20,63.0,59.45,63.84,59.32,53690.0,星期五,0.0161,-0.0563
2026-03-19,63.8,62.0,64.75,61.52,54549.0,星期四,-0.027,-0.0282
2026-03-18,64.01,65.57,65.88,62.8,58650.0,星期三,0.0114,0.0244
2026-03-17,68.53,63.29,69.48,63.1,84731.0,星期二,-0.0051,-0.0765
2026-03-16,69.02,68.88,69.56,66.61,65313.0,星期一,-0.0083,-0.002
2026-03-13,71.0,69.6,72.42,69.0,70440.0,星期五,-0.0157,-0.0197
2026-03-12,74.09,72.13,76.18,70.88,98429.0,星期四,-0.0121,-0.0265
2026-03-11,66.87,75.0,75.76,66.18,151855.0,星期三,-0.0027,0.1216
2026-03-10,63.54,67.05,67.73,63.07,86615.0,星期二,0.0245,0.0552
2026-03-09,63.01,62.02,63.51,58.29,72150.0,星期一,-0.036,-0.0157
2026-03-06,64.56,65.36,67.8,62.25,66134.0,星期五,-0.002,0.0124
2026-03-05,66.42,64.69,67.0,63.6,56269.0,星期四,0.028,-0.026
2026-03-04,64.5,64.61,66.9,63.01,66441.0,星期三,-0.0031,0.0017
2026-03-03,70.01,64.7,70.66,64.47,86278.0,星期二,0.0001,-0.0758
2026-03-02,66.19,70.0,72.25,66.19,105769.0,星期一,-0.0149,0.0576
2026-02-27,68.49,67.19,68.98,66.02,92690.0,星期五,-0.0209,-0.019
2026-02-26,62.0,69.95,72.44,61.7,151992.0,星期四,-0.0096,0.1282
2026-02-25,61.41,62.6,62.88,60.09,50812.0,星期三,-0.0007,0.0194
2026-02-24,61.51,61.45,62.79,60.32,41360.0,星期二,0.0138,-0.001
2026-02-13,61.85,60.67,62.47,60.6,44484.0,星期五,-0.0072,-0.0191
2026-02-12,62.33,62.3,63.5,61.81,54334.0,星期四,0.0,-0.0005
2026-02-11,64.14,62.33,64.98,62.33,58098.0,星期三,0.0002,-0.0282
2026-02-10,62.68,64.13,66.01,62.54,79287.0,星期二,-0.0106,0.0231
2026-02-09,63.0,63.35,65.0,62.62,84805.0,星期一,0.0032,0.0056
2026-02-06,61.3,62.8,65.51,59.61,109816.0,星期五,0.0,0.0245
2026-02-05,61.4,61.3,64.3,59.39,125337.0,星期四,0.0102,-0.0016
2026-02-04,58.38,60.78,61.09,57.75,107214.0,星期三,-0.035,0.0411
