time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,18.5,18.05,18.77,17.73,77611.0,星期五,0.0054,-0.0243
2026-06-25,18.8,18.4,19.0,18.23,75174.0,星期四,0.0043,-0.0213
2026-06-24,19.67,18.72,19.84,18.62,72641.0,星期三,0.0077,-0.0483
2026-06-23,19.17,19.52,20.0,19.1,77556.0,星期二,-0.0098,0.0183
2026-06-22,20.01,19.36,20.47,18.78,96582.0,星期一,-0.0128,-0.0325
2026-06-18,19.39,20.27,20.6,19.18,81309.0,星期四,0.0005,0.0454
2026-06-17,19.8,19.38,20.14,19.32,59418.0,星期三,0.0041,-0.0212
2026-06-16,19.51,19.72,19.81,19.07,77604.0,星期二,-0.0122,0.0108
2026-06-15,18.76,19.75,20.4,18.75,107683.0,星期一,-0.0048,0.0528
2026-06-12,18.52,18.85,18.85,18.15,48036.0,星期五,0.0011,0.0178
2026-06-11,19.16,18.5,19.16,18.41,44797.0,星期四,0.0052,-0.0344
2026-06-10,18.7,19.06,19.09,18.32,57130.0,星期三,0.0,0.0193
2026-06-09,18.65,18.7,19.2,18.45,53095.0,星期二,0.0076,0.0027
2026-06-08,19.43,18.51,19.44,18.3,89583.0,星期一,-0.0102,-0.0473
2026-06-05,19.16,19.63,20.0,18.7,126473.0,星期五,0.0186,0.0245
2026-06-04,19.74,18.81,19.8,18.75,74778.0,星期四,-0.0035,-0.0471
2026-06-03,20.28,19.81,20.5,19.81,50848.0,星期三,-0.0005,-0.0232
2026-06-02,21.04,20.29,21.1,20.05,58638.0,星期二,-0.0033,-0.0356
2026-06-01,22.32,21.11,22.32,20.89,66386.0,星期一,-0.1181,-0.0542
2026-05-29,25.38,25.31,25.8,24.65,46636.0,星期五,0.0,-0.0028
2026-05-28,25.25,25.38,25.59,24.74,34293.0,星期四,-0.0055,0.0051
2026-05-27,25.13,25.39,26.18,24.89,51621.0,星期三,0.0032,0.0103
2026-05-26,25.64,25.05,25.8,25.0,49240.0,星期二,-0.0019,-0.023
2026-05-25,26.6,25.69,26.86,25.4,43200.0,星期一,-0.0004,-0.0342
2026-05-22,26.66,26.61,27.02,26.51,33766.0,星期五,0.0087,-0.0019
2026-05-21,26.48,26.43,27.75,26.36,50454.0,星期四,0.0008,-0.0019
2026-05-20,27.29,26.46,27.35,26.03,38716.0,星期三,0.0078,-0.0304
2026-05-19,26.5,27.08,27.4,26.27,37721.0,星期二,0.0084,0.0219
2026-05-18,26.93,26.28,27.12,25.98,45396.0,星期一,0.0011,-0.0241
2026-05-15,27.01,26.9,27.38,26.74,35915.0,星期五,0.0,-0.0041
2026-05-14,27.5,27.01,28.18,26.91,46972.0,星期四,0.0044,-0.0178
2026-05-13,27.6,27.38,27.6,27.18,30899.0,星期三,0.0047,-0.008
2026-05-12,28.12,27.47,28.15,27.32,47142.0,星期二,-0.005,-0.0231
2026-05-11,28.32,28.26,28.5,27.55,53578.0,星期一,0.0082,-0.0021
2026-05-08,27.79,28.09,28.5,27.29,35868.0,星期五,-0.0022,0.0108
2026-05-07,28.41,27.85,28.5,27.63,52458.0,星期四,-0.0011,-0.0197
2026-05-06,28.89,28.44,29.3,28.39,59885.0,星期三,0.0014,-0.0156
2026-04-30,28.71,28.85,29.2,28.48,28834.0,星期四,0.0021,0.0049
2026-04-29,28.82,28.65,29.15,28.58,30413.0,星期三,0.0028,-0.0059
2026-04-28,29.07,28.74,29.45,28.56,44326.0,星期二,-0.0024,-0.0114
2026-04-27,28.67,29.14,29.42,28.38,40795.0,星期一,0.0049,0.0164
2026-04-24,28.71,28.53,28.83,28.32,31915.0,星期五,-0.0021,-0.0063
2026-04-23,29.62,28.77,29.68,28.53,42068.0,星期四,-0.0013,-0.0287
2026-04-22,30.0,29.66,30.1,29.21,42990.0,星期三,0.0091,-0.0113
2026-04-21,29.2,29.73,29.83,29.2,36954.0,星期二,-0.0044,0.0182
2026-04-20,28.98,29.33,29.49,28.53,42538.0,星期一,0.001,0.0121
2026-04-17,29.1,28.95,29.28,28.5,46404.0,星期五,0.0028,-0.0052
2026-04-16,28.71,29.02,29.45,28.16,42368.0,星期四,-0.0003,0.0108
2026-04-15,28.05,28.72,28.92,28.05,51788.0,星期三,0.0043,0.0239
2026-04-14,27.67,27.93,28.1,27.4,35079.0,星期二,0.0065,0.0094
2026-04-13,27.45,27.49,27.99,27.34,30264.0,星期一,0.0007,0.0015
2026-04-10,27.4,27.43,27.71,27.17,33964.0,星期五,0.0,0.0011
2026-04-09,27.71,27.4,28.3,27.1,40856.0,星期四,-0.0089,-0.0112
2026-04-08,27.68,27.96,28.28,27.3,48825.0,星期三,0.0195,0.0101
2026-04-07,26.7,27.15,27.89,26.6,49246.0,星期二,0.0011,0.0169
2026-04-03,27.79,26.67,27.95,26.64,51319.0,星期五,-0.0061,-0.0403
2026-04-02,28.35,27.96,28.56,27.5,78146.0,星期四,-0.0091,-0.0138
2026-04-01,26.17,28.61,29.1,25.39,113618.0,星期三,0.0128,0.0932
2026-03-31,26.5,25.84,26.69,25.75,29249.0,星期二,0.0026,-0.0249
2026-03-30,25.41,26.43,27.14,25.41,62441.0,星期一,-0.0197,0.0401
2026-03-27,24.68,25.92,26.3,24.6,59847.0,星期五,-0.0084,0.0502
2026-03-26,25.48,24.89,25.76,24.8,30706.0,星期四,-0.0004,-0.0232
2026-03-25,25.77,25.49,25.95,25.16,43117.0,星期三,0.0062,-0.0109
2026-03-24,25.33,25.61,25.75,24.9,36362.0,星期二,0.0169,0.0111
2026-03-23,26.3,24.91,26.3,24.62,54997.0,星期一,-0.0019,-0.0529
2026-03-20,26.8,26.35,26.98,26.32,26233.0,星期五,0.003,-0.0168
2026-03-19,27.13,26.72,27.41,26.54,33542.0,星期四,-0.0099,-0.0151
2026-03-18,27.47,27.4,27.51,27.14,20961.0,星期三,0.0,-0.0025
2026-03-17,27.81,27.47,28.14,27.2,48797.0,星期二,0.0,-0.0122
2026-03-16,29.18,27.81,29.18,27.4,68311.0,星期一,0.0052,-0.0469
2026-03-13,28.71,29.03,29.56,28.56,44684.0,星期五,-0.0031,0.0111
2026-03-12,29.39,28.8,29.79,28.75,42870.0,星期四,-0.0003,-0.0201
2026-03-11,29.66,29.4,29.71,29.29,17435.0,星期三,0.002,-0.0088
2026-03-10,29.78,29.6,29.94,29.44,21944.0,星期二,0.0119,-0.006
2026-03-09,29.28,29.43,29.6,28.51,29737.0,星期一,-0.0081,0.0051
2026-03-06,28.8,29.52,29.8,28.8,24984.0,星期五,-0.0038,0.025
2026-03-05,29.16,28.91,29.41,28.51,28066.0,星期四,0.0146,-0.0086
2026-03-04,29.47,28.74,29.61,28.5,45146.0,星期三,-0.0003,-0.0248
2026-03-03,30.11,29.48,30.44,29.0,41816.0,星期二,0.0007,-0.0209
2026-03-02,31.11,30.09,31.11,29.93,47395.0,星期一,-0.0054,-0.0328
2026-02-27,31.72,31.28,31.86,31.22,30736.0,星期五,0.0,-0.0139
2026-02-26,32.56,31.72,32.59,31.68,34783.0,星期四,0.0099,-0.0258
2026-02-25,31.8,32.24,32.66,31.61,34623.0,星期三,0.0,0.0138
2026-02-24,32.3,31.8,32.55,31.66,29616.0,星期二,0.0119,-0.0155
2026-02-13,32.08,31.92,33.06,31.87,46163.0,星期五,-0.0028,-0.005
2026-02-12,32.24,32.17,32.55,31.94,28080.0,星期四,-0.0009,-0.0022
2026-02-11,32.11,32.27,32.39,31.9,24741.0,星期三,-0.0019,0.005
2026-02-10,32.21,32.17,32.87,31.87,38762.0,星期二,0.0012,-0.0012
2026-02-09,32.49,32.17,32.96,31.9,35891.0,星期一,0.0059,-0.0098
2026-02-06,32.88,32.3,33.24,32.24,37887.0,星期五,-0.0036,-0.0176
2026-02-05,32.0,33.0,33.46,31.6,67939.0,星期四,0.0047,0.0312
2026-02-04,31.58,31.85,31.95,30.83,40261.0,星期三,0.0038,0.0085
2026-02-03,31.55,31.46,31.85,30.64,51800.0,星期二,0.0016,-0.0029
2026-02-02,32.19,31.5,32.81,31.5,33544.0,星期一,0.0012,-0.0214
2026-01-30,32.62,32.15,33.0,32.03,33377.0,星期五,0.0,-0.0144
2026-01-29,33.3,32.62,33.85,31.83,58187.0,星期四,-0.006,-0.0204
2026-01-28,34.51,33.5,35.73,33.03,83514.0,星期三,0.0017,-0.0293
2026-01-27,33.31,34.45,34.69,33.28,112680.0,星期二,-0.0012,0.0342
2026-01-26,32.29,33.35,33.7,32.02,113592.0,星期一,0.0019,0.0328
2026-01-23,33.51,32.23,33.98,31.75,107500.0,星期五,0.0518,-0.0382
