time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,17.05,16.82,17.54,16.68,76814.0,星期五,-0.0064,-0.0135
2026-06-25,17.46,17.16,17.49,16.89,71715.0,星期四,0.0,-0.0172
2026-06-24,17.38,17.46,17.82,17.11,81092.0,星期三,-0.0114,0.0046
2026-06-23,17.38,17.58,18.11,17.21,122306.0,星期二,-0.0108,0.0115
2026-06-22,17.55,17.57,18.17,17.25,107388.0,星期一,-0.0239,0.0011
2026-06-18,18.24,17.98,18.58,17.62,169689.0,星期四,-0.0033,-0.0143
2026-06-17,16.19,18.3,18.96,16.01,276284.0,星期三,-0.0025,0.1303
2026-06-16,15.73,16.23,16.38,15.47,104391.0,星期二,-0.0063,0.0318
2026-06-15,15.23,15.83,16.15,15.2,116689.0,星期一,-0.0193,0.0394
2026-06-12,14.95,15.53,16.59,14.81,187494.0,星期五,0.0247,0.0388
2026-06-11,14.94,14.59,14.98,14.22,103156.0,星期四,-0.0099,-0.0234
2026-06-10,15.29,15.09,15.98,14.71,150282.0,星期三,-0.0192,-0.0131
2026-06-09,17.08,15.59,17.25,15.45,199981.0,星期二,0.0,-0.0872
2026-06-08,17.29,17.08,17.98,16.89,260289.0,星期一,0.0243,-0.0121
2026-06-05,15.96,16.88,17.77,15.96,360697.0,星期五,0.0755,0.0576
2026-06-04,13.83,14.84,14.86,13.8,108254.0,星期四,0.0022,0.073
2026-06-03,13.48,13.8,13.92,13.48,24425.0,星期三,-0.0037,0.0237
2026-06-02,13.81,13.53,13.96,13.53,20811.0,星期二,0.0,-0.0203
2026-06-01,13.4,13.81,13.9,13.28,29635.0,星期一,0.0075,0.0306
2026-05-29,13.81,13.3,13.81,13.24,28025.0,星期五,0.0095,-0.0369
2026-05-28,13.78,13.68,13.97,13.6,20788.0,星期四,-0.0051,-0.0073
2026-05-27,13.96,13.85,14.17,13.74,32172.0,星期三,0.0,-0.0079
2026-05-26,14.11,13.96,14.57,13.78,49889.0,星期二,0.0021,-0.0106
2026-05-25,14.18,14.08,14.33,13.93,22943.0,星期一,-0.0042,-0.0071
2026-05-22,14.05,14.24,14.3,13.85,22537.0,星期五,0.005,0.0135
2026-05-21,14.43,13.98,14.55,13.95,26820.0,星期四,0.0,-0.0312
2026-05-20,14.41,14.43,14.48,14.32,17096.0,星期三,-0.0048,0.0014
2026-05-19,14.2,14.48,14.51,14.16,25873.0,星期二,0.0007,0.0197
2026-05-18,14.23,14.19,14.32,14.11,30040.0,星期一,-0.0049,-0.0028
2026-05-15,14.45,14.3,14.55,14.2,34019.0,星期五,0.0,-0.0104
2026-05-14,14.8,14.45,14.89,14.45,33971.0,星期四,0.0,-0.0236
2026-05-13,14.79,14.8,14.95,14.72,26014.0,星期三,0.0007,0.0007
2026-05-12,14.92,14.78,15.08,14.76,31342.0,星期二,-0.004,-0.0094
2026-05-11,15.18,14.98,15.2,14.9,42633.0,星期一,0.002,-0.0132
2026-05-08,15.09,15.15,15.17,14.9,35828.0,星期五,-0.002,0.004
2026-05-07,15.24,15.12,15.34,15.09,36436.0,星期四,0.0007,-0.0079
2026-05-06,15.43,15.23,15.75,15.18,49627.0,星期三,0.0,-0.013
2026-04-30,15.28,15.43,15.56,15.28,25443.0,星期四,-0.0059,0.0098
2026-04-29,15.4,15.37,15.48,15.28,26018.0,星期三,0.002,-0.0019
2026-04-28,15.67,15.37,15.67,15.31,26963.0,星期二,0.0006,-0.0191
2026-04-27,15.55,15.66,15.85,15.5,27625.0,星期一,-0.0077,0.0071
2026-04-24,15.98,15.67,16.06,15.49,48997.0,星期五,0.0,-0.0194
2026-04-23,16.66,15.98,16.66,15.8,80739.0,星期四,-0.0177,-0.0408
2026-04-22,16.41,16.96,17.15,16.35,76542.0,星期三,-0.0126,0.0335
2026-04-21,15.9,16.62,16.63,15.9,68455.0,星期二,-0.0093,0.0453
2026-04-20,15.98,16.05,16.1,15.89,29089.0,星期一,0.0013,0.0044
2026-04-17,16.02,15.96,16.12,15.91,37479.0,星期五,-0.0006,-0.0037
2026-04-16,16.14,16.03,16.16,15.85,38818.0,星期四,-0.0006,-0.0068
2026-04-15,16.04,16.15,16.24,15.97,47027.0,星期三,0.005,0.0069
2026-04-14,16.05,15.96,16.18,15.85,33945.0,星期二,0.0038,-0.0056
2026-04-13,15.82,15.99,16.06,15.68,44400.0,星期一,-0.0013,0.0107
2026-04-10,15.33,15.84,16.2,15.33,55232.0,星期五,0.002,0.0333
2026-04-09,15.13,15.3,15.35,15.12,29480.0,星期四,-0.0085,0.0112
2026-04-08,14.9,15.26,15.35,14.86,31529.0,星期三,0.0157,0.0242
2026-04-07,14.39,14.67,14.7,14.39,19438.0,星期二,0.0014,0.0195
2026-04-03,14.6,14.37,14.79,14.28,19424.0,星期五,-0.0034,-0.0158
2026-04-02,14.78,14.65,14.96,14.55,21711.0,星期四,-0.0027,-0.0088
2026-04-01,14.66,14.82,14.91,14.66,20941.0,星期三,0.0131,0.0109
2026-03-31,14.61,14.47,14.74,14.43,19238.0,星期二,0.0,-0.0096
2026-03-30,14.38,14.61,14.61,14.26,18769.0,星期一,-0.0083,0.016
2026-03-27,14.2,14.5,14.55,14.15,19827.0,星期五,-0.0139,0.0211
2026-03-26,14.63,14.4,14.82,14.34,21691.0,星期四,-0.0061,-0.0157
2026-03-25,14.6,14.72,14.78,14.58,21400.0,星期三,0.0027,0.0082
2026-03-24,14.48,14.56,14.65,14.14,29774.0,星期二,0.0248,0.0055
2026-03-23,15.01,14.13,15.02,14.03,57745.0,星期一,-0.0105,-0.0586
2026-03-20,15.73,15.17,15.81,15.16,34601.0,星期五,0.009,-0.0356
2026-03-19,15.77,15.59,15.93,15.58,26488.0,星期四,-0.0119,-0.0114
2026-03-18,15.73,15.96,15.98,15.56,28758.0,星期三,0.0045,0.0146
2026-03-17,16.17,15.66,16.18,15.63,47946.0,星期二,0.0,-0.0315
2026-03-16,16.26,16.17,16.31,15.98,32754.0,星期一,0.0006,-0.0055
2026-03-13,16.58,16.25,16.58,16.21,40007.0,星期五,-0.0006,-0.0199
2026-03-12,16.81,16.59,16.9,16.51,40132.0,星期四,0.0,-0.0131
2026-03-11,16.8,16.81,16.95,16.71,37585.0,星期三,-0.003,0.0006
2026-03-10,16.78,16.85,16.88,16.59,55859.0,星期二,0.0151,0.0042
2026-03-09,16.62,16.53,16.69,16.26,70086.0,星期一,-0.0072,-0.0054
2026-03-06,15.72,16.74,16.8,15.72,101036.0,星期五,-0.0044,0.0649
2026-03-05,15.97,15.79,16.09,15.73,31256.0,星期四,0.0185,-0.0113
2026-03-04,15.8,15.68,15.96,15.62,38315.0,星期三,-0.005,-0.0076
2026-03-03,16.15,15.88,16.32,15.83,54889.0,星期二,-0.0037,-0.0167
2026-03-02,16.31,16.21,16.5,16.05,55237.0,星期一,-0.0151,-0.0061
2026-02-27,16.3,16.56,16.56,16.23,50406.0,星期五,-0.0037,0.016
2026-02-26,16.23,16.36,16.36,16.17,40842.0,星期四,-0.0006,0.008
2026-02-25,16.22,16.24,16.3,16.16,34840.0,星期三,-0.0006,0.0012
2026-02-24,16.08,16.23,16.25,16.0,34091.0,星期二,0.0082,0.0093
2026-02-13,15.95,15.95,16.18,15.89,35690.0,星期五,0.0044,0.0
2026-02-12,16.06,15.88,16.08,15.82,30348.0,星期四,0.0063,-0.0112
2026-02-11,16.06,15.96,16.14,15.95,29903.0,星期三,0.0,-0.0062
2026-02-10,16.15,16.06,16.25,16.05,33481.0,星期二,-0.0025,-0.0056
2026-02-09,15.97,16.19,16.21,15.9,54951.0,星期一,0.0076,0.0138
2026-02-06,15.55,15.85,15.96,15.48,54413.0,星期五,0.0,0.0193
2026-02-05,15.95,15.55,16.02,15.52,62698.0,星期四,-0.0037,-0.0251
2026-02-04,15.9,16.01,16.13,15.88,39815.0,星期三,-0.0038,0.0069
2026-02-03,15.94,15.96,16.02,15.78,57142.0,星期二,0.0095,0.0013
2026-02-02,15.82,15.79,16.07,15.75,59670.0,星期一,-0.0112,-0.0019
2026-01-30,16.4,16.0,16.43,15.77,118122.0,星期五,-0.015,-0.0244
2026-01-29,16.36,16.65,16.95,16.02,164659.0,星期四,-0.0061,0.0177
2026-01-28,16.47,16.46,17.15,16.16,173681.0,星期三,-0.0191,-0.0006
2026-01-27,17.22,16.79,17.5,16.35,210031.0,星期二,0.0669,-0.025
2026-01-26,17.5,16.14,17.58,15.89,269397.0,星期一,-0.0006,-0.0777
2026-01-23,16.21,17.51,18.25,16.21,286829.0,星期五,0.0,0.0802
2026-01-22,16.05,16.21,16.42,16.05,25525.0,星期四,-0.0031,0.01
2026-01-21,15.85,16.1,16.11,15.8,24320.0,星期三,-0.0075,0.0158
2026-01-20,15.92,15.97,16.05,15.83,27796.0,星期二,-0.0019,0.0031
2026-01-19,15.71,15.95,15.98,15.69,27234.0,星期一,-0.0019,0.0153
2026-01-16,15.65,15.74,15.78,15.57,23711.0,星期五,0.0058,0.0058
2026-01-15,15.5,15.56,15.69,15.45,26596.0,星期四,-0.0064,0.0039
2026-01-14,15.64,15.6,15.85,15.4,42409.0,星期三,-0.0057,-0.0026
2026-01-13,15.89,15.73,16.01,15.68,44907.0,星期二,0.0115,-0.0101
2026-01-12,15.6,15.71,15.71,15.46,30747.0,星期一,0.0065,0.0071
2026-01-09,15.49,15.5,15.57,15.38,25493.0,星期五,0.0039,0.0006
2026-01-08,15.3,15.43,15.46,15.3,20450.0,星期四,-0.0013,0.0085
2026-01-07,15.4,15.32,15.49,15.28,25857.0,星期三,0.0039,-0.0052
2026-01-06,15.38,15.34,15.38,15.22,21799.0,星期二,0.0039,-0.0026
2026-01-05,15.15,15.32,15.38,15.15,23023.0,星期一,0.0007,0.0112
2025-12-31,15.13,15.14,15.22,15.05,14984.0,星期三,-0.002,0.0007
2025-12-30,15.25,15.16,15.25,15.1,15848.0,星期二,0.0073,-0.0059
2025-12-29,15.17,15.14,15.25,15.1,12273.0,星期一,-0.002,-0.002
2025-12-26,15.32,15.2,15.38,15.12,16818.0,星期五,0.0,-0.0078
2025-12-25,15.34,15.32,15.36,15.22,14769.0,星期四,0.0046,-0.0013
2025-12-24,15.14,15.27,15.36,15.06,15706.0,星期三,0.0046,0.0086
2025-12-23,15.22,15.07,15.24,15.07,13513.0,星期二,0.002,-0.0099
2025-12-22,15.26,15.19,15.32,15.14,17782.0,星期一,0.0073,-0.0046
2025-12-19,15.16,15.15,15.25,15.05,13240.0,星期五,0.008,-0.0007
2025-12-18,14.8,15.04,15.14,14.8,13806.0,星期四,-0.0054,0.0162
2025-12-17,14.91,14.88,15.02,14.67,19418.0,星期三,0.004,-0.002
2025-12-16,15.08,14.85,15.09,14.83,25737.0,星期二,-0.0007,-0.0153
2025-12-15,15.21,15.09,15.37,15.06,19544.0,星期一,-0.0046,-0.0079
2025-12-12,15.27,15.28,15.5,15.08,33976.0,星期五,0.018,0.0007
2025-12-11,15.27,15.0,15.33,14.97,23000.0,星期四,0.0033,-0.0177
2025-12-10,15.4,15.22,15.49,15.17,14425.0,星期三,-0.0026,-0.0117
2025-12-09,15.64,15.44,15.7,15.42,13473.0,星期二,0.0019,-0.0128
2025-12-08,15.55,15.61,15.77,15.48,21031.0,星期一,-0.0032,0.0039
2025-12-05,15.43,15.6,15.6,15.35,13660.0,星期五,0.0026,0.011
2025-12-04,15.55,15.39,15.59,15.33,13894.0,星期四,-0.0045,-0.0103
2025-12-03,15.6,15.62,15.62,15.4,18037.0,星期三,0.0006,0.0013
2025-12-02,15.71,15.59,15.71,15.46,18744.0,星期二,0.0026,-0.0076
2025-12-01,15.42,15.67,15.98,15.37,38033.0,星期一,-0.0032,0.0162
2025-11-28,15.2,15.47,15.53,15.14,26602.0,星期五,-0.0033,0.0178
