time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,656.0,679.6,690.5,650.0,247580.0,星期五,-0.0314,0.036
2026-06-25,655.0,677.3,688.8,640.0,269707.0,星期四,0.0565,0.034
2026-06-24,581.56,619.98,619.99,579.0,205104.0,星期三,-0.0242,0.0661
2026-06-23,610.0,596.01,639.83,590.1,218251.0,星期二,-0.01,-0.0229
2026-06-22,590.0,616.16,617.0,583.17,235979.0,星期一,0.0211,0.0443
2026-06-18,563.3,577.79,598.38,560.0,234411.0,星期四,-0.0147,0.0257
2026-06-17,525.07,571.68,586.66,520.53,259485.0,星期三,-0.0281,0.0888
2026-06-16,536.04,540.23,548.25,524.0,165428.0,星期二,0.0129,0.0078
2026-06-15,529.03,529.23,532.0,501.28,162391.0,星期一,0.0275,0.0004
2026-06-12,545.0,514.89,552.56,514.89,227529.0,星期五,0.0587,-0.0552
2026-06-11,506.99,514.8,517.88,498.0,111786.0,星期四,-0.0,0.0154
2026-06-10,506.88,507.0,523.58,500.05,106836.0,星期三,-0.0151,0.0002
2026-06-09,500.03,514.65,517.7,497.0,121553.0,星期二,0.0309,0.0292
2026-06-08,470.0,485.06,496.44,470.0,140413.0,星期一,-0.0962,0.032
2026-06-05,540.01,520.01,545.1,520.0,213781.0,星期五,-0.0501,-0.037
2026-06-04,528.0,568.48,580.0,525.0,241807.0,星期四,-0.0085,0.0767
2026-06-03,518.79,532.51,555.95,517.72,187728.0,星期三,-0.0014,0.0264
2026-06-02,505.83,519.5,529.66,495.71,158027.0,星期二,0.0001,0.027
2026-06-01,562.31,505.8,563.79,504.0,175347.0,星期一,0.02,-0.1005
2026-05-29,554.7,551.29,573.42,531.5,176777.0,星期五,0.0122,-0.0061
2026-05-28,541.0,548.01,563.0,532.09,150232.0,星期四,-0.0192,0.013
2026-05-27,565.16,551.59,585.99,546.0,252004.0,星期三,0.0486,-0.024
2026-05-26,557.2,538.95,557.94,527.01,171888.0,星期二,-0.0147,-0.0328
2026-05-25,547.0,565.5,566.66,538.51,182409.0,星期一,-0.0045,0.0338
2026-05-22,551.0,549.5,565.0,536.8,156033.0,星期五,0.0223,-0.0027
