time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,55.7,54.7,56.99,53.41,134374.0,星期五,0.0,-0.018
2026-06-25,57.16,55.7,57.9,53.9,227025.0,星期四,0.0613,-0.0255
2026-06-24,46.92,53.86,53.86,45.94,171234.0,星期三,0.0455,0.1479
2026-06-23,45.71,44.88,45.98,43.8,106290.0,星期二,0.0135,-0.0182
2026-06-22,48.45,45.1,49.98,44.59,186868.0,星期一,0.0364,-0.0691
2026-06-18,39.0,46.75,46.75,38.98,223204.0,星期四,0.001,0.1987
2026-06-17,36.6,38.96,39.99,36.0,188975.0,星期三,-0.0113,0.0645
2026-06-16,31.1,37.02,37.31,30.62,199728.0,星期二,0.0003,0.1904
2026-06-15,30.8,31.09,32.06,30.8,36782.0,星期一,0.0115,0.0094
2026-06-12,31.33,30.45,31.57,30.3,32843.0,星期五,0.012,-0.0281
2026-06-11,30.83,30.96,31.18,29.97,36563.0,星期四,0.0,0.0042
2026-06-10,31.3,30.83,32.5,30.63,43547.0,星期三,-0.0157,-0.015
2026-06-09,32.45,31.8,32.54,30.94,62391.0,星期二,0.009,-0.02
2026-06-08,32.3,32.16,34.3,32.06,53197.0,星期一,-0.0309,-0.0043
2026-06-05,33.39,33.33,33.9,32.23,57778.0,星期五,-0.0009,-0.0018
2026-06-04,32.82,33.42,33.8,32.51,53114.0,星期四,-0.0159,0.0183
2026-06-03,33.51,33.35,34.65,32.7,84809.0,星期三,-0.0077,-0.0048
2026-06-02,32.42,33.77,34.37,32.41,77087.0,星期二,-0.0098,0.0416
2026-06-01,33.62,32.74,34.25,32.46,90497.0,星期一,-0.0006,-0.0262
2026-05-29,32.2,33.64,34.94,31.31,145868.0,星期五,-0.0019,0.0447
2026-05-28,29.63,32.26,32.49,29.63,128361.0,星期四,0.0024,0.0888
2026-05-27,28.2,29.56,30.36,27.88,84545.0,星期三,-0.0042,0.0482
2026-05-26,28.51,28.32,28.71,27.43,61296.0,星期二,-0.0007,-0.0067
2026-05-25,29.05,28.53,29.29,27.95,50353.0,星期一,0.0,-0.0179
2026-05-22,28.55,29.05,29.2,28.5,50552.0,星期五,0.0,0.0175
2026-05-21,29.85,28.55,30.17,28.44,85163.0,星期四,-0.0063,-0.0436
2026-05-20,31.06,30.04,31.18,29.28,87510.0,星期三,-0.0016,-0.0328
2026-05-19,30.95,31.11,31.68,30.81,70081.0,星期二,-0.2875,0.0052
2026-05-18,43.3,43.44,44.09,41.66,49630.0,星期一,-0.0146,0.0032
2026-05-15,43.26,43.94,44.48,42.85,79568.0,星期五,0.0107,0.0157
2026-05-14,42.77,42.8,44.44,42.5,114224.0,星期四,-0.0489,0.0007
2026-05-13,45.12,44.97,46.0,42.35,187051.0,星期三,-0.1156,-0.0033
2026-05-12,64.23,51.02,65.03,51.02,76663.0,星期二,0.0071,-0.2057
2026-05-11,64.0,63.78,64.8,62.88,52433.0,星期一,0.0074,-0.0034
2026-05-08,64.01,63.53,65.0,62.76,48355.0,星期五,0.0,-0.0075
2026-05-07,63.66,64.01,64.89,62.7,46095.0,星期四,-0.0014,0.0055
2026-05-06,65.35,63.75,66.5,62.85,55479.0,星期三,-0.0195,-0.0245
2026-04-30,60.29,66.65,67.3,60.29,75820.0,星期四,-0.0181,0.1055
2026-04-29,60.32,61.4,62.66,59.38,60590.0,星期三,-0.0098,0.0179
2026-04-28,61.7,60.92,61.95,59.47,47492.0,星期二,-0.0003,-0.0126
2026-04-27,61.01,61.72,62.97,60.0,40793.0,星期一,-0.0158,0.0116
2026-04-24,63.77,61.99,64.0,61.7,37066.0,星期五,0.0049,-0.0279
2026-04-23,65.74,63.46,66.01,61.77,68808.0,星期四,0.0003,-0.0347
2026-04-22,60.81,65.72,66.5,59.31,67379.0,星期三,-0.0096,0.0807
2026-04-21,62.83,61.4,63.21,59.18,78646.0,星期二,-0.0011,-0.0228
2026-04-20,58.0,62.9,63.66,56.1,83163.0,星期一,0.026,0.0845
2026-04-17,54.3,56.53,57.55,52.0,80473.0,星期五,-0.0055,0.0411
2026-04-16,56.0,54.6,56.95,54.26,89985.0,星期四,-0.0048,-0.025
2026-04-15,57.05,56.27,57.5,52.34,100797.0,星期三,0.0178,-0.0137
2026-04-14,51.4,56.05,56.27,50.6,67869.0,星期二,0.015,0.0905
2026-04-13,49.11,50.64,50.89,47.29,89557.0,星期一,0.0361,0.0312
2026-04-10,43.38,47.4,47.49,43.12,65557.0,星期五,0.0,0.0927
2026-04-09,41.79,43.38,43.5,41.51,58079.0,星期四,-0.0142,0.038
2026-04-08,40.5,42.39,42.58,39.75,61057.0,星期三,0.005,0.0467
2026-04-07,39.9,40.3,40.39,39.14,22578.0,星期二,-0.0005,0.01
2026-04-03,41.06,39.92,41.09,39.24,15639.0,星期五,0.0201,-0.0278
2026-04-02,40.41,40.25,40.98,39.59,33363.0,星期四,0.0007,-0.004
2026-04-01,40.39,40.38,40.5,38.9,46689.0,星期三,0.0005,-0.0002
2026-03-31,38.2,40.37,40.37,37.83,43058.0,星期二,0.005,0.0568
2026-03-30,36.24,38.01,38.1,36.02,17583.0,星期一,-0.0019,0.0488
2026-03-27,35.67,36.31,36.63,35.67,8736.0,星期五,-0.0209,0.0179
2026-03-26,36.01,36.43,37.37,36.01,12042.0,星期四,-0.005,0.0117
2026-03-25,35.97,36.19,36.73,35.87,14229.0,星期三,0.0033,0.0061
2026-03-24,35.43,35.85,35.93,33.81,17702.0,星期二,0.0025,0.0119
2026-03-23,35.47,35.34,35.93,34.35,14021.0,星期一,-0.007,-0.0037
2026-03-20,37.2,35.72,37.62,35.66,10394.0,星期五,0.0005,-0.0398
2026-03-19,37.79,37.18,38.02,36.95,6165.0,星期四,-0.0087,-0.0161
2026-03-18,37.62,38.12,38.25,37.6,6175.0,星期三,-0.0008,0.0133
