time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,110.36,104.58,110.89,103.88,43183.0,星期五,-0.0049,-0.0524
2026-06-25,112.1,110.9,118.5,109.19,55186.0,星期四,-0.0081,-0.0107
2026-06-24,108.07,113.02,115.59,106.11,56896.0,星期三,0.01,0.0458
2026-06-23,110.02,107.0,111.85,104.81,45790.0,星期二,0.0001,-0.0274
2026-06-22,112.79,110.01,113.0,105.55,56742.0,星期一,-0.0019,-0.0246
2026-06-18,110.31,113.0,113.62,107.66,68000.0,星期四,-0.0062,0.0244
2026-06-17,106.0,111.0,113.67,104.78,91342.0,星期三,-0.0086,0.0472
2026-06-16,92.61,106.92,109.0,91.51,118073.0,星期二,0.0135,0.1545
2026-06-15,79.68,91.38,93.7,79.4,91560.0,星期一,0.0157,0.1468
2026-06-12,84.5,78.45,85.5,77.62,45960.0,星期五,0.0279,-0.0716
2026-06-11,84.17,82.21,86.58,81.23,31880.0,星期四,-0.0132,-0.0233
2026-06-10,85.91,85.3,86.22,83.01,40031.0,星期三,-0.0173,-0.0071
2026-06-09,84.0,87.42,88.24,81.3,57705.0,星期二,0.012,0.0407
2026-06-08,80.0,83.0,83.71,79.8,53119.0,星期一,-0.0754,0.0375
2026-06-05,88.14,86.52,89.93,85.88,71337.0,星期五,-0.0506,-0.0184
2026-06-04,89.07,92.84,94.88,88.86,63672.0,星期四,-0.0222,0.0423
2026-06-03,96.5,91.09,97.92,89.0,100564.0,星期三,-0.2749,-0.0561
2026-06-02,118.6,133.08,135.0,118.2,75300.0,星期二,0.0132,0.1221
2026-06-01,125.69,117.05,128.99,116.88,46392.0,星期一,0.0009,-0.0687
2026-05-29,135.7,125.58,142.85,122.2,76137.0,星期五,0.0038,-0.0746
2026-05-28,134.0,135.18,136.66,132.29,50926.0,星期四,-0.0105,0.0088
2026-05-27,143.06,135.42,146.0,131.41,67353.0,星期三,-0.01,-0.0534
2026-05-26,148.0,144.5,153.9,136.18,92416.0,星期二,-0.0067,-0.0236
2026-05-25,144.0,149.0,150.99,138.96,103827.0,星期一,0.0573,0.0347
2026-05-22,115.5,136.2,136.2,114.98,110270.0,星期五,0.0176,0.1792
2026-05-21,124.0,113.5,125.0,112.0,53928.0,星期四,-0.0015,-0.0847
2026-05-20,116.6,124.19,124.87,114.32,52935.0,星期三,-0.0088,0.0651
2026-05-19,117.02,117.64,119.65,113.16,36202.0,星期二,-0.0133,0.0053
2026-05-18,116.98,118.6,122.98,115.83,39145.0,星期一,-0.0086,0.0138
2026-05-15,120.55,118.0,125.8,115.74,51930.0,星期五,-0.0056,-0.0212
2026-05-14,128.01,121.23,134.49,121.08,72043.0,星期四,-0.0109,-0.053
2026-05-13,120.43,129.42,129.8,120.43,73339.0,星期三,-0.0117,0.0746
2026-05-12,126.2,121.85,129.99,120.15,61246.0,星期二,-0.0048,-0.0345
2026-05-11,127.48,126.81,128.99,120.88,83731.0,星期一,0.0017,-0.0053
2026-05-08,116.0,127.26,128.74,113.2,98569.0,星期五,-0.0453,0.0971
2026-05-07,117.48,121.5,121.88,114.17,81187.0,星期四,0.0084,0.0342
2026-05-06,115.61,116.5,117.88,113.08,63996.0,星期三,0.0046,0.0077
2026-04-30,111.93,115.08,118.63,111.01,59254.0,星期四,0.0008,0.0281
2026-04-29,110.88,111.84,119.8,110.0,54016.0,星期三,-0.0333,0.0087
2026-04-28,113.1,114.7,118.49,109.6,58369.0,星期二,-0.0177,0.0141
2026-04-27,114.0,115.14,117.0,112.0,49401.0,星期一,0.0037,0.01
2026-04-24,117.39,113.58,122.57,112.58,51388.0,星期五,0.0032,-0.0325
2026-04-23,123.55,117.01,124.77,115.28,88077.0,星期四,-0.0135,-0.0529
2026-04-22,117.8,125.24,131.4,116.18,96491.0,星期三,-0.007,0.0632
2026-04-21,115.37,118.63,119.35,114.12,63375.0,星期二,-0.015,0.0283
2026-04-20,118.47,117.13,120.0,115.5,76164.0,星期一,-0.0193,-0.0113
2026-04-17,121.69,120.8,124.78,115.61,96645.0,星期五,0.0045,-0.0073
2026-04-16,121.11,121.15,122.8,117.8,61682.0,星期四,0.0002,0.0003
2026-04-15,123.04,121.08,127.13,120.25,60304.0,星期三,0.0028,-0.0159
2026-04-14,123.71,122.7,127.71,121.65,81389.0,星期二,0.0079,-0.0082
2026-04-13,116.08,122.74,129.79,116.08,114063.0,星期一,0.0181,0.0574
2026-04-10,117.44,114.02,118.78,113.01,86019.0,星期五,-0.0026,-0.0291
2026-04-09,117.85,117.75,121.27,114.65,99980.0,星期四,-0.0224,-0.0008
2026-04-08,122.06,120.55,123.29,116.8,122609.0,星期三,0.0321,-0.0124
2026-04-07,116.92,118.26,129.8,115.5,128815.0,星期二,0.0201,0.0115
2026-04-03,105.81,114.62,117.5,103.55,127585.0,星期五,0.0242,0.0833
2026-04-02,102.1,103.31,106.29,99.66,112180.0,星期四,-0.0107,0.0119
2026-04-01,89.93,103.2,103.2,88.89,109256.0,星期三,0.0457,0.1476
2026-03-31,89.52,86.0,89.99,84.71,56173.0,星期二,-0.0314,-0.0393
2026-03-30,91.15,92.42,93.96,90.91,48192.0,星期一,-0.0223,0.0139
2026-03-27,94.02,93.23,95.87,89.06,71617.0,星期五,-0.0139,-0.0084
2026-03-26,87.17,95.35,100.87,85.0,115013.0,星期四,-0.0043,0.0938
2026-03-25,87.05,87.55,91.88,85.3,75533.0,星期三,0.0506,0.0057
2026-03-24,81.19,82.86,85.49,79.88,64684.0,星期二,0.0353,0.0206
2026-03-23,81.07,78.42,83.0,78.1,64625.0,星期一,-0.0387,-0.0327
2026-03-20,80.37,84.33,92.32,80.37,103763.0,星期五,0.0349,0.0493
2026-03-19,76.54,77.66,81.41,76.5,39799.0,星期四,-0.0134,0.0146
2026-03-18,76.39,77.58,78.65,76.0,31013.0,星期三,0.0119,0.0156
2026-03-17,81.29,75.49,81.29,75.02,43026.0,星期二,-0.0036,-0.0713
2026-03-16,80.0,81.58,82.22,77.33,37831.0,星期一,-0.0014,0.0197
2026-03-13,82.64,80.11,84.38,80.1,46580.0,星期五,-0.0213,-0.0306
2026-03-12,87.63,84.44,87.65,83.5,43516.0,星期四,0.0147,-0.0364
2026-03-11,89.92,86.36,94.99,86.33,80568.0,星期三,0.0001,-0.0396
2026-03-10,88.7,89.91,92.56,86.72,71300.0,星期二,0.0136,0.0136
2026-03-09,85.01,87.51,90.87,78.5,85274.0,星期一,-0.0607,0.0294
2026-03-06,84.27,90.5,93.99,81.08,94498.0,星期五,-0.0356,0.0739
2026-03-05,88.01,87.38,91.0,82.51,77131.0,星期四,0.0415,-0.0072
2026-03-04,86.36,84.5,88.2,83.5,44595.0,星期三,-0.0005,-0.0215
2026-03-03,90.0,86.4,93.54,85.8,76810.0,星期二,0.0173,-0.04
2026-03-02,92.57,88.47,95.65,87.9,69061.0,星期一,0.0157,-0.0443
2026-02-27,86.01,91.14,91.9,82.08,111621.0,星期五,-0.0275,0.0596
2026-02-26,80.81,88.44,91.28,78.25,139164.0,星期四,0.0573,0.0944
2026-02-25,76.09,76.43,76.87,72.81,53448.0,星期三,0.0,0.0045
2026-02-24,76.46,76.09,78.25,75.8,42676.0,星期二,0.0087,-0.0048
2026-02-13,77.92,75.8,78.57,75.61,52808.0,星期五,-0.0201,-0.0272
2026-02-12,78.61,79.52,82.82,77.83,76564.0,星期四,0.0065,0.0116
2026-02-11,79.57,78.1,80.18,76.5,77018.0,星期三,-0.0177,-0.0185
2026-02-10,84.0,81.0,85.95,81.0,100002.0,星期二,-0.017,-0.0357
2026-02-09,85.01,85.45,88.88,82.51,145737.0,星期一,0.0583,0.0052
2026-02-06,65.75,80.33,80.33,65.75,99856.0,星期五,-0.0178,0.2217
2026-02-05,69.05,66.94,69.6,66.0,46773.0,星期四,-0.0233,-0.0306
2026-02-04,69.65,70.7,73.79,68.68,59248.0,星期三,0.0006,0.0151
2026-02-03,68.6,69.61,70.27,68.0,47642.0,星期二,0.0201,0.0147
2026-02-02,67.97,67.25,72.05,67.08,56695.0,星期一,-0.0092,-0.0106
2026-01-30,67.73,68.6,69.96,65.75,62537.0,星期五,0.0012,0.0128
2026-01-29,69.6,67.65,73.57,67.34,74945.0,星期四,-0.0181,-0.028
2026-01-28,76.16,70.88,76.98,70.01,83607.0,星期三,0.0054,-0.0693
2026-01-27,71.33,75.75,76.99,70.2,110653.0,星期二,-0.0229,0.062
2026-01-26,64.15,73.0,74.2,64.15,136334.0,星期一,0.0345,0.138
2026-01-23,59.39,62.01,63.0,59.18,77957.0,星期五,0.0034,0.0441
2026-01-22,57.2,59.19,62.7,57.11,68152.0,星期四,-0.0069,0.0348
2026-01-21,55.02,57.6,58.38,54.61,67031.0,星期三,-0.0173,0.0469
2026-01-20,54.4,55.99,57.68,54.4,81501.0,星期二,0.0052,0.0292
2026-01-19,53.85,54.12,54.6,52.9,36974.0,星期一,-0.0035,0.005
2026-01-16,54.4,54.04,54.64,52.88,43168.0,星期五,0.0157,-0.0066
2026-01-15,52.97,53.56,54.75,52.89,41295.0,星期四,-0.0211,0.0111
2026-01-14,50.6,54.11,54.88,50.38,76670.0,星期三,0.0044,0.0694
2026-01-13,52.28,50.38,52.46,50.14,32184.0,星期二,0.001,-0.0363
2026-01-12,52.48,52.23,52.48,50.81,35893.0,星期一,0.0054,-0.0048
2026-01-09,51.99,52.2,52.22,51.4,31584.0,星期五,0.0,0.004
2026-01-08,51.21,51.99,53.0,51.2,34972.0,星期四,-0.0095,0.0152
2026-01-07,51.5,51.7,52.34,51.02,27423.0,星期三,0.001,0.0039
2026-01-06,51.98,51.45,52.35,50.9,26913.0,星期二,0.0017,-0.0102
2026-01-05,50.2,51.89,52.37,49.75,34844.0,星期一,0.0046,0.0337
2025-12-31,49.99,49.97,50.84,49.66,17749.0,星期三,0.0026,-0.0004
2025-12-30,49.73,49.86,50.33,49.41,14300.0,星期二,-0.0054,0.0026
2025-12-29,50.67,50.0,50.67,49.65,14584.0,星期一,0.006,-0.0132
2025-12-26,51.5,50.37,51.7,50.01,24947.0,星期五,-0.0041,-0.0219
2025-12-25,50.8,51.71,51.88,50.66,33124.0,星期四,0.0034,0.0179
2025-12-24,48.71,50.63,50.88,48.71,27809.0,星期三,-0.0081,0.0394
2025-12-23,48.2,49.11,49.47,48.2,17670.0,星期二,-0.0062,0.0189
2025-12-22,46.77,48.5,49.26,46.77,21899.0,星期一,0.0019,0.037
2025-12-19,46.77,46.68,47.29,46.58,12494.0,星期五,0.0026,-0.0019
2025-12-18,46.3,46.65,47.53,46.0,14143.0,星期四,-0.0073,0.0076
2025-12-17,46.29,46.64,46.8,44.9,17328.0,星期三,0.0,0.0076
2025-12-16,47.2,46.29,47.48,45.95,17492.0,星期二,-0.0006,-0.0193
2025-12-15,48.1,47.23,48.15,47.21,16496.0,星期一,-0.0095,-0.0181
2025-12-12,48.18,48.56,48.96,47.42,18057.0,星期五,0.0004,0.0079
2025-12-11,48.85,48.16,49.6,47.8,29093.0,星期四,-0.029,-0.0141
2025-12-10,50.46,50.31,50.77,49.73,18666.0,星期三,-0.0016,-0.003
2025-12-09,51.16,50.54,51.49,50.43,25882.0,星期二,-0.0031,-0.0121
2025-12-08,48.8,51.32,52.5,48.59,49177.0,星期一,-0.0004,0.0516
2025-12-05,47.7,48.82,49.63,47.18,19379.0,星期五,0.0017,0.0235
2025-12-04,48.01,47.62,48.22,46.92,13706.0,星期四,0.0013,-0.0081
2025-12-03,48.53,47.95,49.05,47.76,21408.0,星期三,-0.0059,-0.012
2025-12-02,49.59,48.82,50.1,48.71,24065.0,星期二,0.0004,-0.0155
2025-12-01,48.98,49.57,50.6,48.14,42102.0,星期一,-0.0043,0.012
2025-11-28,47.71,49.19,50.35,47.22,43395.0,星期五,-0.0048,0.031
2025-11-27,48.45,47.94,49.4,47.81,41505.0,星期四,0.0,-0.0105
2025-11-26,45.24,48.45,48.85,45.11,53477.0,星期三,-0.0059,0.071
2025-11-25,45.01,45.51,46.48,45.01,17439.0,星期二,0.0054,0.0111
2025-11-24,43.65,44.77,44.95,43.46,12842.0,星期一,0.0058,0.0257
2025-11-21,44.51,43.4,44.65,43.0,16788.0,星期五,-0.0078,-0.0249
2025-11-20,44.5,44.86,45.23,44.04,11670.0,星期四,0.0009,0.0081
2025-11-19,45.26,44.46,45.6,44.28,11393.0,星期三,-0.0029,-0.0177
2025-11-18,45.4,45.39,45.75,45.18,8652.0,星期二,-0.0044,-0.0002
2025-11-17,45.53,45.6,45.73,45.13,10172.0,星期一,0.0084,0.0015
2025-11-14,45.7,45.15,45.96,44.9,15605.0,星期五,-0.008,-0.012
2025-11-13,46.47,46.07,46.88,45.99,14059.0,星期四,-0.0009,-0.0086
2025-11-12,46.31,46.51,46.96,45.6,16281.0,星期三,-0.0043,0.0043
2025-11-11,47.16,46.51,47.76,46.48,12496.0,星期二,-0.0021,-0.0138
2025-11-10,47.7,47.26,48.18,46.96,15566.0,星期一,-0.0025,-0.0092
2025-11-07,48.89,47.82,48.89,47.65,13199.0,星期五,0.0014,-0.0219
2025-11-06,48.62,48.82,49.09,48.36,12587.0,星期四,0.0023,0.0041
2025-11-05,48.21,48.51,49.49,48.0,13471.0,星期三,-0.0143,0.0062
2025-11-04,49.93,48.91,50.11,48.57,13990.0,星期二,0.0,-0.0204
2025-11-03,50.0,49.93,50.39,49.3,13940.0,星期一,-0.0036,-0.0014
2025-10-31,49.59,50.18,50.74,49.59,15481.0,星期五,-0.0038,0.0119
2025-10-30,51.57,49.78,51.57,49.74,30812.0,星期四,-0.01,-0.0347
2025-10-29,50.78,52.09,52.17,50.3,33706.0,星期三,0.0097,0.0258
2025-10-28,50.65,50.29,51.03,50.1,18174.0,星期二,-0.0006,-0.0071
2025-10-27,51.1,50.68,51.5,50.15,25847.0,星期一,0.0107,-0.0082
2025-10-24,48.96,50.56,50.66,48.82,26968.0,星期五,0.0097,0.0327
2025-10-23,48.3,48.49,48.8,47.8,15295.0,星期四,-0.0102,0.0039
2025-10-22,48.27,48.8,49.49,48.15,16572.0,星期三,-0.0082,0.011
2025-10-21,47.94,48.67,48.88,47.34,19651.0,星期二,0.0071,0.0152
2025-10-20,46.51,47.6,47.88,46.41,20424.0,星期一,0.0155,0.0234
2025-10-17,47.56,45.8,47.7,45.8,17272.0,星期五,-0.0013,-0.037
2025-10-16,48.51,47.62,48.79,47.38,16510.0,星期四,-0.0076,-0.0183
2025-10-15,48.46,48.88,48.88,47.6,16079.0,星期三,0.009,0.0087
2025-10-14,50.05,48.03,50.81,47.9,23673.0,星期二,0.004,-0.0404
2025-10-13,46.62,49.85,50.0,46.62,21925.0,星期一,-0.0805,0.0693
2025-10-10,52.53,50.7,53.25,50.6,27926.0,星期五,-0.007,-0.0348
2025-10-09,53.49,52.9,54.12,52.8,31783.0,星期四,0.0181,-0.011
2025-09-30,51.88,52.54,53.88,51.88,24801.0,星期二,-0.0021,0.0127
2025-09-29,51.49,51.99,52.25,51.02,18062.0,星期一,-0.0033,0.0097
2025-09-26,53.01,51.66,53.68,51.39,27945.0,星期五,-0.0043,-0.0255
2025-09-25,53.2,53.24,54.36,53.0,25807.0,星期四,-0.0093,0.0008
2025-09-24,52.52,53.7,53.88,52.3,33661.0,星期三,-0.0157,0.0225
2025-09-23,55.65,53.36,56.76,51.9,45610.0,星期二,0.0036,-0.0412
2025-09-22,54.4,55.45,55.96,54.4,32829.0,星期一,0.0009,0.0193
2025-09-19,56.3,54.35,56.6,54.18,41972.0,星期五,0.0073,-0.0346
2025-09-18,57.0,55.89,58.35,54.91,65346.0,星期四,-0.0054,-0.0195
2025-09-17,58.0,57.31,58.8,57.2,44591.0,星期三,0.0024,-0.0119
2025-09-16,57.65,57.86,58.69,56.7,45569.0,星期二,-0.004,0.0036
2025-09-15,56.93,57.88,58.97,56.75,43790.0,星期一,0.0005,0.0167
2025-09-12,57.27,56.9,59.2,56.63,52796.0,星期五,-0.01,-0.0065
2025-09-11,55.85,57.85,58.65,55.38,57363.0,星期四,-0.0011,0.0358
2025-09-10,59.0,55.91,60.2,55.48,65806.0,星期三,0.0084,-0.0524
2025-09-09,61.89,58.51,62.0,58.51,71410.0,星期二,-0.0175,-0.0546
2025-09-08,61.58,62.99,63.49,60.25,94877.0,星期一,-0.029,0.0229
2025-09-05,58.88,63.42,63.79,54.01,127496.0,星期五,-0.029,0.0771
2025-09-04,61.47,60.64,65.5,57.83,132323.0,星期四,0.0099,-0.0135
2025-09-03,57.08,60.87,63.88,55.9,112975.0,星期三,-0.0126,0.0664
2025-09-02,55.99,57.81,58.9,54.0,105958.0,星期二,0.0034,0.0325
2025-09-01,55.56,55.8,56.2,52.57,86588.0,星期一,0.0029,0.0043
2025-08-29,56.68,55.4,60.88,55.38,116161.0,星期五,0.022,-0.0226
2025-08-28,53.0,55.46,57.6,52.17,116970.0,星期四,0.0038,0.0464
2025-08-27,55.03,52.8,56.18,52.73,118318.0,星期三,-0.018,-0.0405
2025-08-26,49.0,56.04,58.8,48.1,127231.0,星期二,-0.0171,0.1437
2025-08-25,48.48,49.85,51.48,48.06,75998.0,星期一,0.001,0.0283
2025-08-22,48.61,48.43,49.35,48.32,59443.0,星期五,-0.0094,-0.0037
2025-08-21,50.1,49.07,51.5,48.7,78310.0,星期四,0.0054,-0.0206
