time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,19.88,20.16,21.03,19.4,18450.0,星期五,-0.0105,0.0141
2026-06-25,20.38,20.09,20.59,19.92,14673.0,星期四,-0.0107,-0.0142
2026-06-24,21.13,20.6,21.33,20.11,16779.0,星期三,0.0009,-0.0251
2026-06-23,20.81,21.11,21.76,20.81,15454.0,星期二,-0.0175,0.0144
2026-06-22,21.92,21.18,22.24,20.6,28139.0,星期一,-0.0054,-0.0338
2026-06-18,20.57,22.04,22.46,20.15,37540.0,星期四,-0.0034,0.0715
2026-06-17,20.9,20.64,21.06,20.39,11141.0,星期三,-0.0052,-0.0124
2026-06-16,21.01,21.01,21.21,20.48,10659.0,星期二,0.0029,0.0
2026-06-15,20.83,20.95,21.36,20.68,11497.0,星期一,0.0019,0.0058
2026-06-12,20.98,20.79,21.2,20.69,8169.0,星期五,0.0106,-0.0091
2026-06-11,21.01,20.76,21.08,20.4,11206.0,星期四,-0.0182,-0.0119
2026-06-10,21.91,21.4,22.2,20.91,12806.0,星期三,0.0,-0.0233
2026-06-09,21.46,21.91,22.26,21.38,12830.0,星期二,0.0009,0.021
2026-06-08,21.6,21.44,22.1,21.0,12778.0,星期一,-0.0101,-0.0074
2026-06-05,21.52,21.82,22.36,21.21,12235.0,星期五,-0.0032,0.0139
2026-06-04,22.0,21.59,22.14,21.35,14096.0,星期四,-0.0009,-0.0186
2026-06-03,22.4,22.02,22.65,21.91,15048.0,星期三,-0.0009,-0.017
2026-06-02,22.98,22.42,22.98,22.12,12380.0,星期二,0.0079,-0.0244
2026-06-01,22.26,22.8,22.98,21.99,15833.0,星期一,0.0036,0.0243
2026-05-29,23.22,22.18,23.39,22.1,16575.0,星期五,0.0022,-0.0448
2026-05-28,23.41,23.17,23.41,22.47,15667.0,星期四,-0.0004,-0.0103
2026-05-27,23.22,23.42,23.49,22.23,29754.0,星期三,0.0,0.0086
2026-05-26,23.88,23.22,23.97,22.9,15463.0,星期二,-0.0091,-0.0276
2026-05-25,24.57,24.1,24.82,23.81,12183.0,星期一,0.0061,-0.0191
2026-05-22,24.33,24.42,24.59,23.62,15506.0,星期五,0.0176,0.0037
2026-05-21,25.27,23.91,25.5,23.89,17819.0,星期四,0.0088,-0.0538
2026-05-20,25.56,25.05,25.57,24.99,10702.0,星期三,0.0,-0.02
2026-05-19,25.29,25.56,25.71,25.1,11833.0,星期二,0.0084,0.0107
2026-05-18,24.9,25.08,25.22,24.66,11155.0,星期一,-0.0028,0.0072
2026-05-15,25.22,24.97,25.55,24.79,12687.0,星期五,0.0044,-0.0099
2026-05-14,25.63,25.11,25.84,25.03,13337.0,星期四,0.0031,-0.0203
2026-05-13,25.27,25.55,25.66,25.1,12320.0,星期三,-0.0012,0.0111
2026-05-12,25.94,25.3,25.98,25.22,13376.0,星期二,0.0012,-0.0247
2026-05-11,25.84,25.91,26.02,25.5,13090.0,星期一,0.0008,0.0027
2026-05-08,25.4,25.82,25.94,25.18,13677.0,星期五,-0.0031,0.0165
2026-05-07,25.01,25.48,25.49,25.01,14079.0,星期四,0.0008,0.0188
2026-05-06,25.06,24.99,25.5,24.95,21355.0,星期三,0.0,-0.0028
2026-04-30,25.04,25.06,25.16,24.76,10966.0,星期四,-0.0004,0.0008
2026-04-29,24.3,25.05,25.21,24.2,20117.0,星期三,-0.0041,0.0309
2026-04-28,24.77,24.4,25.25,24.26,24509.0,星期二,-0.0112,-0.0149
2026-04-27,25.01,25.05,25.46,23.77,52561.0,星期一,-0.0737,0.0016
2026-04-24,27.13,27.0,27.29,26.75,15799.0,星期五,-0.0004,-0.0048
2026-04-23,27.13,27.14,27.42,26.7,16644.0,星期四,0.0,0.0004
2026-04-22,26.8,27.13,27.17,26.52,11521.0,星期三,0.0,0.0123
2026-04-21,27.57,26.8,27.57,26.64,12586.0,星期二,0.0132,-0.0279
