time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,32.0,30.06,32.31,30.06,19655.0,星期五,0.0057,-0.0606
2026-06-25,33.1,31.82,33.1,31.6,22851.0,星期四,0.0,-0.0387
2026-06-24,33.92,33.1,34.26,32.78,22157.0,星期三,-0.0134,-0.0242
2026-06-23,34.01,34.38,34.92,33.6,23230.0,星期二,-0.0041,0.0109
2026-06-22,34.07,34.15,34.36,33.1,34578.0,星期一,-0.0255,0.0023
2026-06-18,34.05,34.96,36.19,33.5,42645.0,星期四,0.0365,0.0267
2026-06-17,33.02,32.85,33.3,32.6,16302.0,星期三,-0.009,-0.0051
2026-06-16,32.6,33.32,33.5,31.91,23660.0,星期二,0.0,0.0221
2026-06-15,32.13,32.6,32.9,32.12,16316.0,星期一,0.0006,0.0146
2026-06-12,31.8,32.11,32.51,31.5,17695.0,星期五,0.0095,0.0097
2026-06-11,31.95,31.5,32.15,31.2,16234.0,星期四,-0.005,-0.0141
2026-06-10,33.82,32.11,33.82,31.65,22505.0,星期三,-0.0024,-0.0506
2026-06-09,33.67,33.9,34.09,33.21,15766.0,星期二,0.0027,0.0068
2026-06-08,34.5,33.58,35.12,32.8,25311.0,星期一,-0.0287,-0.0267
2026-06-05,35.2,35.52,36.11,34.5,26313.0,星期五,0.0003,0.0091
2026-06-04,35.71,35.19,36.15,34.85,30781.0,星期四,-0.0141,-0.0146
2026-06-03,37.4,36.22,37.98,36.0,34562.0,星期三,-0.0029,-0.0316
2026-06-02,39.76,37.51,39.76,37.51,38464.0,星期二,-0.0055,-0.0566
2026-06-01,39.13,39.98,39.99,38.02,33272.0,星期一,-0.0008,0.0217
2026-05-29,38.86,39.16,40.35,37.68,42475.0,星期五,0.0,0.0077
2026-05-28,38.67,38.86,40.0,38.43,35326.0,星期四,-0.001,0.0049
2026-05-27,40.0,38.71,40.58,38.44,37919.0,星期三,-0.005,-0.0322
2026-05-26,43.65,40.2,44.05,39.65,61907.0,星期二,0.003,-0.079
2026-05-25,46.1,43.52,46.66,43.19,62600.0,星期一,0.0013,-0.056
2026-05-22,44.41,46.04,46.04,43.63,67021.0,星期五,-0.0098,0.0367
2026-05-21,43.05,44.85,45.57,42.6,74016.0,星期四,-0.0099,0.0418
2026-05-20,43.0,43.48,43.99,42.44,50065.0,星期三,-0.0271,0.0112
2026-05-19,42.85,44.2,45.57,42.2,88558.0,星期二,-0.0127,0.0315
2026-05-18,39.71,43.4,43.43,39.04,74486.0,星期一,-0.011,0.0929
2026-05-15,38.91,40.15,41.78,38.91,53357.0,星期五,-0.0056,0.0319
2026-05-14,41.8,39.13,41.8,39.1,64433.0,星期四,-0.0172,-0.0639
2026-05-13,40.97,42.53,43.24,39.4,87755.0,星期三,-0.0099,0.0381
2026-05-12,38.1,41.38,41.47,37.61,83595.0,星期二,0.0029,0.0861
2026-05-11,38.04,37.99,38.57,37.83,33514.0,星期一,0.0026,-0.0013
2026-05-08,38.06,37.94,38.55,37.44,29654.0,星期五,0.0082,-0.0032
2026-05-07,36.75,37.75,37.98,36.71,28004.0,星期四,0.0022,0.0272
2026-05-06,35.9,36.67,37.03,35.88,19778.0,星期三,0.0006,0.0214
2026-04-30,36.14,35.88,36.58,35.52,16699.0,星期四,-0.0036,-0.0072
2026-04-29,35.63,36.27,36.68,35.63,16370.0,星期三,-0.0056,0.018
2026-04-28,36.74,35.83,36.75,35.65,17609.0,星期二,0.0008,-0.0248
2026-04-27,36.67,36.71,36.78,35.8,16209.0,星期一,0.0066,0.0011
2026-04-24,36.1,36.43,36.77,35.83,18717.0,星期五,-0.0066,0.0091
2026-04-23,37.61,36.34,37.71,36.1,21726.0,星期四,-0.0005,-0.0338
2026-04-22,38.14,37.63,38.14,37.42,22825.0,星期三,0.0,-0.0134
2026-04-21,38.5,38.14,38.5,37.81,17114.0,星期二,-0.0039,-0.0094
2026-04-20,38.49,38.65,38.79,38.3,17827.0,星期一,-0.0016,0.0042
2026-04-17,39.24,38.55,39.5,38.44,21893.0,星期五,0.0036,-0.0176
2026-04-16,38.15,39.1,39.27,37.7,27751.0,星期四,0.0021,0.0249
2026-04-15,38.18,38.07,38.95,37.71,29898.0,星期三,0.0003,-0.0029
2026-04-14,36.59,38.17,38.36,36.47,35905.0,星期二,0.0044,0.0432
2026-04-13,36.3,36.43,36.51,36.06,16838.0,星期一,-0.0066,0.0036
2026-04-10,36.7,36.54,36.91,36.2,19609.0,星期五,0.0152,-0.0044
2026-04-09,36.01,36.15,36.39,35.69,17058.0,星期四,-0.0121,0.0039
2026-04-08,35.61,36.45,36.49,35.54,25399.0,星期三,0.0218,0.0236
2026-04-07,34.56,34.85,35.35,34.5,15508.0,星期二,0.0023,0.0084
2026-04-03,35.63,34.48,35.7,34.33,16809.0,星期五,0.0056,-0.0323
2026-04-02,36.58,35.43,37.14,35.12,21085.0,星期四,-0.0014,-0.0314
2026-04-01,36.49,36.63,36.93,36.26,20079.0,星期三,0.019,0.0038
2026-03-31,37.13,35.81,37.3,35.76,20400.0,星期二,-0.0003,-0.0356
2026-03-30,36.65,37.14,37.21,35.65,30077.0,星期一,-0.0227,0.0134
2026-03-27,37.32,37.5,38.0,37.0,36398.0,星期五,-0.0253,0.0048
2026-03-26,39.76,38.29,39.85,38.01,35909.0,星期四,0.0,-0.037
2026-03-25,40.48,39.76,40.65,39.39,39548.0,星期三,0.0158,-0.0178
2026-03-24,38.5,39.85,39.88,38.4,49957.0,星期二,0.0267,0.0351
2026-03-23,38.8,37.5,39.85,37.15,39758.0,星期一,-0.0219,-0.0335
2026-03-20,41.17,39.67,41.4,39.6,38245.0,星期五,0.0153,-0.0364
2026-03-19,41.4,40.55,42.1,40.21,42577.0,星期四,-0.022,-0.0205
2026-03-18,41.64,42.33,42.4,41.32,48438.0,星期三,0.0053,0.0166
2026-03-17,44.09,41.42,44.15,41.0,70874.0,星期二,-0.02,-0.0606
2026-03-16,42.99,44.99,45.22,42.46,83316.0,星期一,-0.0062,0.0465
2026-03-13,47.08,43.26,47.48,43.1,110297.0,星期五,-0.0194,-0.0811
2026-03-12,50.0,48.01,50.48,46.91,120059.0,星期四,0.0014,-0.0398
2026-03-11,44.0,49.93,52.28,42.66,151376.0,星期三,0.0099,0.1348
2026-03-10,40.72,43.57,44.5,40.41,95089.0,星期二,0.0,0.07
2026-03-09,39.74,40.72,41.43,39.21,56490.0,星期一,-0.0329,0.0247
2026-03-06,39.64,41.09,41.65,39.44,68531.0,星期五,-0.0068,0.0366
2026-03-05,39.6,39.91,40.8,39.41,54700.0,星期四,0.011,0.0078
2026-03-04,37.8,39.17,40.0,37.62,60993.0,星期三,-0.0138,0.0362
2026-03-03,38.93,38.33,40.0,38.12,51614.0,星期二,0.0046,-0.0154
2026-03-02,39.18,38.75,40.23,38.61,35707.0,星期一,-0.0141,-0.011
2026-02-27,39.04,39.74,39.77,38.85,42764.0,星期五,-0.0091,0.0179
2026-02-26,38.69,39.4,39.62,38.28,40252.0,星期四,0.0,0.0184
2026-02-25,39.1,38.69,39.17,38.23,33937.0,星期三,0.0077,-0.0105
2026-02-24,37.01,38.8,39.16,37.01,49061.0,星期二,0.0071,0.0484
2026-02-13,37.5,36.75,37.66,36.7,17879.0,星期五,-0.0042,-0.02
2026-02-12,37.35,37.66,38.1,36.78,29583.0,星期四,0.0067,0.0083
2026-02-11,37.3,37.1,37.78,37.04,15218.0,星期三,-0.0019,-0.0054
2026-02-10,37.5,37.37,38.14,37.21,17935.0,星期二,-0.0005,-0.0035
2026-02-09,37.59,37.52,37.65,36.92,24015.0,星期一,0.0118,-0.0019
2026-02-06,36.73,37.15,37.85,36.33,25215.0,星期五,0.0,0.0114
2026-02-05,37.87,36.73,38.0,36.73,25650.0,星期四,-0.0086,-0.0301
2026-02-04,37.42,38.2,39.3,37.38,45899.0,星期三,-0.0098,0.0208
2026-02-03,37.0,37.79,37.9,36.88,34772.0,星期二,-0.004,0.0214
2026-02-02,36.3,37.15,38.0,36.3,41216.0,星期一,-0.0036,0.0234
2026-01-30,35.59,36.43,36.6,35.27,22745.0,星期五,-0.0039,0.0236
2026-01-29,36.44,35.73,37.08,35.54,27253.0,星期四,-0.0065,-0.0195
2026-01-28,37.58,36.68,37.83,36.68,23535.0,星期三,-0.0034,-0.0239
2026-01-27,37.38,37.71,37.79,36.25,34573.0,星期二,-0.0093,0.0088
2026-01-26,37.3,37.73,38.25,37.25,41375.0,星期一,-0.0029,0.0115
2026-01-23,36.7,37.41,37.87,36.7,34221.0,星期五,-0.0116,0.0193
2026-01-22,37.57,37.13,37.91,36.88,32038.0,星期四,-0.0063,-0.0117
2026-01-21,37.18,37.81,37.92,36.5,36001.0,星期三,-0.0099,0.0169
2026-01-20,38.4,37.55,38.4,37.16,51310.0,星期二,-0.0123,-0.0221
2026-01-19,36.98,38.88,39.01,36.98,76551.0,星期一,-0.0035,0.0514
2026-01-16,37.03,37.11,38.96,36.53,78711.0,星期五,0.0326,0.0022
2026-01-15,35.81,35.86,36.39,35.13,35043.0,星期四,0.0003,0.0014
2026-01-14,36.29,35.8,36.94,35.36,60286.0,星期三,-0.0098,-0.0135
2026-01-13,35.72,36.65,37.6,34.91,76128.0,星期二,0.0006,0.026
2026-01-12,34.87,35.7,35.77,34.87,37557.0,星期一,0.0006,0.0238
