time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,107.0,91.43,107.0,89.51,64320.0,星期五,0.0,-0.1455
2026-06-25,103.0,107.0,109.8,99.06,50807.0,星期四,0.0157,0.0388
2026-06-24,96.33,101.41,103.5,92.53,43855.0,星期三,-0.0093,0.0527
2026-06-23,106.38,97.23,106.48,96.51,46949.0,星期二,0.0281,-0.086
2026-06-22,107.51,103.47,108.01,97.66,62116.0,星期一,0.005,-0.0376
2026-06-18,107.85,106.97,109.89,104.54,45465.0,星期四,-0.0061,-0.0082
2026-06-17,107.82,108.51,119.68,107.61,60637.0,星期三,-0.018,0.0064
2026-06-16,119.08,109.8,121.99,108.0,83220.0,星期二,0.0182,-0.0779
2026-06-15,100.01,116.95,116.95,99.99,76334.0,星期一,0.0262,0.1694
2026-06-12,105.84,97.46,108.99,95.01,64091.0,星期五,0.0027,-0.0792
2026-06-11,104.5,105.56,113.85,103.3,71356.0,星期四,0.0102,0.0101
2026-06-10,101.98,103.44,104.58,96.05,45317.0,星期三,-0.0068,0.0143
2026-06-09,100.56,102.68,105.88,98.74,48163.0,星期二,0.027,0.0211
2026-06-08,93.0,97.92,101.28,90.18,51410.0,星期一,-0.0418,0.0529
2026-06-05,91.88,97.06,100.85,88.0,50951.0,星期五,-0.0099,0.0564
2026-06-04,91.48,92.8,94.24,90.5,29117.0,星期四,-0.0265,0.0144
2026-06-03,92.56,93.97,99.79,90.45,52169.0,星期三,0.01,0.0152
2026-06-02,90.79,91.64,93.18,88.23,34579.0,星期二,-0.0061,0.0094
2026-06-01,96.0,91.35,100.34,90.0,46269.0,星期一,0.0289,-0.0484
2026-05-29,100.24,93.3,101.52,91.47,43912.0,星期五,-0.001,-0.0692
2026-05-28,101.92,100.34,103.0,97.0,54437.0,星期四,-0.0045,-0.0155
2026-05-27,108.93,102.38,113.0,100.04,63287.0,星期三,-0.0097,-0.0601
2026-05-26,118.84,110.0,119.1,108.98,56676.0,星期二,-0.0012,-0.0744
2026-05-25,118.09,118.98,121.48,113.0,40985.0,星期一,0.0103,0.0075
2026-05-22,116.0,116.89,119.4,110.5,47886.0,星期五,0.0176,0.0077
2026-05-21,109.0,113.99,121.49,109.0,75572.0,星期四,-0.0198,0.0458
2026-05-20,100.17,111.2,111.73,99.05,68489.0,星期三,-0.0227,0.1101
2026-05-19,92.0,102.5,102.5,91.06,69628.0,星期二,-0.0011,0.1141
2026-05-18,93.91,92.1,97.89,87.44,52961.0,星期一,-0.0092,-0.0193
2026-05-15,91.8,94.78,96.88,89.88,61816.0,星期五,0.0183,0.0325
2026-05-14,85.3,90.15,94.9,83.18,61433.0,星期四,-0.0094,0.0569
2026-05-13,86.88,86.11,91.92,85.2,66369.0,星期三,-0.0066,-0.0089
2026-05-12,83.65,87.46,91.9,83.36,78222.0,星期二,-0.0063,0.0455
2026-05-11,83.91,84.18,85.56,81.49,72655.0,星期一,0.0027,0.0032
2026-05-08,75.01,83.68,85.0,72.5,96070.0,星期五,0.0215,0.1156
2026-05-07,68.0,73.43,74.74,67.54,45887.0,星期四,0.0013,0.0799
2026-05-06,68.41,67.91,69.18,66.82,35005.0,星期三,0.001,-0.0073
2026-04-30,66.82,68.34,69.99,65.8,40939.0,星期四,0.001,0.0227
