time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.47,13.25,13.52,13.0,19522.0,星期五,-0.0007,-0.0163
2026-06-25,13.76,13.48,14.03,13.18,21220.0,星期四,-0.0101,-0.0203
2026-06-24,14.34,13.9,14.55,13.82,19032.0,星期三,-0.0083,-0.0307
2026-06-23,14.34,14.46,14.86,14.02,24449.0,星期二,-0.0014,0.0084
2026-06-22,14.3,14.36,14.51,13.63,21822.0,星期一,-0.009,0.0042
2026-06-18,14.6,14.43,14.75,14.26,13209.0,星期四,0.0,-0.0116
2026-06-17,15.04,14.6,15.04,14.52,13851.0,星期三,0.002,-0.0293
2026-06-16,15.14,15.01,15.18,14.61,15878.0,星期二,0.006,-0.0086
2026-06-15,15.06,15.05,15.57,14.83,17435.0,星期一,0.0094,-0.0007
2026-06-12,14.62,14.92,15.09,14.57,12702.0,星期五,0.0055,0.0205
2026-06-11,14.62,14.54,14.81,14.25,13782.0,星期四,-0.0135,-0.0055
2026-06-10,14.93,14.82,15.09,14.47,15746.0,星期三,0.0,-0.0074
2026-06-09,15.13,14.93,15.35,14.93,17439.0,星期二,0.008,-0.0132
2026-06-08,15.0,15.01,15.54,14.81,17773.0,星期一,-0.0409,0.0007
2026-06-05,15.21,15.64,15.82,14.9,19762.0,星期五,0.0007,0.0283
2026-06-04,15.73,15.2,15.74,15.17,21622.0,星期四,-0.0032,-0.0337
2026-06-03,15.86,15.78,16.17,15.45,31461.0,星期三,0.0006,-0.005
2026-06-02,16.18,15.85,16.32,15.71,26548.0,星期二,0.0006,-0.0204
2026-06-01,15.56,16.17,16.32,15.27,29639.0,星期一,-0.0058,0.0392
2026-05-29,16.25,15.65,19.46,15.42,44153.0,星期五,0.0018,-0.0369
2026-05-28,15.91,16.22,16.33,15.67,18545.0,星期四,-0.0025,0.0195
2026-05-27,16.38,15.95,16.54,15.72,25580.0,星期三,-0.0097,-0.0263
2026-05-26,17.02,16.54,17.18,16.3,37871.0,星期二,-0.0047,-0.0282
2026-05-25,17.65,17.1,17.79,17.0,19542.0,星期一,0.0017,-0.0312
2026-05-22,17.4,17.62,17.75,17.15,18828.0,星期五,0.0075,0.0126
