time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,88.0,83.6,89.17,83.55,13810.0,星期五,-0.0032,-0.05
2026-06-25,91.0,88.28,91.0,87.09,15005.0,星期四,0.0,-0.0299
2026-06-24,96.2,91.0,96.21,89.6,27178.0,星期三,-0.01,-0.0541
2026-06-23,85.17,97.17,98.99,84.69,34883.0,星期二,0.0057,0.1409
2026-06-22,92.28,84.69,92.28,81.28,24872.0,星期一,0.0005,-0.0822
2026-06-18,92.59,92.23,94.22,91.8,8362.0,星期四,-0.0039,-0.0039
2026-06-17,93.78,92.95,93.99,92.0,8621.0,星期三,0.0,-0.0089
2026-06-16,92.71,93.78,94.37,91.68,8608.0,星期二,-0.0044,0.0115
2026-06-15,91.4,93.12,94.49,90.13,11333.0,星期一,0.0156,0.0188
2026-06-12,90.5,90.0,92.0,89.51,9167.0,星期五,0.0146,-0.0055
2026-06-11,91.59,89.2,91.97,88.5,9903.0,星期四,-0.0043,-0.0261
2026-06-10,93.0,91.99,93.89,90.02,9067.0,星期三,-0.0084,-0.0109
2026-06-09,94.26,93.79,95.49,92.67,7881.0,星期二,0.004,-0.005
2026-06-08,96.5,93.88,97.9,92.0,11899.0,星期一,-0.0282,-0.0272
2026-06-05,101.0,99.3,102.21,98.51,9186.0,星期五,0.0029,-0.0168
2026-06-04,100.24,100.71,102.29,99.0,7952.0,星期四,-0.005,0.0047
2026-06-03,99.61,100.74,102.85,98.95,10312.0,星期三,-0.0023,0.0113
2026-06-02,99.88,99.84,101.28,96.75,10471.0,星期二,0.0069,-0.0004
2026-06-01,101.21,99.2,102.9,99.1,9641.0,星期一,0.0,-0.0199
2026-05-29,106.18,101.21,106.22,100.4,12222.0,星期五,0.0036,-0.0468
2026-05-28,102.5,105.8,107.62,100.43,14310.0,星期四,0.0032,0.0322
2026-05-27,107.48,102.17,109.26,101.5,13524.0,星期三,-0.0001,-0.0494
2026-05-26,112.5,107.49,113.71,105.75,16218.0,星期二,-0.0063,-0.0445
2026-05-25,117.08,113.21,117.08,112.71,10380.0,星期一,0.0092,-0.0331
2026-05-22,113.34,116.01,116.53,112.29,11096.0,星期五,0.0085,0.0236
2026-05-21,116.82,112.39,120.77,112.02,15417.0,星期四,0.0014,-0.0379
2026-05-20,118.6,116.66,118.64,115.61,9518.0,星期三,0.0034,-0.0164
2026-05-19,117.41,118.2,118.29,115.85,9140.0,星期二,0.01,0.0067
2026-05-18,117.74,116.25,118.58,115.39,10178.0,星期一,0.0,-0.0127
2026-05-15,114.03,117.74,120.66,114.0,17899.0,星期五,-0.005,0.0325
2026-05-14,118.88,114.6,118.9,114.56,13729.0,星期四,0.0078,-0.036
2026-05-13,117.53,117.96,118.9,116.5,8429.0,星期三,-0.0016,0.0037
2026-05-12,119.0,117.72,120.99,116.66,14058.0,星期二,-0.008,-0.0108
2026-05-11,123.88,119.96,123.88,119.68,15579.0,星期一,0.0032,-0.0316
2026-05-08,120.0,123.49,124.58,118.77,18041.0,星期五,0.0016,0.0291
2026-05-07,118.53,119.81,121.0,115.0,14844.0,星期四,0.0036,0.0108
2026-05-06,109.98,118.1,119.36,109.98,24181.0,星期三,0.0092,0.0738
2026-04-30,106.63,108.98,109.28,106.63,9172.0,星期四,-0.0025,0.022
2026-04-29,104.8,106.9,110.63,104.02,15185.0,星期三,-0.0019,0.02
2026-04-28,107.8,105.0,107.8,103.88,9758.0,星期二,-0.003,-0.026
2026-04-27,107.2,108.12,108.88,106.6,7396.0,星期一,0.0,0.0086
2026-04-24,107.15,107.2,107.88,104.8,8091.0,星期五,0.0005,0.0005
2026-04-23,110.42,107.1,110.98,106.3,10422.0,星期四,0.0,-0.0301
2026-04-22,109.0,110.42,110.59,107.78,10118.0,星期三,0.0002,0.013
2026-04-21,108.46,108.98,110.29,107.93,8763.0,星期二,0.0,0.0048
2026-04-20,108.0,108.46,109.33,106.52,8110.0,星期一,0.0,0.0043
2026-04-17,105.2,108.0,108.8,104.7,12348.0,星期五,-0.0047,0.0266
2026-04-16,105.42,105.7,106.5,105.0,6827.0,星期四,0.0,0.0027
2026-04-15,105.88,105.42,109.43,105.28,10931.0,星期三,0.0099,-0.0043
2026-04-14,104.06,104.84,105.68,103.1,8365.0,星期二,0.0097,0.0075
2026-04-13,102.22,103.06,104.68,102.07,7293.0,星期一,-0.0097,0.0082
2026-04-10,102.75,103.22,105.26,102.51,8877.0,星期五,0.0131,0.0046
2026-04-09,103.88,101.42,103.88,101.31,7549.0,星期四,-0.0038,-0.0237
2026-04-08,100.81,104.28,104.44,100.02,11470.0,星期三,0.0215,0.0344
2026-04-07,99.27,98.69,99.48,97.37,4352.0,星期二,0.0134,-0.0058
2026-04-03,99.22,97.96,99.99,97.32,5148.0,星期五,0.0,-0.0127
2026-04-02,101.75,99.22,102.75,98.75,7477.0,星期四,-0.0072,-0.0249
2026-04-01,102.82,102.49,103.5,100.66,11345.0,星期三,0.0072,-0.0032
2026-03-31,98.99,102.09,105.4,98.97,15729.0,星期二,0.0,0.0313
2026-03-30,98.61,98.99,99.8,97.23,6196.0,星期一,-0.0132,0.0039
2026-03-27,97.68,99.93,101.68,97.1,8495.0,星期五,-0.0085,0.023
2026-03-26,100.27,98.52,101.17,97.81,7276.0,星期四,-0.0033,-0.0175
2026-03-25,99.98,100.6,102.3,99.33,9132.0,星期三,0.0008,0.0062
2026-03-24,99.18,99.9,99.99,95.68,10073.0,星期二,0.0225,0.0073
2026-03-23,102.25,97.0,103.07,96.3,12898.0,星期一,-0.0175,-0.0513
2026-03-20,106.96,104.07,110.0,104.07,10499.0,星期五,0.0077,-0.027
2026-03-19,108.35,106.14,108.88,105.6,8917.0,星期四,-0.011,-0.0204
2026-03-18,110.56,109.55,111.18,107.33,10705.0,星期三,0.0024,-0.0091
2026-03-17,114.99,110.3,115.2,110.2,9493.0,星期二,0.0082,-0.0408
2026-03-16,116.08,114.05,116.08,112.3,8706.0,星期一,0.0,-0.0175
2026-03-13,115.65,116.08,116.8,114.65,6945.0,星期五,-0.001,0.0037
2026-03-12,119.6,115.77,119.69,115.65,12332.0,星期四,0.0,-0.032
2026-03-11,121.2,119.6,122.22,119.5,6940.0,星期三,-0.0012,-0.0132
2026-03-10,120.18,121.34,122.89,120.18,7937.0,星期二,0.0073,0.0097
2026-03-09,120.6,119.31,121.17,117.3,9905.0,星期一,-0.0174,-0.0107
2026-03-06,117.42,122.73,123.8,116.94,11108.0,星期五,-0.0084,0.0452
2026-03-05,120.01,118.42,121.29,117.88,8368.0,星期四,0.0118,-0.0132
2026-03-04,117.0,118.61,119.98,116.96,7982.0,星期三,-0.0177,0.0138
2026-03-03,124.19,119.11,124.87,119.11,13447.0,星期二,0.0141,-0.0409
2026-03-02,123.18,122.46,125.11,122.0,11387.0,星期一,-0.0193,-0.0058
2026-02-27,126.8,125.61,127.0,124.54,8341.0,星期五,-0.0051,-0.0094
2026-02-26,126.34,127.45,128.79,124.88,13392.0,星期四,0.0,0.0088
2026-02-25,126.17,126.34,127.95,125.56,7266.0,星期三,-0.0041,0.0013
2026-02-24,125.47,126.69,128.49,125.23,8710.0,星期二,0.0063,0.0097
2026-02-13,125.2,124.69,126.46,124.0,8104.0,星期五,0.0,-0.0041
2026-02-12,124.98,125.2,126.78,124.25,8316.0,星期四,0.0066,0.0018
2026-02-11,125.5,124.16,126.04,124.12,5929.0,星期三,-0.0017,-0.0107
2026-02-10,125.3,125.72,127.3,124.1,7973.0,星期二,-0.001,0.0034
2026-02-09,124.65,125.42,126.68,124.0,9836.0,星期一,0.0055,0.0062
2026-02-06,121.1,123.97,125.74,120.39,11103.0,星期五,-0.0046,0.0237
2026-02-05,123.18,121.66,124.26,121.51,7256.0,星期四,-0.0034,-0.0123
2026-02-04,124.0,123.6,124.88,122.42,7100.0,星期三,-0.0021,-0.0032
2026-02-03,122.32,124.26,124.28,121.85,7667.0,星期二,0.0047,0.0159
2026-02-02,126.0,121.75,126.38,121.66,12759.0,星期一,-0.0043,-0.0337
2026-01-30,123.0,126.55,127.43,122.27,12369.0,星期五,-0.0057,0.0289
2026-01-29,125.8,123.7,127.95,123.5,14552.0,星期四,0.0036,-0.0167
2026-01-28,129.01,125.35,129.01,125.16,12588.0,星期三,0.0012,-0.0284
2026-01-27,125.74,128.86,129.5,123.02,14837.0,星期二,-0.0068,0.0248
2026-01-26,133.97,126.6,134.99,125.67,29175.0,星期一,-0.0002,-0.055
2026-01-23,132.4,134.0,136.4,131.1,21259.0,星期五,0.0042,0.0121
2026-01-22,134.5,131.85,137.2,131.5,15113.0,星期四,0.0009,-0.0197
2026-01-21,131.7,134.38,136.44,130.44,14376.0,星期三,-0.0096,0.0203
2026-01-20,139.0,132.98,139.94,132.1,25110.0,星期二,0.0006,-0.0433
2026-01-19,141.43,138.91,143.29,138.88,15004.0,星期一,0.0004,-0.0178
2026-01-16,136.6,141.38,143.5,136.39,31315.0,星期五,0.0053,0.035
2026-01-15,137.08,135.88,137.49,133.55,19327.0,星期四,-0.0036,-0.0088
2026-01-14,137.0,137.58,139.69,135.48,27364.0,星期三,0.0037,0.0042
2026-01-13,144.55,136.5,144.84,136.21,32614.0,星期二,-0.0021,-0.0557
2026-01-12,139.5,144.85,145.98,138.3,31143.0,星期一,-0.0035,0.0384
2026-01-09,141.02,139.99,141.99,137.37,22272.0,星期五,-0.0029,-0.0073
2026-01-08,140.03,141.43,144.47,138.11,24124.0,星期四,-0.0057,0.01
2026-01-07,144.97,140.83,146.8,139.14,31707.0,星期三,0.018,-0.0286
2026-01-06,131.51,142.4,145.0,131.31,46188.0,星期二,-0.0052,0.0828
2026-01-05,131.5,132.2,133.4,130.84,14552.0,星期一,0.013,0.0053
2025-12-31,132.65,129.81,133.99,129.03,17885.0,星期三,0.0027,-0.0214
2025-12-30,137.0,132.29,137.0,131.69,31649.0,星期二,0.0285,-0.0344
2025-12-29,133.8,133.2,135.98,132.6,15014.0,星期一,-0.0088,-0.0045
2025-12-26,134.8,134.99,136.64,132.26,16808.0,星期五,0.0,0.0014
2025-12-25,136.42,134.8,136.42,133.01,14967.0,星期四,-0.0024,-0.0119
2025-12-24,138.68,136.75,139.0,135.68,21908.0,星期三,-0.0084,-0.0139
2025-12-23,137.64,139.85,143.0,137.06,30188.0,星期二,-0.0001,0.0161
2025-12-22,133.55,137.66,138.6,133.07,27988.0,星期一,0.0019,0.0308
2025-12-19,131.12,133.3,136.0,131.0,23601.0,星期五,0.0049,0.0166
2025-12-18,130.0,130.48,135.2,128.65,18628.0,星期四,-0.0076,0.0037
2025-12-17,129.0,130.99,132.85,127.6,16844.0,星期三,-0.0052,0.0154
2025-12-16,135.45,129.68,137.07,127.05,18952.0,星期二,0.0247,-0.0426
2025-12-15,135.23,132.18,135.52,132.05,17380.0,星期一,-0.0076,-0.0226
2025-12-12,125.77,136.26,136.52,125.3,41803.0,星期五,0.0046,0.0834
2025-12-11,126.79,125.2,129.5,124.62,11554.0,星期四,0.0055,-0.0125
2025-12-10,128.4,126.1,128.77,125.6,13483.0,星期三,-0.0003,-0.0179
2025-12-09,129.0,128.44,131.0,126.5,18419.0,星期二,-0.0046,-0.0043
2025-12-08,129.01,129.6,130.54,127.89,16637.0,星期一,-0.0061,0.0046
