time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,396.0,432.27,436.0,391.0,28267.0,星期五,-0.011,0.0916
2026-06-25,408.0,400.41,422.0,393.0,24557.0,星期四,0.0099,-0.0186
2026-06-24,378.36,404.0,413.79,377.0,27309.0,星期三,-0.0161,0.0678
2026-06-23,382.51,384.55,403.55,377.0,20464.0,星期二,0.0016,0.0053
2026-06-22,402.0,381.9,407.0,370.08,23375.0,星期一,0.0002,-0.05
2026-06-18,396.84,401.93,402.99,388.87,19535.0,星期四,-0.0127,0.0128
2026-06-17,379.43,401.93,401.93,377.01,19907.0,星期三,-0.01,0.0593
2026-06-16,384.0,383.26,393.77,375.1,21122.0,星期二,-0.0108,-0.0019
2026-06-15,380.0,388.2,391.0,363.36,20329.0,星期一,0.0,0.0216
2026-06-12,395.18,380.0,408.0,376.29,22420.0,星期五,0.0164,-0.0384
2026-06-11,367.55,388.8,398.0,367.55,20555.0,星期四,-0.0091,0.0578
2026-06-10,356.19,370.92,386.88,353.0,21946.0,星期三,-0.0059,0.0414
2026-06-09,343.01,358.3,363.0,340.01,14127.0,星期二,0.0187,0.0446
2026-06-08,335.0,336.7,359.07,334.48,12440.0,星期一,-0.05,0.0051
2026-06-05,352.21,352.65,376.61,340.22,18982.0,星期五,-0.0226,0.0012
2026-06-04,357.13,360.34,370.0,353.47,13453.0,星期四,-0.0171,0.009
2026-06-03,355.12,363.35,380.0,352.01,15364.0,星期三,0.0032,0.0232
2026-06-02,354.66,354.0,365.0,343.01,11572.0,星期二,0.0046,-0.0019
2026-06-01,366.0,353.03,375.51,351.0,12116.0,星期一,-0.0027,-0.0354
2026-05-29,363.18,367.0,392.93,362.0,24258.0,星期五,0.0185,0.0105
2026-05-28,354.47,356.6,362.8,347.03,16582.0,星期四,-0.0154,0.006
2026-05-27,382.0,360.0,387.0,351.0,18551.0,星期三,-0.0002,-0.0576
2026-05-26,409.01,382.06,415.0,373.1,17979.0,星期二,-0.018,-0.0659
2026-05-25,394.0,416.5,428.08,376.23,22405.0,星期一,0.0167,0.0571
2026-05-22,388.88,387.53,390.99,375.08,18082.0,星期五,0.0178,-0.0035
2026-05-21,427.5,382.09,428.87,382.0,24474.0,星期四,0.0,-0.1062
2026-05-20,418.58,427.5,438.0,418.58,21342.0,星期三,0.0,0.0213
2026-05-19,409.05,418.58,422.0,400.0,19806.0,星期二,0.0045,0.0233
2026-05-18,412.08,407.2,423.65,399.0,19436.0,星期一,0.012,-0.0118
2026-05-15,402.73,407.18,419.63,378.01,26425.0,星期五,-0.0031,0.011
2026-05-14,407.21,404.0,427.94,404.0,22920.0,星期四,0.007,-0.0079
2026-05-13,406.6,404.38,409.0,393.02,21276.0,星期三,-0.0129,-0.0055
2026-05-12,397.32,411.9,437.77,393.35,35985.0,星期二,0.0092,0.0367
2026-05-11,370.0,393.7,410.0,358.51,40307.0,星期一,0.0541,0.0641
2026-05-08,319.8,351.0,364.0,318.18,38703.0,星期五,-0.0233,0.0976
2026-05-07,310.0,327.43,329.99,305.0,27497.0,星期四,0.0116,0.0562
2026-05-06,312.0,306.45,322.88,303.69,26129.0,星期三,0.0225,-0.0178
2026-04-30,312.0,305.13,316.06,304.0,20317.0,星期四,0.0107,-0.022
2026-04-29,305.08,308.7,322.18,305.03,16441.0,星期三,-0.0206,0.0119
2026-04-28,335.0,311.51,337.99,310.51,28168.0,星期二,-0.0236,-0.0701
2026-04-27,325.91,343.09,366.5,316.0,46214.0,星期一,0.0297,0.0527
2026-04-24,325.0,316.5,344.0,315.87,24914.0,星期五,-0.0061,-0.0262
2026-04-23,341.55,327.0,341.55,314.0,30030.0,星期四,-0.01,-0.0426
2026-04-22,275.0,345.0,355.89,273.8,51298.0,星期三,-0.0938,0.2545
2026-04-21,290.0,303.45,309.0,287.65,29780.0,星期二,-0.0099,0.0464
2026-04-20,286.36,292.89,295.0,285.0,22116.0,星期一,-0.0101,0.0228
2026-04-17,278.73,289.28,294.88,276.01,24226.0,星期五,-0.0072,0.0379
2026-04-16,280.88,280.75,284.0,275.01,18140.0,星期四,-0.0048,-0.0005
2026-04-15,284.01,282.23,302.5,280.5,24443.0,星期三,-0.0333,-0.0063
2026-04-14,264.01,293.8,308.52,264.01,39305.0,星期二,0.0269,0.1128
2026-04-13,257.0,257.1,264.0,255.07,11146.0,星期一,-0.0137,0.0004
2026-04-10,261.97,260.56,264.5,258.5,9840.0,星期五,0.0172,-0.0054
2026-04-09,249.43,257.53,266.61,248.0,12293.0,星期四,-0.0173,0.0325
2026-04-08,245.0,253.83,254.5,243.0,10716.0,星期三,0.0306,0.036
2026-04-07,231.51,237.72,244.49,231.51,8035.0,星期二,0.0017,0.0268
2026-04-03,234.89,231.11,238.68,229.39,4712.0,星期五,0.0072,-0.0161
2026-04-02,240.3,233.21,244.0,231.8,6750.0,星期四,-0.005,-0.0295
2026-04-01,245.0,241.5,246.9,240.01,8895.0,星期三,0.0273,-0.0143
2026-03-31,244.11,238.5,245.65,236.88,8093.0,星期二,-0.003,-0.023
2026-03-30,234.18,244.85,247.98,233.7,9375.0,星期一,-0.0251,0.0456
2026-03-27,223.0,240.2,243.3,223.0,14564.0,星期五,-0.0221,0.0771
2026-03-26,236.62,228.04,239.96,226.09,17572.0,星期四,-0.05,-0.0363
2026-03-25,255.0,249.07,267.17,248.24,19547.0,星期三,0.002,-0.0233
2026-03-24,269.0,254.5,271.0,251.52,16388.0,星期二,0.0104,-0.0539
