time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,8.0,7.93,8.04,7.92,130217.0,星期五,0.0,-0.0088
2026-06-25,8.12,8.0,8.13,7.94,172442.0,星期四,0.005,-0.0148
2026-06-24,8.1,8.08,8.15,8.01,135002.0,星期三,0.0012,-0.0025
2026-06-23,8.15,8.09,8.2,8.05,191681.0,星期二,-0.0024,-0.0074
2026-06-22,8.3,8.17,8.3,8.03,235307.0,星期一,0.0036,-0.0157
2026-06-18,8.3,8.27,8.36,8.21,136314.0,星期四,-0.006,-0.0036
2026-06-17,8.31,8.35,8.38,8.21,149381.0,星期三,-0.0048,0.0048
2026-06-16,8.32,8.35,8.38,8.26,177148.0,星期二,0.0,0.0036
2026-06-15,8.27,8.32,8.37,8.17,191635.0,星期一,0.0024,0.006
2026-06-12,8.33,8.25,8.34,8.17,263212.0,星期五,-0.0012,-0.0096
2026-06-11,8.3,8.34,8.4,8.25,150506.0,星期四,-0.0012,0.0048
2026-06-10,8.32,8.31,8.38,8.27,116338.0,星期三,-0.0048,-0.0012
2026-06-09,8.45,8.36,8.56,8.29,154791.0,星期二,0.0,-0.0107
2026-06-08,8.34,8.45,8.52,8.2,215222.0,星期一,-0.0071,0.0132
2026-06-05,8.37,8.4,8.44,8.26,165772.0,星期五,0.006,0.0036
2026-06-04,8.17,8.32,8.34,8.17,204165.0,星期四,0.0,0.0184
2026-06-03,8.46,8.17,8.47,8.12,258650.0,星期三,-0.0024,-0.0343
2026-06-02,8.45,8.48,8.58,8.43,238607.0,星期二,-0.0024,0.0036
2026-06-01,8.75,8.47,8.77,8.43,294434.0,星期一,-0.0011,-0.032
2026-05-29,8.8,8.76,8.88,8.67,387173.0,星期五,0.0057,-0.0045
2026-05-28,8.79,8.75,8.83,8.63,225185.0,星期四,0.0,-0.0046
2026-05-27,8.57,8.79,8.81,8.51,447332.0,星期三,0.0,0.0257
2026-05-26,8.25,8.57,8.59,8.23,417960.0,星期二,-0.0072,0.0388
2026-05-25,8.1,8.31,8.33,8.01,404002.0,星期一,0.0,0.0259
2026-05-22,8.08,8.1,8.19,7.91,436053.0,星期五,0.0,0.0025
2026-05-21,8.08,8.08,8.19,8.05,491370.0,星期四,-0.0012,0.0
2026-05-20,8.05,8.09,8.11,8.01,243127.0,星期三,-0.0025,0.005
2026-05-19,7.97,8.07,8.12,7.92,545239.0,星期二,0.0013,0.0125
2026-05-18,7.93,7.96,8.04,7.75,349315.0,星期一,-0.0038,0.0038
2026-05-15,7.95,7.96,8.06,7.9,376667.0,星期五,-0.0013,0.0013
2026-05-14,8.0,7.96,8.01,7.91,273516.0,星期四,0.0013,-0.005
2026-05-13,8.0,7.99,8.08,7.93,416572.0,星期三,0.0,-0.0012
2026-05-12,8.05,8.0,8.23,7.96,623536.0,星期二,0.0063,-0.0062
2026-05-11,8.12,8.0,8.14,7.94,539607.0,星期一,0.0025,-0.0148
2026-05-08,8.05,8.1,8.29,8.04,654071.0,星期五,-0.0012,0.0062
2026-05-07,8.02,8.06,8.13,7.94,466835.0,星期四,0.0,0.005
2026-05-06,8.16,8.02,8.2,7.9,595719.0,星期三,-0.0037,-0.0172
2026-04-30,8.65,8.19,8.69,8.1,673515.0,星期四,-0.0103,-0.0532
2026-04-29,8.97,8.74,8.99,8.68,370851.0,星期三,-0.0055,-0.0256
2026-04-28,9.1,9.02,9.14,8.6,490218.0,星期二,-0.0022,-0.0088
2026-04-27,9.79,9.12,9.81,9.1,698705.0,星期一,-0.021,-0.0684
2026-04-24,9.98,10.0,10.13,9.96,186684.0,星期五,-0.006,0.002
2026-04-23,9.95,10.04,10.15,9.95,154772.0,星期四,-0.006,0.009
2026-04-22,9.98,10.01,10.04,9.88,190610.0,星期三,0.0,0.003
2026-04-21,9.99,9.98,10.28,9.84,259284.0,星期二,0.0122,-0.001
2026-04-20,9.69,9.87,10.02,9.65,230221.0,星期一,0.0021,0.0186
2026-04-17,9.56,9.67,9.7,9.56,130606.0,星期五,-0.0052,0.0115
2026-04-16,9.5,9.61,9.61,9.46,188957.0,星期四,0.0,0.0116
2026-04-15,9.43,9.5,9.59,9.38,192115.0,星期三,0.0,0.0074
2026-04-14,9.28,9.43,9.46,9.21,166639.0,星期二,0.0043,0.0162
2026-04-13,9.41,9.24,9.41,9.15,192358.0,星期一,0.0,-0.0181
2026-04-10,9.45,9.41,9.5,9.38,165564.0,星期五,0.0043,-0.0042
2026-04-09,9.62,9.41,9.71,9.4,161395.0,星期四,-0.0062,-0.0218
2026-04-08,9.54,9.68,9.68,9.49,224581.0,星期三,0.0053,0.0147
2026-04-07,9.59,9.49,9.64,9.47,150455.0,星期二,0.0052,-0.0104
2026-04-03,9.6,9.54,9.69,9.5,168228.0,星期五,0.0,-0.0063
2026-04-02,9.45,9.6,9.67,9.4,229846.0,星期四,-0.0011,0.0159
2026-04-01,10.11,9.46,10.16,9.42,375541.0,星期三,0.004,-0.0643
2026-03-31,10.06,10.07,10.27,10.06,158796.0,星期二,-0.004,0.001
2026-03-30,9.93,10.1,10.17,9.65,241988.0,星期一,-0.001,0.0171
2026-03-27,9.88,9.94,10.01,9.81,160934.0,星期五,-0.003,0.0061
2026-03-26,9.94,9.91,10.01,9.88,210440.0,星期四,0.003,-0.003
2026-03-25,9.69,9.91,9.92,9.63,180939.0,星期三,0.0021,0.0227
2026-03-24,9.46,9.67,9.7,9.36,197108.0,星期二,0.0107,0.0222
2026-03-23,9.57,9.36,9.68,9.31,238637.0,星期一,-0.0185,-0.0219
2026-03-20,9.58,9.75,9.79,9.56,186943.0,星期五,0.0021,0.0177
2026-03-19,9.59,9.56,9.8,9.51,207475.0,星期四,-0.0093,-0.0031
2026-03-18,9.86,9.68,9.89,9.48,254611.0,星期三,0.0,-0.0183
2026-03-17,10.02,9.86,10.12,9.86,163515.0,星期二,-0.003,-0.016
2026-03-16,9.96,10.05,10.12,9.84,231762.0,星期一,0.001,0.009
2026-03-13,9.83,9.95,10.19,9.83,199107.0,星期五,-0.0041,0.0122
2026-03-12,9.95,9.87,9.98,9.76,141603.0,星期四,0.003,-0.008
2026-03-11,9.99,9.92,10.05,9.9,135263.0,星期三,-0.002,-0.007
2026-03-10,10.12,10.01,10.19,9.89,244629.0,星期二,0.011,-0.0109
2026-03-09,10.55,10.01,10.58,9.98,344485.0,星期一,-0.0028,-0.0512
2026-03-06,10.42,10.58,10.63,10.33,258210.0,星期五,-0.0019,0.0154
2026-03-05,10.13,10.44,10.47,10.11,259519.0,星期四,-0.001,0.0306
2026-03-04,10.0,10.14,10.22,9.86,263496.0,星期三,-0.007,0.014
2026-03-03,10.1,10.07,10.24,10.0,268164.0,星期二,-0.0049,-0.003
2026-03-02,9.95,10.15,10.28,9.81,299109.0,星期一,0.001,0.0201
2026-02-27,9.84,9.94,10.13,9.76,213866.0,星期五,0.002,0.0102
2026-02-26,9.68,9.82,9.83,9.68,139892.0,星期四,-0.0031,0.0145
2026-02-25,9.73,9.71,9.9,9.65,275206.0,星期三,0.0052,-0.0021
2026-02-24,9.57,9.68,9.72,9.47,200897.0,星期二,0.0021,0.0115
2026-02-13,9.66,9.55,9.66,9.53,107566.0,星期五,0.0021,-0.0114
2026-02-12,9.78,9.64,9.8,9.57,113737.0,星期四,0.0031,-0.0143
2026-02-11,9.88,9.75,9.88,9.71,117445.0,星期三,0.003,-0.0132
2026-02-10,9.98,9.85,9.99,9.81,147481.0,星期二,0.0071,-0.013
2026-02-09,9.81,9.91,10.0,9.72,187756.0,星期一,0.0062,0.0102
2026-02-06,9.9,9.75,9.95,9.75,148252.0,星期五,0.001,-0.0152
2026-02-05,9.8,9.89,9.91,9.75,153211.0,星期四,0.0,0.0092
2026-02-04,9.77,9.8,9.92,9.75,182707.0,星期三,-0.001,0.0031
2026-02-03,9.68,9.78,9.82,9.63,177698.0,星期二,0.0052,0.0103
2026-02-02,9.74,9.63,9.94,9.63,267611.0,星期一,0.0031,-0.0113
2026-01-30,9.61,9.71,9.95,9.61,249172.0,星期五,-0.0062,0.0104
2026-01-29,9.65,9.67,9.71,9.5,343953.0,星期四,0.0031,0.0021
2026-01-28,9.78,9.62,9.85,9.57,475971.0,星期三,0.0,-0.0164
2026-01-27,9.85,9.78,10.03,9.75,235316.0,星期二,0.0,-0.0071
2026-01-26,9.98,9.85,10.01,9.81,311994.0,星期一,0.0,-0.013
2026-01-23,10.24,9.98,10.25,9.93,229924.0,星期五,0.0059,-0.0254
2026-01-22,10.33,10.18,10.38,10.16,162264.0,星期四,0.0,-0.0145
2026-01-21,10.42,10.33,10.53,10.26,203507.0,星期三,-0.001,-0.0086
2026-01-20,10.31,10.43,10.55,10.2,235569.0,星期二,0.0029,0.0116
2026-01-19,10.06,10.28,10.35,9.99,229864.0,星期一,-0.0049,0.0219
2026-01-16,10.32,10.11,10.47,10.02,309416.0,星期五,0.0098,-0.0203
2026-01-15,10.2,10.22,10.27,10.12,187273.0,星期四,0.0,0.002
2026-01-14,10.4,10.2,10.51,10.19,249266.0,星期三,0.0,-0.0192
2026-01-13,10.4,10.4,10.65,10.36,199800.0,星期二,-0.0048,0.0
2026-01-12,10.37,10.45,10.51,10.3,238443.0,星期一,-0.0086,0.0077
2026-01-09,10.3,10.46,10.56,10.23,307757.0,星期五,0.0,0.0155
2026-01-08,9.85,10.3,10.3,9.81,350876.0,星期四,-0.004,0.0457
2026-01-07,9.94,9.89,10.1,9.84,439447.0,星期三,-0.008,-0.005
2026-01-06,9.99,10.02,10.04,9.78,247476.0,星期二,0.0,0.003
2026-01-05,9.96,9.99,10.12,9.83,297435.0,星期一,0.001,0.003
2025-12-31,10.02,9.95,10.19,9.91,210512.0,星期三,0.004,-0.007
2025-12-30,9.73,9.98,10.03,9.67,188909.0,星期二,-0.0071,0.0257
2025-12-29,9.99,9.8,9.99,9.74,182931.0,星期一,0.004,-0.019
2025-12-26,9.88,9.95,10.04,9.85,166166.0,星期五,-0.004,0.0071
2025-12-25,10.03,9.92,10.15,9.81,223760.0,星期四,0.0224,-0.011
2025-12-24,9.85,9.81,9.9,9.73,145723.0,星期三,0.001,-0.0041
2025-12-23,9.76,9.84,9.9,9.72,208321.0,星期二,0.001,0.0082
2025-12-22,9.91,9.75,9.91,9.62,251533.0,星期一,0.003,-0.0161
2025-12-19,9.94,9.88,10.02,9.72,248272.0,星期五,0.0071,-0.006
2025-12-18,9.9,9.87,10.04,9.76,211952.0,星期四,0.001,-0.003
2025-12-17,10.0,9.89,10.03,9.77,260505.0,星期三,-0.003,-0.011
2025-12-16,10.1,10.03,10.22,9.92,246119.0,星期二,-0.002,-0.0069
2025-12-15,10.03,10.12,10.19,9.77,472090.0,星期一,-0.0215,0.009
2025-12-12,9.69,10.25,10.26,9.6,943364.0,星期五,0.0041,0.0578
2025-12-11,9.75,9.65,9.91,9.61,431304.0,星期四,0.0,-0.0103
2025-12-10,9.34,9.75,9.84,9.26,379366.0,星期三,-0.0021,0.0439
2025-12-09,9.31,9.36,9.45,9.14,264014.0,星期二,-0.0011,0.0054
2025-12-08,9.3,9.32,9.4,9.12,259668.0,星期一,0.0054,0.0022
2025-12-05,9.47,9.25,9.5,9.19,225036.0,星期五,-0.0032,-0.0232
2025-12-04,9.44,9.5,9.5,9.37,172063.0,星期四,-0.0011,0.0064
2025-12-03,9.44,9.45,9.49,9.37,145613.0,星期三,0.0,0.0011
2025-12-02,9.4,9.44,9.52,9.32,168072.0,星期二,0.0,0.0043
2025-12-01,9.49,9.4,9.57,9.12,270268.0,星期一,0.0064,-0.0095
2025-11-28,9.3,9.43,9.45,9.26,166812.0,星期五,0.0022,0.014
2025-11-27,9.3,9.28,9.35,9.21,152208.0,星期四,0.0043,-0.0022
2025-11-26,9.28,9.26,9.36,9.21,123531.0,星期三,0.0,-0.0022
2025-11-25,9.22,9.28,9.37,9.09,200768.0,星期二,0.0011,0.0065
2025-11-24,9.18,9.21,9.38,9.16,188606.0,星期一,-0.0011,0.0033
2025-11-21,9.35,9.19,9.36,9.16,210604.0,星期五,0.0021,-0.0171
2025-11-20,9.37,9.33,9.44,9.3,127513.0,星期四,0.0021,-0.0043
2025-11-19,9.48,9.35,9.51,9.24,169213.0,星期三,0.0032,-0.0137
2025-11-18,9.66,9.45,9.68,9.4,181253.0,星期二,0.0094,-0.0217
2025-11-17,9.4,9.57,9.7,9.36,329904.0,星期一,-0.0032,0.0181
2025-11-14,9.51,9.43,9.64,9.42,324200.0,星期五,0.0,-0.0084
2025-11-13,9.8,9.51,9.9,9.43,514190.0,星期四,0.0,-0.0296
2025-11-12,9.65,9.8,9.85,9.51,421273.0,星期三,-0.0183,0.0155
2025-11-11,10.0,9.83,10.0,9.66,427698.0,星期二,0.005,-0.017
2025-11-10,9.92,9.95,10.05,9.72,422377.0,星期一,0.0071,0.003
2025-11-07,9.87,9.85,10.0,9.81,267596.0,星期五,0.001,-0.002
2025-11-06,9.87,9.86,9.95,9.75,293655.0,星期四,-0.008,-0.001
2025-11-05,9.78,9.95,9.95,9.64,306796.0,星期三,0.0082,0.0174
2025-11-04,9.73,9.7,9.85,9.65,377725.0,星期二,-0.001,-0.0031
