time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.94,7.95,8.01,7.8,25918.0,星期五,0.0,0.0013
2026-06-25,7.77,7.94,8.0,7.72,18814.0,星期四,-0.0202,0.0219
2026-06-24,8.24,7.93,8.24,7.85,41940.0,星期三,-0.0024,-0.0376
2026-06-23,8.17,8.26,8.35,8.12,24618.0,星期二,-0.0024,0.011
2026-06-22,7.98,8.19,8.29,7.63,39730.0,星期一,0.0101,0.0263
2026-06-18,7.97,7.9,8.1,7.8,25127.0,星期四,-0.0075,-0.0088
2026-06-17,8.07,8.03,8.13,7.92,29125.0,星期三,-0.0049,-0.005
2026-06-16,7.81,8.11,8.11,7.6,41448.0,星期二,-0.0076,0.0384
2026-06-15,7.81,7.87,8.04,7.79,37545.0,星期一,0.0,0.0077
2026-06-12,7.83,7.81,7.96,7.69,47720.0,星期五,-0.0063,-0.0026
2026-06-11,7.99,7.88,8.0,7.72,30342.0,星期四,-0.0099,-0.0138
2026-06-10,8.3,8.07,8.38,7.97,47389.0,星期三,-0.0107,-0.0277
2026-06-09,8.65,8.39,8.68,8.37,39631.0,星期二,0.0,-0.0301
2026-06-08,8.59,8.65,9.04,8.51,53715.0,星期一,-0.0172,0.007
2026-06-05,8.99,8.74,9.07,8.58,64919.0,星期五,-0.0033,-0.0278
2026-06-04,9.23,9.02,9.3,8.93,34893.0,星期四,-0.0054,-0.0228
2026-06-03,9.62,9.28,9.67,9.22,58953.0,星期三,-0.0082,-0.0353
2026-06-02,9.74,9.7,9.93,9.56,73403.0,星期二,0.0146,-0.0041
2026-06-01,9.26,9.6,9.6,9.03,55776.0,星期一,0.0131,0.0367
2026-05-29,9.05,9.14,9.41,9.05,42721.0,星期五,-0.0098,0.0099
2026-05-28,8.9,9.14,9.28,8.9,40978.0,星期四,0.0,0.027
2026-05-27,9.04,8.9,9.06,8.76,35897.0,星期三,0.0,-0.0155
2026-05-26,9.14,9.04,9.2,8.82,73894.0,星期二,-0.0151,-0.0109
2026-05-25,9.72,9.28,9.78,9.28,71284.0,星期一,-0.0051,-0.0453
2026-05-22,9.84,9.77,9.96,9.69,67002.0,星期五,-0.013,-0.0071
2026-05-21,9.9,9.97,10.52,9.9,113712.0,星期四,-0.012,0.0071
2026-05-20,10.2,10.02,10.43,10.01,77285.0,星期三,0.0119,-0.0176
2026-05-19,9.55,10.08,10.08,9.52,55988.0,星期二,-0.0052,0.0555
