time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.64,5.52,5.65,5.5,128435.0,星期五,0.0,-0.0213
2026-06-25,5.67,5.64,5.72,5.59,132013.0,星期四,0.0,-0.0053
2026-06-24,5.81,5.67,5.81,5.63,148214.0,星期三,0.0052,-0.0241
2026-06-23,5.83,5.78,5.91,5.76,135216.0,星期二,-0.0017,-0.0086
2026-06-22,5.81,5.84,5.85,5.64,184494.0,星期一,-0.0085,0.0052
2026-06-18,5.88,5.86,5.96,5.85,130300.0,星期四,-0.0101,-0.0034
2026-06-17,6.0,5.94,6.02,5.9,119003.0,星期三,-0.0164,-0.01
2026-06-16,6.2,6.1,6.24,6.07,172807.0,星期二,-0.0064,-0.0161
2026-06-15,6.2,6.24,6.33,6.18,221415.0,星期一,0.0032,0.0065
2026-06-12,5.98,6.18,6.19,5.95,332516.0,星期五,0.0,0.0334
2026-06-11,5.95,5.98,6.01,5.9,191389.0,星期四,-0.0034,0.005
2026-06-10,5.79,5.97,6.01,5.79,211991.0,星期三,-0.0086,0.0311
2026-06-09,5.88,5.84,5.9,5.81,151008.0,星期二,0.0017,-0.0068
2026-06-08,5.94,5.87,6.0,5.8,173313.0,星期一,-0.0067,-0.0118
2026-06-05,6.05,5.98,6.1,5.95,153377.0,星期五,0.005,-0.0116
2026-06-04,6.11,6.02,6.15,5.99,181804.0,星期四,-0.0016,-0.0147
2026-06-03,6.3,6.12,6.3,6.1,219301.0,星期三,0.0032,-0.0286
2026-06-02,6.49,6.28,6.52,6.28,196523.0,星期二,0.0,-0.0324
2026-06-01,6.37,6.49,6.51,6.33,246442.0,星期一,0.0016,0.0188
2026-05-29,6.27,6.36,6.39,6.2,228554.0,星期五,0.008,0.0144
2026-05-28,6.28,6.22,6.42,6.17,154347.0,星期四,-0.0032,-0.0096
2026-05-27,6.39,6.3,6.46,6.26,164043.0,星期三,0.0,-0.0141
2026-05-26,6.31,6.39,6.4,6.27,162572.0,星期二,0.0,0.0127
2026-05-25,6.36,6.31,6.39,6.28,162728.0,星期一,0.0032,-0.0079
2026-05-22,6.39,6.34,6.42,6.32,168747.0,星期五,0.0016,-0.0078
2026-05-21,6.39,6.38,6.49,6.35,174265.0,星期四,0.0,-0.0016
2026-05-20,6.43,6.39,6.44,6.33,161545.0,星期三,-0.0046,-0.0062
2026-05-19,6.44,6.46,6.53,6.4,178164.0,星期二,0.0,0.0031
2026-05-18,6.63,6.44,6.64,6.39,274905.0,星期一,-0.0045,-0.0287
2026-05-15,6.78,6.66,6.8,6.63,190543.0,星期五,0.0044,-0.0177
2026-05-14,6.85,6.75,6.87,6.74,182894.0,星期四,0.0,-0.0146
2026-05-13,6.87,6.85,6.89,6.79,216880.0,星期三,-0.0029,-0.0029
2026-05-12,6.91,6.89,6.92,6.76,307155.0,星期二,-0.0014,-0.0029
2026-05-11,7.05,6.92,7.05,6.84,403241.0,星期一,0.0,-0.0184
2026-05-08,6.94,7.05,7.12,6.94,284713.0,星期五,-0.0057,0.0159
2026-05-07,7.02,6.98,7.07,6.93,271540.0,星期四,-0.0028,-0.0057
2026-05-06,7.16,7.04,7.17,6.99,434849.0,星期三,-0.0097,-0.0168
2026-04-30,7.6,7.23,7.6,7.02,576679.0,星期四,0.0425,-0.0487
2026-04-29,7.1,7.29,7.36,7.1,388724.0,星期三,-0.007,0.0268
2026-04-28,6.93,7.15,7.25,6.84,447322.0,星期二,0.0043,0.0317
2026-04-27,6.84,6.9,7.12,6.81,645055.0,星期一,0.0,0.0088
2026-04-24,7.17,6.84,7.25,6.73,537246.0,星期五,-0.0285,-0.046
2026-04-23,8.03,7.38,8.07,7.3,457972.0,星期四,-0.005,-0.0809
2026-04-22,8.13,8.07,8.25,8.04,139906.0,星期三,-0.0012,-0.0074
2026-04-21,7.99,8.14,8.18,7.97,127755.0,星期二,-0.0012,0.0188
2026-04-20,8.02,8.0,8.21,7.95,148872.0,星期一,-0.0062,-0.0025
2026-04-17,7.93,8.07,8.24,7.9,200840.0,星期五,-0.0013,0.0177
2026-04-16,7.93,7.94,7.97,7.86,103887.0,星期四,0.0038,0.0013
2026-04-15,7.93,7.9,7.99,7.89,111299.0,星期三,0.0013,-0.0038
2026-04-14,8.05,7.92,8.09,7.86,192319.0,星期二,-0.0012,-0.0161
2026-04-13,8.5,8.06,8.54,8.05,207294.0,星期一,0.0216,-0.0518
2026-04-10,8.29,8.32,8.39,8.28,119163.0,星期五,0.0012,0.0036
2026-04-09,8.3,8.28,8.4,8.2,141734.0,星期四,-0.006,-0.0024
2026-04-08,8.15,8.35,8.36,8.14,231462.0,星期三,0.0149,0.0245
2026-04-07,8.05,8.03,8.15,7.99,119814.0,星期二,0.0,-0.0025
2026-04-03,8.1,8.05,8.16,7.91,119367.0,星期五,0.0,-0.0062
2026-04-02,8.08,8.1,8.16,8.03,128075.0,星期四,0.0,0.0025
2026-04-01,8.12,8.08,8.25,8.0,196480.0,星期三,0.005,-0.0049
2026-03-31,8.12,8.08,8.24,8.04,159859.0,星期二,-0.0073,-0.0049
2026-03-30,7.94,8.18,8.28,7.84,194329.0,星期一,-0.0025,0.0302
2026-03-27,8.06,7.96,8.18,7.89,154382.0,星期五,-0.011,-0.0124
2026-03-26,8.19,8.15,8.32,8.1,167788.0,星期四,0.0,-0.0049
2026-03-25,7.78,8.19,8.21,7.73,215909.0,星期三,0.0,0.0527
2026-03-24,7.65,7.78,7.8,7.55,145109.0,星期二,0.0132,0.017
2026-03-23,7.91,7.55,7.92,7.48,240230.0,星期一,0.0,-0.0455
2026-03-20,7.95,7.91,8.12,7.91,200644.0,星期五,-0.0013,-0.005
2026-03-19,8.07,7.96,8.12,7.91,195028.0,星期四,-0.0037,-0.0136
2026-03-18,8.58,8.1,8.6,7.98,299146.0,星期三,0.0012,-0.0559
2026-03-17,8.55,8.57,8.79,8.54,224629.0,星期二,-0.0012,0.0023
2026-03-16,8.6,8.56,8.83,8.53,338299.0,星期一,-0.0149,-0.0047
2026-03-13,8.18,8.73,8.79,8.17,420916.0,星期五,-0.0037,0.0672
2026-03-12,8.21,8.21,8.29,8.15,139670.0,星期四,0.0,0.0
2026-03-11,8.14,8.21,8.22,8.07,131802.0,星期三,0.0012,0.0086
2026-03-10,8.1,8.13,8.27,8.01,165608.0,星期二,0.0,0.0037
2026-03-09,8.32,8.1,8.38,8.07,213573.0,星期一,-0.0036,-0.0264
2026-03-06,8.22,8.35,8.38,8.17,128844.0,星期五,-0.0012,0.0158
2026-03-05,8.35,8.23,8.45,8.16,204376.0,星期四,0.0072,-0.0144
2026-03-04,8.57,8.29,8.58,8.29,232676.0,星期三,0.0,-0.0327
2026-03-03,8.48,8.57,8.7,8.47,257702.0,星期二,-0.007,0.0106
2026-03-02,8.42,8.54,8.57,8.35,249795.0,星期一,-0.0094,0.0143
2026-02-27,8.37,8.5,8.54,8.33,170966.0,星期五,-0.0012,0.0155
2026-02-26,8.31,8.38,8.42,8.31,120901.0,星期四,0.0,0.0084
