time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,15.4,15.29,16.55,15.1,2391419.0,星期五,-0.0235,-0.0071
2026-06-25,14.95,15.77,16.1,14.66,2662454.0,星期四,-0.0145,0.0548
2026-06-24,14.45,15.17,15.44,14.41,2634766.0,星期三,-0.0641,0.0498
2026-06-23,16.5,15.44,16.55,15.44,1604695.0,星期二,-0.0379,-0.0642
2026-06-22,17.32,17.15,17.84,16.35,3518853.0,星期一,-0.0142,-0.0098
2026-06-18,17.5,17.57,18.42,17.0,4928456.0,星期四,0.0163,0.004
2026-06-17,17.22,17.22,17.22,17.22,162235.0,星期三,0.1003,0.0
2026-06-16,15.65,15.65,15.65,15.65,108116.0,星期二,0.0998,0.0
2026-06-15,13.6,14.23,14.23,13.59,699018.0,星期一,0.051,0.0463
2026-06-12,12.52,12.94,13.44,12.3,2798251.0,星期五,0.0245,0.0335
2026-06-11,12.21,12.22,12.45,11.88,1732584.0,星期四,0.0008,0.0008
2026-06-10,12.38,12.2,12.58,11.8,2238090.0,星期三,0.0483,-0.0145
2026-06-09,11.0,11.81,11.81,10.99,1025252.0,星期二,0.0242,0.0736
2026-06-08,10.7,10.74,11.27,10.52,1333557.0,星期一,-0.0523,0.0037
2026-06-05,11.42,11.29,11.95,10.87,1840852.0,星期五,-0.0104,-0.0114
2026-06-04,11.89,11.54,11.9,11.26,1766155.0,星期四,-0.0125,-0.0294
2026-06-03,11.52,12.04,12.73,11.52,2227040.0,星期三,-0.027,0.0451
2026-06-02,12.18,11.84,12.32,11.33,2119837.0,星期二,-0.0154,-0.0279
2026-06-01,12.61,12.37,13.19,12.2,3124310.0,星期一,-0.0039,-0.019
2026-05-29,11.7,12.66,12.66,11.51,2771038.0,星期五,0.0165,0.0821
2026-05-28,10.48,11.51,11.51,10.48,2324842.0,星期四,0.0019,0.0983
2026-05-27,10.65,10.46,10.92,10.32,1812100.0,星期三,-0.0148,-0.0178
2026-05-26,10.08,10.81,11.09,9.88,2628398.0,星期二,0.0,0.0724
2026-05-25,10.17,10.08,10.65,10.03,1049916.0,星期一,0.019,-0.0088
2026-05-22,9.29,9.98,10.07,9.2,1240266.0,星期五,0.0,0.0743
2026-05-21,9.99,9.29,10.14,9.26,1041523.0,星期四,0.0081,-0.0701
2026-05-20,9.66,9.91,10.06,9.32,1073299.0,星期三,-0.0062,0.0259
2026-05-19,9.88,9.72,10.01,9.54,923869.0,星期二,-0.012,-0.0162
2026-05-18,10.01,10.0,10.12,9.8,1029201.0,星期一,-0.0099,-0.001
2026-05-15,10.34,10.11,10.84,10.03,1329354.0,星期五,-0.0086,-0.0222
2026-05-14,11.01,10.43,11.08,10.32,1424909.0,星期四,-0.0054,-0.0527
2026-05-13,10.8,11.07,11.37,10.62,1593820.0,星期三,-0.0037,0.025
2026-05-12,10.96,10.84,11.14,10.61,1303332.0,星期二,0.0009,-0.0109
2026-05-11,11.07,10.95,11.45,10.85,1548962.0,星期一,0.0,-0.0108
2026-05-08,11.11,11.07,11.54,11.01,1667419.0,星期五,-0.0159,-0.0036
2026-05-07,11.41,11.29,11.99,11.25,1911312.0,星期四,-0.0035,-0.0105
2026-05-06,10.94,11.45,11.49,10.63,2048555.0,星期三,0.0177,0.0466
2026-04-30,10.9,10.75,11.34,10.71,1707973.0,星期四,-0.0082,-0.0138
2026-04-29,10.4,10.99,11.11,10.4,2170245.0,星期三,-0.0152,0.0567
2026-04-28,10.4,10.56,10.96,10.12,2366089.0,星期二,-0.0076,0.0154
2026-04-27,9.6,10.48,10.5,9.5,2187786.0,星期一,-0.0164,0.0917
2026-04-24,8.94,9.76,9.95,8.63,2658344.0,星期五,-0.0356,0.0917
2026-04-23,10.55,9.27,10.6,9.27,2458188.0,星期四,0.0243,-0.1213
2026-04-22,10.0,10.3,10.47,10.0,2042776.0,星期三,0.001,0.03
2026-04-21,9.93,9.99,10.18,9.48,1705539.0,星期二,-0.007,0.006
