time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.66,5.47,5.68,5.42,237369.0,星期五,0.0053,-0.0336
2026-06-25,5.81,5.63,5.82,5.59,289677.0,星期四,-0.0051,-0.031
2026-06-24,6.14,5.84,6.14,5.83,343462.0,星期三,0.0066,-0.0489
2026-06-23,6.06,6.1,6.22,6.02,329726.0,星期二,-0.0082,0.0066
2026-06-22,6.01,6.11,6.13,5.85,427859.0,星期一,-0.0066,0.0166
2026-06-18,6.3,6.05,6.34,5.99,500054.0,星期四,-0.0079,-0.0397
2026-06-17,6.79,6.35,6.79,6.3,379873.0,星期三,0.0104,-0.0648
2026-06-16,6.78,6.72,6.87,6.69,337158.0,星期二,-0.0131,-0.0088
2026-06-15,6.9,6.87,6.99,6.78,382540.0,星期一,-0.0129,-0.0043
2026-06-12,6.71,6.99,7.11,6.7,400830.0,星期五,0.0,0.0417
2026-06-11,6.63,6.71,6.82,6.6,401628.0,星期四,0.0076,0.0121
2026-06-10,6.95,6.58,6.98,6.51,432218.0,星期三,-0.0014,-0.0532
2026-06-09,7.14,6.96,7.17,6.87,473200.0,星期二,-0.007,-0.0252
2026-06-08,7.3,7.19,7.41,7.15,416624.0,星期一,-0.0068,-0.0151
2026-06-05,7.32,7.35,7.5,7.26,473322.0,星期五,-0.0041,0.0041
2026-06-04,7.37,7.35,7.49,7.26,602388.0,星期四,0.0,-0.0027
2026-06-03,7.18,7.37,7.44,7.11,635863.0,星期三,-0.0042,0.0265
2026-06-02,7.15,7.21,7.34,7.06,705890.0,星期二,0.0042,0.0084
2026-06-01,6.9,7.12,7.18,6.79,674900.0,星期一,0.0073,0.0319
2026-05-29,6.61,6.85,6.95,6.61,474517.0,星期五,0.003,0.0363
2026-05-28,6.34,6.59,6.7,6.31,394102.0,星期四,-0.0047,0.0394
2026-05-27,6.27,6.37,6.39,6.2,269201.0,星期三,0.0,0.0159
2026-05-26,6.35,6.27,6.42,6.2,223078.0,星期二,-0.0094,-0.0126
2026-05-25,6.38,6.41,6.56,6.36,340513.0,星期一,0.0208,0.0047
2026-05-22,6.28,6.25,6.33,6.18,189594.0,星期五,0.0016,-0.0048
2026-05-21,6.41,6.27,6.46,6.25,284109.0,星期四,-0.0062,-0.0218
2026-05-20,6.62,6.45,6.69,6.4,241969.0,星期三,-0.0015,-0.0257
2026-05-19,6.72,6.63,6.77,6.57,253797.0,星期二,-0.0088,-0.0134
2026-05-18,6.7,6.78,6.89,6.64,344355.0,星期一,0.006,0.0119
2026-05-15,6.58,6.66,6.92,6.44,444126.0,星期五,0.0046,0.0122
2026-05-14,6.68,6.55,6.76,6.55,226293.0,星期四,0.0,-0.0195
2026-05-13,6.75,6.68,6.84,6.66,268365.0,星期三,0.0015,-0.0104
2026-05-12,6.7,6.74,6.85,6.7,207203.0,星期二,-0.0147,0.006
2026-05-11,6.7,6.8,6.91,6.68,365658.0,星期一,0.0075,0.0149
2026-05-08,6.84,6.65,6.88,6.64,263243.0,星期五,0.0194,-0.0278
2026-05-07,7.03,6.71,7.07,6.69,474015.0,星期四,-0.0182,-0.0455
2026-05-06,7.09,7.16,7.18,6.92,495009.0,星期三,0.0014,0.0099
2026-04-30,6.99,7.08,7.13,6.98,586796.0,星期四,0.013,0.0129
2026-04-29,6.8,6.9,6.95,6.78,343187.0,星期三,-0.0073,0.0147
2026-04-28,6.64,6.85,6.87,6.63,375951.0,星期二,-0.003,0.0316
2026-04-27,6.41,6.66,6.81,6.4,513056.0,星期一,-0.0077,0.039
2026-04-24,6.4,6.46,6.55,6.39,407127.0,星期五,-0.0303,0.0094
2026-04-23,6.33,6.6,6.63,6.33,494972.0,星期四,-0.0016,0.0427
2026-04-22,6.33,6.34,6.39,6.32,165439.0,星期三,-0.0031,0.0016
2026-04-21,6.2,6.35,6.37,6.2,331555.0,星期二,-0.0016,0.0242
2026-04-20,6.18,6.21,6.25,6.14,204340.0,星期一,0.0,0.0049
