time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.8,2.7,2.81,2.69,207907.0,星期五,-0.0036,-0.0357
2026-06-25,2.84,2.81,2.85,2.79,132551.0,星期四,-0.0035,-0.0106
2026-06-24,2.91,2.85,2.92,2.84,140583.0,星期三,0.0,-0.0206
2026-06-23,2.9,2.91,2.97,2.89,164720.0,星期二,-0.0034,0.0034
2026-06-22,2.88,2.91,2.94,2.82,192262.0,星期一,-0.0035,0.0104
2026-06-18,2.91,2.89,2.93,2.86,102570.0,星期四,-0.0068,-0.0069
2026-06-17,2.95,2.93,2.96,2.86,188608.0,星期三,0.0,-0.0068
2026-06-16,3.0,2.95,3.0,2.94,122968.0,星期二,0.0,-0.0167
2026-06-15,3.02,3.0,3.07,2.97,165061.0,星期一,0.0,-0.0066
2026-06-12,2.97,3.02,3.03,2.93,212481.0,星期五,0.0034,0.0168
2026-06-11,3.01,2.96,3.03,2.94,153578.0,星期四,-0.0066,-0.0166
2026-06-10,3.02,3.03,3.04,2.98,165146.0,星期三,-0.0033,0.0033
2026-06-09,3.08,3.03,3.08,3.01,148144.0,星期二,0.0033,-0.0162
2026-06-08,3.12,3.07,3.13,3.05,164724.0,星期一,-0.0064,-0.016
2026-06-05,3.12,3.14,3.17,3.11,125226.0,星期五,-0.0032,0.0064
2026-06-04,3.2,3.13,3.21,3.13,123908.0,星期四,0.0031,-0.0219
2026-06-03,3.24,3.19,3.25,3.18,183027.0,星期三,0.0,-0.0154
2026-06-02,3.31,3.24,3.31,3.24,137758.0,星期二,0.0,-0.0211
2026-06-01,3.26,3.31,3.32,3.23,152696.0,星期一,-0.0061,0.0153
2026-05-29,3.25,3.28,3.3,3.24,184505.0,星期五,0.0093,0.0092
2026-05-28,3.21,3.22,3.25,3.2,103309.0,星期四,-0.0031,0.0031
2026-05-27,3.28,3.22,3.29,3.21,149659.0,星期三,0.0,-0.0183
2026-05-26,3.25,3.28,3.28,3.23,160545.0,星期二,0.0,0.0092
2026-05-25,3.27,3.25,3.27,3.22,128927.0,星期一,0.0031,-0.0061
