time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,11.33,10.96,11.42,10.85,258067.0,星期五,-0.0009,-0.0327
2026-06-25,11.37,11.34,11.69,11.28,175530.0,星期四,-0.0104,-0.0026
2026-06-24,11.83,11.49,11.83,11.43,126446.0,星期三,0.0077,-0.0287
2026-06-23,11.63,11.74,11.91,11.58,176458.0,星期二,-0.0077,0.0095
2026-06-22,11.84,11.72,11.87,11.34,265528.0,星期一,-0.0084,-0.0101
2026-06-18,12.21,11.94,12.24,11.9,153602.0,星期四,-0.034,-0.0221
2026-06-17,12.85,12.64,12.9,12.57,101193.0,星期三,0.0,-0.0163
2026-06-16,12.98,12.85,12.98,12.7,151682.0,星期二,-0.0015,-0.01
2026-06-15,12.8,13.0,13.25,12.78,171494.0,星期一,0.0039,0.0156
2026-06-12,12.53,12.75,12.83,12.42,257949.0,星期五,0.0032,0.0176
2026-06-11,12.7,12.49,12.73,12.46,92481.0,星期四,-0.0008,-0.0165
2026-06-10,12.42,12.71,12.78,12.37,146817.0,星期三,-0.0072,0.0233
2026-06-09,12.63,12.51,12.69,12.32,163456.0,星期二,0.0008,-0.0095
2026-06-08,12.98,12.62,13.15,12.53,167203.0,星期一,-0.0061,-0.0277
2026-06-05,13.02,13.06,13.35,12.98,138239.0,星期五,0.0062,0.0031
2026-06-04,13.13,12.94,13.32,12.82,140019.0,星期四,-0.0015,-0.0145
2026-06-03,13.4,13.15,13.48,13.01,181658.0,星期三,-0.0045,-0.0187
2026-06-02,13.59,13.46,13.68,13.31,144555.0,星期二,0.0007,-0.0096
2026-06-01,13.04,13.58,13.64,13.04,183988.0,星期一,-0.0121,0.0414
2026-05-29,12.87,13.2,13.32,12.8,258332.0,星期五,0.0016,0.0256
2026-05-28,13.36,12.85,13.38,12.81,191334.0,星期四,0.0,-0.0382
2026-05-27,13.38,13.36,13.79,13.26,192691.0,星期三,-0.0015,-0.0015
2026-05-26,13.16,13.4,13.44,13.14,103821.0,星期二,-0.0015,0.0182
2026-05-25,13.19,13.18,13.37,13.11,106132.0,星期一,-0.0008,-0.0008
2026-05-22,13.67,13.2,13.74,13.15,148830.0,星期五,0.0059,-0.0344
2026-05-21,13.49,13.59,13.79,13.49,164126.0,星期四,0.0022,0.0074
2026-05-20,13.59,13.46,13.59,13.27,128826.0,星期三,-0.0037,-0.0096
2026-05-19,13.55,13.64,13.67,13.42,127322.0,星期二,0.0007,0.0066
2026-05-18,13.86,13.54,13.86,13.45,152338.0,星期一,-0.0036,-0.0231
2026-05-15,14.08,13.91,14.14,13.86,138427.0,星期五,0.0014,-0.0121
