time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.4,9.93,10.58,9.88,228133.0,星期五,-0.0048,-0.0452
2026-06-25,10.05,10.45,10.58,9.81,331661.0,星期四,-0.0118,0.0398
2026-06-24,9.97,10.17,10.37,9.89,275719.0,星期三,0.0071,0.0201
2026-06-23,9.64,9.9,10.09,9.63,201211.0,星期二,-0.0052,0.027
2026-06-22,9.66,9.69,9.82,9.35,188363.0,星期一,-0.0193,0.0031
2026-06-18,9.75,9.85,9.93,9.57,148939.0,星期四,0.0104,0.0103
2026-06-17,9.72,9.65,9.78,9.56,84903.0,星期三,-0.0041,-0.0072
2026-06-16,10.0,9.76,10.1,9.71,147618.0,星期二,-0.0148,-0.024
2026-06-15,9.97,10.15,10.17,9.91,149406.0,星期一,-0.003,0.0181
2026-06-12,9.66,10.0,10.08,9.55,206617.0,星期五,0.0063,0.0352
2026-06-11,9.58,9.6,9.77,9.57,99722.0,星期四,-0.0083,0.0021
2026-06-10,9.4,9.66,9.68,9.4,122163.0,星期三,-0.0084,0.0277
2026-06-09,9.55,9.48,9.6,9.39,130548.0,星期二,0.0,-0.0073
2026-06-08,9.8,9.55,9.99,9.45,189090.0,星期一,0.0051,-0.0255
2026-06-05,9.75,9.75,9.85,9.69,92486.0,星期五,0.0072,0.0
2026-06-04,9.91,9.68,9.97,9.62,103387.0,星期四,-0.001,-0.0232
2026-06-03,10.03,9.92,10.03,9.83,100401.0,星期三,0.005,-0.011
2026-06-02,10.15,9.98,10.2,9.95,126024.0,星期二,0.0,-0.0167
2026-06-01,10.25,10.15,10.28,10.08,132182.0,星期一,0.0,-0.0098
2026-05-29,10.2,10.25,10.33,10.11,136648.0,星期五,0.0059,0.0049
2026-05-28,10.3,10.14,10.31,10.02,117448.0,星期四,0.001,-0.0155
2026-05-27,10.44,10.29,10.48,10.25,121877.0,星期三,-0.0048,-0.0144
2026-05-26,10.52,10.49,10.71,10.36,123222.0,星期二,-0.0009,-0.0029
2026-05-25,10.64,10.53,10.67,10.45,137831.0,星期一,-0.0009,-0.0103
2026-05-22,10.91,10.65,10.91,10.5,158676.0,星期五,0.0225,-0.0238
2026-05-21,10.86,10.67,11.04,10.62,145452.0,星期四,-0.0064,-0.0175
2026-05-20,10.82,10.93,10.96,10.64,171052.0,星期三,-0.0064,0.0102
2026-05-19,10.99,10.89,11.08,10.8,169606.0,星期二,0.0055,-0.0091
2026-05-18,11.24,10.93,11.28,10.79,264056.0,星期一,0.0072,-0.0276
2026-05-15,11.47,11.16,11.57,11.11,267921.0,星期五,-0.0043,-0.027
2026-05-14,11.53,11.52,11.72,11.34,312318.0,星期四,0.0052,-0.0009
2026-05-13,11.46,11.47,11.55,11.34,166498.0,星期三,0.0,0.0009
2026-05-12,11.73,11.46,11.73,11.46,255696.0,星期二,-0.0068,-0.023
2026-05-11,11.56,11.81,11.83,11.38,360384.0,星期一,0.0009,0.0216
2026-05-08,11.58,11.55,11.67,11.45,216698.0,星期五,-0.0034,-0.0026
2026-05-07,11.52,11.62,11.72,11.48,235715.0,星期四,-0.006,0.0087
2026-05-06,11.25,11.59,11.82,11.16,406209.0,星期三,-0.0062,0.0302
2026-04-30,11.44,11.32,11.53,11.32,264803.0,星期四,-0.0026,-0.0105
2026-04-29,11.44,11.47,11.65,11.16,332345.0,星期三,-0.0069,0.0026
2026-04-28,11.68,11.52,11.75,11.43,407951.0,星期二,0.0026,-0.0137
2026-04-27,11.29,11.65,11.65,11.21,384784.0,星期一,-0.007,0.0319
2026-04-24,11.24,11.37,11.44,11.08,343599.0,星期五,0.0,0.0116
2026-04-23,11.28,11.24,11.38,11.07,323134.0,星期四,-0.0079,-0.0035
2026-04-22,11.01,11.37,11.38,10.92,386199.0,星期三,-0.0045,0.0327
2026-04-21,11.14,11.06,11.3,11.03,304187.0,星期二,-0.0027,-0.0072
2026-04-20,11.15,11.17,11.23,11.01,371907.0,星期一,-0.008,0.0018
2026-04-17,11.47,11.24,11.63,11.11,615538.0,星期五,-0.0052,-0.0201
2026-04-16,11.93,11.53,12.24,11.46,1096149.0,星期四,0.0474,-0.0335
2026-04-15,10.4,11.39,11.39,10.4,493332.0,星期三,0.0048,0.0952
2026-04-14,10.24,10.35,10.36,10.17,104094.0,星期二,0.001,0.0107
2026-04-13,10.23,10.23,10.31,10.14,100889.0,星期一,-0.0039,0.0
2026-04-10,10.28,10.27,10.42,10.19,129733.0,星期五,0.001,-0.001
2026-04-09,10.32,10.27,10.61,10.21,198427.0,星期四,-0.0039,-0.0048
2026-04-08,10.58,10.36,10.74,10.28,322565.0,星期三,-0.0056,-0.0208
2026-04-07,10.6,10.64,10.74,10.44,113506.0,星期二,0.0066,0.0038
2026-04-03,10.63,10.53,10.75,10.53,136666.0,星期五,-0.0102,-0.0094
2026-04-02,10.74,10.74,10.84,10.67,139034.0,星期四,-0.0028,0.0
2026-04-01,10.55,10.77,10.79,10.4,175967.0,星期三,0.0076,0.0209
2026-03-31,10.38,10.47,10.63,10.34,124616.0,星期二,-0.0019,0.0087
2026-03-30,10.19,10.4,10.45,10.11,123446.0,星期一,-0.0049,0.0206
2026-03-27,9.85,10.24,10.27,9.75,154215.0,星期五,-0.002,0.0396
2026-03-26,9.85,9.87,10.05,9.81,88365.0,星期四,0.001,0.002
2026-03-25,9.85,9.84,9.91,9.79,97311.0,星期三,0.0031,-0.001
2026-03-24,9.65,9.82,9.83,9.54,117997.0,星期二,0.0158,0.0176
2026-03-23,10.26,9.5,10.28,9.41,251047.0,星期一,-0.0048,-0.0741
2026-03-20,10.38,10.31,10.49,10.27,98107.0,星期五,0.0,-0.0067
2026-03-19,10.49,10.38,10.56,10.33,89685.0,星期四,-0.0038,-0.0105
2026-03-18,10.58,10.53,10.65,10.46,104221.0,星期三,0.0,-0.0047
2026-03-17,10.62,10.58,10.73,10.55,120577.0,星期二,0.0,-0.0038
2026-03-16,10.54,10.62,10.7,10.5,115848.0,星期一,-0.0009,0.0076
2026-03-13,10.48,10.55,10.6,10.46,105092.0,星期五,-0.001,0.0067
2026-03-12,10.44,10.49,10.57,10.4,109745.0,星期四,0.0,0.0048
2026-03-11,10.46,10.44,10.48,10.36,86752.0,星期三,0.001,-0.0019
2026-03-10,10.38,10.45,10.51,10.33,121927.0,星期二,0.0048,0.0067
2026-03-09,10.28,10.33,10.46,10.27,149641.0,星期一,-0.0087,0.0049
2026-03-06,9.99,10.37,10.39,9.98,167356.0,星期五,0.002,0.038
2026-03-05,10.08,9.97,10.12,9.95,103769.0,星期四,0.011,-0.0109
2026-03-04,10.0,9.97,10.1,9.86,124607.0,星期三,-0.004,-0.003
2026-03-03,10.19,10.04,10.3,10.0,135179.0,星期二,-0.0029,-0.0147
2026-03-02,10.33,10.22,10.37,10.15,133090.0,星期一,-0.0086,-0.0106
2026-02-27,10.4,10.42,10.44,10.37,62745.0,星期五,-0.0019,0.0019
2026-02-26,10.46,10.42,10.52,10.38,93397.0,星期四,-0.0019,-0.0038
2026-02-25,10.37,10.48,10.6,10.37,89485.0,星期三,-0.0019,0.0106
2026-02-24,10.5,10.39,10.51,10.39,83092.0,星期二,0.0184,-0.0105
2026-02-13,10.54,10.31,10.55,10.3,86987.0,星期五,0.0029,-0.0218
2026-02-12,10.58,10.51,10.61,10.48,69105.0,星期四,-0.0019,-0.0066
