time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,15.02,14.52,15.17,14.33,354582.0,星期五,-0.0099,-0.0333
2026-06-25,15.0,15.17,15.73,14.47,574820.0,星期四,-0.0066,0.0113
2026-06-24,13.88,15.1,15.1,13.58,705003.0,星期三,0.0109,0.0879
2026-06-23,12.68,13.73,13.73,12.59,280112.0,星期二,0.016,0.0828
2026-06-22,12.07,12.48,12.49,11.94,174113.0,星期一,-0.0008,0.034
2026-06-18,12.25,12.08,12.27,12.03,108880.0,星期四,-0.0033,-0.0139
2026-06-17,12.42,12.29,12.58,12.25,116823.0,星期三,-0.0096,-0.0105
2026-06-16,12.34,12.54,12.79,12.22,154609.0,星期二,0.0073,0.0162
2026-06-15,11.95,12.25,12.26,11.92,126437.0,星期一,0.0059,0.0251
2026-06-12,12.01,11.88,12.22,11.78,121419.0,星期五,-0.0025,-0.0108
2026-06-11,11.91,12.04,12.05,11.72,113025.0,星期四,-0.0075,0.0109
2026-06-10,12.19,12.0,12.35,11.88,118472.0,星期三,-0.0008,-0.0156
2026-06-09,12.3,12.2,12.3,11.87,115575.0,星期二,0.0174,-0.0081
2026-06-08,12.28,12.09,12.72,11.9,155973.0,星期一,-0.0323,-0.0155
2026-06-05,12.63,12.69,12.92,12.2,190799.0,星期五,-0.0055,0.0048
2026-06-04,13.08,12.7,13.22,12.53,206322.0,星期四,-0.0165,-0.0291
2026-06-03,13.19,13.3,13.31,12.77,195544.0,星期三,-0.003,0.0083
2026-06-02,13.79,13.23,13.86,12.9,230244.0,星期二,-0.0065,-0.0406
2026-06-01,13.16,13.88,14.08,13.08,260543.0,星期一,0.0,0.0547
2026-05-29,13.96,13.16,13.96,13.09,243647.0,星期五,-0.0085,-0.0573
2026-05-28,13.9,14.08,14.18,13.76,286827.0,星期四,-0.0252,0.0129
2026-05-27,13.38,14.26,14.46,13.06,461069.0,星期三,-0.0205,0.0658
2026-05-26,13.35,13.66,13.85,12.76,424852.0,星期二,0.0007,0.0232
2026-05-25,13.54,13.34,13.68,13.19,241447.0,星期一,0.0,-0.0148
2026-05-22,13.35,13.54,13.61,13.27,237916.0,星期五,0.003,0.0142
2026-05-21,14.13,13.31,14.3,13.09,413592.0,星期四,-0.0021,-0.058
2026-05-20,14.72,14.16,15.08,14.16,472553.0,星期三,-0.0258,-0.038
2026-05-19,15.61,15.11,15.96,15.11,685291.0,星期二,-0.0703,-0.032
