time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.03,9.76,10.1,9.76,717579.0,星期五,-0.0069,-0.0269
2026-06-25,9.98,10.1,10.42,9.91,973514.0,星期四,-0.007,0.012
2026-06-24,10.61,10.05,10.66,10.05,743832.0,星期三,0.0028,-0.0528
2026-06-23,10.51,10.58,10.93,10.49,609494.0,星期二,-0.0113,0.0067
2026-06-22,10.4,10.63,10.68,10.21,757481.0,星期一,-0.0133,0.0221
2026-06-18,11.01,10.54,11.04,10.47,693113.0,星期四,-0.03,-0.0427
2026-06-17,11.68,11.35,11.76,11.2,869102.0,星期三,-0.0085,-0.0283
2026-06-16,11.38,11.78,11.82,11.25,896902.0,星期二,0.0009,0.0351
2026-06-15,11.42,11.37,11.47,11.23,731510.0,星期一,0.0106,-0.0044
2026-06-12,11.09,11.3,11.45,11.06,870692.0,星期五,0.0064,0.0189
2026-06-11,11.0,11.02,11.2,10.81,542984.0,星期四,-0.0063,0.0018
2026-06-10,11.2,11.07,11.23,10.98,534243.0,星期三,-0.0097,-0.0116
2026-06-09,11.15,11.31,11.36,10.86,849373.0,星期二,-0.0018,0.0143
2026-06-08,11.48,11.17,11.7,11.12,765698.0,星期一,-0.0279,-0.027
2026-06-05,11.99,11.81,12.17,11.7,744942.0,星期五,-0.0025,-0.015
2026-06-04,12.4,12.02,12.5,11.88,817603.0,星期四,-0.008,-0.0306
2026-06-03,12.55,12.5,12.61,12.3,722586.0,星期三,-0.0087,-0.004
2026-06-02,12.85,12.66,12.95,12.56,572855.0,星期二,-0.0085,-0.0148
2026-06-01,12.62,12.96,13.03,12.48,664567.0,星期一,-0.0148,0.0269
2026-05-29,12.61,12.81,13.09,12.57,834796.0,星期五,-0.0047,0.0159
2026-05-28,13.1,12.67,13.14,12.65,912709.0,星期四,-0.0053,-0.0328
2026-05-27,13.25,13.17,13.49,12.89,963682.0,星期三,0.0008,-0.006
2026-05-26,13.5,13.24,13.52,13.15,811583.0,星期二,-0.0088,-0.0193
