time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.62,2.57,2.63,2.55,161231.0,星期五,-0.0038,-0.0191
2026-06-25,2.67,2.63,2.68,2.6,174907.0,星期四,0.0038,-0.015
2026-06-24,2.85,2.66,2.86,2.65,233831.0,星期三,0.0035,-0.0667
2026-06-23,2.74,2.84,2.89,2.72,256693.0,星期二,0.0037,0.0365
2026-06-22,2.72,2.73,2.75,2.61,176480.0,星期一,0.0,0.0037
2026-06-18,2.74,2.72,2.76,2.66,139457.0,星期四,-0.0036,-0.0073
2026-06-17,2.81,2.75,2.82,2.71,163549.0,星期三,0.0,-0.0214
2026-06-16,2.85,2.81,2.86,2.72,204742.0,星期二,0.0071,-0.014
2026-06-15,2.92,2.83,2.99,2.81,240881.0,星期一,0.0069,-0.0308
2026-06-12,2.94,2.9,2.95,2.81,231961.0,星期五,0.0068,-0.0136
2026-06-11,2.89,2.92,2.95,2.86,168137.0,星期四,-0.0137,0.0104
2026-06-10,2.91,2.93,2.95,2.86,180770.0,星期三,-0.0034,0.0069
2026-06-09,2.98,2.92,3.0,2.88,204397.0,星期二,0.0,-0.0201
2026-06-08,3.01,2.98,3.1,2.93,252574.0,星期一,-0.0195,-0.01
2026-06-05,2.95,3.07,3.14,2.88,322924.0,星期五,-0.0034,0.0407
2026-06-04,2.93,2.96,2.99,2.92,203017.0,星期四,-0.0101,0.0102
2026-06-03,3.05,2.96,3.07,2.93,234472.0,星期三,0.0,-0.0295
2026-06-02,3.14,3.05,3.16,3.02,291601.0,星期二,0.0,-0.0287
2026-06-01,2.96,3.14,3.15,2.94,280215.0,星期一,-0.01,0.0608
2026-05-29,3.08,2.99,3.15,2.98,228648.0,星期五,0.0,-0.0292
2026-05-28,3.04,3.08,3.12,3.0,234920.0,星期四,0.0,0.0132
2026-05-27,3.13,3.04,3.13,3.01,291864.0,星期三,0.0,-0.0288
2026-05-26,3.21,3.13,3.23,3.08,235281.0,星期二,-0.0031,-0.0249
2026-05-25,3.32,3.22,3.38,3.2,236219.0,星期一,0.003,-0.0301
2026-05-22,3.21,3.31,3.32,3.15,292732.0,星期五,0.0031,0.0312
2026-05-21,3.4,3.2,3.42,3.18,270534.0,星期四,0.0059,-0.0588
2026-05-20,3.45,3.38,3.46,3.35,175072.0,星期三,0.0029,-0.0203
2026-05-19,3.53,3.44,3.54,3.38,177621.0,星期二,0.0115,-0.0255
2026-05-18,3.5,3.49,3.51,3.37,262292.0,星期一,0.0086,-0.0029
2026-05-15,3.54,3.47,3.55,3.44,211230.0,星期五,0.0,-0.0198
2026-05-14,3.56,3.54,3.59,3.46,231439.0,星期四,0.0056,-0.0056
2026-05-13,3.56,3.54,3.6,3.52,213660.0,星期三,-0.0056,-0.0056
2026-05-12,3.61,3.58,3.7,3.54,229817.0,星期二,-0.0055,-0.0083
2026-05-11,3.65,3.63,3.66,3.56,281956.0,星期一,0.0167,-0.0055
2026-05-08,3.6,3.59,3.63,3.52,247129.0,星期五,0.0141,-0.0028
2026-05-07,3.6,3.55,3.61,3.52,256852.0,星期四,0.0056,-0.0139
2026-05-06,3.59,3.58,3.66,3.52,308094.0,星期三,0.0,-0.0028
2026-04-30,3.52,3.59,3.66,3.49,283047.0,星期四,0.0057,0.0199
2026-04-29,3.4,3.5,3.53,3.39,302047.0,星期三,0.0,0.0294
2026-04-28,3.37,3.4,3.45,3.36,212904.0,星期二,0.0,0.0089
