time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.62,9.29,9.79,9.2,371335.0,星期五,0.0,-0.0343
2026-06-25,9.67,9.62,9.69,9.51,231733.0,星期四,-0.0092,-0.0052
2026-06-24,9.95,9.76,9.99,9.65,276208.0,星期三,-0.001,-0.0191
2026-06-23,10.08,9.96,10.12,9.91,279583.0,星期二,-0.004,-0.0119
2026-06-22,10.04,10.12,10.12,9.79,440464.0,星期一,0.001,0.008
2026-06-18,10.3,10.03,10.35,10.0,422690.0,星期四,-0.0039,-0.0262
2026-06-17,10.5,10.34,10.59,10.29,290061.0,星期三,-0.001,-0.0152
2026-06-16,10.7,10.51,10.76,10.5,280596.0,星期二,0.0009,-0.0178
2026-06-15,10.55,10.69,10.81,10.55,260330.0,星期一,0.0,0.0133
2026-06-12,10.4,10.55,10.74,10.19,364817.0,星期五,0.0146,0.0144
2026-06-11,10.2,10.25,10.49,10.2,294223.0,星期四,-0.0202,0.0049
2026-06-10,10.8,10.41,10.8,10.17,499620.0,星期三,-0.011,-0.0361
2026-06-09,10.97,10.92,11.15,10.72,419577.0,星期二,0.0037,-0.0046
2026-06-08,11.3,10.93,11.63,10.91,475462.0,星期一,-0.0292,-0.0327
2026-06-05,11.36,11.64,11.84,11.15,563571.0,星期五,-0.0198,0.0246
2026-06-04,12.2,11.59,12.29,11.56,718183.0,星期四,-0.0097,-0.05
2026-06-03,12.62,12.32,12.62,12.03,891372.0,星期三,-0.0179,-0.0238
2026-06-02,13.11,12.85,13.16,12.6,712786.0,星期二,-0.018,-0.0198
2026-06-01,13.72,13.35,13.77,12.88,1041116.0,星期一,-0.0051,-0.027
2026-05-29,13.17,13.79,13.91,13.0,1099157.0,星期五,-0.0098,0.0471
2026-05-28,13.58,13.3,14.08,13.29,992766.0,星期四,0.0097,-0.0206
2026-05-27,13.1,13.45,13.5,12.9,823870.0,星期三,-0.0068,0.0267
2026-05-26,13.28,13.19,13.62,13.03,787021.0,星期二,0.0023,-0.0068
2026-05-25,12.8,13.25,13.41,12.8,803771.0,星期一,0.0095,0.0352
2026-05-22,12.38,12.68,12.77,12.24,577935.0,星期五,-0.0064,0.0242
2026-05-21,12.66,12.46,13.18,12.41,821699.0,星期四,-0.0078,-0.0158
2026-05-20,13.55,12.76,13.78,12.67,1142977.0,星期三,-0.0051,-0.0583
2026-05-19,12.34,13.62,13.62,12.1,1179146.0,星期二,-0.0032,0.1037
2026-05-18,12.5,12.38,12.98,12.33,549968.0,星期一,-0.0142,-0.0096
2026-05-15,13.05,12.68,13.4,12.5,993239.0,星期五,-0.0188,-0.0284
2026-05-14,12.56,13.3,13.63,12.52,1319935.0,星期四,0.0056,0.0589
2026-05-13,12.06,12.49,12.65,12.05,855260.0,星期三,0.0,0.0357
2026-05-12,12.13,12.06,12.24,11.71,486673.0,星期二,0.0,-0.0058
2026-05-11,12.25,12.13,12.4,12.1,598594.0,星期一,0.0082,-0.0098
2026-05-08,12.04,12.15,12.55,11.97,626061.0,星期五,0.0008,0.0091
2026-05-07,11.92,12.03,12.17,11.77,393337.0,星期四,0.0034,0.0092
2026-05-06,11.67,11.88,11.95,11.67,396815.0,星期三,0.0052,0.018
2026-04-30,11.88,11.61,11.9,11.54,305363.0,星期四,-0.0008,-0.0227
2026-04-29,11.74,11.89,12.12,11.61,464554.0,星期三,0.0244,0.0128
2026-04-28,11.58,11.46,11.59,11.35,224143.0,星期二,0.0,-0.0104
2026-04-27,11.6,11.58,11.72,11.48,217374.0,星期一,0.0043,-0.0017
2026-04-24,11.94,11.55,11.99,11.5,353927.0,星期五,-0.0091,-0.0327
2026-04-23,12.05,12.05,12.12,11.69,433618.0,星期四,0.0025,0.0
2026-04-22,11.93,12.02,12.09,11.8,329739.0,星期三,0.0,0.0075
2026-04-21,12.02,11.93,12.09,11.71,334559.0,星期二,0.0008,-0.0075
2026-04-20,11.94,12.01,12.22,11.82,341740.0,星期一,-0.0008,0.0059
2026-04-17,12.2,11.95,12.38,11.93,480269.0,星期五,-0.0073,-0.0205
2026-04-16,12.14,12.29,12.39,11.96,333554.0,星期四,0.0,0.0124
2026-04-15,12.13,12.14,12.28,11.92,497799.0,星期三,0.0008,0.0008
2026-04-14,11.85,12.12,12.25,11.62,511509.0,星期二,0.0137,0.0228
2026-04-13,11.59,11.69,11.8,11.57,289529.0,星期一,-0.006,0.0086
2026-04-10,11.68,11.66,11.8,11.5,319207.0,星期五,0.0121,-0.0017
2026-04-09,11.48,11.54,11.65,11.3,257853.0,星期四,-0.0069,0.0052
2026-04-08,11.19,11.56,11.59,11.18,418992.0,星期三,0.0238,0.0331
2026-04-07,10.84,10.93,11.04,10.81,242202.0,星期二,0.0,0.0083
2026-04-03,11.08,10.84,11.08,10.68,383749.0,星期五,0.0009,-0.0217
2026-04-02,11.42,11.07,11.78,10.95,442585.0,星期四,-0.0009,-0.0306
2026-04-01,11.65,11.43,11.68,11.35,365063.0,星期三,0.031,-0.0189
2026-03-31,11.5,11.3,11.82,11.29,437293.0,星期二,-0.0026,-0.0174
2026-03-30,12.32,11.53,12.34,11.31,764189.0,星期一,-0.0065,-0.0641
2026-03-27,12.63,12.4,12.68,12.17,537746.0,星期五,-0.0086,-0.0182
2026-03-26,12.95,12.74,13.25,12.63,526353.0,星期四,0.0023,-0.0162
2026-03-25,12.82,12.92,13.18,12.66,861076.0,星期三,0.0199,0.0078
2026-03-24,12.43,12.57,12.6,12.01,550786.0,星期二,0.0307,0.0113
2026-03-23,12.56,12.06,12.69,11.93,614369.0,星期一,-0.0188,-0.0398
2026-03-20,13.77,12.8,14.05,12.76,840380.0,星期五,0.0,-0.0704
