time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.92,7.7,7.92,7.57,50243.0,星期五,0.0051,-0.0278
2026-06-25,8.1,7.88,8.13,7.81,47242.0,星期四,0.0075,-0.0272
2026-06-24,8.59,8.04,8.61,7.98,48290.0,星期三,-0.0023,-0.064
2026-06-23,8.49,8.61,8.74,8.43,29915.0,星期二,-0.0047,0.0141
2026-06-22,8.4,8.53,8.54,8.17,37075.0,星期一,-0.0152,0.0155
2026-06-18,8.59,8.53,8.67,8.36,33595.0,星期四,0.0118,-0.007
2026-06-17,8.84,8.49,8.9,8.45,44021.0,星期三,-0.0045,-0.0396
2026-06-16,8.82,8.88,8.9,8.62,31236.0,星期二,0.0011,0.0068
2026-06-15,9.11,8.81,9.29,8.72,48584.0,星期一,0.0122,-0.0329
2026-06-12,9.01,9.0,9.16,8.9,29862.0,星期五,0.0033,-0.0011
2026-06-11,9.07,8.98,9.08,8.8,25223.0,星期四,0.0022,-0.0099
2026-06-10,9.09,9.05,9.12,8.82,30279.0,星期三,0.0,-0.0044
2026-06-09,9.26,9.09,9.32,8.91,33750.0,星期二,0.0043,-0.0184
2026-06-08,9.16,9.22,9.6,9.07,48252.0,星期一,-0.0193,0.0066
2026-06-05,9.23,9.34,9.5,9.07,58498.0,星期五,0.0033,0.0119
2026-06-04,9.62,9.2,9.77,9.16,57670.0,星期四,0.0094,-0.0437
2026-06-03,9.7,9.53,9.86,9.43,51903.0,星期三,-0.0122,-0.0175
2026-06-02,10.15,9.82,10.4,9.72,106012.0,星期二,-0.025,-0.0325
2026-06-01,9.31,10.41,10.41,9.31,52697.0,星期一,-0.0159,0.1182
2026-05-29,9.68,9.46,9.85,9.4,36867.0,星期五,0.0062,-0.0227
2026-05-28,9.69,9.62,9.83,9.36,36240.0,星期四,-0.0041,-0.0072
2026-05-27,9.94,9.73,10.02,9.63,35060.0,星期三,-0.002,-0.0211
2026-05-26,10.22,9.96,10.22,9.79,42821.0,星期二,0.0029,-0.0254
2026-05-25,10.32,10.19,10.42,10.06,39468.0,星期一,0.0,-0.0126
2026-05-22,10.31,10.32,10.39,10.1,36402.0,星期五,0.0059,0.001
2026-05-21,10.51,10.25,10.77,10.22,42586.0,星期四,-0.0057,-0.0247
2026-05-20,10.61,10.57,10.77,10.35,34264.0,星期三,-0.0056,-0.0038
2026-05-19,10.99,10.67,11.0,10.57,29528.0,星期二,0.0167,-0.0291
2026-05-18,10.94,10.81,10.94,10.48,45265.0,星期一,0.0055,-0.0119
2026-05-15,10.95,10.88,11.05,10.8,29958.0,星期五,-0.0009,-0.0064
2026-05-14,11.14,10.96,11.19,10.96,45449.0,星期四,0.0009,-0.0162
2026-05-13,11.22,11.13,11.38,11.02,46114.0,星期三,0.0,-0.008
2026-05-12,11.49,11.22,11.54,11.17,40676.0,星期二,0.0,-0.0235
2026-05-11,11.28,11.49,11.64,11.21,61029.0,星期一,-0.0027,0.0186
2026-05-08,10.96,11.31,11.42,10.88,52396.0,星期五,0.0,0.0319
2026-05-07,10.78,10.96,11.11,10.78,43640.0,星期四,-0.0028,0.0167
2026-05-06,10.8,10.81,10.92,10.71,46323.0,星期三,0.0009,0.0009
2026-04-30,10.65,10.79,10.85,10.6,55248.0,星期四,-0.0065,0.0131
2026-04-29,10.48,10.72,10.98,10.46,63230.0,星期三,0.0048,0.0229
2026-04-28,10.3,10.43,10.47,10.27,30041.0,星期二,-0.0029,0.0126
2026-04-27,10.22,10.33,10.37,10.02,26667.0,星期一,-0.0106,0.0108
2026-04-24,9.98,10.33,10.41,9.96,46698.0,星期五,-0.002,0.0351
2026-04-23,9.98,10.0,10.24,9.91,32925.0,星期四,-0.002,0.002
2026-04-22,9.98,10.0,10.04,9.85,23396.0,星期三,-0.005,0.002
2026-04-21,10.05,10.03,10.05,9.9,19090.0,星期二,0.0,-0.002
2026-04-20,10.06,10.05,10.1,9.92,22578.0,星期一,-0.001,-0.001
2026-04-17,10.19,10.07,10.2,9.94,30380.0,星期五,0.0039,-0.0118
2026-04-16,9.98,10.15,10.21,9.88,28514.0,星期四,0.005,0.017
2026-04-15,10.24,9.93,10.29,9.84,41626.0,星期三,0.0,-0.0303
2026-04-14,10.04,10.24,10.34,10.04,49933.0,星期二,-0.001,0.0199
2026-04-13,9.84,10.05,10.07,9.78,30055.0,星期一,-0.001,0.0213
2026-04-10,9.79,9.85,9.97,9.78,21318.0,星期五,0.0072,0.0061
2026-04-09,9.99,9.72,10.01,9.69,26299.0,星期四,-0.005,-0.027
2026-04-08,9.86,10.04,10.06,9.84,26544.0,星期三,0.0102,0.0183
2026-04-07,9.42,9.76,9.77,9.42,34340.0,星期二,-0.0177,0.0361
2026-04-03,9.88,9.59,9.97,9.5,58722.0,星期五,-0.009,-0.0294
2026-04-02,9.83,9.97,10.15,9.59,66561.0,星期四,0.0,0.0142
2026-04-01,10.04,9.83,10.05,9.72,36321.0,星期三,0.0101,-0.0209
2026-03-31,10.09,9.94,10.19,9.89,21723.0,星期二,0.005,-0.0149
2026-03-30,9.91,10.04,10.05,9.75,25393.0,星期一,-0.0129,0.0131
2026-03-27,9.71,10.04,10.2,9.71,42326.0,星期五,-0.0092,0.034
2026-03-26,9.94,9.8,10.08,9.73,23068.0,星期四,0.001,-0.0141
2026-03-25,9.9,9.93,10.02,9.83,25985.0,星期三,0.0041,0.003
2026-03-24,9.65,9.86,9.88,9.53,38336.0,星期二,0.0244,0.0218
2026-03-23,9.81,9.42,10.03,9.3,53088.0,星期一,-0.018,-0.0398
2026-03-20,10.21,9.99,10.31,9.92,39461.0,星期五,-0.001,-0.0215
2026-03-19,10.62,10.22,10.65,10.14,41305.0,星期四,-0.0038,-0.0377
2026-03-18,10.68,10.66,10.72,10.5,32459.0,星期三,0.0009,-0.0019
2026-03-17,10.79,10.67,11.04,10.67,39506.0,星期二,0.0037,-0.0111
2026-03-16,10.75,10.75,10.83,10.65,39198.0,星期一,0.0009,0.0
