time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,87.0,84.5,89.68,83.62,936733.0,星期五,0.0133,-0.0287
2026-06-25,83.5,85.86,87.5,81.55,960440.0,星期四,0.0057,0.0283
2026-06-24,84.53,83.03,85.97,81.18,1139451.0,星期三,-0.0105,-0.0177
2026-06-23,96.85,85.43,96.85,85.05,1249553.0,星期二,0.0249,-0.1179
2026-06-22,88.92,94.5,94.5,88.88,1084640.0,星期一,0.035,0.0628
2026-06-18,78.12,85.91,88.9,76.5,1555384.0,星期四,-0.0336,0.0997
2026-06-17,80.0,80.84,82.89,76.8,1665609.0,星期三,0.0203,0.0105
2026-06-16,74.0,78.41,78.41,73.81,623654.0,星期二,0.0382,0.0596
2026-06-15,66.1,71.28,71.28,65.5,1158988.0,星期一,0.0201,0.0784
2026-06-12,69.0,64.8,70.13,64.53,1641505.0,星期五,0.0231,-0.0609
2026-06-11,64.51,67.44,68.6,63.76,1190759.0,星期四,0.0119,0.0454
2026-06-10,63.1,63.75,66.27,61.9,888347.0,星期三,-0.013,0.0103
2026-06-09,60.8,63.93,64.0,59.51,863356.0,星期二,0.0241,0.0515
2026-06-08,58.9,59.37,63.12,57.0,834086.0,星期一,-0.0458,0.008
2026-06-05,63.0,61.73,65.9,61.52,1167967.0,星期五,-0.0115,-0.0202
2026-06-04,60.02,63.73,63.98,58.1,1268020.0,星期四,0.0002,0.0618
2026-06-03,55.85,60.01,61.3,55.58,1312808.0,星期三,0.0007,0.0745
2026-06-02,53.0,55.81,56.18,51.47,788300.0,星期二,0.0028,0.053
2026-06-01,55.56,52.85,57.07,52.75,683192.0,星期一,0.0219,-0.0488
2026-05-29,53.21,54.37,56.17,51.3,978318.0,星期五,0.0155,0.0218
2026-05-28,51.24,52.4,53.15,50.4,434164.0,星期四,-0.0062,0.0226
2026-05-27,54.0,51.56,54.22,51.15,509430.0,星期三,0.0009,-0.0452
2026-05-26,51.1,53.95,53.99,50.9,657204.0,星期二,-0.0154,0.0558
2026-05-25,53.08,51.9,53.35,51.45,405168.0,星期一,0.02,-0.0222
2026-05-22,50.19,52.04,52.56,50.19,509806.0,星期五,0.0006,0.0369
2026-05-21,51.68,50.16,53.1,50.01,531728.0,星期四,0.0155,-0.0294
2026-05-20,50.3,50.89,51.73,49.3,562869.0,星期三,-0.0153,0.0117
2026-05-19,53.46,51.08,53.47,50.39,496770.0,星期二,0.0,-0.0445
2026-05-18,52.68,53.46,54.49,51.99,397593.0,星期一,-0.0135,0.0148
2026-05-15,55.0,53.4,55.28,53.11,527997.0,星期五,-0.0022,-0.0291
2026-05-14,58.28,55.12,58.3,55.11,696026.0,星期四,-0.0104,-0.0542
2026-05-13,57.4,58.89,59.84,57.38,636341.0,星期三,-0.0076,0.026
2026-05-12,59.67,57.84,59.78,57.2,522580.0,星期二,0.0042,-0.0307
2026-05-11,58.79,59.42,59.92,58.04,609843.0,星期一,0.0009,0.0107
2026-05-08,58.9,58.74,59.68,57.87,540695.0,星期五,-0.0151,-0.0027
2026-05-07,60.05,59.8,60.83,59.17,664880.0,星期四,0.0057,-0.0042
2026-05-06,57.6,59.71,60.1,56.1,795273.0,星期三,-0.0031,0.0366
2026-04-30,58.5,57.78,60.07,57.4,692325.0,星期四,-0.0163,-0.0123
2026-04-29,55.06,59.47,59.8,54.9,873058.0,星期三,0.0016,0.0801
2026-04-28,57.0,54.97,57.46,54.49,674803.0,星期二,0.0037,-0.0356
2026-04-27,60.5,56.79,60.62,56.66,1052192.0,星期一,-0.0207,-0.0613
2026-04-24,60.7,61.78,62.65,60.01,633735.0,星期五,-0.0311,0.0178
2026-04-23,66.35,62.65,66.4,62.02,751437.0,星期四,0.0008,-0.0558
2026-04-22,63.7,66.3,66.77,63.08,719268.0,星期三,-0.0045,0.0408
2026-04-21,63.03,63.99,64.57,61.78,555320.0,星期二,-0.0097,0.0152
2026-04-20,62.26,63.65,65.0,62.26,817097.0,星期一,-0.0094,0.0223
