time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.95,7.04,7.1,6.79,66968.0,星期五,-0.0043,0.0129
2026-06-25,6.93,6.98,6.98,6.77,35501.0,星期四,-0.0029,0.0072
2026-06-24,7.06,6.95,7.09,6.87,29504.0,星期三,0.0,-0.0156
2026-06-23,6.96,7.06,7.17,6.96,31060.0,星期二,-0.0142,0.0144
2026-06-22,7.01,7.06,7.11,6.82,45925.0,星期一,-0.0043,0.0071
2026-06-18,7.19,7.04,7.22,7.03,34166.0,星期四,-0.0014,-0.0209
2026-06-17,7.35,7.2,7.38,7.15,34812.0,星期三,-0.0027,-0.0204
2026-06-16,7.36,7.37,7.43,7.28,28720.0,星期二,-0.0054,0.0014
2026-06-15,7.41,7.4,7.47,7.35,27854.0,星期一,-0.0013,-0.0013
2026-06-12,7.3,7.42,7.44,7.21,47975.0,星期五,-0.0014,0.0164
2026-06-11,7.34,7.31,7.44,7.18,46566.0,星期四,-0.0054,-0.0041
2026-06-10,7.27,7.38,7.38,7.21,38209.0,星期三,-0.0041,0.0151
2026-06-09,7.23,7.3,7.35,7.16,31847.0,星期二,0.0,0.0097
2026-06-08,7.18,7.23,7.28,7.1,32778.0,星期一,-0.0124,0.007
2026-06-05,7.23,7.27,7.44,7.19,27089.0,星期五,-0.0014,0.0055
2026-06-04,7.22,7.24,7.3,7.09,30464.0,星期四,-0.0123,0.0028
2026-06-03,7.4,7.31,7.43,7.23,33079.0,星期三,0.0027,-0.0122
2026-06-02,7.53,7.38,7.65,7.33,47846.0,星期二,-0.0013,-0.0199
2026-06-01,7.26,7.54,7.62,7.23,59806.0,星期一,-0.0027,0.0386
2026-05-29,7.24,7.28,7.38,7.19,36585.0,星期五,0.0014,0.0055
2026-05-28,7.26,7.23,7.34,7.17,39631.0,星期四,-0.0055,-0.0041
2026-05-27,7.46,7.3,7.53,7.14,69067.0,星期三,-0.004,-0.0214
2026-05-26,7.45,7.49,7.53,7.32,46197.0,星期二,-0.0067,0.0054
2026-05-25,7.53,7.5,7.65,7.44,47934.0,星期一,-0.0026,-0.004
2026-05-22,7.68,7.55,7.69,7.37,106997.0,星期五,-0.0229,-0.0169
2026-05-21,8.37,7.86,8.39,7.54,235216.0,星期四,0.0012,-0.0609
2026-05-20,8.36,8.36,8.41,8.22,111073.0,星期三,0.0012,0.0
2026-05-19,8.34,8.35,8.43,8.17,155785.0,星期二,0.0,0.0012
2026-05-18,8.28,8.34,8.47,8.05,143614.0,星期一,0.0,0.0072
2026-05-15,8.31,8.28,8.44,8.25,71677.0,星期五,-0.006,-0.0036
2026-05-14,8.2,8.36,8.48,8.12,186604.0,星期四,-0.0024,0.0195
2026-05-13,7.91,8.22,8.25,7.89,131463.0,星期三,0.0,0.0392
2026-05-12,8.01,7.91,8.01,7.9,33366.0,星期二,0.0,-0.0125
2026-05-11,8.02,8.01,8.05,7.94,43692.0,星期一,0.0025,-0.0012
2026-05-08,8.12,8.0,8.13,7.99,51722.0,星期五,0.0025,-0.0148
2026-05-07,8.14,8.1,8.14,8.08,31998.0,星期四,0.0037,-0.0049
2026-05-06,8.1,8.11,8.19,8.08,69407.0,星期三,-0.0025,0.0012
2026-04-30,8.14,8.12,8.17,7.97,47672.0,星期四,-0.0037,-0.0025
2026-04-29,8.2,8.17,8.28,8.16,36488.0,星期三,0.0037,-0.0037
2026-04-28,8.15,8.17,8.21,8.11,23478.0,星期二,-0.0024,0.0025
