time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.21,4.31,4.56,4.16,423651.0,星期五,0.0,0.0238
2026-06-25,4.32,4.21,4.37,4.2,284309.0,星期四,-0.0092,-0.0255
2026-06-24,4.51,4.36,4.55,4.36,262297.0,星期三,-0.0022,-0.0333
2026-06-23,4.55,4.52,4.62,4.51,244530.0,星期二,-0.0109,-0.0066
2026-06-22,4.66,4.6,4.67,4.48,384430.0,星期一,-0.0064,-0.0129
2026-06-18,4.92,4.69,4.95,4.67,535006.0,星期四,-0.0219,-0.0467
2026-06-17,4.85,5.03,5.24,4.83,646865.0,星期三,-0.0061,0.0371
2026-06-16,4.72,4.88,4.94,4.66,449723.0,星期二,-0.0042,0.0339
2026-06-15,4.59,4.74,4.79,4.57,342793.0,星期一,0.0044,0.0327
2026-06-12,4.72,4.57,4.77,4.57,397986.0,星期五,0.0043,-0.0318
2026-06-11,4.73,4.7,4.78,4.63,286008.0,星期四,-0.0105,-0.0063
2026-06-10,4.88,4.78,4.9,4.68,410433.0,星期三,-0.0101,-0.0205
2026-06-09,5.03,4.93,5.04,4.87,363491.0,星期二,0.0141,-0.0199
2026-06-08,5.16,4.96,5.26,4.91,703661.0,星期一,-0.0153,-0.0388
2026-06-05,4.75,5.24,5.24,4.65,817847.0,星期五,-0.0021,0.1032
2026-06-04,4.8,4.76,4.82,4.73,320302.0,星期四,-0.0083,-0.0083
2026-06-03,4.99,4.84,4.99,4.82,344903.0,星期三,0.0,-0.0301
2026-06-02,5.1,4.99,5.11,4.92,413470.0,星期二,-0.0039,-0.0216
2026-06-01,5.19,5.12,5.23,5.06,344426.0,星期一,0.0,-0.0135
2026-05-29,5.41,5.19,5.45,5.15,623266.0,星期五,0.0,-0.0407
2026-05-28,5.29,5.41,5.5,5.23,469950.0,星期四,-0.0094,0.0227
2026-05-27,5.5,5.34,5.69,5.26,574228.0,星期三,-0.0036,-0.0291
2026-05-26,5.46,5.52,5.57,5.28,505435.0,星期二,-0.0144,0.011
2026-05-25,5.64,5.54,5.86,5.48,682333.0,星期一,0.033,-0.0177
2026-05-22,5.5,5.46,5.55,5.28,616811.0,星期五,0.0073,-0.0073
2026-05-21,5.58,5.46,5.96,5.44,886693.0,星期四,0.0109,-0.0215
2026-05-20,5.63,5.52,5.64,5.46,327082.0,星期三,-0.0035,-0.0195
2026-05-19,5.64,5.65,5.74,5.54,311168.0,星期二,-0.0018,0.0018
2026-05-18,5.48,5.65,5.68,5.41,369378.0,星期一,-0.0126,0.031
2026-05-15,5.8,5.55,5.83,5.51,646389.0,星期五,0.0,-0.0431
2026-05-14,5.93,5.8,5.98,5.8,470441.0,星期四,0.0,-0.0219
2026-05-13,5.83,5.93,6.09,5.76,649611.0,星期三,-0.0068,0.0172
2026-05-12,5.75,5.87,5.89,5.64,667791.0,星期二,0.0052,0.0209
2026-05-11,5.8,5.72,5.9,5.7,544587.0,星期一,0.0052,-0.0138
2026-05-08,5.84,5.77,5.85,5.73,442139.0,星期五,-0.0102,-0.012
2026-05-07,5.76,5.9,5.97,5.74,643874.0,星期四,0.0052,0.0243
2026-05-06,5.87,5.73,5.9,5.7,634415.0,星期三,0.0017,-0.0239
2026-04-30,5.56,5.86,6.01,5.54,869960.0,星期四,-0.0211,0.054
2026-04-29,5.6,5.68,5.78,5.53,526251.0,星期三,0.0145,0.0143
2026-04-28,5.61,5.52,5.65,5.48,385679.0,星期二,-0.0053,-0.016
2026-04-27,5.31,5.64,5.67,5.27,592410.0,星期一,-0.0275,0.0621
2026-04-24,5.51,5.46,5.58,5.43,255316.0,星期五,-0.0036,-0.0091
2026-04-23,5.54,5.53,5.56,5.35,454441.0,星期四,0.0018,-0.0018
2026-04-22,5.53,5.53,5.76,5.5,441828.0,星期三,-0.0125,0.0
2026-04-21,5.7,5.6,5.7,5.51,404402.0,星期二,0.0,-0.0175
2026-04-20,5.47,5.7,5.87,5.44,844385.0,星期一,0.0092,0.042
2026-04-17,5.3,5.42,5.43,5.23,446311.0,星期五,-0.0038,0.0226
2026-04-16,5.27,5.32,5.37,5.22,388034.0,星期四,0.0,0.0095
2026-04-15,5.27,5.27,5.29,5.22,255678.0,星期三,0.0019,0.0
2026-04-14,5.34,5.26,5.36,5.21,401744.0,星期二,0.0,-0.015
2026-04-13,5.25,5.34,5.42,5.22,501832.0,星期一,-0.0019,0.0171
2026-04-10,5.24,5.26,5.35,5.22,341907.0,星期五,0.0038,0.0038
2026-04-09,5.33,5.22,5.34,5.19,329613.0,星期四,-0.0093,-0.0206
2026-04-08,5.3,5.38,5.4,5.29,401150.0,星期三,0.0212,0.0151
2026-04-07,5.2,5.19,5.25,5.1,321486.0,星期二,0.0,-0.0019
2026-04-03,5.61,5.2,5.61,5.19,497290.0,星期五,0.0072,-0.0731
2026-04-02,5.85,5.57,5.86,5.54,529461.0,星期四,-0.0051,-0.0479
2026-04-01,5.88,5.88,5.95,5.83,364010.0,星期三,0.0173,0.0
2026-03-31,5.89,5.78,5.97,5.76,343275.0,星期二,-0.0084,-0.0187
2026-03-30,5.98,5.94,6.04,5.73,549049.0,星期一,-0.0132,-0.0067
2026-03-27,5.92,6.06,6.11,5.89,427141.0,星期五,-0.0133,0.0236
2026-03-26,6.27,6.0,6.3,5.99,693843.0,星期四,-0.0095,-0.0431
2026-03-25,6.3,6.33,6.43,6.22,747058.0,星期三,-0.0125,0.0048
2026-03-24,6.12,6.38,6.4,6.12,1244969.0,星期二,0.0251,0.0425
