time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.72,2.63,2.74,2.61,268195.0,星期五,-0.0037,-0.0331
2026-06-25,2.79,2.73,2.79,2.7,265729.0,星期四,-0.0036,-0.0215
2026-06-24,2.9,2.8,2.9,2.75,282274.0,星期三,-0.0034,-0.0345
2026-06-23,2.9,2.91,2.95,2.88,212506.0,星期二,0.0,0.0034
2026-06-22,2.9,2.9,2.92,2.82,258644.0,星期一,-0.0068,0.0
2026-06-18,3.02,2.92,3.02,2.89,262088.0,星期四,0.0067,-0.0331
2026-06-17,3.03,3.0,3.04,2.96,295752.0,星期三,0.0,-0.0099
2026-06-16,3.09,3.03,3.1,3.0,295415.0,星期二,0.0,-0.0194
2026-06-15,3.12,3.09,3.18,3.07,301458.0,星期一,-0.0032,-0.0096
2026-06-12,3.09,3.13,3.16,3.01,312236.0,星期五,0.0,0.0129
2026-06-11,3.16,3.09,3.31,3.06,340496.0,星期四,-0.0032,-0.0222
2026-06-10,3.14,3.17,3.23,3.06,438867.0,星期三,-0.0095,0.0096
2026-06-09,3.2,3.17,3.24,3.05,404509.0,星期二,-0.0123,-0.0094
2026-06-08,3.4,3.24,3.45,3.18,570970.0,星期一,-0.023,-0.0471
2026-06-05,3.53,3.48,3.6,3.38,462529.0,星期五,-0.0056,-0.0142
2026-06-04,3.58,3.55,3.61,3.51,420503.0,星期四,-0.0056,-0.0084
2026-06-03,3.65,3.6,3.66,3.5,595576.0,星期三,0.0,-0.0137
2026-06-02,3.72,3.65,3.76,3.59,957842.0,星期二,0.0136,-0.0188
2026-06-01,3.31,3.67,3.67,3.31,460107.0,星期一,-0.009,0.1088
2026-05-29,3.39,3.34,3.44,3.31,355518.0,星期五,-0.0117,-0.0147
2026-05-28,3.42,3.43,3.5,3.39,444475.0,星期四,0.0118,0.0029
2026-05-27,3.44,3.38,3.49,3.34,456489.0,星期三,-0.0029,-0.0174
2026-05-26,3.57,3.45,3.58,3.4,518279.0,星期二,-0.0028,-0.0336
2026-05-25,3.61,3.58,3.7,3.54,395648.0,星期一,0.0028,-0.0083
2026-05-22,3.54,3.6,3.63,3.46,402569.0,星期五,0.0028,0.0169
2026-05-21,3.67,3.53,3.69,3.5,505558.0,星期四,-0.0134,-0.0381
2026-05-20,3.79,3.72,3.87,3.67,631408.0,星期三,-0.0104,-0.0185
2026-05-19,3.81,3.83,3.85,3.72,771594.0,星期二,-0.0052,0.0052
2026-05-18,3.68,3.83,3.84,3.64,887698.0,星期一,0.0,0.0408
2026-05-15,3.65,3.68,3.8,3.48,869717.0,星期五,-0.0135,0.0082
2026-05-14,3.61,3.7,3.83,3.57,1028436.0,星期四,-0.0028,0.0249
2026-05-13,3.49,3.62,3.65,3.48,515293.0,星期三,0.0,0.0372
2026-05-12,3.54,3.49,3.54,3.47,322100.0,星期二,0.0,-0.0141
2026-05-11,3.56,3.54,3.58,3.5,375346.0,星期一,0.0028,-0.0056
2026-05-08,3.55,3.55,3.67,3.53,480350.0,星期五,0.0,0.0
2026-05-07,3.58,3.55,3.62,3.52,515397.0,星期四,-0.0056,-0.0084
2026-05-06,3.61,3.6,3.62,3.47,619671.0,星期三,0.0056,-0.0028
2026-04-30,3.49,3.59,3.65,3.49,691571.0,星期四,0.0,0.0287
2026-04-29,3.43,3.49,3.52,3.38,534860.0,星期三,-0.0087,0.0175
2026-04-28,3.37,3.46,3.49,3.36,592328.0,星期二,-0.003,0.0267
2026-04-27,3.29,3.38,3.4,3.27,458710.0,星期一,-0.009,0.0274
2026-04-24,3.35,3.32,3.38,3.26,514396.0,星期五,0.006,-0.009
2026-04-23,3.27,3.33,3.34,3.21,603869.0,星期四,-0.003,0.0183
2026-04-22,3.25,3.28,3.29,3.23,343634.0,星期三,-0.0061,0.0092
2026-04-21,3.19,3.27,3.28,3.15,491499.0,星期二,-0.0062,0.0251
2026-04-20,3.18,3.21,3.22,3.15,307243.0,星期一,-0.0031,0.0094
2026-04-17,3.24,3.19,3.25,3.16,343977.0,星期五,0.0,-0.0154
2026-04-16,3.24,3.24,3.26,3.17,385001.0,星期四,0.0,0.0
2026-04-15,3.32,3.24,3.34,3.22,426306.0,星期三,-0.003,-0.0241
2026-04-14,3.38,3.33,3.39,3.29,535608.0,星期二,-0.0059,-0.0148
2026-04-13,3.33,3.4,3.4,3.29,744482.0,星期一,0.0183,0.021
2026-04-10,3.35,3.27,3.35,3.26,460261.0,星期五,0.006,-0.0239
2026-04-09,3.36,3.33,3.37,3.28,565669.0,星期四,-0.0088,-0.0089
2026-04-08,3.35,3.39,3.4,3.32,686322.0,星期三,-0.0205,0.0119
2026-04-07,3.3,3.42,3.45,3.22,687710.0,星期二,-0.009,0.0364
2026-04-03,3.6,3.33,3.64,3.32,1007445.0,星期五,-0.0055,-0.075
2026-04-02,3.7,3.62,3.77,3.61,807185.0,星期四,0.0,-0.0216
2026-04-01,3.85,3.7,3.91,3.67,1126353.0,星期三,0.0052,-0.039
2026-03-31,4.0,3.83,4.25,3.83,1362414.0,星期二,-0.022,-0.0425
2026-03-30,4.3,4.09,4.44,3.91,1956973.0,星期一,-0.0092,-0.0488
2026-03-27,4.26,4.34,4.62,4.24,2141105.0,星期五,0.0071,0.0188
2026-03-26,4.18,4.23,4.36,4.03,1847044.0,星期四,-0.0346,0.012
2026-03-25,4.01,4.33,4.35,3.88,2490941.0,星期三,-0.0542,0.0798
2026-03-24,4.05,4.24,4.25,3.83,2487798.0,星期二,-0.0146,0.0469
2026-03-23,4.07,4.11,4.39,4.04,3168329.0,星期一,0.0201,0.0098
2026-03-20,3.68,3.99,3.99,3.68,1772346.0,星期五,0.0138,0.0842
2026-03-19,3.38,3.63,3.63,3.33,1363673.0,星期四,0.0242,0.074
2026-03-18,3.38,3.3,3.38,3.25,424364.0,星期三,-0.0029,-0.0237
2026-03-17,3.38,3.39,3.46,3.35,454956.0,星期二,-0.0029,0.003
