time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.68,2.61,2.72,2.61,582742.0,星期五,-0.0111,-0.0261
2026-06-25,2.77,2.71,2.8,2.69,528114.0,星期四,0.0036,-0.0217
2026-06-24,2.89,2.76,2.89,2.72,754500.0,星期三,0.0,-0.045
2026-06-23,2.85,2.89,2.94,2.83,657756.0,星期二,-0.007,0.014
2026-06-22,2.86,2.87,2.87,2.76,609948.0,星期一,0.0,0.0035
2026-06-18,2.89,2.86,2.92,2.84,460592.0,星期四,-0.0034,-0.0104
2026-06-17,2.95,2.9,2.96,2.87,419935.0,星期三,0.0,-0.0169
2026-06-16,2.92,2.95,2.97,2.85,526767.0,星期二,-0.0034,0.0103
2026-06-15,2.89,2.93,3.0,2.88,551246.0,星期一,0.007,0.0138
2026-06-12,2.88,2.87,2.93,2.83,699250.0,星期五,0.0105,-0.0035
2026-06-11,3.0,2.85,3.01,2.83,849040.0,星期四,-0.0132,-0.05
2026-06-10,3.02,3.04,3.09,2.97,629326.0,星期三,-0.0098,0.0066
2026-06-09,3.05,3.05,3.08,3.01,527064.0,星期二,0.0099,0.0
2026-06-08,3.12,3.02,3.17,2.99,767962.0,星期一,-0.0189,-0.0321
2026-06-05,3.18,3.18,3.23,3.11,639901.0,星期五,0.0,0.0
2026-06-04,3.21,3.18,3.28,3.15,592048.0,星期四,-0.0093,-0.0093
2026-06-03,3.22,3.24,3.29,3.21,505399.0,星期三,-0.0062,0.0062
2026-06-02,3.35,3.24,3.36,3.19,635328.0,星期二,0.006,-0.0328
2026-06-01,3.29,3.33,3.36,3.25,632270.0,星期一,0.003,0.0122
2026-05-29,3.42,3.28,3.43,3.26,740764.0,星期五,0.0029,-0.0409
2026-05-28,3.35,3.41,3.44,3.33,732571.0,星期四,0.003,0.0179
2026-05-27,3.41,3.34,3.47,3.31,690871.0,星期三,-0.0116,-0.0205
2026-05-26,3.5,3.45,3.51,3.38,714655.0,星期二,-0.0085,-0.0143
2026-05-25,3.59,3.53,3.63,3.5,658526.0,星期一,0.0028,-0.0167
2026-05-22,3.59,3.58,3.61,3.52,785026.0,星期五,0.0113,-0.0028
2026-05-21,3.75,3.55,3.79,3.55,1206432.0,星期四,0.0,-0.0533
2026-05-20,3.93,3.75,3.95,3.72,1268929.0,星期三,-0.0126,-0.0458
2026-05-19,3.89,3.98,4.09,3.84,1315177.0,星期二,0.0052,0.0231
2026-05-18,3.87,3.87,3.9,3.81,762087.0,星期一,-0.0026,0.0
2026-05-15,3.95,3.88,4.02,3.84,966324.0,星期五,0.0102,-0.0177
2026-05-14,4.11,3.91,4.16,3.9,1164035.0,星期四,0.0,-0.0487
2026-05-13,4.05,4.11,4.13,3.98,1194083.0,星期三,0.0,0.0148
2026-05-12,4.09,4.05,4.14,4.02,1655976.0,星期二,-0.0145,-0.0098
2026-05-11,4.18,4.15,4.29,4.12,2028352.0,星期一,0.0,-0.0072
2026-05-08,4.14,4.18,4.25,4.08,1985621.0,星期五,0.0,0.0097
2026-05-07,4.01,4.14,4.17,4.0,1992948.0,星期四,-0.005,0.0324
2026-05-06,3.96,4.03,4.08,3.95,2021296.0,星期三,0.0102,0.0177
2026-04-30,4.06,3.92,4.06,3.89,2328379.0,星期四,0.0,-0.0345
2026-04-29,3.81,4.06,4.06,3.81,2204699.0,星期三,0.0325,0.0656
2026-04-28,3.73,3.69,3.83,3.67,1491147.0,星期二,-0.0132,-0.0107
2026-04-27,3.76,3.78,3.79,3.65,1256626.0,星期一,0.0027,0.0053
2026-04-24,3.86,3.75,3.86,3.71,1555544.0,星期五,-0.0077,-0.0285
2026-04-23,4.04,3.89,4.09,3.87,2043796.0,星期四,-0.017,-0.0371
2026-04-22,4.03,4.11,4.18,3.96,2483700.0,星期三,-0.0123,0.0199
2026-04-21,4.27,4.08,4.28,4.03,2310711.0,星期二,0.0,-0.0445
2026-04-20,4.39,4.27,4.48,4.22,3062089.0,星期一,-0.0179,-0.0273
2026-04-17,4.48,4.47,4.55,4.33,3462732.0,星期五,-0.0427,-0.0022
2026-04-16,4.39,4.68,4.76,4.32,4691229.0,星期四,-0.0045,0.0661
2026-04-15,4.5,4.41,4.73,4.38,3885763.0,星期三,-0.0044,-0.02
2026-04-14,4.46,4.52,4.66,4.35,5680379.0,星期二,-0.0067,0.0135
2026-04-13,3.99,4.49,4.49,3.96,3061093.0,星期一,-0.0221,0.1253
2026-04-10,4.48,4.08,4.51,4.05,5285354.0,星期五,0.0,-0.0893
2026-04-09,4.84,4.48,4.84,4.44,6745486.0,星期四,0.1,-0.0744
2026-04-08,4.0,4.4,4.4,3.9,2624607.0,星期三,0.0,0.1
2026-04-07,3.85,4.0,4.0,3.75,2586297.0,星期二,0.0577,0.039
2026-04-03,3.31,3.64,3.64,3.28,1177935.0,星期五,0.0,0.0997
2026-04-02,3.36,3.31,3.41,3.29,343345.0,星期四,-0.003,-0.0149
2026-04-01,3.4,3.37,3.42,3.35,328888.0,星期三,0.0149,-0.0088
2026-03-31,3.37,3.35,3.43,3.35,352991.0,星期二,-0.0059,-0.0059
2026-03-30,3.28,3.39,3.41,3.24,493937.0,星期一,-0.018,0.0335
2026-03-27,3.25,3.34,3.35,3.23,410094.0,星期五,-0.0152,0.0277
2026-03-26,3.35,3.3,3.4,3.29,355928.0,星期四,0.0,-0.0149
2026-03-25,3.33,3.35,3.38,3.3,485491.0,星期三,0.0,0.006
2026-03-24,3.27,3.33,3.33,3.18,571186.0,星期二,0.0315,0.0183
2026-03-23,3.33,3.17,3.34,3.13,709778.0,星期一,-0.0177,-0.048
2026-03-20,3.5,3.39,3.54,3.39,550401.0,星期五,-0.0057,-0.0314
2026-03-19,3.51,3.52,3.6,3.49,579359.0,星期四,-0.0113,0.0028
2026-03-18,3.53,3.55,3.56,3.51,343385.0,星期三,0.0,0.0057
2026-03-17,3.56,3.53,3.61,3.52,420051.0,星期二,0.0056,-0.0084
2026-03-16,3.5,3.54,3.55,3.49,397295.0,星期一,0.0029,0.0114
2026-03-13,3.57,3.49,3.57,3.49,403010.0,星期五,-0.0028,-0.0224
2026-03-12,3.59,3.58,3.61,3.55,339140.0,星期四,-0.0055,-0.0028
2026-03-11,3.6,3.61,3.63,3.58,442002.0,星期三,0.0,0.0028
2026-03-10,3.57,3.6,3.66,3.55,528948.0,星期二,0.0113,0.0084
2026-03-09,3.5,3.53,3.55,3.45,462948.0,星期一,-0.0113,0.0086
2026-03-06,3.5,3.54,3.55,3.48,374392.0,星期五,-0.0028,0.0114
2026-03-05,3.48,3.51,3.55,3.47,480814.0,星期四,0.0146,0.0086
2026-03-04,3.41,3.43,3.47,3.38,447959.0,星期三,-0.0116,0.0059
2026-03-03,3.6,3.45,3.64,3.43,688110.0,星期二,-0.0055,-0.0417
2026-03-02,3.73,3.62,3.74,3.57,771830.0,星期一,-0.0132,-0.0295
2026-02-27,3.75,3.78,3.79,3.74,425272.0,星期五,-0.0027,0.008
2026-02-26,3.8,3.76,3.82,3.75,418921.0,星期四,0.0,-0.0105
2026-02-25,3.77,3.8,3.85,3.76,484937.0,星期三,0.0,0.008
2026-02-24,3.8,3.77,3.81,3.74,470732.0,星期二,0.0106,-0.0079
2026-02-13,3.8,3.76,3.88,3.76,545256.0,星期五,0.0,-0.0105
2026-02-12,3.87,3.8,3.88,3.8,396838.0,星期四,0.0,-0.0181
2026-02-11,3.9,3.87,3.92,3.86,334647.0,星期三,0.0,-0.0077
2026-02-10,3.92,3.9,3.94,3.86,368143.0,星期二,0.0,-0.0051
2026-02-09,3.81,3.92,3.92,3.81,701779.0,星期一,0.016,0.0289
2026-02-06,3.76,3.75,3.81,3.71,417630.0,星期五,-0.0053,-0.0027
2026-02-05,3.81,3.78,3.84,3.77,433130.0,星期四,-0.0078,-0.0079
2026-02-04,3.81,3.84,3.85,3.76,478011.0,星期三,0.0,0.0079
2026-02-03,3.81,3.81,3.85,3.75,575767.0,星期二,0.0079,0.0
2026-02-02,3.84,3.78,3.93,3.77,766955.0,星期一,-0.0103,-0.0156
2026-01-30,3.91,3.88,3.98,3.86,629322.0,星期五,-0.0076,-0.0077
2026-01-29,3.93,3.94,4.05,3.84,855482.0,星期四,-0.0051,0.0025
2026-01-28,4.04,3.95,4.05,3.94,633564.0,星期三,0.0,-0.0223
2026-01-27,4.04,4.04,4.06,3.94,623623.0,星期二,0.0025,0.0
2026-01-26,4.09,4.03,4.15,3.98,801644.0,星期一,0.0,-0.0147
2026-01-23,4.04,4.09,4.1,4.01,839586.0,星期五,0.0,0.0124
2026-01-22,3.95,4.04,4.05,3.95,752815.0,星期四,-0.0025,0.0228
2026-01-21,3.88,3.96,3.99,3.86,679602.0,星期三,-0.0077,0.0206
2026-01-20,3.94,3.91,3.96,3.87,521678.0,星期二,0.0025,-0.0076
2026-01-19,3.9,3.93,3.97,3.86,505030.0,星期一,-0.0026,0.0077
2026-01-16,3.99,3.91,4.02,3.86,750016.0,星期五,0.0,-0.0201
2026-01-15,4.06,3.99,4.08,3.95,812888.0,星期四,0.0,-0.0172
2026-01-14,3.99,4.06,4.14,3.99,1310248.0,星期三,0.0025,0.0175
2026-01-13,4.11,3.98,4.15,3.95,1031120.0,星期二,0.0,-0.0316
2026-01-12,3.92,4.11,4.12,3.91,1204482.0,星期一,0.0026,0.0485
2026-01-09,3.92,3.91,3.94,3.86,624713.0,星期五,0.0,-0.0026
2026-01-08,3.82,3.92,3.93,3.8,676755.0,星期四,-0.0078,0.0262
