time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.45,2.38,2.48,2.36,226234.0,星期五,-0.0081,-0.0286
2026-06-25,2.43,2.47,2.49,2.37,271113.0,星期四,-0.0041,0.0165
2026-06-24,2.64,2.44,2.64,2.42,348101.0,星期三,0.0076,-0.0758
2026-06-23,2.57,2.62,2.7,2.56,265472.0,星期二,-0.0039,0.0195
2026-06-22,2.53,2.58,2.59,2.45,245497.0,星期一,-0.0117,0.0198
2026-06-18,2.61,2.56,2.61,2.51,229101.0,星期四,0.0,-0.0192
2026-06-17,2.67,2.61,2.67,2.58,196591.0,星期三,-0.0037,-0.0225
2026-06-16,2.71,2.68,2.72,2.63,182705.0,星期二,0.0,-0.0111
2026-06-15,2.75,2.71,2.8,2.69,246921.0,星期一,0.0,-0.0145
2026-06-12,2.73,2.75,2.78,2.67,263781.0,星期五,0.0037,0.0073
2026-06-11,2.68,2.72,2.78,2.67,324461.0,星期四,-0.0111,0.0149
2026-06-10,2.61,2.71,2.72,2.58,348098.0,星期三,-0.0076,0.0383
2026-06-09,2.73,2.63,2.75,2.6,329913.0,星期二,0.0,-0.0366
2026-06-08,2.73,2.73,2.81,2.68,267022.0,星期一,-0.0109,0.0
2026-06-05,2.76,2.76,2.86,2.74,247637.0,星期五,0.0,0.0
2026-06-04,2.78,2.76,2.86,2.73,240936.0,星期四,-0.0036,-0.0072
2026-06-03,2.85,2.79,2.86,2.76,240545.0,星期三,-0.0035,-0.0211
2026-06-02,2.91,2.86,2.96,2.84,230731.0,星期二,0.0,-0.0172
2026-06-01,2.86,2.91,2.92,2.77,273487.0,星期一,0.0035,0.0175
2026-05-29,2.82,2.85,2.97,2.8,397894.0,星期五,0.0108,0.0106
2026-05-28,2.75,2.79,2.83,2.72,188529.0,星期四,0.0,0.0145
2026-05-27,2.83,2.75,2.84,2.72,212899.0,星期三,0.0,-0.0283
2026-05-26,2.84,2.83,2.88,2.79,165804.0,星期二,-0.007,-0.0035
2026-05-25,2.79,2.86,2.89,2.78,196082.0,星期一,-0.0036,0.0251
2026-05-22,2.79,2.8,2.85,2.76,201496.0,星期五,0.0036,0.0036
2026-05-21,2.91,2.78,2.94,2.77,267887.0,星期四,0.0,-0.0447
2026-05-20,2.9,2.91,2.93,2.82,304552.0,星期三,-0.0068,0.0034
2026-05-19,2.84,2.92,2.94,2.84,426970.0,星期二,0.0143,0.0282
2026-05-18,2.86,2.8,2.87,2.77,302466.0,星期一,-0.0035,-0.021
2026-05-15,2.98,2.87,2.99,2.85,362140.0,星期五,0.0,-0.0369
2026-05-14,3.09,2.98,3.13,2.97,280424.0,星期四,0.0,-0.0356
2026-05-13,3.16,3.09,3.18,3.07,249508.0,星期三,-0.0032,-0.0222
2026-05-12,3.24,3.17,3.24,3.14,294928.0,星期二,0.0062,-0.0216
2026-05-11,3.13,3.22,3.31,3.12,426641.0,星期一,0.0,0.0288
2026-05-08,3.12,3.13,3.18,3.1,186576.0,星期五,0.0,0.0032
2026-05-07,3.16,3.12,3.19,3.1,217254.0,星期四,-0.0032,-0.0127
2026-05-06,3.13,3.17,3.2,3.08,313021.0,星期三,0.0064,0.0128
2026-04-30,3.06,3.11,3.14,3.01,332310.0,星期四,-0.0033,0.0163
2026-04-29,2.94,3.07,3.09,2.94,303727.0,星期三,-0.0134,0.0442
2026-04-28,2.93,2.98,3.01,2.91,188596.0,星期二,0.0,0.0171
2026-04-27,2.9,2.93,2.95,2.85,168904.0,星期一,0.0,0.0103
2026-04-24,2.94,2.9,2.95,2.87,228409.0,星期五,-0.0068,-0.0136
2026-04-23,2.99,2.96,3.01,2.94,180942.0,星期四,0.0,-0.01
2026-04-22,3.02,2.99,3.03,2.97,181112.0,星期三,0.0,-0.0099
2026-04-21,3.04,3.02,3.09,3.01,221221.0,星期二,-0.0033,-0.0066
2026-04-20,3.12,3.05,3.12,3.04,190956.0,星期一,0.0,-0.0224
2026-04-17,3.12,3.12,3.18,3.07,210543.0,星期五,0.0032,0.0
2026-04-16,3.1,3.11,3.14,3.07,137418.0,星期四,0.0,0.0032
2026-04-15,3.23,3.1,3.23,3.09,220417.0,星期三,0.0031,-0.0402
2026-04-14,3.16,3.22,3.25,3.14,274157.0,星期二,0.0032,0.019
2026-04-13,3.06,3.15,3.17,3.05,209622.0,星期一,-0.0065,0.0294
2026-04-10,3.04,3.08,3.12,3.04,163239.0,星期五,0.0033,0.0132
2026-04-09,3.08,3.03,3.1,3.02,158052.0,星期四,-0.0065,-0.0162
2026-04-08,3.0,3.1,3.1,2.99,219628.0,星期三,0.0101,0.0333
2026-04-07,2.94,2.97,2.97,2.93,114304.0,星期二,-0.0034,0.0102
2026-04-03,3.0,2.95,3.01,2.93,131158.0,星期五,0.0,-0.0167
2026-04-02,3.06,3.0,3.09,2.98,156877.0,星期四,-0.0097,-0.0196
2026-04-01,3.06,3.09,3.12,2.97,257015.0,星期三,0.0166,0.0098
2026-03-31,3.01,3.01,3.11,2.99,161777.0,星期二,0.0,0.0
2026-03-30,2.96,3.01,3.03,2.92,154017.0,星期一,-0.0166,0.0169
2026-03-27,2.96,3.01,3.02,2.95,125425.0,星期五,-0.01,0.0169
2026-03-26,3.01,2.99,3.08,2.97,190421.0,星期四,-0.0033,-0.0066
2026-03-25,2.96,3.02,3.03,2.93,225264.0,星期三,0.0034,0.0203
2026-03-24,2.94,2.95,2.96,2.89,262703.0,星期二,0.0103,0.0034
2026-03-23,3.05,2.91,3.07,2.89,282533.0,星期一,-0.0256,-0.0459
2026-03-20,3.22,3.13,3.23,3.12,179674.0,星期五,0.0031,-0.028
2026-03-19,3.26,3.21,3.29,3.19,157724.0,星期四,-0.0091,-0.0153
2026-03-18,3.4,3.29,3.41,3.25,268067.0,星期三,-0.0029,-0.0324
2026-03-17,3.32,3.41,3.45,3.31,416519.0,星期二,0.003,0.0271
2026-03-16,3.25,3.31,3.32,3.25,162762.0,星期一,0.0,0.0185
2026-03-13,3.25,3.25,3.35,3.23,163788.0,星期五,-0.0031,0.0
2026-03-12,3.2,3.26,3.27,3.19,199580.0,星期四,0.0,0.0187
2026-03-11,3.21,3.2,3.22,3.18,122947.0,星期三,0.0,-0.0031
2026-03-10,3.21,3.21,3.24,3.2,128194.0,星期二,0.0031,0.0
2026-03-09,3.22,3.2,3.23,3.17,174752.0,星期一,-0.0092,-0.0062
2026-03-06,3.2,3.25,3.27,3.19,133987.0,星期五,-0.0062,0.0156
2026-03-05,3.24,3.22,3.26,3.2,141649.0,星期四,0.0093,-0.0062
2026-03-04,3.28,3.21,3.3,3.19,185951.0,星期三,0.0,-0.0213
2026-03-03,3.36,3.28,3.38,3.27,225536.0,星期二,0.0,-0.0238
2026-03-02,3.39,3.36,3.42,3.35,205277.0,星期一,-0.0145,-0.0088
2026-02-27,3.44,3.44,3.44,3.4,158133.0,星期五,0.0029,0.0
2026-02-26,3.58,3.43,3.59,3.42,358990.0,星期四,0.0028,-0.0419
2026-02-25,3.51,3.57,3.62,3.5,286967.0,星期三,0.0029,0.0171
2026-02-24,3.53,3.5,3.54,3.49,162583.0,星期二,0.0028,-0.0085
2026-02-13,3.6,3.52,3.6,3.5,229005.0,星期五,0.0084,-0.0222
2026-02-12,3.58,3.57,3.62,3.56,213034.0,星期四,-0.0028,-0.0028
2026-02-11,3.59,3.59,3.61,3.56,193049.0,星期三,-0.0028,0.0
