time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.3,5.19,5.3,5.19,57500.0,星期五,-0.0019,-0.0208
2026-06-25,5.52,5.31,5.53,5.28,72751.0,星期四,-0.0018,-0.038
2026-06-24,5.45,5.53,5.62,5.45,83410.0,星期三,-0.0073,0.0147
2026-06-23,5.4,5.49,5.57,5.38,85954.0,星期二,-0.0037,0.0167
2026-06-22,5.35,5.42,5.43,5.2,89689.0,星期一,0.0,0.0131
2026-06-18,5.4,5.35,5.42,5.3,48193.0,星期四,-0.0018,-0.0093
2026-06-17,5.48,5.41,5.52,5.37,72997.0,星期三,-0.0054,-0.0128
2026-06-16,5.58,5.51,5.6,5.5,69774.0,星期二,-0.0036,-0.0125
2026-06-15,5.6,5.6,5.78,5.56,101602.0,星期一,0.0,0.0
2026-06-12,5.41,5.6,5.82,5.34,150316.0,星期五,0.0019,0.0351
2026-06-11,5.48,5.4,5.52,5.33,56672.0,星期四,-0.0036,-0.0146
2026-06-10,5.41,5.5,5.54,5.36,82449.0,星期三,-0.0055,0.0166
2026-06-09,5.5,5.44,5.52,5.39,64154.0,星期二,0.011,-0.0109
2026-06-08,5.48,5.44,5.59,5.39,65660.0,星期一,-0.0179,-0.0073
2026-06-05,5.5,5.58,5.61,5.48,61361.0,星期五,-0.0018,0.0145
2026-06-04,5.61,5.51,5.62,5.46,60270.0,星期四,-0.0036,-0.0178
2026-06-03,5.66,5.63,5.73,5.56,69921.0,星期三,-0.0035,-0.0053
2026-06-02,5.86,5.68,5.86,5.66,78125.0,星期二,0.0017,-0.0307
2026-06-01,5.62,5.85,5.88,5.59,116447.0,星期一,-0.0035,0.0409
2026-05-29,5.7,5.64,5.73,5.51,98540.0,星期五,0.0,-0.0105
2026-05-28,5.74,5.7,5.81,5.66,70660.0,星期四,0.0017,-0.007
2026-05-27,5.8,5.73,5.85,5.68,60602.0,星期三,-0.0085,-0.0121
2026-05-26,5.91,5.85,5.91,5.78,57657.0,星期二,0.0,-0.0102
2026-05-25,6.02,5.91,6.04,5.83,87654.0,星期一,0.0017,-0.0183
2026-05-22,5.96,6.01,6.05,5.9,60538.0,星期五,0.0034,0.0084
2026-05-21,6.05,5.94,6.15,5.92,78073.0,星期四,-0.0049,-0.0182
2026-05-20,6.23,6.08,6.24,5.98,113493.0,星期三,-0.0016,-0.0241
2026-05-19,6.15,6.24,6.42,6.12,160424.0,星期二,0.0016,0.0146
2026-05-18,6.3,6.14,6.3,6.05,102781.0,星期一,0.0048,-0.0254
2026-05-15,6.33,6.27,6.36,6.23,73552.0,星期五,-0.0016,-0.0095
2026-05-14,6.5,6.34,6.51,6.32,123289.0,星期四,-0.0015,-0.0246
2026-05-13,6.58,6.51,6.63,6.49,92363.0,星期三,0.003,-0.0106
2026-05-12,6.69,6.56,6.7,6.55,78675.0,星期二,-0.0015,-0.0194
2026-05-11,6.75,6.7,6.75,6.66,94716.0,星期一,0.0045,-0.0074
2026-05-08,6.68,6.72,6.75,6.66,61727.0,星期五,-0.0015,0.006
2026-05-07,6.95,6.69,6.96,6.66,213953.0,星期四,0.0014,-0.0374
2026-05-06,6.92,6.94,6.96,6.86,117889.0,星期三,0.0117,0.0029
2026-04-30,6.85,6.84,6.92,6.81,74758.0,星期四,-0.0072,-0.0015
2026-04-29,6.78,6.9,6.92,6.78,83737.0,星期三,-0.0073,0.0177
2026-04-28,6.87,6.83,6.95,6.79,88008.0,星期二,-0.0015,-0.0058
2026-04-27,6.97,6.88,6.97,6.77,95363.0,星期一,0.0014,-0.0129
2026-04-24,6.95,6.96,7.02,6.85,84393.0,星期五,-0.0071,0.0014
2026-04-23,6.94,7.0,7.11,6.89,130642.0,星期四,-0.0043,0.0086
2026-04-22,6.75,6.97,7.03,6.7,158944.0,星期三,-0.0074,0.0326
2026-04-21,6.74,6.8,6.8,6.62,116094.0,星期二,0.0015,0.0089
2026-04-20,6.77,6.73,6.78,6.69,77118.0,星期一,0.0015,-0.0059
2026-04-17,6.88,6.76,6.9,6.73,89756.0,星期五,-0.0043,-0.0174
2026-04-16,6.8,6.91,6.94,6.78,73741.0,星期四,-0.0029,0.0162
2026-04-15,6.79,6.82,6.88,6.72,102318.0,星期三,0.0059,0.0044
2026-04-14,6.79,6.75,6.8,6.68,87592.0,星期二,0.003,-0.0059
2026-04-13,6.84,6.77,6.84,6.7,101334.0,星期一,-0.0058,-0.0102
2026-04-10,6.92,6.88,6.97,6.86,113365.0,星期五,0.0029,-0.0058
2026-04-09,7.01,6.9,7.07,6.88,100215.0,星期四,-0.0099,-0.0157
