time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.31,3.22,3.31,3.22,259499.0,星期五,-0.003,-0.0272
2026-06-25,3.35,3.32,3.36,3.27,297448.0,星期四,-0.0059,-0.009
2026-06-24,3.53,3.37,3.54,3.33,418459.0,星期三,0.0086,-0.0453
2026-06-23,3.49,3.5,3.57,3.47,266174.0,星期二,-0.0057,0.0029
2026-06-22,3.46,3.51,3.52,3.37,327600.0,星期一,0.0058,0.0145
2026-06-18,3.56,3.44,3.56,3.41,316192.0,星期四,0.0056,-0.0337
2026-06-17,3.67,3.54,3.68,3.53,372949.0,星期三,-0.0027,-0.0354
2026-06-16,3.75,3.68,3.77,3.64,388078.0,星期二,-0.0106,-0.0187
2026-06-15,3.79,3.79,3.87,3.73,416314.0,星期一,-0.0079,0.0
2026-06-12,3.66,3.82,3.89,3.64,565537.0,星期五,0.0,0.0437
2026-06-11,3.64,3.66,3.72,3.63,384473.0,星期四,0.0055,0.0055
2026-06-10,3.77,3.62,3.77,3.55,503424.0,星期三,-0.0026,-0.0398
2026-06-09,3.88,3.78,3.9,3.72,500924.0,星期二,-0.0102,-0.0258
2026-06-08,4.03,3.92,4.13,3.9,574566.0,星期一,-0.0195,-0.0273
2026-06-05,4.1,4.11,4.19,4.08,524775.0,星期五,-0.012,0.0024
2026-06-04,4.07,4.15,4.22,4.01,880654.0,星期四,0.0,0.0197
2026-06-03,3.98,4.07,4.1,3.9,692816.0,星期三,-0.0124,0.0226
2026-06-02,4.06,4.03,4.1,3.97,643838.0,星期二,0.0074,-0.0074
2026-06-01,3.85,4.03,4.05,3.84,660336.0,星期一,0.0,0.0468
2026-05-29,3.8,3.85,3.9,3.79,417540.0,星期五,0.0,0.0132
2026-05-28,3.76,3.8,3.85,3.73,356077.0,星期四,0.0027,0.0106
2026-05-27,3.76,3.75,3.83,3.7,341074.0,星期三,-0.0053,-0.0027
2026-05-26,3.82,3.78,3.88,3.76,397955.0,星期二,-0.0052,-0.0105
2026-05-25,3.9,3.84,3.97,3.82,652182.0,星期一,0.0456,-0.0154
2026-05-22,3.73,3.73,3.76,3.67,282463.0,星期五,0.0054,0.0
2026-05-21,3.81,3.71,3.86,3.71,358114.0,星期四,-0.0104,-0.0262
2026-05-20,3.92,3.85,3.96,3.82,344263.0,星期三,-0.0051,-0.0179
2026-05-19,3.89,3.94,3.95,3.87,352291.0,星期二,-0.0051,0.0129
2026-05-18,3.88,3.91,3.92,3.81,404351.0,星期一,0.0078,0.0077
2026-05-15,3.86,3.85,3.91,3.81,401630.0,星期五,0.0,-0.0026
2026-05-14,3.94,3.86,3.96,3.86,437265.0,星期四,0.0,-0.0203
2026-05-13,3.91,3.94,3.97,3.89,322216.0,星期三,0.0,0.0077
2026-05-12,3.99,3.91,4.01,3.89,429718.0,星期二,0.0,-0.0201
2026-05-11,4.01,3.99,4.04,3.96,463772.0,星期一,0.0,-0.005
2026-05-08,4.05,4.01,4.08,3.98,497112.0,星期五,0.0025,-0.0099
2026-05-07,4.27,4.04,4.28,4.03,905325.0,星期四,-0.007,-0.0539
2026-05-06,4.3,4.3,4.31,4.21,474195.0,星期三,0.0,0.0
2026-04-30,4.4,4.3,4.47,4.25,498002.0,星期四,0.0023,-0.0227
2026-04-29,4.28,4.39,4.41,4.24,522660.0,星期三,-0.0023,0.0257
2026-04-28,4.19,4.29,4.3,4.17,505817.0,星期二,-0.0048,0.0239
2026-04-27,4.17,4.21,4.25,4.12,382648.0,星期一,-0.0095,0.0096
2026-04-24,4.21,4.21,4.29,4.16,437845.0,星期五,0.0,0.0
2026-04-23,4.13,4.21,4.25,4.1,499607.0,星期四,-0.0024,0.0194
2026-04-22,4.13,4.14,4.19,4.11,401757.0,星期三,0.0024,0.0024
2026-04-21,4.17,4.12,4.21,4.05,612966.0,星期二,-0.0071,-0.012
2026-04-20,4.15,4.2,4.21,4.11,342240.0,星期一,0.0,0.012
2026-04-17,4.24,4.15,4.27,4.13,371255.0,星期五,-0.0024,-0.0212
2026-04-16,4.19,4.25,4.26,4.17,294419.0,星期四,-0.0024,0.0143
2026-04-15,4.2,4.2,4.24,4.14,340967.0,星期三,-0.0024,0.0
2026-04-14,4.26,4.21,4.28,4.18,360468.0,星期二,-0.007,-0.0117
2026-04-13,4.3,4.29,4.34,4.21,425627.0,星期一,0.0047,-0.0023
2026-04-10,4.3,4.28,4.33,4.27,323863.0,星期五,-0.0046,-0.0047
2026-04-09,4.34,4.32,4.36,4.26,428982.0,星期四,0.0046,-0.0046
2026-04-08,4.21,4.32,4.33,4.2,552275.0,星期三,-0.0322,0.0261
2026-04-07,4.13,4.35,4.37,4.1,543142.0,星期二,-0.0048,0.0533
2026-04-03,4.38,4.15,4.39,4.12,549844.0,星期五,0.0,-0.0525
2026-04-02,4.36,4.38,4.43,4.32,498104.0,星期四,0.0023,0.0046
2026-04-01,4.34,4.35,4.39,4.25,541350.0,星期三,0.0,0.0023
2026-03-31,4.57,4.34,4.64,4.33,995599.0,星期二,-0.0151,-0.0503
2026-03-30,4.81,4.64,4.86,4.58,883303.0,星期一,0.0169,-0.0353
2026-03-27,4.64,4.73,4.8,4.6,855007.0,星期五,0.0,0.0194
2026-03-26,4.68,4.64,4.73,4.55,746348.0,星期四,-0.0043,-0.0085
2026-03-25,4.56,4.7,4.76,4.46,1017226.0,星期三,-0.0277,0.0307
2026-03-24,4.57,4.69,4.74,4.53,1190545.0,星期二,-0.0277,0.0263
2026-03-23,4.69,4.7,4.89,4.6,1848905.0,星期一,0.0422,0.0021
2026-03-20,4.5,4.5,4.63,4.42,893885.0,星期五,-0.0217,0.0
2026-03-19,4.72,4.6,4.8,4.57,1031383.0,星期四,0.0239,-0.0254
2026-03-18,4.75,4.61,4.83,4.56,768127.0,星期三,-0.0021,-0.0295
2026-03-17,4.78,4.76,4.96,4.74,841649.0,星期二,-0.0083,-0.0042
2026-03-16,5.06,4.82,5.15,4.82,913012.0,星期一,0.01,-0.0474
2026-03-13,4.99,5.01,5.2,4.99,1306889.0,星期五,-0.002,0.004
2026-03-12,4.88,5.0,5.12,4.84,1895411.0,星期四,0.0124,0.0246
2026-03-11,4.67,4.82,4.85,4.59,1041931.0,星期三,-0.0021,0.0321
2026-03-10,4.68,4.68,4.92,4.66,1216864.0,星期二,-0.0468,0.0
2026-03-09,5.08,4.91,5.17,4.87,1722140.0,星期一,0.0561,-0.0335
2026-03-06,4.71,4.81,4.85,4.61,861229.0,星期五,-0.0208,0.0212
2026-03-05,4.77,4.81,4.86,4.61,1183228.0,星期四,-0.0205,0.0084
2026-03-04,5.1,4.87,5.1,4.65,1684814.0,星期三,-0.0135,-0.0451
2026-03-03,5.1,5.17,5.46,4.86,2659004.0,星期二,0.0282,0.0137
2026-03-02,5.18,4.96,5.25,4.87,1508470.0,星期一,0.0319,-0.0425
2026-02-27,4.68,5.02,5.15,4.67,1444604.0,星期五,-0.0085,0.0726
2026-02-26,4.84,4.72,4.88,4.69,723774.0,星期四,0.0041,-0.0248
2026-02-25,4.7,4.82,5.01,4.66,1177324.0,星期三,-0.0042,0.0255
2026-02-24,4.55,4.72,4.75,4.52,996638.0,星期二,0.0111,0.0374
2026-02-13,4.69,4.5,4.69,4.5,860359.0,星期五,0.0174,-0.0405
2026-02-12,4.82,4.61,4.91,4.61,1578167.0,星期四,0.0021,-0.0436
2026-02-11,4.44,4.81,4.91,4.34,2112672.0,星期三,-0.0045,0.0833
2026-02-10,4.57,4.46,4.57,4.38,904753.0,星期二,-0.0087,-0.0241
2026-02-09,4.6,4.61,4.66,4.55,913773.0,星期一,-0.0043,0.0022
2026-02-06,4.66,4.62,4.7,4.55,1270338.0,星期五,0.0,-0.0086
2026-02-05,4.78,4.66,4.91,4.62,2099467.0,星期四,-0.0165,-0.0251
2026-02-04,4.42,4.86,4.86,4.37,2223645.0,星期三,0.0,0.0995
2026-02-03,4.49,4.42,4.58,4.38,801801.0,星期二,0.0158,-0.0156
2026-02-02,4.4,4.42,4.64,4.4,1499978.0,星期一,-0.0517,0.0045
2026-01-30,4.74,4.64,5.09,4.61,2129953.0,星期五,-0.0021,-0.0211
2026-01-29,4.4,4.75,4.84,4.37,2479482.0,星期四,0.0,0.0795
2026-01-28,4.12,4.4,4.4,4.07,1109881.0,星期三,0.03,0.068
