time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.57,6.35,6.75,6.33,817415.0,星期五,0.0031,-0.0335
2026-06-25,6.7,6.55,6.76,6.52,846915.0,星期四,-0.0118,-0.0224
2026-06-24,7.06,6.78,7.09,6.68,860024.0,星期三,-0.0028,-0.0397
2026-06-23,7.13,7.08,7.27,7.0,696560.0,星期二,0.0028,-0.007
2026-06-22,7.05,7.11,7.12,6.88,757575.0,星期一,-0.0042,0.0085
2026-06-18,7.35,7.08,7.45,7.06,1139235.0,星期四,-0.0121,-0.0367
2026-06-17,7.43,7.44,7.6,7.27,879711.0,星期三,-0.0054,0.0013
2026-06-16,7.49,7.47,7.6,7.35,852146.0,星期二,0.0,-0.0027
2026-06-15,7.27,7.49,7.53,7.26,811777.0,星期一,0.0,0.0303
2026-06-12,7.21,7.27,7.36,7.13,768478.0,星期五,0.0042,0.0083
2026-06-11,7.21,7.18,7.36,7.12,659047.0,星期四,-0.0137,-0.0042
2026-06-10,7.68,7.31,7.7,7.25,1115937.0,星期三,-0.0179,-0.0482
2026-06-09,7.7,7.82,7.87,7.44,1109303.0,星期二,0.0039,0.0156
2026-06-08,7.78,7.67,8.14,7.63,1225824.0,星期一,-0.0371,-0.0141
2026-06-05,8.75,8.08,9.05,8.04,2080643.0,星期五,-0.0046,-0.0766
2026-06-04,8.94,8.79,9.17,8.73,2084358.0,星期四,-0.0283,-0.0168
2026-06-03,8.5,9.2,9.3,8.4,3122890.0,星期三,-0.0374,0.0824
2026-06-02,8.48,8.83,9.09,8.1,2318322.0,星期二,-0.0174,0.0413
2026-06-01,8.97,8.63,8.97,8.15,2299743.0,星期一,-0.0099,-0.0379
2026-05-29,8.78,9.06,9.19,8.53,3004321.0,星期五,0.0023,0.0319
2026-05-28,8.95,8.76,9.25,8.49,3745393.0,星期四,0.0407,-0.0212
2026-05-27,7.76,8.6,8.6,7.72,1690884.0,星期三,-0.0077,0.1082
2026-05-26,8.05,7.82,8.05,7.71,878329.0,星期二,0.0,-0.0286
2026-05-25,7.67,8.05,8.05,7.65,1165447.0,星期一,-0.0039,0.0495
2026-05-22,7.64,7.7,7.74,7.45,714417.0,星期五,-0.0039,0.0079
2026-05-21,7.64,7.67,7.88,7.6,922607.0,星期四,-0.0104,0.0039
2026-05-20,8.23,7.72,8.25,7.7,1526039.0,星期三,-0.0179,-0.062
2026-05-19,8.2,8.38,8.45,8.02,1263345.0,星期二,0.0,0.022
2026-05-18,8.04,8.2,8.31,8.01,1015912.0,星期一,-0.0207,0.0199
2026-05-15,8.47,8.21,8.48,8.0,2068976.0,星期五,-0.0298,-0.0307
2026-05-14,9.17,8.73,9.56,8.72,2758755.0,星期四,0.0088,-0.048
2026-05-13,9.03,9.09,9.63,8.94,3378189.0,星期三,0.0,0.0066
2026-05-12,8.75,9.03,9.1,8.51,2519113.0,星期二,-0.0135,0.032
2026-05-11,8.77,8.87,9.08,8.73,1893719.0,星期一,0.0,0.0114
2026-05-08,9.05,8.77,9.27,8.73,2288113.0,星期五,-0.0098,-0.0309
2026-05-07,8.85,9.14,9.35,8.85,2739826.0,星期四,-0.0167,0.0328
2026-05-06,8.78,9.0,9.09,8.59,2767477.0,星期三,0.0281,0.0251
2026-04-30,8.86,8.54,8.91,8.51,2117319.0,星期四,-0.0056,-0.0361
2026-04-29,8.99,8.91,9.26,8.81,3994285.0,星期三,0.0369,-0.0089
2026-04-28,7.8,8.67,8.67,7.75,1972781.0,星期二,-0.0102,0.1115
2026-04-27,7.68,7.88,8.0,7.56,1153089.0,星期一,-0.0412,0.026
2026-04-24,8.39,8.01,8.43,8.0,1678323.0,星期五,-0.0094,-0.0453
2026-04-23,8.25,8.47,8.74,8.0,2518313.0,星期四,0.0198,0.0267
2026-04-22,8.14,8.09,8.26,8.01,1474507.0,星期三,-0.0145,-0.0061
2026-04-21,8.0,8.26,8.28,7.72,2359644.0,星期二,-0.0099,0.0325
2026-04-20,7.5,8.08,8.1,7.49,2300776.0,星期一,0.0,0.0773
2026-04-17,7.46,7.5,7.67,7.41,930157.0,星期五,-0.004,0.0054
2026-04-16,7.55,7.49,7.55,7.27,989308.0,星期四,0.0,-0.0079
2026-04-15,7.35,7.55,7.61,7.24,1588099.0,星期三,-0.0027,0.0272
2026-04-14,7.35,7.37,7.5,7.28,750587.0,星期二,0.0014,0.0027
2026-04-13,7.25,7.34,7.35,7.2,595847.0,星期一,-0.0041,0.0124
2026-04-10,7.33,7.28,7.34,7.23,569224.0,星期五,0.0096,-0.0068
2026-04-09,7.35,7.26,7.35,7.22,617988.0,星期四,-0.0094,-0.0122
2026-04-08,7.3,7.42,7.42,7.27,828062.0,星期三,0.0139,0.0164
2026-04-07,7.1,7.2,7.24,7.01,652163.0,星期二,-0.0014,0.0141
2026-04-03,7.48,7.11,7.48,7.08,1093025.0,星期五,-0.0145,-0.0495
2026-04-02,7.6,7.59,7.92,7.48,1267697.0,星期四,0.004,-0.0013
2026-04-01,7.75,7.57,7.78,7.47,880094.0,星期三,0.0251,-0.0232
2026-03-31,7.66,7.56,8.0,7.54,1401357.0,星期二,-0.0116,-0.0131
2026-03-30,8.2,7.75,8.26,7.57,2000454.0,星期一,-0.0238,-0.0549
2026-03-27,8.29,8.4,8.58,8.21,1342295.0,星期五,-0.0293,0.0133
2026-03-26,8.81,8.54,8.89,8.5,2325846.0,星期四,-0.02,-0.0306
2026-03-25,8.96,8.99,9.2,8.77,3761561.0,星期三,0.0217,0.0033
2026-03-24,8.12,8.77,8.77,7.95,3059302.0,星期二,0.0188,0.08
2026-03-23,8.05,7.97,8.45,7.89,1668462.0,星期一,-0.0301,-0.0099
2026-03-20,8.3,8.3,8.77,8.09,2126905.0,星期五,-0.0224,0.0
2026-03-19,8.2,8.49,8.7,8.15,2369112.0,星期四,-0.0109,0.0354
2026-03-18,7.96,8.29,8.5,7.95,1969923.0,星期三,0.0051,0.0415
2026-03-17,8.21,7.92,8.29,7.91,1576102.0,星期二,0.0,-0.0353
2026-03-16,8.38,8.21,8.44,8.11,1428373.0,星期一,0.0036,-0.0203
2026-03-13,8.85,8.35,8.93,8.21,2376914.0,星期五,-0.0178,-0.0565
2026-03-12,9.05,9.01,9.28,8.81,2879784.0,星期四,-0.0362,-0.0044
2026-03-11,9.05,9.39,9.51,8.67,3726239.0,星期三,-0.0033,0.0376
2026-03-10,9.2,9.08,9.52,9.01,3209852.0,星期二,-0.0129,-0.013
2026-03-09,8.89,9.32,9.77,8.89,3791874.0,星期一,-0.0209,0.0484
2026-03-06,9.04,9.08,9.47,8.58,4517477.0,星期五,0.0,0.0044
2026-03-05,8.32,9.04,9.04,8.27,3160746.0,星期四,0.0122,0.0865
2026-03-04,7.66,8.22,8.7,7.6,3447627.0,星期三,-0.087,0.0731
2026-03-03,8.0,8.39,8.78,7.73,4090769.0,星期二,0.0025,0.0488
2026-03-02,7.96,7.98,8.4,7.6,4799022.0,星期一,0.0025,0.0025
2026-02-27,7.44,7.94,7.94,7.42,2241962.0,星期五,0.0305,0.0672
2026-02-26,6.54,7.22,7.22,6.52,2132169.0,星期四,-0.003,0.104
2026-02-25,6.58,6.56,6.61,6.49,580323.0,星期三,0.0061,-0.003
2026-02-24,6.33,6.54,6.58,6.33,825277.0,星期二,0.0064,0.0332
2026-02-13,6.37,6.29,6.38,6.28,415119.0,星期五,-0.0093,-0.0126
2026-02-12,6.5,6.43,6.55,6.38,635624.0,星期四,0.0188,-0.0108
2026-02-11,6.28,6.38,6.44,6.28,446372.0,星期三,-0.0016,0.0159
2026-02-10,6.39,6.29,6.39,6.28,308451.0,星期二,0.0016,-0.0156
2026-02-09,6.38,6.38,6.42,6.35,290566.0,星期一,0.0079,0.0
2026-02-06,6.28,6.33,6.43,6.24,320818.0,星期五,-0.0063,0.008
2026-02-05,6.5,6.32,6.5,6.31,461145.0,星期四,-0.0015,-0.0277
2026-02-04,6.4,6.51,6.52,6.39,398388.0,星期三,-0.0078,0.0172
2026-02-03,6.36,6.45,6.46,6.33,518946.0,星期二,-0.0078,0.0142
2026-02-02,6.46,6.41,6.65,6.4,749044.0,星期一,-0.0062,-0.0077
2026-01-30,6.33,6.5,6.58,6.3,743726.0,星期五,-0.0078,0.0269
2026-01-29,6.45,6.38,6.51,6.37,570634.0,星期四,-0.0031,-0.0109
2026-01-28,6.43,6.47,6.53,6.42,487585.0,星期三,-0.0092,0.0062
2026-01-27,6.72,6.49,6.72,6.42,806659.0,星期二,0.0,-0.0342
2026-01-26,6.67,6.72,6.8,6.61,1032690.0,星期一,0.0,0.0075
2026-01-23,6.63,6.67,6.7,6.62,840204.0,星期五,-0.0045,0.006
2026-01-22,6.76,6.66,6.86,6.62,1143707.0,星期四,-0.0088,-0.0148
2026-01-21,6.94,6.82,6.99,6.76,1475889.0,星期三,-0.0294,-0.0173
2026-01-20,6.88,7.15,7.5,6.61,2250507.0,星期二,-0.0086,0.0392
2026-01-19,6.56,6.94,7.01,6.46,2474839.0,星期一,-0.0106,0.0579
2026-01-16,6.21,6.63,6.75,6.21,2496438.0,星期五,0.0114,0.0676
2026-01-15,6.22,6.14,6.22,6.1,367520.0,星期四,0.0065,-0.0129
2026-01-14,6.25,6.18,6.3,6.15,718488.0,星期三,0.0081,-0.0112
2026-01-13,6.28,6.2,6.43,6.15,898464.0,星期二,0.0,-0.0127
