time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,8.0,7.76,8.04,7.73,61196.0,星期五,-0.0062,-0.03
2026-06-25,8.09,8.05,8.14,7.86,55476.0,星期四,-0.0086,-0.0049
2026-06-24,8.31,8.16,8.42,8.09,56347.0,星期三,-0.0107,-0.0181
2026-06-23,8.01,8.4,8.61,8.0,93521.0,星期二,-0.0135,0.0487
2026-06-22,8.2,8.12,8.2,7.84,63119.0,星期一,-0.0012,-0.0098
2026-06-18,8.2,8.21,8.33,8.12,41068.0,星期四,-0.0109,0.0012
2026-06-17,8.49,8.29,8.5,8.27,39171.0,星期三,0.0,-0.0236
2026-06-16,8.45,8.49,8.5,8.27,46485.0,星期二,-0.0024,0.0047
2026-06-15,8.4,8.47,8.55,8.4,40592.0,星期一,0.0,0.0083
2026-06-12,8.28,8.4,8.43,8.25,53502.0,星期五,0.0,0.0145
2026-06-11,8.33,8.28,8.42,8.15,37805.0,星期四,-0.0048,-0.006
2026-06-10,8.45,8.37,8.51,8.29,39770.0,星期三,-0.0012,-0.0095
2026-06-09,8.4,8.46,8.53,8.26,43759.0,星期二,0.0012,0.0071
2026-06-08,8.45,8.39,8.61,8.28,50731.0,星期一,-0.0186,-0.0071
2026-06-05,8.52,8.61,8.75,8.52,49035.0,星期五,-0.0012,0.0106
2026-06-04,8.62,8.53,8.71,8.44,36871.0,星期四,-0.0092,-0.0104
2026-06-03,8.8,8.7,8.8,8.58,40294.0,星期三,0.0057,-0.0114
2026-06-02,8.86,8.75,8.92,8.65,46707.0,星期二,-0.0011,-0.0124
2026-06-01,8.68,8.87,8.9,8.6,52873.0,星期一,-0.0034,0.0219
2026-05-29,8.61,8.71,8.83,8.5,65774.0,星期五,0.0012,0.0116
2026-05-28,8.62,8.6,8.65,8.44,43943.0,星期四,0.0023,-0.0023
2026-05-27,8.75,8.6,8.75,8.5,53958.0,星期三,0.0,-0.0171
2026-05-26,8.89,8.75,8.89,8.66,46427.0,星期二,0.0023,-0.0157
2026-05-25,8.94,8.87,9.06,8.76,40913.0,星期一,0.0,-0.0078
2026-05-22,8.82,8.94,8.99,8.79,52105.0,星期五,0.0046,0.0136
2026-05-21,9.06,8.78,9.16,8.73,69205.0,星期四,-0.0044,-0.0309
2026-05-20,9.24,9.1,9.26,9.02,42104.0,星期三,-0.0022,-0.0152
2026-05-19,9.18,9.26,9.29,9.15,36057.0,星期二,0.0,0.0087
2026-05-18,9.29,9.18,9.33,9.1,52665.0,星期一,0.0,-0.0118
2026-05-15,9.45,9.29,9.47,9.24,57804.0,星期五,-0.0021,-0.0169
2026-05-14,9.76,9.47,9.79,9.46,79532.0,星期四,0.0,-0.0297
2026-05-13,9.91,9.76,9.94,9.72,82218.0,星期三,0.0051,-0.0151
2026-05-12,9.99,9.86,10.07,9.83,101366.0,星期二,-0.003,-0.013
2026-05-11,9.84,10.02,10.09,9.73,150374.0,星期一,0.002,0.0183
2026-05-08,9.8,9.82,9.85,9.76,54692.0,星期五,-0.001,0.002
2026-05-07,9.84,9.81,9.85,9.75,61264.0,星期四,-0.001,-0.003
2026-05-06,9.73,9.85,9.85,9.68,82125.0,星期三,0.001,0.0123
2026-04-30,9.63,9.72,9.75,9.63,49601.0,星期四,-0.0052,0.0093
2026-04-29,9.54,9.68,9.74,9.53,51864.0,星期三,-0.0104,0.0147
2026-04-28,9.75,9.64,9.9,9.6,83430.0,星期二,0.0041,-0.0113
2026-04-27,9.56,9.71,9.72,9.45,66609.0,星期一,-0.0052,0.0157
2026-04-24,9.6,9.61,9.62,9.51,58623.0,星期五,-0.0072,0.001
2026-04-23,9.68,9.67,9.77,9.57,73335.0,星期四,-0.0031,-0.001
2026-04-22,9.77,9.71,9.77,9.65,79935.0,星期三,-0.0041,-0.0061
2026-04-21,9.9,9.81,9.98,9.77,75367.0,星期二,-0.002,-0.0091
2026-04-20,9.82,9.92,9.93,9.74,98950.0,星期一,-0.003,0.0102
2026-04-17,9.96,9.85,9.97,9.72,120428.0,星期五,-0.001,-0.011
2026-04-16,10.03,9.97,10.1,9.83,180302.0,星期四,-0.0262,-0.006
2026-04-15,9.77,10.3,10.34,9.77,257920.0,星期三,-0.002,0.0542
2026-04-14,9.89,9.79,9.93,9.65,134314.0,星期二,0.003,-0.0101
2026-04-13,10.39,9.86,10.39,9.8,212154.0,星期一,-0.0114,-0.051
2026-04-10,10.3,10.51,10.51,10.0,211543.0,星期五,-0.0125,0.0204
2026-04-09,10.71,10.43,11.18,10.4,292205.0,星期四,-0.0255,-0.0261
2026-04-08,11.34,10.99,11.53,10.93,438819.0,星期三,-0.0283,-0.0309
2026-04-07,11.06,11.67,11.97,10.6,495958.0,星期二,-0.0036,0.0552
2026-04-03,10.69,11.1,12.2,10.66,510738.0,星期五,-0.054,0.0384
2026-04-02,10.3,11.3,11.36,10.3,434593.0,星期四,-0.0029,0.0971
2026-04-01,10.3,10.33,10.36,9.99,90027.0,星期三,0.0108,0.0029
2026-03-31,10.17,10.19,10.42,10.14,81890.0,星期二,-0.0059,0.002
2026-03-30,9.91,10.23,10.29,9.91,81885.0,星期一,-0.011,0.0323
2026-03-27,9.67,10.02,10.02,9.65,54578.0,星期五,-0.0082,0.0362
2026-03-26,9.85,9.75,10.0,9.74,44502.0,星期四,-0.004,-0.0102
2026-03-25,9.78,9.89,9.89,9.7,47964.0,星期三,0.002,0.0112
2026-03-24,9.55,9.76,9.77,9.48,81813.0,星期二,0.0203,0.022
2026-03-23,9.55,9.36,9.74,9.3,85279.0,星期一,-0.0215,-0.0199
2026-03-20,9.92,9.76,10.09,9.76,58702.0,星期五,-0.004,-0.0161
2026-03-19,10.12,9.96,10.2,9.9,57570.0,星期四,-0.0108,-0.0158
2026-03-18,10.12,10.23,10.25,10.0,46330.0,星期三,0.005,0.0109
2026-03-17,10.24,10.07,10.35,10.07,57017.0,星期二,0.001,-0.0166
2026-03-16,10.08,10.23,10.3,10.08,41260.0,星期一,-0.0059,0.0149
