time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,8.9,8.47,8.91,8.47,190406.0,星期五,0.0079,-0.0483
2026-06-25,8.72,8.83,9.0,8.6,351659.0,星期四,-0.0057,0.0126
2026-06-24,8.49,8.77,8.79,8.18,435003.0,星期三,-0.0105,0.033
2026-06-23,7.96,8.58,8.58,7.93,275140.0,星期二,0.0205,0.0779
2026-06-22,7.68,7.8,8.0,7.49,192787.0,星期一,0.0159,0.0156
2026-06-18,7.84,7.56,7.87,7.56,163482.0,星期四,-0.0063,-0.0357
2026-06-17,8.0,7.89,8.08,7.75,202590.0,星期三,-0.0111,-0.0138
2026-06-16,8.32,8.09,8.32,7.96,242500.0,星期二,-0.0095,-0.0276
2026-06-15,8.45,8.4,8.49,8.24,328187.0,星期一,-0.0209,-0.0059
2026-06-12,8.16,8.63,8.87,8.16,409609.0,星期五,0.0,0.0576
2026-06-11,8.45,8.16,8.53,8.08,317769.0,星期四,0.0,-0.0343
2026-06-10,7.6,8.45,8.45,7.56,157734.0,星期三,-0.0104,0.1118
2026-06-09,7.47,7.68,7.77,7.42,162498.0,星期二,-0.0053,0.0281
2026-06-08,7.28,7.51,7.78,7.27,151801.0,星期一,-0.0332,0.0316
2026-06-05,7.39,7.53,7.7,7.3,102898.0,星期五,-0.0067,0.0189
2026-06-04,7.65,7.44,7.67,7.38,77760.0,星期四,-0.0013,-0.0275
2026-06-03,7.7,7.66,7.77,7.59,75239.0,星期三,-0.0026,-0.0052
2026-06-02,7.83,7.72,7.97,7.51,94811.0,星期二,0.0013,-0.014
2026-06-01,7.69,7.82,7.88,7.6,85333.0,星期一,-0.0013,0.0169
2026-05-29,8.02,7.7,8.18,7.66,103559.0,星期五,0.0,-0.0399
2026-05-28,7.98,8.02,8.12,7.8,83690.0,星期四,-0.0013,0.005
2026-05-27,8.34,7.99,8.34,7.91,112823.0,星期三,0.0134,-0.042
2026-05-26,8.38,8.23,8.45,8.08,105149.0,星期二,-0.0095,-0.0179
2026-05-25,8.6,8.46,8.68,8.34,72571.0,星期一,0.0082,-0.0163
