time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.84,7.63,7.9,7.59,81300.0,星期五,0.0051,-0.0268
2026-06-25,8.03,7.8,8.05,7.73,95318.0,星期四,-0.0074,-0.0286
2026-06-24,8.47,8.09,8.49,7.99,90365.0,星期三,-0.0047,-0.0449
2026-06-23,8.43,8.51,8.66,8.4,82247.0,星期二,-0.0024,0.0095
2026-06-22,8.55,8.45,8.62,8.33,102287.0,星期一,-0.0012,-0.0117
2026-06-18,8.7,8.56,8.81,8.5,91869.0,星期四,-0.0091,-0.0161
2026-06-17,9.03,8.78,9.09,8.73,105729.0,星期三,-0.0022,-0.0277
2026-06-16,9.2,9.05,9.26,9.03,90237.0,星期二,-0.0033,-0.0163
2026-06-15,9.33,9.23,9.4,9.17,104100.0,星期一,-0.0011,-0.0107
2026-06-12,9.86,9.34,10.15,9.3,143613.0,星期五,0.0325,-0.0527
2026-06-11,9.25,9.55,9.85,9.09,137863.0,星期四,-0.0086,0.0324
2026-06-10,9.47,9.33,9.47,9.13,88337.0,星期三,-0.0094,-0.0148
2026-06-09,9.7,9.56,9.78,9.35,94329.0,星期二,0.0,-0.0144
2026-06-08,10.08,9.7,10.39,9.61,146390.0,星期一,-0.0336,-0.0377
2026-06-05,10.8,10.43,10.84,10.33,130142.0,星期五,-0.0046,-0.0343
2026-06-04,11.02,10.85,11.14,10.76,151285.0,星期四,-0.0213,-0.0154
2026-06-03,11.13,11.26,11.49,10.88,178289.0,星期三,-0.0054,0.0117
2026-06-02,11.5,11.19,11.59,10.93,150793.0,星期二,0.0079,-0.027
2026-06-01,11.66,11.41,11.83,11.0,237789.0,星期一,-0.0144,-0.0214
2026-05-29,12.09,11.83,12.32,11.81,221273.0,星期五,0.0017,-0.0215
2026-05-28,12.0,12.07,12.5,11.88,278282.0,星期四,-0.005,0.0058
2026-05-27,12.01,12.06,12.2,11.79,241808.0,星期三,0.0008,0.0042
2026-05-26,11.43,12.0,12.06,11.35,415889.0,星期二,0.007,0.0499
2026-05-25,10.33,11.35,11.35,10.2,248523.0,星期一,0.001,0.0987
2026-05-22,10.16,10.32,10.42,10.09,92623.0,星期五,0.0,0.0157
2026-05-21,10.45,10.16,10.68,10.11,132957.0,星期四,-0.0076,-0.0278
2026-05-20,10.8,10.53,10.8,10.37,119102.0,星期三,-0.0028,-0.025
2026-05-19,10.74,10.83,10.92,10.62,104447.0,星期二,0.0009,0.0084
2026-05-18,10.33,10.73,11.1,10.3,168902.0,星期一,-0.0086,0.0387
2026-05-15,10.53,10.42,10.7,10.21,114875.0,星期五,-0.0103,-0.0104
2026-05-14,11.14,10.64,11.16,10.64,153945.0,星期四,0.0091,-0.0449
2026-05-13,11.16,11.04,11.38,10.78,167375.0,星期三,0.0,-0.0108
2026-05-12,11.22,11.16,11.44,11.11,136039.0,星期二,-0.0027,-0.0053
