time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.72,6.69,6.78,6.67,41131.0,星期五,-0.0088,-0.0045
2026-06-25,6.97,6.78,6.97,6.76,42484.0,星期四,0.0043,-0.0273
2026-06-24,7.11,6.94,7.2,6.94,49084.0,星期三,-0.0125,-0.0239
2026-06-23,7.11,7.2,7.3,7.09,32954.0,星期二,-0.0042,0.0127
2026-06-22,7.14,7.14,7.16,6.93,48608.0,星期一,-0.0028,0.0
2026-06-18,7.21,7.16,7.3,7.16,22845.0,星期四,-0.0028,-0.0069
2026-06-17,7.3,7.23,7.31,7.2,24634.0,星期三,0.0014,-0.0096
2026-06-16,7.41,7.29,7.43,7.28,32433.0,星期二,-0.0013,-0.0162
2026-06-15,7.39,7.42,7.51,7.37,26864.0,星期一,-0.0014,0.0041
2026-06-12,7.25,7.4,7.4,7.21,40217.0,星期五,0.0,0.0207
2026-06-11,7.37,7.25,7.41,7.2,40055.0,星期四,-0.0041,-0.0163
2026-06-10,7.51,7.4,7.56,7.33,48455.0,星期三,-0.0079,-0.0146
2026-06-09,7.65,7.57,7.66,7.55,28624.0,星期二,0.0,-0.0105
2026-06-08,7.67,7.65,7.73,7.58,36648.0,星期一,-0.0141,-0.0026
2026-06-05,7.72,7.78,7.82,7.68,26554.0,星期五,0.0,0.0078
2026-06-04,7.66,7.72,7.73,7.62,27665.0,星期四,-0.0039,0.0078
2026-06-03,7.73,7.69,7.75,7.65,22303.0,星期三,0.0,-0.0052
2026-06-02,7.85,7.73,7.85,7.72,30612.0,星期二,0.0,-0.0153
2026-06-01,7.68,7.85,7.86,7.65,36026.0,星期一,0.0,0.0221
2026-05-29,7.66,7.68,7.73,7.62,25670.0,星期五,0.0,0.0026
2026-05-28,7.68,7.66,7.75,7.61,27531.0,星期四,-0.0026,-0.0026
2026-05-27,7.8,7.7,7.85,7.68,35488.0,星期三,-0.0051,-0.0128
2026-05-26,7.8,7.84,7.84,7.73,26478.0,星期二,-0.0038,0.0051
2026-05-25,7.79,7.83,7.85,7.76,26830.0,星期一,-0.0038,0.0051
2026-05-22,7.79,7.82,7.86,7.72,35025.0,星期五,-0.0013,0.0039
2026-05-21,7.92,7.8,7.99,7.78,42509.0,星期四,0.0013,-0.0152
2026-05-20,7.99,7.91,8.0,7.89,30872.0,星期三,-0.0037,-0.01
2026-05-19,7.96,8.02,8.02,7.95,25928.0,星期二,0.0,0.0075
2026-05-18,8.02,7.96,8.02,7.94,36466.0,星期一,-0.0012,-0.0075
2026-05-15,8.11,8.03,8.14,8.02,41744.0,星期五,0.0012,-0.0099
2026-05-14,8.19,8.1,8.19,8.1,45579.0,星期四,0.0012,-0.011
2026-05-13,8.19,8.18,8.2,8.15,36525.0,星期三,0.0012,-0.0012
2026-05-12,8.26,8.18,8.27,8.16,44599.0,星期二,0.0,-0.0097
2026-05-11,8.29,8.26,8.3,8.24,40616.0,星期一,0.0,-0.0036
2026-05-08,8.28,8.29,8.31,8.24,43532.0,星期五,0.0,0.0012
2026-05-07,8.34,8.28,8.35,8.27,39587.0,星期四,0.0012,-0.0072
2026-05-06,8.29,8.33,8.35,8.28,42946.0,星期三,0.0,0.0048
2026-04-30,8.26,8.29,8.39,8.26,44735.0,星期四,-0.0024,0.0036
2026-04-29,8.14,8.28,8.29,8.11,49976.0,星期三,-0.0157,0.0172
2026-04-28,8.31,8.27,8.32,8.23,48792.0,星期二,-0.0024,-0.0048
2026-04-27,8.3,8.33,8.34,8.24,49698.0,星期一,-0.006,0.0036
2026-04-24,8.35,8.35,8.39,8.27,60708.0,星期五,-0.0012,0.0
2026-04-23,8.49,8.36,8.5,8.32,75865.0,星期四,-0.0047,-0.0153
2026-04-22,8.37,8.53,8.58,8.37,98903.0,星期三,-0.0083,0.0191
2026-04-21,8.37,8.44,8.46,8.36,46752.0,星期二,-0.0012,0.0084
2026-04-20,8.41,8.38,8.42,8.38,22776.0,星期一,0.0,-0.0036
2026-04-17,8.4,8.41,8.45,8.38,33917.0,星期五,-0.0024,0.0012
2026-04-16,8.36,8.42,8.45,8.36,41809.0,星期四,0.0,0.0072
2026-04-15,8.37,8.36,8.4,8.34,30199.0,星期三,0.0012,-0.0012
2026-04-14,8.39,8.36,8.4,8.32,30425.0,星期二,0.0024,-0.0036
2026-04-13,8.28,8.37,8.38,8.26,41438.0,星期一,-0.006,0.0109
2026-04-10,8.26,8.33,8.36,8.26,40120.0,星期五,0.0,0.0085
2026-04-09,8.34,8.26,8.37,8.25,40529.0,星期四,-0.0036,-0.0096
2026-04-08,8.3,8.37,8.38,8.28,62156.0,星期三,0.0073,0.0084
2026-04-07,8.13,8.24,8.26,8.1,44067.0,星期二,-0.0025,0.0135
2026-04-03,8.35,8.15,8.35,8.13,79709.0,星期五,0.0024,-0.024
2026-04-02,8.39,8.33,8.41,8.31,46572.0,星期四,-0.0024,-0.0072
2026-04-01,8.4,8.41,8.42,8.34,49171.0,星期三,0.0084,0.0012
2026-03-31,8.45,8.33,8.51,8.32,69653.0,星期二,-0.0012,-0.0142
2026-03-30,8.41,8.46,8.5,8.37,53026.0,星期一,-0.0094,0.0059
2026-03-27,8.32,8.49,8.51,8.29,75361.0,星期五,-0.0083,0.0204
2026-03-26,8.42,8.39,8.54,8.36,85832.0,星期四,0.0,-0.0036
2026-03-25,8.35,8.42,8.44,8.32,76434.0,星期三,0.0,0.0084
2026-03-24,8.31,8.35,8.37,8.21,83318.0,星期二,0.0061,0.0048
2026-03-23,8.38,8.26,8.38,8.2,123702.0,星期一,-0.013,-0.0143
2026-03-20,8.65,8.49,8.66,8.48,117838.0,星期五,0.0,-0.0185
2026-03-19,8.75,8.65,8.79,8.61,89288.0,星期四,-0.0011,-0.0114
2026-03-18,8.81,8.76,8.85,8.65,111898.0,星期三,-0.0011,-0.0057
2026-03-17,8.91,8.82,9.01,8.8,123774.0,星期二,-0.0022,-0.0101
2026-03-16,9.06,8.93,9.13,8.88,129095.0,星期一,0.0044,-0.0143
2026-03-13,9.12,9.02,9.2,9.0,220486.0,星期五,-0.0119,-0.011
