time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,29.6,30.25,31.4,29.6,1463857.0,星期五,0.0014,0.022
2026-06-25,27.73,29.56,30.5,27.36,1539493.0,星期四,0.0,0.066
2026-06-24,28.19,27.73,28.93,27.6,953500.0,星期三,-0.0215,-0.0163
2026-06-23,28.6,28.81,29.91,28.4,1519826.0,星期二,0.0442,0.0073
2026-06-22,24.8,27.39,27.39,24.8,869646.0,星期一,-0.004,0.1044
2026-06-18,25.82,24.9,25.98,24.9,417508.0,星期四,-0.0039,-0.0356
2026-06-17,25.75,25.92,26.31,25.56,378858.0,星期三,0.0,0.0066
2026-06-16,25.43,25.75,25.8,25.23,351198.0,星期二,-0.0193,0.0126
2026-06-15,25.42,25.93,26.46,25.3,595600.0,星期一,-0.0016,0.0201
2026-06-12,24.42,25.46,25.63,24.06,533883.0,星期五,-0.0069,0.0426
2026-06-11,24.74,24.59,25.37,24.33,330601.0,星期四,-0.0084,-0.0061
2026-06-10,24.75,24.95,25.05,24.38,299555.0,星期三,-0.0084,0.0081
2026-06-09,24.49,24.96,25.31,24.1,356781.0,星期二,0.0041,0.0192
2026-06-08,24.54,24.39,25.55,24.27,468469.0,星期一,0.0,-0.0061
2026-06-05,25.07,24.54,25.16,24.46,400597.0,星期五,0.0,-0.0211
2026-06-04,25.57,25.07,26.53,24.94,441428.0,星期四,0.0008,-0.0196
2026-06-03,25.51,25.55,25.9,25.31,512566.0,星期三,-0.0112,0.0016
2026-06-02,24.06,25.8,26.0,23.91,931834.0,星期二,-0.0099,0.0723
2026-06-01,24.05,24.3,24.91,23.9,438799.0,星期一,-0.0139,0.0104
2026-05-29,23.08,24.39,25.18,22.99,682996.0,星期五,-0.0009,0.0568
2026-05-28,23.48,23.1,23.63,23.01,282287.0,星期四,-0.0105,-0.0162
2026-05-27,23.31,23.73,23.91,23.14,344193.0,星期三,-0.0173,0.018
2026-05-26,22.45,23.72,24.11,22.35,679702.0,星期二,0.0,0.0566
2026-05-25,22.17,22.45,22.46,22.1,172100.0,星期一,0.0077,0.0126
2026-05-22,22.52,22.0,22.67,21.94,226984.0,星期五,-0.0066,-0.0231
2026-05-21,22.51,22.67,23.14,22.51,308664.0,星期四,0.0081,0.0071
2026-05-20,22.12,22.33,22.83,22.08,151732.0,星期三,-0.0072,0.0095
2026-05-19,22.16,22.28,22.29,21.9,97748.0,星期二,0.0032,0.0054
2026-05-18,22.02,22.09,22.22,21.96,82662.0,星期一,-0.0068,0.0032
2026-05-15,22.48,22.17,22.56,22.01,119277.0,星期五,0.0,-0.0138
2026-05-14,22.9,22.48,22.99,22.46,119509.0,星期四,0.0017,-0.0183
2026-05-13,22.95,22.86,22.98,22.7,120043.0,星期三,-0.0039,-0.0039
2026-05-12,23.0,23.04,23.2,22.92,152317.0,星期二,-0.0043,0.0017
2026-05-11,22.88,23.1,23.19,22.72,198316.0,星期一,-0.0017,0.0096
2026-05-08,22.98,22.92,23.19,22.84,155164.0,星期五,-0.0052,-0.0026
2026-05-07,23.41,23.1,23.41,22.98,171705.0,星期四,0.0039,-0.0132
2026-05-06,23.15,23.32,23.35,22.87,262913.0,星期三,0.0065,0.0073
2026-04-30,23.0,23.0,23.53,22.67,431186.0,星期四,0.0407,0.0
2026-04-29,21.81,22.1,22.12,21.69,123107.0,星期三,0.0005,0.0133
