time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,23.59,22.47,23.7,22.18,133991.0,星期五,0.0094,-0.0475
2026-06-25,23.3,23.37,23.79,23.05,140264.0,星期四,-0.0384,0.003
2026-06-24,24.22,24.23,24.48,23.8,124037.0,星期三,0.0,0.0004
2026-06-23,26.48,24.22,26.57,24.21,214774.0,星期二,-0.0156,-0.0853
2026-06-22,26.03,26.9,26.97,25.22,171672.0,星期一,-0.0095,0.0334
2026-06-18,26.76,26.28,27.13,25.98,137075.0,星期四,-0.0125,-0.0179
2026-06-17,26.9,27.1,27.42,26.5,126251.0,星期三,-0.0015,0.0074
2026-06-16,27.3,26.94,27.38,26.77,156579.0,星期二,0.0,-0.0132
2026-06-15,27.34,27.3,27.55,26.88,220683.0,星期一,0.0467,-0.0015
2026-06-12,25.5,26.12,26.65,25.1,217834.0,星期五,0.022,0.0243
2026-06-11,24.01,24.95,25.18,24.01,137254.0,星期四,-0.02,0.0392
2026-06-10,24.5,24.5,24.82,24.06,111347.0,星期三,-0.0247,0.0
2026-06-09,25.0,25.12,25.25,24.25,109178.0,星期二,0.0163,0.0048
2026-06-08,24.6,24.6,25.26,24.03,148996.0,星期一,-0.056,0.0
2026-06-05,26.27,26.06,26.57,25.91,109704.0,星期五,-0.0079,-0.008
2026-06-04,27.18,26.48,27.33,26.45,141807.0,星期四,-0.0091,-0.0258
2026-06-03,27.15,27.43,27.7,26.82,116892.0,星期三,-0.0269,0.0103
2026-06-02,27.23,27.9,28.05,26.6,152817.0,星期二,-0.0091,0.0246
2026-06-01,27.05,27.48,27.9,27.01,115481.0,星期一,-0.0142,0.0159
2026-05-29,28.45,27.44,28.9,27.13,146174.0,星期五,0.0234,-0.0355
2026-05-28,28.0,27.8,28.29,27.35,158895.0,星期四,-0.021,-0.0071
2026-05-27,29.69,28.6,29.98,28.36,235238.0,星期三,-0.0297,-0.0367
2026-05-26,28.16,30.6,30.84,27.8,359271.0,星期二,-0.0078,0.0866
2026-05-25,28.68,28.38,29.34,28.17,150628.0,星期一,0.0196,-0.0105
2026-05-22,27.67,28.13,28.31,27.0,127620.0,星期五,0.0011,0.0166
2026-05-21,28.81,27.64,29.2,27.52,132077.0,星期四,0.0152,-0.0406
2026-05-20,28.21,28.38,28.41,27.71,124347.0,星期三,-0.0218,0.006
2026-05-19,29.45,28.84,29.45,28.47,124853.0,星期二,0.0055,-0.0207
2026-05-18,28.95,29.29,29.6,28.93,161083.0,星期一,-0.0282,0.0117
2026-05-15,31.16,29.79,31.38,29.51,269775.0,星期五,-0.025,-0.044
