time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.06,8.87,9.11,8.86,176099.0,星期五,-0.0011,-0.021
2026-06-25,9.01,9.07,9.15,8.99,132263.0,星期四,-0.0077,0.0067
2026-06-24,9.29,9.08,9.33,9.04,214599.0,星期三,-0.0064,-0.0226
2026-06-23,9.14,9.35,9.36,9.13,272723.0,星期二,-0.0011,0.023
2026-06-22,9.14,9.15,9.18,8.97,216016.0,星期一,-0.0022,0.0011
2026-06-18,9.42,9.16,9.42,9.14,217107.0,星期四,0.0032,-0.0276
2026-06-17,9.49,9.39,9.53,9.34,158141.0,星期三,0.0,-0.0105
2026-06-16,9.64,9.49,9.66,9.47,196276.0,星期二,-0.001,-0.0156
2026-06-15,9.76,9.65,9.81,9.61,250068.0,星期一,-0.002,-0.0113
2026-06-12,9.6,9.78,9.78,9.5,236901.0,星期五,0.0,0.0187
2026-06-11,9.71,9.6,9.75,9.58,167400.0,星期四,-0.001,-0.0113
2026-06-10,9.53,9.72,9.74,9.51,184682.0,星期三,-0.001,0.0199
2026-06-09,9.49,9.54,9.63,9.45,179870.0,星期二,-0.0042,0.0053
2026-06-08,9.55,9.53,9.64,9.48,154566.0,星期一,-0.001,-0.0021
2026-06-05,9.47,9.56,9.61,9.42,142018.0,星期五,0.0042,0.0095
2026-06-04,9.54,9.43,9.62,9.39,220938.0,星期四,0.0,-0.0115
2026-06-03,9.67,9.54,9.7,9.5,202545.0,星期三,-0.0041,-0.0134
2026-06-02,9.69,9.71,9.77,9.65,207446.0,星期二,0.0,0.0021
2026-06-01,9.5,9.69,9.69,9.45,270297.0,星期一,0.0,0.02
2026-05-29,9.33,9.5,9.57,9.28,281813.0,星期五,0.0021,0.0182
2026-05-28,9.33,9.31,9.43,9.26,200222.0,星期四,0.0021,-0.0021
2026-05-27,9.28,9.31,9.42,9.27,225352.0,星期三,-0.0032,0.0032
2026-05-26,9.2,9.31,9.32,9.19,182346.0,星期二,0.0033,0.012
2026-05-25,9.18,9.17,9.24,9.14,111702.0,星期一,-0.0011,-0.0011
2026-05-22,9.23,9.19,9.26,9.15,149928.0,星期五,0.0,-0.0043
2026-05-21,9.24,9.23,9.34,9.21,152483.0,星期四,0.0022,-0.0011
2026-05-20,9.27,9.22,9.3,9.19,122175.0,星期三,-0.0011,-0.0054
2026-05-19,9.24,9.28,9.36,9.21,165838.0,星期二,0.0033,0.0043
2026-05-18,9.4,9.21,9.43,9.18,262307.0,星期一,-0.0053,-0.0202
2026-05-15,9.55,9.45,9.58,9.38,227695.0,星期五,-0.001,-0.0105
2026-05-14,9.52,9.56,9.58,9.48,182869.0,星期四,-0.001,0.0042
2026-05-13,9.56,9.53,9.57,9.47,147563.0,星期三,0.0021,-0.0031
2026-05-12,9.58,9.54,9.61,9.52,144605.0,星期二,0.0,-0.0042
2026-05-11,9.65,9.58,9.66,9.54,175339.0,星期一,0.0,-0.0073
2026-05-08,9.8,9.65,9.87,9.65,180853.0,星期五,0.0,-0.0153
2026-05-07,9.81,9.8,9.89,9.79,179500.0,星期四,0.0,-0.001
2026-05-06,9.93,9.81,9.94,9.78,257795.0,星期三,-0.004,-0.0121
2026-04-30,9.84,9.97,10.0,9.84,248371.0,星期四,-0.0051,0.0132
2026-04-29,9.65,9.89,9.93,9.6,334963.0,星期三,0.0105,0.0249
2026-04-28,9.79,9.55,9.79,9.48,291604.0,星期二,0.0,-0.0245
2026-04-27,9.88,9.79,9.96,9.75,139942.0,星期一,0.0051,-0.0091
2026-04-24,9.94,9.83,9.98,9.82,192295.0,星期五,-0.002,-0.0111
2026-04-23,9.66,9.96,9.97,9.64,298520.0,星期四,0.001,0.0311
2026-04-22,9.66,9.65,9.72,9.63,105467.0,星期三,0.0,-0.001
2026-04-21,9.52,9.66,9.69,9.52,141077.0,星期二,-0.001,0.0147
2026-04-20,9.48,9.53,9.57,9.46,123935.0,星期一,-0.0011,0.0053
2026-04-17,9.47,9.49,9.51,9.43,87906.0,星期五,-0.0011,0.0021
2026-04-16,9.48,9.48,9.57,9.45,130037.0,星期四,0.0011,0.0
2026-04-15,9.44,9.47,9.5,9.4,149748.0,星期三,0.0053,0.0032
2026-04-14,9.33,9.39,9.41,9.32,124345.0,星期二,0.0011,0.0064
2026-04-13,9.43,9.32,9.44,9.32,175003.0,星期一,0.0,-0.0117
2026-04-10,9.45,9.43,9.52,9.43,125675.0,星期五,0.0011,-0.0021
2026-04-09,9.56,9.44,9.63,9.44,132134.0,星期四,-0.0052,-0.0126
2026-04-08,9.47,9.61,9.61,9.46,208399.0,星期三,0.0064,0.0148
2026-04-07,9.57,9.41,9.59,9.39,146892.0,星期二,0.0031,-0.0167
2026-04-03,9.64,9.54,9.67,9.5,106804.0,星期五,0.0,-0.0104
2026-04-02,9.66,9.64,9.71,9.58,118760.0,星期四,-0.001,-0.0021
2026-04-01,9.71,9.67,9.77,9.62,139673.0,星期三,0.0083,-0.0041
2026-03-31,9.59,9.63,9.71,9.55,134441.0,星期二,0.0021,0.0042
2026-03-30,9.47,9.57,9.61,9.42,160508.0,星期一,-0.0042,0.0106
2026-03-27,9.63,9.51,9.67,9.49,178312.0,星期五,-0.0031,-0.0125
2026-03-26,9.66,9.66,9.77,9.64,129439.0,星期四,-0.0051,0.0
2026-03-25,9.61,9.71,9.78,9.53,176228.0,星期三,0.001,0.0104
2026-03-24,9.4,9.6,9.63,9.37,179098.0,星期二,0.0086,0.0213
2026-03-23,9.78,9.32,9.8,9.28,292547.0,星期一,-0.001,-0.047
2026-03-20,9.84,9.79,9.91,9.76,144572.0,星期五,0.0,-0.0051
2026-03-19,9.9,9.84,10.02,9.79,138411.0,星期四,-0.004,-0.0061
2026-03-18,10.01,9.94,10.03,9.88,147009.0,星期三,0.0,-0.007
2026-03-17,9.98,10.01,10.08,9.95,195475.0,星期二,0.0,0.003
2026-03-16,9.79,9.98,10.03,9.77,248391.0,星期一,-0.001,0.0194
2026-03-13,9.67,9.8,9.87,9.64,225145.0,星期五,-0.0021,0.0134
2026-03-12,9.58,9.69,9.72,9.56,171297.0,星期四,-0.001,0.0115
2026-03-11,9.54,9.59,9.62,9.49,160260.0,星期三,0.0,0.0052
2026-03-10,9.56,9.54,9.59,9.46,158597.0,星期二,0.0042,-0.0021
2026-03-09,9.53,9.52,9.57,9.44,180749.0,星期一,-0.0042,-0.001
2026-03-06,9.5,9.57,9.6,9.5,132223.0,星期五,-0.0042,0.0074
2026-03-05,9.55,9.54,9.58,9.48,157858.0,星期四,0.0063,-0.001
2026-03-04,9.71,9.49,9.74,9.49,258461.0,星期三,-0.0041,-0.0227
2026-03-03,9.78,9.75,9.85,9.69,212691.0,星期二,0.0,-0.0031
2026-03-02,9.71,9.78,9.87,9.66,195353.0,星期一,-0.0092,0.0072
2026-02-27,9.85,9.8,9.91,9.78,133532.0,星期五,0.0041,-0.0051
2026-02-26,9.92,9.81,9.96,9.77,151966.0,星期四,0.003,-0.0111
2026-02-25,9.96,9.89,10.03,9.86,177296.0,星期三,0.005,-0.007
2026-02-24,9.96,9.91,10.02,9.89,153238.0,星期二,0.004,-0.005
2026-02-13,10.0,9.92,10.1,9.9,140788.0,星期五,-0.002,-0.008
2026-02-12,10.12,10.02,10.12,9.96,133267.0,星期四,0.001,-0.0099
2026-02-11,10.05,10.11,10.14,9.99,159107.0,星期三,0.0,0.006
2026-02-10,9.96,10.05,10.07,9.95,160394.0,星期二,-0.001,0.009
2026-02-09,9.9,9.97,10.01,9.88,167533.0,星期一,-0.001,0.0071
2026-02-06,9.92,9.91,9.97,9.85,199072.0,星期五,0.001,-0.001
2026-02-05,9.7,9.91,9.93,9.67,278518.0,星期四,0.0031,0.0216
2026-02-04,9.52,9.67,9.74,9.52,189290.0,星期三,-0.0042,0.0158
2026-02-03,9.66,9.56,9.7,9.46,195977.0,星期二,0.001,-0.0104
2026-02-02,9.8,9.65,9.9,9.6,275076.0,星期一,0.0041,-0.0153
2026-01-30,9.74,9.76,9.81,9.67,236038.0,星期五,0.0021,0.0021
2026-01-29,9.45,9.72,9.77,9.45,299302.0,星期四,-0.0032,0.0286
2026-01-28,9.4,9.48,9.52,9.34,173726.0,星期三,0.0,0.0085
2026-01-27,9.38,9.4,9.46,9.35,159973.0,星期二,-0.0011,0.0021
2026-01-26,9.34,9.39,9.42,9.31,172380.0,星期一,-0.0032,0.0054
2026-01-23,9.37,9.37,9.41,9.31,124829.0,星期五,0.0,0.0
2026-01-22,9.25,9.37,9.37,9.25,126836.0,星期四,-0.0054,0.013
2026-01-21,9.33,9.3,9.39,9.26,151072.0,星期三,-0.0032,-0.0032
2026-01-20,9.15,9.36,9.38,9.12,273082.0,星期二,0.0011,0.023
2026-01-19,9.14,9.14,9.21,9.1,140025.0,星期一,0.0,0.0
2026-01-16,9.28,9.14,9.32,9.11,198586.0,星期五,0.0,-0.0151
2026-01-15,9.33,9.28,9.37,9.25,149600.0,星期四,-0.0021,-0.0054
2026-01-14,9.5,9.35,9.5,9.34,228029.0,星期三,0.0,-0.0158
2026-01-13,9.46,9.5,9.54,9.44,183137.0,星期二,0.0011,0.0042
