time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.9,4.72,4.91,4.7,461627.0,星期五,-0.002,-0.0367
2026-06-25,4.95,4.91,5.02,4.9,351218.0,星期四,-0.002,-0.0081
2026-06-24,5.05,4.96,5.07,4.87,425079.0,星期三,-0.0039,-0.0178
2026-06-23,5.17,5.07,5.21,5.04,406448.0,星期二,0.0019,-0.0193
2026-06-22,5.07,5.16,5.16,4.95,495205.0,星期一,-0.0039,0.0178
2026-06-18,5.15,5.09,5.17,5.06,334191.0,星期四,-0.0039,-0.0117
2026-06-17,5.27,5.17,5.27,5.14,365363.0,星期三,0.0,-0.019
2026-06-16,5.27,5.27,5.33,5.2,382385.0,星期二,0.0,0.0
2026-06-15,5.24,5.27,5.32,5.23,378676.0,星期一,0.0019,0.0057
2026-06-12,5.17,5.23,5.3,5.15,520675.0,星期五,0.0039,0.0116
2026-06-11,5.2,5.15,5.32,5.13,359520.0,星期四,-0.0133,-0.0096
2026-06-10,5.31,5.27,5.34,5.12,493034.0,星期三,-0.0075,-0.0075
2026-06-09,5.29,5.35,5.37,5.24,354542.0,星期二,0.0038,0.0113
2026-06-08,5.26,5.27,5.44,5.21,538704.0,星期一,-0.0223,0.0019
2026-06-05,5.34,5.38,5.47,5.23,481389.0,星期五,0.0019,0.0075
2026-06-04,5.35,5.33,5.4,5.27,341047.0,星期四,-0.0056,-0.0037
2026-06-03,5.36,5.38,5.5,5.34,387304.0,星期三,-0.0092,0.0037
2026-06-02,5.54,5.41,5.54,5.29,478836.0,星期二,-0.0018,-0.0235
2026-06-01,5.52,5.55,5.57,5.43,607045.0,星期一,-0.0072,0.0054
2026-05-29,5.78,5.56,5.86,5.55,683278.0,星期五,-0.0017,-0.0381
2026-05-28,5.8,5.79,5.94,5.7,600155.0,星期四,-0.0051,-0.0017
2026-05-27,6.01,5.83,6.14,5.78,865569.0,星期三,-0.0131,-0.03
2026-05-26,6.24,6.09,6.28,6.05,1311652.0,星期二,0.0,-0.024
2026-05-25,6.21,6.24,6.24,6.13,412756.0,星期一,0.0952,0.0048
2026-05-22,5.62,5.67,5.7,5.54,343522.0,星期五,0.0108,0.0089
2026-05-21,5.71,5.56,5.83,5.55,463133.0,星期四,0.0,-0.0263
2026-05-20,5.83,5.71,5.84,5.67,354893.0,星期三,-0.0034,-0.0206
2026-05-19,5.78,5.85,5.86,5.75,338742.0,星期二,-0.0103,0.0121
2026-05-18,5.86,5.84,5.88,5.7,441142.0,星期一,0.0017,-0.0034
2026-05-15,5.82,5.85,6.05,5.67,631792.0,星期五,-0.0017,0.0052
