time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.39,1.35,1.39,1.35,517755.0,星期五,0.0,-0.0288
2026-06-25,1.38,1.39,1.4,1.36,621768.0,星期四,-0.0072,0.0072
2026-06-24,1.43,1.39,1.44,1.38,702115.0,星期三,-0.0069,-0.028
2026-06-23,1.45,1.44,1.49,1.43,611177.0,星期二,-0.0068,-0.0069
2026-06-22,1.47,1.46,1.47,1.41,749678.0,星期一,0.0,-0.0068
2026-06-18,1.49,1.47,1.5,1.46,445178.0,星期四,-0.0067,-0.0134
2026-06-17,1.52,1.5,1.52,1.5,322848.0,星期三,0.0,-0.0132
2026-06-16,1.52,1.52,1.53,1.5,467560.0,星期二,-0.0065,0.0
2026-06-15,1.54,1.53,1.56,1.51,559674.0,星期一,0.0132,-0.0065
2026-06-12,1.51,1.52,1.54,1.49,515471.0,星期五,0.0067,0.0066
2026-06-11,1.51,1.5,1.51,1.49,323872.0,星期四,0.0,-0.0066
2026-06-10,1.54,1.51,1.54,1.49,597875.0,星期三,0.0,-0.0195
2026-06-09,1.56,1.54,1.57,1.52,544754.0,星期二,0.0,-0.0128
2026-06-08,1.57,1.56,1.61,1.54,782560.0,星期一,-0.0188,-0.0064
2026-06-05,1.57,1.6,1.61,1.56,703208.0,星期五,0.0,0.0191
2026-06-04,1.57,1.57,1.59,1.56,495051.0,星期四,-0.0063,0.0
2026-06-03,1.6,1.58,1.61,1.57,645492.0,星期三,-0.0062,-0.0125
2026-06-02,1.65,1.61,1.66,1.6,748500.0,星期二,0.0061,-0.0242
2026-06-01,1.59,1.64,1.65,1.56,1068979.0,星期一,0.0,0.0314
2026-05-29,1.58,1.59,1.67,1.58,1120071.0,星期五,0.0,0.0063
2026-05-28,1.57,1.58,1.6,1.56,779784.0,星期四,-0.0063,0.0064
2026-05-27,1.65,1.58,1.65,1.57,1160813.0,星期三,0.0,-0.0424
2026-05-26,1.67,1.65,1.68,1.62,1273436.0,星期二,-0.006,-0.012
2026-05-25,1.69,1.68,1.72,1.65,2114487.0,星期一,0.006,-0.0059
2026-05-22,1.55,1.68,1.68,1.54,1691541.0,星期五,0.0131,0.0839
2026-05-21,1.56,1.53,1.58,1.52,557707.0,星期四,0.0,-0.0192
2026-05-20,1.59,1.56,1.59,1.55,500259.0,星期三,-0.0063,-0.0189
2026-05-19,1.58,1.6,1.6,1.57,439202.0,星期二,0.0,0.0127
2026-05-18,1.59,1.58,1.6,1.56,575454.0,星期一,-0.0063,-0.0063
2026-05-15,1.63,1.6,1.64,1.58,795247.0,星期五,-0.0061,-0.0184
2026-05-14,1.68,1.64,1.69,1.63,892960.0,星期四,0.0,-0.0238
2026-05-13,1.69,1.68,1.7,1.66,800005.0,星期三,0.006,-0.0059
2026-05-12,1.7,1.68,1.71,1.68,822282.0,星期二,0.0,-0.0118
2026-05-11,1.69,1.7,1.72,1.68,981298.0,星期一,0.0,0.0059
2026-05-08,1.67,1.69,1.7,1.66,754998.0,星期五,0.0,0.012
2026-05-07,1.68,1.67,1.7,1.66,780231.0,星期四,-0.0059,-0.006
2026-05-06,1.66,1.69,1.69,1.65,880330.0,星期三,0.0,0.0181
2026-04-30,1.68,1.66,1.69,1.63,1086717.0,星期四,-0.0118,-0.0119
2026-04-29,1.65,1.7,1.71,1.64,698363.0,星期三,-0.006,0.0303
2026-04-28,1.66,1.66,1.67,1.64,503828.0,星期二,-0.006,0.0
2026-04-27,1.67,1.67,1.68,1.64,594562.0,星期一,0.0,0.0
2026-04-24,1.69,1.67,1.7,1.65,578426.0,星期五,-0.0059,-0.0118
2026-04-23,1.71,1.7,1.72,1.68,560053.0,星期四,-0.0058,-0.0058
2026-04-22,1.73,1.72,1.74,1.71,537204.0,星期三,0.0,-0.0058
2026-04-21,1.74,1.73,1.75,1.72,543427.0,星期二,-0.0057,-0.0057
2026-04-20,1.74,1.75,1.75,1.72,467227.0,星期一,0.0,0.0057
2026-04-17,1.75,1.74,1.76,1.73,502442.0,星期五,0.0,-0.0057
2026-04-16,1.76,1.75,1.77,1.74,608185.0,星期四,0.0,-0.0057
2026-04-15,1.8,1.76,1.8,1.75,604627.0,星期三,0.0056,-0.0222
2026-04-14,1.78,1.79,1.8,1.76,765974.0,星期二,0.0,0.0056
2026-04-13,1.74,1.78,1.78,1.74,626679.0,星期一,-0.0057,0.023
2026-04-10,1.75,1.75,1.78,1.74,474272.0,星期五,0.0,0.0
2026-04-09,1.78,1.75,1.79,1.73,611637.0,星期四,0.0,-0.0169
2026-04-08,1.75,1.78,1.79,1.74,770803.0,星期三,0.0116,0.0171
2026-04-07,1.71,1.73,1.73,1.69,439691.0,星期二,0.0,0.0117
2026-04-03,1.77,1.71,1.77,1.7,740814.0,星期五,0.0057,-0.0339
2026-04-02,1.79,1.76,1.79,1.76,648471.0,星期四,0.0,-0.0168
2026-04-01,1.82,1.79,1.84,1.78,774473.0,星期三,0.0111,-0.0165
2026-03-31,1.83,1.8,1.86,1.79,869519.0,星期二,-0.0054,-0.0164
2026-03-30,1.78,1.84,1.85,1.77,1126609.0,星期一,-0.0056,0.0337
2026-03-27,1.77,1.79,1.8,1.76,677171.0,星期五,-0.0056,0.0113
2026-03-26,1.8,1.78,1.83,1.77,919894.0,星期四,-0.0055,-0.0111
2026-03-25,1.76,1.81,1.82,1.74,1367879.0,星期三,-0.0056,0.0284
2026-03-24,1.83,1.77,1.84,1.71,2251186.0,星期二,-0.0108,-0.0328
2026-03-23,1.79,1.85,1.9,1.75,1942337.0,星期一,-0.011,0.0335
2026-03-20,1.82,1.81,1.85,1.8,940024.0,星期五,0.0,-0.0055
2026-03-19,1.85,1.82,1.86,1.82,855996.0,星期四,-0.0107,-0.0162
2026-03-18,1.9,1.87,1.91,1.84,1033484.0,星期三,0.0,-0.0158
2026-03-17,1.9,1.9,1.95,1.89,1007036.0,星期二,0.0053,0.0
2026-03-16,1.92,1.89,1.95,1.88,938463.0,星期一,0.0,-0.0156
2026-03-13,1.93,1.92,1.98,1.91,1120664.0,星期五,0.0,-0.0052
2026-03-12,1.9,1.93,1.94,1.89,1065059.0,星期四,-0.0052,0.0158
2026-03-11,1.89,1.91,1.91,1.87,763179.0,星期三,0.0,0.0106
2026-03-10,1.91,1.89,1.92,1.88,778398.0,星期二,0.0053,-0.0105
2026-03-09,1.9,1.9,1.91,1.87,825132.0,星期一,-0.0104,0.0
2026-03-06,1.88,1.92,1.93,1.86,898212.0,星期五,-0.0053,0.0213
2026-03-05,1.9,1.89,1.91,1.87,802429.0,星期四,0.016,-0.0053
2026-03-04,1.88,1.87,1.92,1.86,997817.0,星期三,-0.0105,-0.0053
2026-03-03,1.99,1.9,2.01,1.89,1500665.0,星期二,-0.005,-0.0452
2026-03-02,2.01,2.0,2.04,1.97,1234003.0,星期一,-0.0195,-0.005
2026-02-27,2.03,2.05,2.06,2.0,1005907.0,星期五,0.0,0.0099
2026-02-26,2.09,2.03,2.09,2.02,1211323.0,星期四,0.0,-0.0287
2026-02-25,2.04,2.09,2.12,2.03,1551196.0,星期三,0.0049,0.0245
2026-02-24,2.03,2.03,2.05,2.01,963784.0,星期二,0.015,0.0
2026-02-13,2.05,2.0,2.06,1.99,1131850.0,星期五,0.0,-0.0244
2026-02-12,2.07,2.05,2.09,2.05,900998.0,星期四,0.0,-0.0097
2026-02-11,2.09,2.07,2.12,2.07,1046150.0,星期三,-0.0048,-0.0096
2026-02-10,2.15,2.1,2.17,2.07,1418200.0,星期二,-0.0046,-0.0233
2026-02-09,2.14,2.16,2.19,2.11,2181729.0,星期一,0.019,0.0093
2026-02-06,2.09,2.1,2.12,2.05,1666913.0,星期五,-0.0048,0.0048
2026-02-05,2.1,2.1,2.17,2.08,1991602.0,星期四,-0.0094,0.0
2026-02-04,2.14,2.12,2.17,2.06,4052939.0,星期三,0.0239,-0.0093
2026-02-03,1.96,2.09,2.09,1.95,1407910.0,星期二,0.0316,0.0663
2026-02-02,1.94,1.9,1.95,1.88,1135150.0,星期一,0.0,-0.0206
2026-01-30,2.0,1.94,2.01,1.91,1642760.0,星期五,-0.0099,-0.03
2026-01-29,2.01,2.02,2.05,1.98,1490359.0,星期四,-0.005,0.005
2026-01-28,2.02,2.02,2.04,1.99,1342064.0,星期三,0.0,0.0
2026-01-27,2.09,2.02,2.11,1.97,2103733.0,星期二,0.0146,-0.0335
2026-01-26,2.15,2.06,2.17,2.05,3712512.0,星期一,0.0094,-0.0419
2026-01-23,2.1,2.13,2.15,2.05,5721034.0,星期五,0.0244,0.0143
2026-01-22,1.86,2.05,2.05,1.85,4180195.0,星期四,0.0,0.1022
2026-01-21,1.86,1.86,1.87,1.83,1587132.0,星期三,-0.0106,0.0
2026-01-20,1.85,1.88,1.91,1.85,2129240.0,星期二,0.0,0.0162
2026-01-19,1.84,1.85,1.89,1.81,2775592.0,星期一,-0.0316,0.0054
2026-01-16,2.01,1.9,2.03,1.9,3100875.0,星期五,-0.0474,-0.0547
2026-01-15,2.25,2.11,2.38,2.11,8586087.0,星期四,-0.0385,-0.0622
2026-01-14,2.34,2.34,2.34,2.13,7155882.0,星期三,0.0986,0.0
2026-01-13,2.1,2.13,2.13,2.07,1844490.0,星期二,0.0825,0.0143
2026-01-12,1.77,1.94,1.94,1.76,2560161.0,星期一,0.0057,0.096
2026-01-09,1.78,1.76,1.8,1.74,1245417.0,星期五,-0.0056,-0.0112
2026-01-08,1.7,1.79,1.82,1.7,2009486.0,星期四,-0.0058,0.0529
2026-01-07,1.7,1.71,1.73,1.69,734460.0,星期三,-0.0058,0.0059
2026-01-06,1.68,1.71,1.72,1.68,916081.0,星期二,0.0,0.0179
2026-01-05,1.68,1.68,1.7,1.67,810257.0,星期一,0.006,0.0
2025-12-31,1.68,1.67,1.69,1.66,590137.0,星期三,0.0,-0.006
2025-12-30,1.71,1.68,1.72,1.66,987752.0,星期二,-0.0058,-0.0175
2025-12-29,1.68,1.72,1.79,1.68,1643466.0,星期一,0.0,0.0238
2025-12-26,1.68,1.68,1.7,1.67,613504.0,星期五,0.006,0.0
2025-12-25,1.67,1.67,1.69,1.66,414045.0,星期四,0.006,0.0
2025-12-24,1.65,1.66,1.67,1.64,285088.0,星期三,0.0,0.0061
2025-12-23,1.68,1.65,1.69,1.64,491715.0,星期二,0.0,-0.0179
2025-12-22,1.67,1.68,1.69,1.66,513211.0,星期一,0.0,0.006
2025-12-19,1.63,1.67,1.68,1.63,735987.0,星期五,0.0,0.0245
2025-12-18,1.63,1.63,1.65,1.62,369041.0,星期四,-0.0061,0.0
2025-12-17,1.63,1.64,1.65,1.61,511972.0,星期三,0.0,0.0061
2025-12-16,1.68,1.63,1.69,1.63,709264.0,星期二,0.0,-0.0298
2025-12-15,1.66,1.68,1.73,1.65,877013.0,星期一,-0.006,0.012
2025-12-12,1.64,1.67,1.71,1.63,888865.0,星期五,0.0,0.0183
2025-12-11,1.68,1.64,1.69,1.64,525536.0,星期四,0.006,-0.0238
2025-12-10,1.64,1.67,1.68,1.63,572732.0,星期三,0.0,0.0183
2025-12-09,1.68,1.64,1.69,1.64,592690.0,星期二,0.0,-0.0238
2025-12-08,1.68,1.68,1.7,1.67,500204.0,星期一,0.006,0.0
2025-12-05,1.65,1.67,1.68,1.64,454556.0,星期五,-0.006,0.0121
2025-12-04,1.68,1.66,1.69,1.65,633301.0,星期四,0.0,-0.0119
2025-12-03,1.7,1.68,1.71,1.68,426529.0,星期三,-0.0116,-0.0118
