time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.33,5.24,5.37,5.23,296384.0,星期五,-0.0037,-0.0169
2026-06-25,5.34,5.35,5.39,5.32,289915.0,星期四,-0.0056,0.0019
2026-06-24,5.47,5.37,5.49,5.37,354932.0,星期三,-0.0018,-0.0183
2026-06-23,5.43,5.48,5.54,5.42,481348.0,星期二,0.0018,0.0092
2026-06-22,5.41,5.42,5.44,5.32,433592.0,星期一,-0.0037,0.0018
2026-06-18,5.59,5.43,5.6,5.42,441164.0,星期四,0.0018,-0.0286
2026-06-17,5.68,5.58,5.71,5.56,460537.0,星期三,0.0018,-0.0176
2026-06-16,5.78,5.67,5.79,5.66,415997.0,星期二,-0.0034,-0.019
2026-06-15,5.8,5.8,5.86,5.76,448109.0,星期一,-0.0017,0.0
2026-06-12,5.7,5.81,5.81,5.67,560304.0,星期五,-0.0035,0.0193
2026-06-11,5.74,5.72,5.77,5.68,436056.0,星期四,-0.0017,-0.0035
2026-06-10,5.68,5.75,5.76,5.63,694029.0,星期三,-0.047,0.0123
2026-06-09,5.91,5.96,6.02,5.9,537963.0,星期二,-0.0017,0.0085
2026-06-08,5.93,5.92,5.97,5.88,427485.0,星期一,-0.0034,-0.0017
2026-06-05,5.89,5.95,5.97,5.88,425830.0,星期五,0.0034,0.0102
2026-06-04,5.97,5.87,6.0,5.86,457346.0,星期四,0.0,-0.0168
2026-06-03,6.03,5.97,6.03,5.92,441418.0,星期三,-0.0017,-0.01
2026-06-02,6.0,6.04,6.06,5.99,458225.0,星期二,-0.0017,0.0067
2026-06-01,5.94,6.01,6.03,5.88,533606.0,星期一,0.0017,0.0118
2026-05-29,5.85,5.93,5.97,5.85,400583.0,星期五,-0.0034,0.0137
2026-05-28,5.9,5.87,5.93,5.85,325925.0,星期四,0.0017,-0.0051
2026-05-27,5.94,5.89,5.98,5.88,360126.0,星期三,-0.0017,-0.0084
2026-05-26,5.97,5.95,6.01,5.93,333642.0,星期二,-0.0017,-0.0034
2026-05-25,5.98,5.98,6.0,5.95,262026.0,星期一,-0.0017,0.0
2026-05-22,6.0,5.99,6.01,5.93,340044.0,星期五,0.0,-0.0017
2026-05-21,6.03,6.0,6.08,5.97,420810.0,星期四,0.0,-0.005
2026-05-20,6.05,6.03,6.08,6.0,338211.0,星期三,-0.0033,-0.0033
2026-05-19,5.95,6.07,6.08,5.94,554291.0,星期二,-0.0017,0.0202
2026-05-18,5.93,5.96,5.96,5.91,349887.0,星期一,-0.0034,0.0051
2026-05-15,6.03,5.95,6.04,5.94,583270.0,星期五,-0.0017,-0.0133
2026-05-14,6.01,6.04,6.05,5.99,542020.0,星期四,-0.0017,0.005
2026-05-13,5.99,6.02,6.03,5.97,388249.0,星期三,-0.0017,0.005
2026-05-12,5.97,6.0,6.02,5.96,447028.0,星期二,-0.0017,0.005
2026-05-11,5.94,5.98,5.99,5.91,362294.0,星期一,0.0,0.0067
2026-05-08,5.95,5.94,5.98,5.93,313303.0,星期五,0.0,-0.0017
2026-05-07,5.98,5.95,5.99,5.94,413979.0,星期四,0.0,-0.005
2026-05-06,6.01,5.98,6.02,5.96,637531.0,星期三,0.0,-0.005
2026-04-30,6.01,6.01,6.05,5.99,423491.0,星期四,-0.0033,0.0
2026-04-29,6.0,6.03,6.08,5.98,529381.0,星期三,0.0,0.005
2026-04-28,5.95,6.0,6.04,5.94,498782.0,星期二,-0.0034,0.0084
2026-04-27,6.13,5.97,6.18,5.97,971654.0,星期一,-0.0016,-0.0261
2026-04-24,6.27,6.14,6.28,6.12,979107.0,星期五,-0.0016,-0.0207
2026-04-23,6.1,6.28,6.37,6.05,2393023.0,星期四,0.0392,0.0295
2026-04-22,5.85,5.87,5.87,5.82,293007.0,星期三,0.0017,0.0034
2026-04-21,5.8,5.84,5.86,5.79,300899.0,星期二,0.0017,0.0069
2026-04-20,5.8,5.79,5.81,5.78,194156.0,星期一,0.0017,-0.0017
2026-04-17,5.78,5.79,5.81,5.77,153941.0,星期五,-0.0017,0.0017
2026-04-16,5.8,5.79,5.83,5.77,192086.0,星期四,0.0,-0.0017
2026-04-15,5.77,5.8,5.82,5.76,260101.0,星期三,0.0,0.0052
2026-04-14,5.75,5.77,5.77,5.72,205122.0,星期二,0.0052,0.0035
2026-04-13,5.75,5.72,5.75,5.7,218459.0,星期一,0.0,-0.0052
2026-04-10,5.76,5.75,5.79,5.74,207967.0,星期五,0.0052,-0.0017
2026-04-09,5.8,5.73,5.83,5.72,217332.0,星期四,-0.0051,-0.0121
2026-04-08,5.75,5.83,5.83,5.75,368725.0,星期三,0.007,0.0139
2026-04-07,5.71,5.71,5.74,5.69,219671.0,星期二,-0.0017,0.0
2026-04-03,5.79,5.72,5.8,5.7,222839.0,星期五,0.0,-0.0121
2026-04-02,5.81,5.79,5.84,5.77,231346.0,星期四,-0.0017,-0.0034
2026-04-01,5.83,5.82,5.85,5.79,236186.0,星期三,0.0017,-0.0017
2026-03-31,5.78,5.82,5.85,5.77,320058.0,星期二,0.0,0.0069
2026-03-30,5.7,5.78,5.8,5.68,279461.0,星期一,-0.007,0.014
2026-03-27,5.75,5.74,5.79,5.7,303033.0,星期五,-0.0035,-0.0017
2026-03-26,5.76,5.77,5.83,5.74,329164.0,星期四,-0.0017,0.0017
2026-03-25,5.67,5.77,5.79,5.64,422883.0,星期三,0.0,0.0176
2026-03-24,5.57,5.67,5.67,5.55,406758.0,星期二,0.0091,0.018
2026-03-23,5.75,5.52,5.76,5.49,763788.0,星期一,-0.0052,-0.04
2026-03-20,5.82,5.78,5.86,5.78,304191.0,星期五,0.0,-0.0069
2026-03-19,5.86,5.82,5.91,5.81,331805.0,星期四,-0.0034,-0.0068
2026-03-18,5.92,5.88,5.93,5.85,291049.0,星期三,0.0,-0.0068
2026-03-17,5.9,5.92,5.95,5.89,333305.0,星期二,0.0,0.0034
2026-03-16,5.89,5.9,5.93,5.86,329693.0,星期一,-0.0017,0.0017
2026-03-13,5.87,5.9,5.95,5.84,473964.0,星期五,-0.0017,0.0051
2026-03-12,5.81,5.88,5.9,5.8,526498.0,星期四,0.0,0.012
2026-03-11,5.76,5.81,5.82,5.74,346795.0,星期三,-0.0017,0.0087
2026-03-10,5.74,5.77,5.77,5.72,301652.0,星期二,0.0017,0.0052
2026-03-09,5.73,5.73,5.75,5.7,321328.0,星期一,-0.0035,0.0
2026-03-06,5.71,5.75,5.75,5.7,260492.0,星期五,-0.0017,0.007
2026-03-05,5.7,5.72,5.74,5.7,275214.0,星期四,0.0018,0.0035
2026-03-04,5.78,5.69,5.79,5.67,555585.0,星期三,-0.0017,-0.0156
2026-03-03,5.81,5.79,5.86,5.78,488854.0,星期二,0.0,-0.0034
2026-03-02,5.77,5.81,5.84,5.76,412881.0,星期一,-0.0069,0.0069
2026-02-27,5.78,5.81,5.82,5.77,255412.0,星期五,0.0,0.0052
2026-02-26,5.84,5.78,5.85,5.77,346416.0,星期四,0.0017,-0.0103
2026-02-25,5.83,5.83,5.88,5.81,347005.0,星期三,0.0017,0.0
2026-02-24,5.84,5.82,5.86,5.82,248878.0,星期二,0.0034,-0.0034
2026-02-13,5.86,5.82,5.89,5.81,270692.0,星期五,0.0034,-0.0068
2026-02-12,5.92,5.84,5.92,5.83,299676.0,星期四,-0.0017,-0.0135
2026-02-11,5.89,5.93,5.93,5.87,288837.0,星期三,-0.0017,0.0068
2026-02-10,5.88,5.9,5.92,5.87,253253.0,星期二,-0.0017,0.0034
2026-02-09,5.85,5.89,5.91,5.84,367022.0,星期一,0.0017,0.0068
2026-02-06,5.85,5.84,5.88,5.8,368291.0,星期五,0.0,-0.0017
2026-02-05,5.76,5.85,5.87,5.75,525601.0,星期四,0.0,0.0156
2026-02-04,5.69,5.76,5.76,5.68,354126.0,星期三,0.0,0.0123
2026-02-03,5.74,5.69,5.76,5.67,426072.0,星期二,0.0017,-0.0087
2026-02-02,5.81,5.73,5.86,5.73,500620.0,星期一,0.0,-0.0138
2026-01-30,5.88,5.81,5.9,5.81,416489.0,星期五,0.0,-0.0119
2026-01-29,5.8,5.88,5.89,5.78,475301.0,星期四,0.0,0.0138
2026-01-28,5.76,5.8,5.83,5.76,342882.0,星期三,-0.0017,0.0069
2026-01-27,5.82,5.77,5.82,5.75,312146.0,星期二,0.0,-0.0086
2026-01-26,5.81,5.82,5.84,5.79,285234.0,星期一,-0.0034,0.0017
2026-01-23,5.8,5.83,5.84,5.8,224290.0,星期五,0.0,0.0052
2026-01-22,5.78,5.8,5.84,5.77,258596.0,星期四,0.0,0.0035
2026-01-21,5.79,5.78,5.81,5.76,224414.0,星期三,-0.0034,-0.0017
2026-01-20,5.76,5.81,5.81,5.75,243753.0,星期二,0.0,0.0087
2026-01-19,5.75,5.76,5.78,5.73,179356.0,星期一,-0.0035,0.0017
2026-01-16,5.82,5.77,5.83,5.74,356742.0,星期五,0.0,-0.0086
2026-01-15,5.84,5.82,5.85,5.8,271132.0,星期四,0.0,-0.0034
2026-01-14,5.9,5.84,5.9,5.83,390168.0,星期三,0.0,-0.0102
2026-01-13,5.88,5.9,5.92,5.87,323138.0,星期二,0.0,0.0034
2026-01-12,5.85,5.88,5.89,5.84,275083.0,星期一,-0.0017,0.0051
2026-01-09,5.85,5.86,5.87,5.83,246321.0,星期五,0.0,0.0017
2026-01-08,5.89,5.85,5.9,5.84,291081.0,星期四,0.0,-0.0068
2026-01-07,5.92,5.89,5.94,5.89,230460.0,星期三,0.0,-0.0051
2026-01-06,5.9,5.92,5.93,5.88,299190.0,星期二,-0.0017,0.0034
2026-01-05,5.88,5.91,5.91,5.86,255746.0,星期一,0.0017,0.0051
2025-12-31,5.86,5.87,5.9,5.84,164889.0,星期三,-0.0017,0.0017
2025-12-30,5.87,5.87,5.89,5.82,246907.0,星期二,0.0017,0.0
2025-12-29,5.9,5.86,5.91,5.85,380244.0,星期一,0.0,-0.0068
2025-12-26,5.95,5.9,5.97,5.89,533833.0,星期五,-0.0034,-0.0084
2025-12-25,5.97,5.97,5.98,5.94,200559.0,星期四,-0.0017,0.0
2025-12-24,5.94,5.98,5.98,5.92,148293.0,星期三,-0.0017,0.0067
2025-12-23,5.95,5.95,5.99,5.94,190378.0,星期二,0.0,0.0
2025-12-22,6.0,5.95,6.01,5.95,207306.0,星期一,-0.0017,-0.0083
2025-12-19,5.98,6.01,6.02,5.95,251865.0,星期五,-0.0017,0.005
2025-12-18,5.91,5.99,6.0,5.9,264662.0,星期四,-0.0017,0.0135
2025-12-17,5.92,5.92,5.96,5.89,220383.0,星期三,-0.0017,0.0
2025-12-16,5.96,5.93,5.97,5.91,193320.0,星期二,0.0017,-0.005
2025-12-15,5.92,5.95,5.98,5.91,177490.0,星期一,0.0017,0.0051
2025-12-12,5.92,5.91,5.94,5.9,242889.0,星期五,0.0,-0.0017
2025-12-11,5.93,5.92,5.95,5.9,179819.0,星期四,0.0,-0.0017
2025-12-10,5.95,5.93,5.97,5.89,261612.0,星期三,0.0,-0.0034
2025-12-09,6.0,5.95,6.02,5.95,235535.0,星期二,-0.0017,-0.0083
2025-12-08,6.0,6.01,6.04,5.98,250967.0,星期一,0.0,0.0017
2025-12-05,6.04,6.0,6.06,5.97,357569.0,星期五,0.0,-0.0066
2025-12-04,6.06,6.04,6.07,6.02,244912.0,星期四,-0.0016,-0.0033
2025-12-03,6.06,6.07,6.14,6.06,353281.0,星期三,-0.0033,0.0017
2025-12-02,6.06,6.08,6.09,6.03,214758.0,星期二,-0.0033,0.0033
2025-12-01,6.01,6.08,6.08,5.99,366460.0,星期一,0.0017,0.0116
2025-11-28,6.05,6.0,6.07,5.98,305799.0,星期五,0.0,-0.0083
2025-11-27,6.04,6.05,6.09,6.01,236999.0,星期四,0.0,0.0017
2025-11-26,6.07,6.04,6.1,6.03,237914.0,星期三,0.0,-0.0049
2025-11-25,6.01,6.07,6.1,5.98,335804.0,星期二,0.0017,0.01
2025-11-24,6.02,6.0,6.04,5.95,313872.0,星期一,0.0067,-0.0033
2025-11-21,6.15,5.98,6.17,5.98,557874.0,星期五,-0.0016,-0.0276
2025-11-20,6.07,6.16,6.21,6.06,517261.0,星期四,0.0,0.0148
2025-11-19,6.06,6.07,6.1,6.05,261243.0,星期三,0.0,0.0017
2025-11-18,6.11,6.06,6.12,6.04,303884.0,星期二,-0.0016,-0.0082
2025-11-17,6.16,6.12,6.16,6.07,319631.0,星期一,0.0,-0.0065
2025-11-14,6.17,6.16,6.22,6.16,310986.0,星期五,-0.0032,-0.0016
2025-11-13,6.22,6.19,6.22,6.13,390547.0,星期四,0.0016,-0.0048
2025-11-12,6.22,6.21,6.27,6.19,333151.0,星期三,0.0,-0.0016
2025-11-11,6.19,6.22,6.23,6.17,296755.0,星期二,0.0,0.0048
