time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.75,7.86,7.9,7.55,171817.0,星期五,-0.0026,0.0142
2026-06-25,8.12,7.77,8.23,7.42,281089.0,星期四,-0.0037,-0.0431
2026-06-24,8.39,8.15,8.43,7.8,272088.0,星期三,-0.0012,-0.0286
2026-06-23,8.42,8.4,8.79,8.22,417271.0,星期二,0.0256,-0.0024
2026-06-22,7.46,8.21,8.21,7.46,153612.0,星期一,0.0,0.1005
2026-06-18,7.38,7.46,7.56,7.3,119933.0,星期四,-0.0014,0.0108
2026-06-17,7.53,7.39,7.53,7.32,134798.0,星期三,-0.004,-0.0186
2026-06-16,7.56,7.56,7.67,7.41,149864.0,星期二,0.0,0.0
2026-06-15,7.61,7.56,7.85,7.52,157501.0,星期一,0.0,-0.0066
2026-06-12,7.71,7.61,8.0,7.5,239483.0,星期五,0.0078,-0.013
2026-06-11,7.47,7.65,7.76,7.13,306387.0,星期四,0.0,0.0241
2026-06-10,7.8,7.47,7.83,7.31,294412.0,星期三,-0.0089,-0.0423
2026-06-09,8.38,7.87,8.44,7.72,320536.0,星期二,0.0121,-0.0609
2026-06-08,8.69,8.28,8.69,8.02,203424.0,星期一,-0.0236,-0.0472
2026-06-05,8.78,8.9,9.05,8.57,173527.0,星期五,0.0,0.0137
2026-06-04,8.99,8.78,9.22,8.74,149197.0,星期四,-0.0055,-0.0234
2026-06-03,9.14,9.04,9.27,8.92,161544.0,星期三,0.0011,-0.0109
2026-06-02,9.35,9.13,9.39,8.96,145333.0,星期二,-0.0043,-0.0235
2026-06-01,9.55,9.39,10.03,9.31,232513.0,星期一,0.0095,-0.0168
2026-05-29,9.65,9.46,9.66,9.19,188158.0,星期五,0.0,-0.0197
2026-05-28,9.7,9.65,9.85,9.44,157058.0,星期四,-0.001,-0.0052
2026-05-27,9.93,9.71,10.04,9.61,220305.0,星期三,0.003,-0.0222
2026-05-26,10.11,9.9,10.25,9.72,293095.0,星期二,-0.0203,-0.0208
2026-05-25,9.99,10.32,10.39,9.7,406119.0,星期一,0.0257,0.033
2026-05-22,9.5,9.74,10.1,9.49,351454.0,星期五,0.0064,0.0253
2026-05-21,9.51,9.44,10.16,9.39,395543.0,星期四,0.0011,-0.0074
2026-05-20,9.04,9.5,9.61,8.95,338658.0,星期三,0.018,0.0509
2026-05-19,9.04,8.88,9.06,8.72,201463.0,星期二,-0.0033,-0.0177
2026-05-18,9.16,9.07,9.39,9.03,171301.0,星期一,0.0,-0.0098
2026-05-15,9.68,9.16,9.69,9.03,247993.0,星期五,0.0222,-0.0537
2026-05-14,9.83,9.47,9.96,9.47,275946.0,星期四,0.0113,-0.0366
2026-05-13,9.75,9.72,9.85,9.57,236738.0,星期三,-0.0031,-0.0031
2026-05-12,9.86,9.78,9.87,9.5,355200.0,星期二,-0.006,-0.0081
2026-05-11,9.58,9.92,10.05,9.4,784887.0,星期一,0.0031,0.0355
2026-05-08,8.68,9.55,9.55,8.61,504042.0,星期五,0.0,0.1002
2026-05-07,8.74,8.68,8.84,8.64,142247.0,星期四,-0.0011,-0.0069
2026-05-06,8.66,8.75,8.95,8.66,184866.0,星期三,0.0,0.0104
2026-04-30,8.76,8.66,8.85,8.58,103977.0,星期四,0.0023,-0.0114
2026-04-29,8.7,8.74,8.93,8.61,169806.0,星期三,0.0035,0.0046
2026-04-28,8.91,8.67,8.91,8.62,159104.0,星期二,0.0022,-0.0269
