time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,62.79,62.33,64.0,61.0,34526.0,星期五,-0.0099,-0.0073
2026-06-25,65.15,63.42,65.5,63.35,28364.0,星期四,-0.3069,-0.0266
2026-06-24,94.0,94.0,94.56,91.0,25192.0,星期三,-0.0061,0.0
2026-06-23,97.47,94.58,97.49,93.1,20279.0,星期二,0.0,-0.0297
2026-06-22,97.4,97.47,99.48,93.68,30373.0,星期一,0.0002,0.0007
2026-06-18,96.2,97.38,98.38,94.6,20358.0,星期四,-0.0023,0.0123
2026-06-17,95.0,96.42,98.4,94.15,22755.0,星期三,-0.0014,0.0149
2026-06-16,95.6,95.13,96.3,93.81,25836.0,星期二,-0.001,-0.0049
2026-06-15,90.05,95.7,96.66,89.5,40048.0,星期一,0.0149,0.0627
2026-06-12,87.0,88.73,90.85,86.07,34244.0,星期五,0.0151,0.0199
2026-06-11,88.38,85.71,88.38,83.73,20910.0,星期四,0.02,-0.0302
2026-06-10,91.88,86.65,91.88,85.87,26407.0,星期三,0.0,-0.0569
2026-06-09,90.82,91.88,92.3,88.11,28347.0,星期二,0.0014,0.0117
2026-06-08,85.91,90.69,93.48,85.9,30154.0,星期一,-0.0512,0.0556
2026-06-05,87.87,90.55,93.15,87.02,33837.0,星期五,-0.0159,0.0305
2026-06-04,85.52,89.29,91.08,85.52,35746.0,星期四,-0.0192,0.0441
2026-06-03,82.27,87.19,88.28,81.5,49230.0,星期三,0.0191,0.0598
2026-06-02,81.0,80.73,83.2,79.22,24319.0,星期二,0.0112,-0.0033
2026-06-01,85.05,80.1,85.05,80.0,29389.0,星期一,-0.0058,-0.0582
2026-05-29,88.85,85.55,89.03,84.08,36233.0,星期五,-0.0041,-0.0371
2026-05-28,88.01,89.22,90.37,86.04,39001.0,星期四,-0.0001,0.0137
2026-05-27,93.0,88.02,93.55,88.02,50623.0,星期三,-0.0167,-0.0535
2026-05-26,92.43,94.58,98.95,90.94,45171.0,星期二,-0.0141,0.0233
2026-05-25,94.05,93.75,102.0,92.51,59715.0,星期一,0.0005,-0.0032
2026-05-22,91.0,94.0,95.0,88.51,54246.0,星期五,0.0,0.033
2026-05-21,85.6,91.0,94.16,85.5,67451.0,星期四,0.0,0.0631
2026-05-20,87.0,85.6,87.2,83.34,28966.0,星期三,0.0027,-0.0161
2026-05-19,84.65,86.77,88.82,84.0,39474.0,星期二,0.0101,0.025
2026-05-18,82.9,83.8,85.99,81.38,54356.0,星期一,0.0,0.0109
2026-05-15,75.36,82.9,82.9,74.0,38007.0,星期五,0.0,0.1001
2026-05-14,79.15,75.36,79.36,74.75,25133.0,星期四,0.008,-0.0479
2026-05-13,79.56,78.52,79.56,77.09,18896.0,星期三,0.0001,-0.0131
2026-05-12,81.47,79.55,81.47,79.0,23941.0,星期二,0.0,-0.0236
2026-05-11,82.2,81.47,83.25,80.77,25355.0,星期一,0.0011,-0.0089
2026-05-08,81.01,82.11,82.99,80.1,28350.0,星期五,0.0001,0.0136
2026-05-07,78.86,81.0,82.3,78.22,32331.0,星期四,0.0,0.0271
2026-05-06,79.8,78.86,80.44,78.0,18142.0,星期三,0.0023,-0.0118
2026-04-30,79.16,79.62,81.1,78.83,16323.0,星期四,-0.0045,0.0058
2026-04-29,76.78,79.52,81.86,76.2,23698.0,星期三,-0.0151,0.0357
2026-04-28,81.18,77.96,82.1,77.22,23664.0,星期二,-0.0112,-0.0397
2026-04-27,81.7,82.1,83.04,81.1,18671.0,星期一,0.0001,0.0049
2026-04-24,81.75,81.69,82.45,80.57,12186.0,星期五,-0.0067,-0.0007
2026-04-23,85.0,82.3,85.01,81.53,16142.0,星期四,0.0048,-0.0318
2026-04-22,83.48,84.59,85.2,82.52,13057.0,星期三,0.001,0.0133
2026-04-21,83.74,83.4,84.57,82.21,16402.0,星期二,-0.0037,-0.0041
2026-04-20,85.6,84.05,86.52,83.7,19420.0,星期一,-0.0006,-0.0181
2026-04-17,86.13,85.65,86.98,83.88,21344.0,星期五,0.0013,-0.0056
2026-04-16,80.91,86.02,87.18,80.76,28293.0,星期四,0.0062,0.0632
2026-04-15,79.92,80.41,82.29,79.92,15251.0,星期三,-0.006,0.0061
2026-04-14,79.99,80.4,80.42,78.26,18189.0,星期二,0.0016,0.0051
2026-04-13,82.0,79.86,82.47,79.0,18163.0,星期一,-0.012,-0.0261
2026-04-10,83.39,83.0,85.0,82.8,11135.0,星期五,0.0026,-0.0047
2026-04-09,84.11,83.17,84.11,82.05,12611.0,星期四,-0.0068,-0.0112
2026-04-08,81.59,84.69,84.95,81.04,15561.0,星期三,0.0209,0.038
2026-04-07,79.07,79.92,80.57,79.01,8577.0,星期二,-0.0033,0.0107
2026-04-03,80.56,79.33,80.91,78.87,8490.0,星期五,0.0001,-0.0153
2026-04-02,82.15,80.55,82.3,79.3,13783.0,星期四,0.0005,-0.0195
2026-04-01,80.3,82.11,82.9,79.5,19040.0,星期三,0.0112,0.0225
2026-03-31,80.0,79.41,80.91,78.68,10904.0,星期二,-0.0005,-0.0074
2026-03-30,79.33,80.04,80.65,78.2,14572.0,星期一,-0.0115,0.0089
2026-03-27,78.92,80.25,80.9,78.2,16473.0,星期五,-0.0054,0.0169
2026-03-26,79.33,79.35,81.52,78.49,21501.0,星期四,0.0016,0.0003
2026-03-25,78.64,79.2,79.79,76.88,17250.0,星期三,0.0236,0.0071
2026-03-24,76.77,76.83,77.05,73.35,21798.0,星期二,0.0391,0.0008
