time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.2,8.93,9.24,8.89,57628.0,星期五,-0.0043,-0.0293
2026-06-25,9.35,9.24,9.5,9.14,68752.0,星期四,-0.0106,-0.0118
2026-06-24,9.72,9.45,9.72,9.3,67921.0,星期三,-0.0021,-0.0278
2026-06-23,9.65,9.74,9.97,9.6,66817.0,星期二,-0.0092,0.0093
2026-06-22,9.34,9.74,9.74,9.1,115424.0,星期一,0.0,0.0428
2026-06-18,9.96,9.34,9.99,9.31,86386.0,星期四,0.0205,-0.0622
2026-06-17,10.08,9.76,10.08,9.3,125612.0,星期三,0.007,-0.0317
2026-06-16,10.1,10.01,10.29,9.87,99544.0,星期二,-0.001,-0.0089
2026-06-15,10.12,10.11,10.44,9.96,87208.0,星期一,0.014,-0.001
2026-06-12,9.65,9.98,10.17,9.63,124714.0,星期五,0.0179,0.0342
2026-06-11,9.3,9.48,9.75,8.96,82137.0,星期四,-0.0043,0.0194
2026-06-10,9.48,9.34,9.48,9.14,46953.0,星期三,-0.0073,-0.0148
2026-06-09,9.4,9.55,9.68,9.37,69590.0,星期二,-0.0095,0.016
2026-06-08,9.93,9.49,10.44,9.39,95631.0,星期一,-0.0246,-0.0443
2026-06-05,9.45,10.18,10.24,9.25,118056.0,星期五,0.0011,0.0772
2026-06-04,9.6,9.44,9.68,9.35,45249.0,星期四,-0.001,-0.0167
2026-06-03,9.58,9.61,9.75,9.49,47024.0,星期三,-0.0093,0.0031
2026-06-02,9.93,9.67,9.98,9.51,49560.0,星期二,0.0,-0.0262
2026-06-01,10.07,9.93,10.08,9.7,54947.0,星期一,0.0141,-0.0139
2026-05-29,10.36,9.93,10.43,9.85,74859.0,星期五,0.001,-0.0415
2026-05-28,10.15,10.35,10.48,10.0,65998.0,星期四,0.001,0.0197
2026-05-27,10.21,10.14,10.37,10.0,69652.0,星期三,-0.0116,-0.0069
2026-05-26,10.27,10.33,10.48,9.84,136879.0,星期二,-0.0058,0.0058
2026-05-25,10.68,10.33,10.75,10.15,90327.0,星期一,0.0,-0.0328
2026-05-22,10.6,10.68,10.72,10.37,66239.0,星期五,0.0095,0.0075
2026-05-21,11.16,10.5,11.41,10.4,113034.0,星期四,0.0009,-0.0591
2026-05-20,11.48,11.15,11.77,11.08,109437.0,星期三,-0.0069,-0.0287
2026-05-19,11.33,11.56,11.79,11.12,128548.0,星期二,0.0053,0.0203
2026-05-18,11.3,11.27,11.66,11.16,103299.0,星期一,0.0053,-0.0027
2026-05-15,11.38,11.24,11.69,11.12,78510.0,星期五,-0.0035,-0.0123
2026-05-14,11.64,11.42,11.9,11.31,78297.0,星期四,0.0,-0.0189
2026-05-13,12.08,11.64,12.08,11.6,106166.0,星期三,0.0194,-0.0364
2026-05-12,12.33,11.85,12.43,11.65,155677.0,星期二,0.0008,-0.0389
2026-05-11,12.09,12.32,12.53,12.04,109898.0,星期一,0.0025,0.019
2026-05-08,11.85,12.06,12.18,11.8,85797.0,星期五,0.0,0.0177
2026-05-07,11.64,11.85,11.96,11.5,125992.0,星期四,-0.0009,0.018
2026-05-06,11.06,11.65,11.76,11.04,140317.0,星期三,0.0009,0.0533
2026-04-30,10.55,11.05,11.3,10.53,175345.0,星期四,0.0,0.0474
2026-04-29,10.23,10.55,10.85,10.23,134785.0,星期三,-0.0154,0.0313
2026-04-28,11.35,10.39,11.4,10.23,182871.0,星期二,-0.0009,-0.0846
2026-04-27,11.42,11.36,11.57,11.2,120373.0,星期一,0.0,-0.0053
2026-04-24,11.96,11.42,12.02,11.34,111958.0,星期五,-0.0058,-0.0452
2026-04-23,12.12,12.03,12.45,11.97,84491.0,星期四,0.005,-0.0074
2026-04-22,12.25,12.06,12.31,12.0,82607.0,星期三,-0.0049,-0.0155
2026-04-21,12.34,12.31,12.36,11.93,72306.0,星期二,0.0024,-0.0024
2026-04-20,12.11,12.31,12.58,12.08,98194.0,星期一,0.0025,0.0165
2026-04-17,12.13,12.08,12.26,11.98,74848.0,星期五,-0.0025,-0.0041
2026-04-16,12.2,12.16,12.28,11.96,98380.0,星期四,0.0,-0.0033
2026-04-15,12.72,12.2,12.8,12.16,89325.0,星期三,0.0039,-0.0409
2026-04-14,12.45,12.67,13.0,12.43,113453.0,星期二,0.0024,0.0177
2026-04-13,12.56,12.42,12.61,12.21,82924.0,星期一,-0.0048,-0.0111
2026-04-10,12.2,12.62,12.89,12.14,140974.0,星期五,0.0099,0.0344
2026-04-09,12.13,12.08,12.19,11.98,51107.0,星期四,-0.0122,-0.0041
2026-04-08,12.0,12.28,12.33,12.0,87513.0,星期三,0.0327,0.0233
2026-04-07,11.44,11.62,11.79,11.3,63648.0,星期二,0.0097,0.0157
2026-04-03,11.7,11.33,11.85,11.32,51615.0,星期五,-0.0026,-0.0316
2026-04-02,12.0,11.73,12.25,11.61,83091.0,星期四,-0.0148,-0.0225
2026-04-01,12.08,12.18,12.41,11.99,88605.0,星期三,0.0229,0.0083
2026-03-31,11.7,11.81,12.5,11.69,65173.0,星期二,-0.0085,0.0094
2026-03-30,11.75,11.8,11.92,11.63,50382.0,星期一,-0.0109,0.0043
2026-03-27,11.58,11.88,12.02,11.58,46631.0,星期五,-0.0186,0.0259
2026-03-26,11.95,11.8,12.1,11.71,44229.0,星期四,-0.0099,-0.0126
2026-03-25,11.8,12.07,12.21,11.77,61035.0,星期三,0.0034,0.0229
2026-03-24,11.56,11.76,11.77,11.2,76049.0,星期二,0.0185,0.0173
2026-03-23,11.95,11.35,12.14,11.17,112491.0,星期一,-0.014,-0.0502
2026-03-20,12.57,12.12,12.57,12.11,64475.0,星期五,0.0096,-0.0358
