time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,20.5,20.08,20.83,19.81,30056.0,星期五,-0.0039,-0.0205
2026-06-25,21.09,20.58,21.09,20.26,31044.0,星期四,0.0,-0.0242
2026-06-24,21.71,21.09,21.71,20.71,31179.0,星期三,0.0,-0.0286
2026-06-23,22.0,21.71,22.33,21.52,31326.0,星期二,0.0018,-0.0132
2026-06-22,22.06,21.96,22.22,21.06,41788.0,星期一,0.0014,-0.0045
2026-06-18,21.51,22.03,22.96,21.12,49044.0,星期四,-0.0088,0.0242
2026-06-17,22.05,21.7,22.1,21.39,33610.0,星期三,0.0064,-0.0159
2026-06-16,22.24,21.91,22.34,21.67,35311.0,星期二,-0.0004,-0.0148
2026-06-15,23.17,22.25,23.23,21.8,48294.0,星期一,0.0074,-0.0397
2026-06-12,23.01,23.0,23.33,22.65,24285.0,星期五,0.0048,-0.0004
2026-06-11,23.13,22.9,24.0,22.57,38575.0,星期四,-0.0195,-0.0099
2026-06-10,23.27,23.59,23.96,23.07,30811.0,星期三,-0.0068,0.0138
2026-06-09,23.8,23.43,23.94,23.35,26989.0,星期二,0.0149,-0.0155
2026-06-08,23.66,23.45,24.35,23.21,27082.0,星期一,-0.0287,-0.0089
2026-06-05,24.06,24.36,24.76,23.31,32246.0,星期五,0.0025,0.0125
2026-06-04,24.46,24.0,24.91,23.86,28803.0,星期四,-0.0057,-0.0188
2026-06-03,24.7,24.6,24.85,24.33,30380.0,星期三,-0.01,-0.004
2026-06-02,26.0,24.95,26.15,24.6,42859.0,星期二,-0.0012,-0.0404
2026-06-01,25.91,26.03,26.54,25.91,42359.0,星期一,-0.0167,0.0046
2026-05-29,26.17,26.35,27.2,26.0,64267.0,星期五,-0.0072,0.0069
2026-05-28,24.78,26.36,27.3,24.78,70255.0,星期四,-0.0068,0.0638
2026-05-27,25.76,24.95,25.76,24.45,42841.0,星期三,0.0039,-0.0314
2026-05-26,26.1,25.66,26.23,25.36,42426.0,星期二,0.0,-0.0169
2026-05-25,27.35,26.1,27.59,26.0,42394.0,星期一,-0.0076,-0.0457
2026-05-22,27.3,27.56,28.1,26.89,45448.0,星期五,0.0119,0.0095
2026-05-21,27.27,26.98,28.16,26.9,44210.0,星期四,-0.0047,-0.0106
2026-05-20,27.14,27.4,27.93,26.67,51285.0,星期三,0.0004,0.0096
2026-05-19,27.6,27.13,27.89,27.0,51626.0,星期二,0.0015,-0.017
2026-05-18,29.45,27.56,30.85,27.17,82722.0,星期一,-0.0084,-0.0642
2026-05-15,28.88,29.7,30.39,28.6,60456.0,星期五,0.0038,0.0284
2026-05-14,28.82,28.77,29.99,28.43,56582.0,星期四,-0.0017,-0.0017
2026-05-13,30.54,28.87,30.65,28.65,70427.0,星期三,0.0059,-0.0547
2026-05-12,31.73,30.36,31.73,30.31,42474.0,星期二,0.0,-0.0432
2026-05-11,31.67,31.73,32.06,31.12,58395.0,星期一,-0.0075,0.0019
2026-05-08,32.6,31.91,32.99,31.6,51148.0,星期五,0.0,-0.0212
2026-05-07,32.43,32.6,33.4,32.0,72026.0,星期四,-0.0009,0.0052
2026-05-06,31.62,32.46,32.79,31.2,71813.0,星期三,-0.018,0.0266
2026-04-30,30.6,32.2,33.47,30.44,78733.0,星期四,0.0053,0.0523
2026-04-29,30.01,30.44,30.95,29.96,51690.0,星期三,0.004,0.0143
2026-04-28,29.9,29.89,30.46,29.7,38395.0,星期二,-0.001,-0.0003
2026-04-27,29.98,29.93,30.39,29.44,43297.0,星期一,0.0064,-0.0017
2026-04-24,30.08,29.79,30.69,29.52,52346.0,星期五,-0.0036,-0.0096
2026-04-23,28.64,30.19,31.2,28.64,86765.0,星期四,-0.0073,0.0541
2026-04-22,28.15,28.85,29.12,27.44,51607.0,星期三,-0.0085,0.0249
2026-04-21,29.28,28.39,29.28,28.03,41963.0,星期二,0.0041,-0.0304
2026-04-20,29.17,29.16,29.32,28.67,28507.0,星期一,-0.0048,-0.0003
2026-04-17,29.28,29.31,29.42,29.0,29287.0,星期五,-0.0048,0.001
2026-04-16,29.0,29.42,29.6,28.76,42102.0,星期四,0.001,0.0145
2026-04-15,28.86,28.97,29.5,28.55,46506.0,星期三,0.0126,0.0038
2026-04-14,28.67,28.5,28.87,28.0,33194.0,星期二,0.001,-0.0059
2026-04-13,28.49,28.64,29.2,28.35,34744.0,星期一,-0.0111,0.0053
2026-04-10,28.95,28.81,29.18,28.17,42021.0,星期五,0.0133,-0.0048
2026-04-09,28.76,28.57,29.76,28.45,57997.0,星期四,-0.0134,-0.0066
2026-04-08,29.68,29.15,29.99,28.76,68062.0,星期三,0.0044,-0.0179
2026-04-07,28.68,29.55,30.45,28.17,96440.0,星期二,0.0159,0.0303
