time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.37,5.27,5.39,5.21,67611.0,星期五,0.0,-0.0186
2026-06-25,5.55,5.37,5.55,5.31,72170.0,星期四,0.0054,-0.0324
2026-06-24,5.66,5.52,5.72,5.49,71095.0,星期三,-0.0035,-0.0247
2026-06-23,5.64,5.68,5.79,5.6,68942.0,星期二,0.0,0.0071
2026-06-22,5.6,5.64,5.67,5.38,83070.0,星期一,0.0072,0.0071
2026-06-18,5.56,5.56,5.64,5.47,61138.0,星期四,-0.0054,0.0
2026-06-17,5.81,5.59,5.83,5.56,87177.0,星期三,0.0,-0.0379
2026-06-16,5.87,5.81,5.87,5.69,60032.0,星期二,0.0,-0.0102
2026-06-15,5.9,5.87,6.04,5.83,67383.0,星期一,-0.0034,-0.0051
2026-06-12,5.85,5.92,5.96,5.69,74823.0,星期五,0.0139,0.012
2026-06-11,5.8,5.77,5.88,5.71,44535.0,星期四,-0.0068,-0.0052
2026-06-10,5.83,5.84,5.91,5.76,53652.0,星期三,-0.0034,0.0017
2026-06-09,5.82,5.85,5.96,5.79,37062.0,星期二,0.0034,0.0052
2026-06-08,5.92,5.8,6.02,5.75,63027.0,星期一,-0.0199,-0.0203
2026-06-05,5.98,6.04,6.09,5.88,62186.0,星期五,-0.0017,0.01
2026-06-04,6.11,5.99,6.14,5.95,56250.0,星期四,-0.0033,-0.0196
2026-06-03,6.23,6.13,6.23,6.09,52145.0,星期三,0.0,-0.0161
2026-06-02,6.37,6.23,6.39,6.17,63885.0,星期二,0.0016,-0.022
2026-06-01,6.1,6.36,6.4,6.07,97994.0,星期一,-0.0016,0.0426
2026-05-29,6.27,6.11,6.29,6.07,66919.0,星期五,0.0032,-0.0255
2026-05-28,6.23,6.25,6.3,6.1,61051.0,星期四,-0.0016,0.0032
2026-05-27,6.49,6.24,6.49,6.19,81947.0,星期三,0.0031,-0.0385
2026-05-26,6.55,6.47,6.58,6.42,64683.0,星期二,-0.0076,-0.0122
2026-05-25,6.68,6.6,6.82,6.54,58975.0,星期一,-0.0089,-0.012
2026-05-22,6.68,6.74,6.77,6.66,43829.0,星期五,-0.003,0.009
2026-05-21,6.91,6.7,6.97,6.7,59331.0,星期四,0.0,-0.0304
2026-05-20,7.05,6.91,7.08,6.9,51668.0,星期三,-0.0042,-0.0199
2026-05-19,7.03,7.08,7.09,7.01,34798.0,星期二,-0.0071,0.0071
2026-05-18,7.11,7.08,7.11,7.0,49030.0,星期一,0.0,-0.0042
2026-05-15,7.13,7.11,7.16,7.08,40910.0,星期五,0.0,-0.0028
2026-05-14,7.3,7.13,7.3,7.12,52658.0,星期四,0.0041,-0.0233
2026-05-13,7.29,7.27,7.32,7.26,42332.0,星期三,0.0014,-0.0027
2026-05-12,7.42,7.28,7.42,7.27,58642.0,星期二,-0.0013,-0.0189
2026-05-11,7.25,7.43,7.49,7.25,112704.0,星期一,-0.0041,0.0248
2026-05-08,7.33,7.28,7.33,7.25,59973.0,星期五,0.0014,-0.0068
2026-05-07,7.4,7.32,7.4,7.3,50228.0,星期四,0.0041,-0.0108
2026-05-06,7.38,7.37,7.43,7.34,59628.0,星期三,0.0041,-0.0014
2026-04-30,7.36,7.35,7.4,7.31,37651.0,星期四,-0.0014,-0.0014
2026-04-29,7.34,7.37,7.37,7.3,38490.0,星期三,0.0,0.0041
2026-04-28,7.43,7.34,7.45,7.31,43575.0,星期二,0.0013,-0.0121
2026-04-27,7.36,7.42,7.43,7.23,64425.0,星期一,0.0,0.0082
2026-04-24,7.3,7.36,7.37,7.28,50415.0,星期五,-0.0082,0.0082
2026-04-23,7.52,7.36,7.52,7.33,101321.0,星期四,-0.0066,-0.0213
2026-04-22,7.7,7.57,7.7,7.54,153167.0,星期三,-0.0253,-0.0169
2026-04-21,7.77,7.9,7.9,7.7,107497.0,星期二,-0.0038,0.0167
2026-04-20,7.62,7.8,7.8,7.62,110523.0,星期一,-0.0013,0.0236
2026-04-17,7.58,7.63,7.69,7.56,75581.0,星期五,-0.0026,0.0066
2026-04-16,7.54,7.6,7.62,7.51,53819.0,星期四,0.0013,0.008
2026-04-15,7.63,7.53,7.64,7.53,53244.0,星期三,0.0,-0.0131
2026-04-14,7.67,7.63,7.68,7.52,61444.0,星期二,0.0052,-0.0052
