time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,8.75,8.4,8.75,8.4,32166.0,星期五,-0.0011,-0.04
2026-06-25,9.15,8.76,9.15,8.75,32944.0,星期四,0.0066,-0.0426
2026-06-24,9.36,9.09,9.46,9.03,25635.0,星期三,0.0,-0.0288
2026-06-23,9.28,9.36,9.55,9.28,19580.0,星期二,-0.0107,0.0086
2026-06-22,9.58,9.38,9.58,9.05,33855.0,星期一,0.0116,-0.0209
2026-06-18,9.24,9.47,9.65,9.01,48146.0,星期四,-0.0043,0.0249
2026-06-17,9.59,9.28,9.6,9.19,36316.0,星期三,0.0042,-0.0323
2026-06-16,9.67,9.55,9.74,9.39,25280.0,星期二,0.0,-0.0124
2026-06-15,9.64,9.67,9.82,9.52,23647.0,星期一,0.0126,0.0031
2026-06-12,9.57,9.52,9.7,9.44,20655.0,星期五,0.0074,-0.0052
2026-06-11,9.76,9.5,9.76,9.34,19115.0,星期四,0.0083,-0.0266
2026-06-10,9.83,9.68,9.94,9.5,22781.0,星期三,-0.0071,-0.0153
2026-06-09,10.08,9.9,10.11,9.77,22654.0,星期二,0.008,-0.0179
2026-06-08,10.05,10.0,10.3,9.81,26267.0,星期一,-0.0157,-0.005
2026-06-05,10.15,10.21,10.44,9.92,29494.0,星期五,-0.001,0.0059
2026-06-04,10.28,10.16,10.3,10.08,19568.0,星期四,-0.001,-0.0117
2026-06-03,10.43,10.29,10.43,10.16,23164.0,星期三,-0.0019,-0.0134
2026-06-02,10.65,10.45,10.78,10.38,18642.0,星期二,0.0009,-0.0188
2026-06-01,10.27,10.64,10.73,10.2,26486.0,星期一,0.0,0.036
2026-05-29,10.78,10.27,10.78,10.18,27886.0,星期五,0.0084,-0.0473
2026-05-28,10.88,10.69,11.0,10.45,32883.0,星期四,0.0018,-0.0175
2026-05-27,11.13,10.86,11.16,10.82,35421.0,星期三,-0.0018,-0.0243
2026-05-26,11.25,11.15,11.47,11.01,34906.0,星期二,-0.0114,-0.0089
2026-05-25,11.31,11.38,11.59,11.22,27953.0,星期一,0.0107,0.0062
2026-05-22,11.13,11.19,11.39,11.03,22129.0,星期五,0.0,0.0054
