time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.18,5.81,6.18,5.7,176282.0,星期五,0.0082,-0.0599
2026-06-25,6.56,6.13,6.57,6.09,163359.0,星期四,0.025,-0.0655
2026-06-24,6.59,6.4,6.92,6.36,314988.0,星期三,-0.0164,-0.0288
2026-06-23,6.19,6.7,6.7,6.1,195917.0,星期二,0.0164,0.0824
2026-06-22,6.47,6.09,6.54,5.99,130318.0,星期一,-0.0107,-0.0587
2026-06-18,6.8,6.54,6.8,6.5,71023.0,星期四,0.0149,-0.0382
2026-06-17,6.65,6.7,6.83,6.53,83696.0,星期三,0.0015,0.0075
2026-06-16,6.69,6.64,6.78,6.48,82666.0,星期二,0.0,-0.0075
2026-06-15,6.89,6.69,7.01,6.62,110086.0,星期一,0.0,-0.029
2026-06-12,6.97,6.89,6.98,6.76,79846.0,星期五,0.0043,-0.0115
2026-06-11,6.67,6.94,6.98,6.56,97339.0,星期四,-0.0389,0.0405
2026-06-10,6.9,6.94,7.01,6.7,87618.0,星期三,-0.0072,0.0058
2026-06-09,6.91,6.95,7.14,6.81,104789.0,星期二,-0.0014,0.0058
2026-06-08,7.2,6.92,7.3,6.82,120920.0,星期一,-0.0177,-0.0389
2026-06-05,7.34,7.33,7.57,7.27,122957.0,星期五,0.011,-0.0014
2026-06-04,7.17,7.26,7.37,7.14,95183.0,星期四,-0.0151,0.0126
2026-06-03,7.33,7.28,7.47,7.18,100486.0,星期三,-0.0095,-0.0068
2026-06-02,7.41,7.4,7.49,7.12,134258.0,星期二,0.0165,-0.0013
2026-06-01,7.4,7.29,7.61,7.0,124485.0,星期一,0.0207,-0.0149
2026-05-29,7.4,7.25,7.43,7.19,117679.0,星期五,0.0123,-0.0203
2026-05-28,7.27,7.31,7.58,7.14,143625.0,星期四,-0.0122,0.0055
2026-05-27,7.74,7.36,7.75,7.25,195144.0,星期三,0.0013,-0.0491
2026-05-26,8.0,7.73,8.08,7.69,190291.0,星期二,-0.0196,-0.0337
2026-05-25,7.79,8.16,8.26,7.79,199416.0,星期一,-0.0089,0.0475
2026-05-22,7.87,7.86,8.09,7.67,208655.0,星期五,-0.0051,-0.0013
2026-05-21,7.65,7.91,8.48,7.65,333582.0,星期四,-0.0078,0.034
2026-05-20,7.78,7.71,8.02,7.58,211770.0,星期三,-0.0013,-0.009
2026-05-19,7.46,7.79,7.99,7.33,268568.0,星期二,-0.0013,0.0442
2026-05-18,7.68,7.47,7.78,7.22,312549.0,星期一,-0.0352,-0.0273
2026-05-15,7.75,7.96,8.52,7.62,398051.0,星期五,0.0,0.0271
2026-05-14,7.61,7.75,8.2,7.52,391380.0,星期四,-0.013,0.0184
2026-05-13,7.24,7.71,8.06,7.18,407688.0,星期三,-0.0123,0.0649
2026-05-12,7.23,7.33,7.48,7.0,234127.0,星期二,0.0,0.0138
2026-05-11,7.64,7.23,7.97,7.13,281316.0,星期一,0.0066,-0.0537
2026-05-08,7.31,7.59,7.71,7.17,254695.0,星期五,0.0,0.0383
2026-05-07,6.82,7.31,7.5,6.82,334367.0,星期四,-0.0058,0.0718
2026-05-06,6.52,6.86,6.93,6.44,255799.0,星期三,0.0,0.0521
2026-04-30,6.36,6.52,6.6,6.3,164926.0,星期四,0.0,0.0252
2026-04-29,6.06,6.36,6.46,6.04,184975.0,星期三,0.0,0.0495
2026-04-28,6.0,6.06,6.2,5.92,151311.0,星期二,0.0,0.01
2026-04-27,5.66,6.0,6.03,5.65,145510.0,星期一,-0.0053,0.0601
2026-04-24,5.82,5.69,5.9,5.6,158239.0,星期五,-0.0235,-0.0223
2026-04-23,5.71,5.96,5.98,5.66,140346.0,星期四,-0.0017,0.0438
2026-04-22,5.68,5.72,5.78,5.61,59713.0,星期三,0.0053,0.007
2026-04-21,5.65,5.65,5.7,5.59,47774.0,星期二,0.0053,0.0
2026-04-20,5.56,5.62,5.65,5.52,45717.0,星期一,0.0,0.0108
2026-04-17,5.67,5.56,5.71,5.53,63842.0,星期五,-0.0018,-0.0194
2026-04-16,5.58,5.68,5.7,5.54,55339.0,星期四,0.0,0.0179
2026-04-15,5.66,5.58,5.75,5.57,42648.0,星期三,0.0,-0.0141
2026-04-14,5.69,5.66,5.71,5.58,51372.0,星期二,0.0089,-0.0053
2026-04-13,5.68,5.64,5.68,5.56,45144.0,星期一,0.0089,-0.007
