time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,239.7,244.0,249.6,235.2,21330.0,星期五,0.006,0.0179
2026-06-25,238.35,238.27,244.73,237.5,12341.0,星期四,-0.0124,-0.0003
2026-06-24,235.78,241.35,245.68,232.8,19748.0,星期三,-0.0018,0.0236
2026-06-23,230.06,236.2,238.42,226.66,18973.0,星期二,-0.0063,0.0267
2026-06-22,220.58,231.52,232.8,213.8,23913.0,星期一,-0.002,0.0496
2026-06-18,222.22,221.02,226.01,219.5,15612.0,星期四,-0.0078,-0.0054
2026-06-17,225.35,223.97,227.0,221.77,14451.0,星期三,-0.0127,-0.0061
2026-06-16,227.8,228.24,238.79,227.8,29925.0,星期二,0.0201,0.0019
2026-06-15,225.61,223.31,231.0,217.12,22235.0,星期一,0.002,-0.0102
2026-06-12,223.3,225.17,226.0,218.29,17685.0,星期五,0.0127,0.0084
2026-06-11,226.36,220.49,228.0,214.8,16738.0,星期四,-0.0072,-0.0259
2026-06-10,233.44,228.0,235.2,226.52,16653.0,星期三,-0.0273,-0.0233
2026-06-09,235.0,240.0,243.58,229.0,24576.0,星期二,-0.0009,0.0213
2026-06-08,228.77,235.2,238.75,228.77,22473.0,星期一,0.0003,0.0281
2026-06-05,228.02,228.7,233.88,225.28,13561.0,星期五,0.0029,0.003
2026-06-04,227.9,227.37,230.5,225.88,7875.0,星期四,-0.0056,-0.0023
2026-06-03,231.88,229.18,234.7,227.31,11032.0,星期三,-0.0038,-0.0116
2026-06-02,236.0,232.76,240.2,230.8,9256.0,星期二,-0.0013,-0.0137
2026-06-01,224.5,236.31,238.2,223.0,24248.0,星期一,0.0022,0.0526
2026-05-29,233.62,224.0,234.99,223.11,21143.0,星期五,0.0065,-0.0412
2026-05-28,238.49,232.1,238.6,227.21,16433.0,星期四,0.0,-0.0268
2026-05-27,246.0,238.49,247.1,237.51,16058.0,星期三,-0.0014,-0.0305
2026-05-26,242.0,246.35,248.88,238.08,16144.0,星期二,-0.0053,0.018
2026-05-25,240.0,243.3,246.94,238.19,14056.0,星期一,0.0078,0.0138
2026-05-22,241.99,238.15,242.28,238.0,9630.0,星期五,-0.0058,-0.0159
2026-05-21,246.44,243.39,252.65,242.03,11411.0,星期四,0.0063,-0.0124
2026-05-20,248.2,244.9,249.0,241.23,12064.0,星期三,0.0048,-0.0133
2026-05-19,247.5,247.02,249.85,244.5,12758.0,星期二,0.0002,-0.0019
2026-05-18,258.0,247.46,261.47,243.77,25137.0,星期一,-0.0171,-0.0409
2026-05-15,256.6,262.49,266.2,255.5,12754.0,星期五,0.0002,0.023
2026-05-14,264.0,256.55,264.6,255.01,11775.0,星期四,0.0016,-0.0282
2026-05-13,263.1,263.58,265.64,261.03,8728.0,星期三,-0.0012,0.0018
2026-05-12,265.7,263.41,266.58,259.05,14016.0,星期二,-0.0033,-0.0086
2026-05-11,264.0,266.58,271.33,262.98,15081.0,星期一,0.0035,0.0098
2026-05-08,267.16,263.08,268.98,262.38,14750.0,星期五,-0.0005,-0.0153
2026-05-07,272.6,267.3,272.85,263.85,13926.0,星期四,0.0029,-0.0194
2026-05-06,274.8,271.82,276.72,268.01,18956.0,星期三,0.0003,-0.0108
2026-04-30,274.5,274.73,282.0,273.5,7340.0,星期四,-0.0054,0.0008
2026-04-29,273.89,276.0,279.88,271.31,12191.0,星期三,0.0095,0.0077
2026-04-28,274.39,271.31,277.0,270.39,6570.0,星期二,0.0,-0.0112
2026-04-27,279.57,274.39,285.0,274.0,11941.0,星期一,0.0063,-0.0185
2026-04-24,270.93,277.82,281.6,270.93,15431.0,星期五,-0.0043,0.0254
2026-04-23,274.19,272.1,274.87,270.0,7426.0,星期四,-0.0,-0.0076
2026-04-22,268.0,274.2,277.87,267.0,11647.0,星期三,-0.0111,0.0231
2026-04-21,268.01,271.0,272.65,265.1,12180.0,星期二,-0.0171,0.0112
2026-04-20,276.04,272.68,276.04,265.0,19786.0,星期一,-0.0071,-0.0122
2026-04-17,275.53,278.01,283.99,270.36,25240.0,星期五,0.0012,0.009
2026-04-16,246.33,275.19,278.78,244.33,50510.0,星期四,-0.0335,0.1172
2026-04-15,253.88,254.88,255.27,248.0,14956.0,星期三,0.0135,0.0039
2026-04-14,249.0,250.5,252.7,244.01,11183.0,星期二,0.0081,0.006
2026-04-13,252.01,247.0,252.93,246.4,9300.0,星期一,0.0,-0.0199
2026-04-10,247.89,252.0,255.68,247.89,11559.0,星期五,0.0002,0.0166
2026-04-09,244.99,247.85,250.8,244.5,10118.0,星期四,-0.0101,0.0117
2026-04-08,240.26,247.49,248.48,240.26,15643.0,星期三,0.0213,0.0301
2026-04-07,238.5,235.26,238.86,233.01,6846.0,星期二,0.0,-0.0136
2026-04-03,241.08,238.5,248.5,238.0,9416.0,星期五,-0.0031,-0.0107
2026-04-02,239.46,241.82,243.93,233.47,19727.0,星期四,0.0001,0.0099
2026-04-01,230.0,239.44,242.58,226.44,24283.0,星期三,0.0061,0.041
2026-03-31,225.0,228.6,232.56,222.84,17199.0,星期二,0.0,0.016
2026-03-30,228.38,225.0,232.5,224.13,12460.0,星期一,0.0079,-0.0148
2026-03-27,220.29,226.6,229.56,220.01,13395.0,星期五,-0.0106,0.0286
2026-03-26,235.04,222.65,236.3,221.11,18343.0,星期四,0.0015,-0.0527
2026-03-25,228.55,234.69,237.7,228.55,12691.0,星期三,0.0068,0.0269
2026-03-24,227.13,227.0,228.7,221.5,11213.0,星期二,0.0141,-0.0006
2026-03-23,230.0,223.97,234.96,223.33,24399.0,星期一,-0.0417,-0.0262
2026-03-20,249.14,240.0,249.14,238.3,16240.0,星期五,0.0108,-0.0367
2026-03-19,252.84,246.48,255.99,245.1,10291.0,星期四,-0.0108,-0.0252
2026-03-18,259.78,255.6,260.66,254.0,9002.0,星期三,-0.0046,-0.0161
2026-03-17,255.0,260.99,266.0,255.0,14996.0,星期二,-0.0077,0.0235
2026-03-16,248.9,256.97,259.04,246.27,15883.0,星期一,-0.005,0.0324
2026-03-13,254.57,250.15,259.17,248.88,13255.0,星期五,-0.0085,-0.0174
2026-03-12,256.1,256.75,258.98,253.88,10721.0,星期四,-0.0016,0.0025
2026-03-11,251.24,256.51,260.89,247.8,20466.0,星期三,-0.0001,0.021
2026-03-10,240.34,251.26,252.0,240.01,22750.0,星期二,0.0056,0.0454
2026-03-09,239.31,239.0,242.33,233.51,17408.0,星期一,-0.0196,-0.0013
2026-03-06,237.97,244.1,249.83,236.4,18180.0,星期五,-0.0031,0.0258
2026-03-05,234.24,238.7,241.38,232.5,15581.0,星期四,0.0087,0.019
2026-03-04,232.95,232.22,235.81,229.57,14267.0,星期三,-0.0061,-0.0031
2026-03-03,240.66,234.39,244.0,232.89,16832.0,星期二,-0.0,-0.0261
2026-03-02,242.0,240.67,249.0,240.0,17145.0,星期一,-0.0213,-0.0055
2026-02-27,246.72,247.26,250.92,243.05,17541.0,星期五,-0.0074,0.0022
2026-02-26,258.0,248.56,259.98,247.58,17733.0,星期四,-0.0086,-0.0366
2026-02-25,253.0,260.25,262.76,252.0,20909.0,星期三,0.0,0.0287
2026-02-24,249.0,253.0,262.7,249.0,24866.0,星期二,0.0176,0.0161
2026-02-13,247.0,244.7,249.88,243.88,9013.0,星期五,0.0005,-0.0093
2026-02-12,248.7,246.87,250.31,245.0,11113.0,星期四,0.0027,-0.0074
