time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,22.13,21.21,22.45,20.95,236733.0,星期五,0.0,-0.0416
2026-06-25,21.5,22.13,22.29,21.05,283414.0,星期四,-0.0092,0.0293
2026-06-24,20.98,21.7,22.39,20.59,303981.0,星期三,-0.0043,0.0343
2026-06-23,21.12,21.07,22.22,21.0,247140.0,星期二,-0.0281,-0.0024
2026-06-22,19.82,21.73,21.91,19.54,350208.0,星期一,-0.0095,0.0964
2026-06-18,20.4,20.01,20.81,19.62,405517.0,星期四,-0.0097,-0.0191
2026-06-17,21.2,20.6,21.99,20.5,508998.0,星期三,-0.0253,-0.0283
2026-06-16,20.91,21.75,22.98,20.51,589517.0,星期二,-0.0206,0.0402
2026-06-15,20.76,21.35,22.18,20.57,585779.0,星期一,0.0298,0.0284
2026-06-12,18.84,20.16,20.16,18.4,274203.0,星期五,0.0278,0.0701
2026-06-11,19.17,18.33,19.63,17.9,338064.0,星期四,-0.0144,-0.0438
2026-06-10,18.97,19.45,19.89,18.08,398425.0,星期三,-0.0272,0.0253
2026-06-09,19.26,19.5,19.75,18.65,263418.0,星期二,0.0084,0.0125
2026-06-08,19.61,19.1,20.25,19.05,270077.0,星期一,-0.0354,-0.026
2026-06-05,19.48,20.33,21.12,19.23,281244.0,星期五,-0.0015,0.0436
2026-06-04,19.38,19.51,19.69,18.6,263036.0,星期四,-0.0077,0.0067
2026-06-03,18.8,19.53,19.71,18.11,366965.0,星期三,0.0113,0.0388
2026-06-02,18.05,18.59,18.84,17.59,327048.0,星期二,0.0028,0.0299
2026-06-01,16.98,18.0,18.68,16.3,464121.0,星期一,0.0,0.0601
2026-05-29,17.36,16.98,17.64,16.64,217236.0,星期五,-0.0034,-0.0219
2026-05-28,17.56,17.42,18.07,17.27,199934.0,星期四,-0.0017,-0.008
2026-05-27,17.47,17.59,17.78,16.91,192165.0,星期三,-0.004,0.0069
2026-05-26,16.49,17.54,17.66,16.32,210348.0,星期二,-0.0006,0.0637
2026-05-25,16.74,16.5,17.32,16.47,145511.0,星期一,0.0054,-0.0143
2026-05-22,16.81,16.65,16.85,16.41,121077.0,星期五,0.012,-0.0095
2026-05-21,17.2,16.61,17.56,16.61,164816.0,星期四,-0.0023,-0.0343
2026-05-20,16.72,17.24,17.72,16.67,240879.0,星期三,0.0018,0.0311
2026-05-19,16.8,16.69,17.2,16.51,162437.0,星期二,0.0108,-0.0065
2026-05-18,16.85,16.62,17.1,16.34,206407.0,星期一,-0.0106,-0.0136
2026-05-15,17.0,17.03,17.3,16.85,168609.0,星期五,-0.0006,0.0018
2026-05-14,17.12,17.01,17.68,16.94,194705.0,星期四,-0.0012,-0.0064
2026-05-13,17.68,17.14,17.84,16.61,279575.0,星期三,0.0,-0.0305
2026-05-12,18.31,17.68,18.5,17.6,219982.0,星期二,0.0016,-0.0344
2026-05-11,18.16,18.28,18.8,18.04,186998.0,星期一,-0.0006,0.0066
2026-05-08,18.31,18.17,18.45,17.87,177223.0,星期五,0.0033,-0.0076
2026-05-07,19.04,18.25,19.07,18.05,300196.0,星期四,0.0,-0.0415
2026-05-06,18.59,19.04,19.28,18.48,298522.0,星期三,0.0038,0.0242
2026-04-30,18.45,18.52,18.8,18.23,206492.0,星期四,0.0022,0.0038
2026-04-29,18.19,18.41,18.62,17.31,317124.0,星期三,0.0323,0.0121
2026-04-28,17.15,17.62,17.76,16.88,148372.0,星期二,0.0006,0.0274
2026-04-27,17.2,17.14,17.42,16.93,106182.0,星期一,0.0088,-0.0035
2026-04-24,17.06,17.05,17.28,16.81,106088.0,星期五,-0.0006,-0.0006
2026-04-23,17.35,17.07,17.48,16.97,161894.0,星期四,0.0029,-0.0161
2026-04-22,17.53,17.3,17.67,17.14,141508.0,星期三,0.0069,-0.0131
2026-04-21,16.83,17.41,17.79,16.4,204298.0,星期二,-0.0006,0.0345
2026-04-20,16.94,16.84,17.25,16.34,244572.0,星期一,0.0095,-0.0059
2026-04-17,17.73,16.78,17.8,16.52,410456.0,星期五,-0.0134,-0.0536
2026-04-16,17.68,17.97,18.3,17.57,149913.0,星期四,-0.0023,0.0164
2026-04-15,17.99,17.72,17.99,17.3,178647.0,星期三,0.0298,-0.015
2026-04-14,17.47,17.47,17.99,16.71,234193.0,星期二,0.024,0.0
2026-04-13,17.6,17.06,17.75,16.87,240019.0,星期一,-0.0101,-0.0307
2026-04-10,17.62,17.78,18.06,17.49,202720.0,星期五,-0.0107,0.0091
2026-04-09,17.74,17.81,18.05,17.57,159987.0,星期四,-0.0117,0.0039
2026-04-08,17.76,17.95,18.52,17.7,335147.0,星期三,0.029,0.0107
2026-04-07,16.79,17.26,17.72,16.74,264986.0,星期二,-0.003,0.028
2026-04-03,17.34,16.84,17.44,16.7,181010.0,星期五,0.0,-0.0288
2026-04-02,17.58,17.34,17.79,17.22,262347.0,星期四,-0.0034,-0.0137
2026-04-01,17.06,17.64,17.99,17.06,312203.0,星期三,0.0191,0.034
2026-03-31,17.07,16.74,17.2,16.57,169565.0,星期二,0.0006,-0.0193
