time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,49.01,46.58,49.15,46.54,99817.0,星期五,-0.0109,-0.0496
2026-06-25,48.98,49.55,49.85,47.03,120635.0,星期四,-0.0059,0.0116
2026-06-24,48.7,49.27,49.98,48.0,70589.0,星期三,-0.0039,0.0117
2026-06-23,50.71,48.89,51.34,48.66,126313.0,星期二,-0.0086,-0.0359
2026-06-22,52.7,51.15,52.99,50.66,131641.0,星期一,-0.0021,-0.0294
2026-06-18,54.5,52.81,55.0,52.7,145014.0,星期四,-0.0105,-0.031
2026-06-17,56.56,55.08,56.58,55.0,119249.0,星期三,-0.0138,-0.0262
2026-06-16,56.39,57.35,57.5,55.39,120560.0,星期二,-0.0042,0.017
2026-06-15,55.03,56.63,56.85,54.42,118692.0,星期一,-0.0085,0.0291
2026-06-12,56.36,55.5,56.74,55.05,102550.0,星期五,0.0037,-0.0153
2026-06-11,54.71,56.15,56.5,53.42,100445.0,星期四,-0.0199,0.0263
2026-06-10,57.15,55.82,57.52,55.31,125805.0,星期三,-0.0172,-0.0233
2026-06-09,58.9,58.15,58.95,56.71,161933.0,星期二,0.0103,-0.0127
2026-06-08,55.88,58.3,59.5,55.69,191746.0,星期一,-0.0253,0.0433
2026-06-05,57.28,57.33,59.03,55.58,198077.0,星期五,0.0179,0.0009
2026-06-04,57.75,56.27,58.25,56.01,232326.0,星期四,0.0002,-0.0256
2026-06-03,52.42,57.74,57.74,52.42,207758.0,星期三,-0.0013,0.1015
2026-06-02,53.18,52.49,53.8,51.3,81160.0,星期二,-0.0041,-0.013
2026-06-01,52.47,53.4,54.45,52.31,68838.0,星期一,-0.3013,0.0177
2026-05-29,77.6,75.1,77.82,74.56,72449.0,星期五,-0.0022,-0.0322
2026-05-28,78.33,77.77,78.98,76.67,84905.0,星期四,-0.006,-0.0071
2026-05-27,76.8,78.8,79.44,76.35,126687.0,星期三,-0.0065,0.026
2026-05-26,76.8,77.3,77.43,74.05,81930.0,星期二,0.0,0.0065
2026-05-25,74.38,76.8,77.77,74.31,78590.0,星期一,-0.0077,0.0325
2026-05-22,75.0,74.96,76.59,74.01,73744.0,星期五,0.0066,-0.0005
2026-05-21,74.47,74.51,78.1,74.45,126467.0,星期四,0.0064,0.0005
2026-05-20,75.15,74.0,75.85,73.62,59549.0,星期三,-0.0104,-0.0153
2026-05-19,75.6,75.94,76.15,73.72,58894.0,星期二,0.012,0.0045
2026-05-18,72.9,74.7,75.74,71.55,68682.0,星期一,-0.0026,0.0247
2026-05-15,73.61,73.09,74.99,72.6,62243.0,星期五,0.0015,-0.0071
2026-05-14,75.77,73.5,76.27,73.31,62030.0,星期四,0.0,-0.03
2026-05-13,73.0,75.77,76.14,72.74,77326.0,星期三,-0.0119,0.0379
2026-05-12,74.98,73.88,75.5,73.4,56246.0,星期二,-0.0024,-0.0147
2026-05-11,76.38,75.16,76.56,74.85,66442.0,星期一,0.0087,-0.016
2026-05-08,74.0,75.72,75.97,73.6,64724.0,星期五,-0.0052,0.0232
2026-05-07,73.8,74.39,74.44,72.99,53903.0,星期四,0.0082,0.008
2026-05-06,72.0,73.2,74.28,72.0,70981.0,星期三,-0.0041,0.0167
2026-04-30,73.06,72.3,73.35,71.85,59753.0,星期四,-0.0042,-0.0104
2026-04-29,74.28,73.37,74.37,72.91,62199.0,星期三,0.0015,-0.0123
2026-04-28,73.79,74.17,74.99,73.4,60195.0,星期二,-0.0032,0.0051
2026-04-27,75.51,74.03,75.9,73.3,109646.0,星期一,-0.0133,-0.0196
2026-04-24,79.6,76.53,79.6,76.53,183917.0,星期五,-0.0639,-0.0386
2026-04-23,81.03,85.03,85.81,81.01,144533.0,星期四,-0.0061,0.0494
2026-04-22,78.0,81.53,82.29,77.8,96886.0,星期三,-0.0057,0.0453
2026-04-21,79.06,78.45,79.36,77.11,50748.0,星期二,0.0008,-0.0077
2026-04-20,77.05,79.0,79.47,76.9,79633.0,星期一,0.0006,0.0253
2026-04-17,77.54,77.0,77.54,76.54,44175.0,星期五,-0.0023,-0.007
2026-04-16,76.81,77.72,77.97,76.3,46073.0,星期四,0.0009,0.0118
2026-04-15,78.28,76.74,78.88,76.25,50452.0,星期三,0.0042,-0.0197
2026-04-14,76.9,77.95,78.38,76.88,61287.0,星期二,0.0104,0.0137
2026-04-13,76.05,76.11,77.22,75.91,45104.0,星期一,-0.0152,0.0008
2026-04-10,76.54,77.22,78.44,76.52,62441.0,星期五,0.0088,0.0089
2026-04-09,75.7,75.87,76.27,74.74,43928.0,星期四,-0.0098,0.0022
2026-04-08,73.88,76.45,76.54,73.88,75371.0,星期三,0.0179,0.0348
2026-04-07,73.5,72.58,74.55,71.9,42345.0,星期二,0.0001,-0.0125
2026-04-03,72.33,73.49,74.81,72.0,52020.0,星期五,0.0,0.016
2026-04-02,74.2,72.33,74.5,71.92,47448.0,星期四,-0.0071,-0.0252
2026-04-01,76.0,74.73,76.0,74.1,53909.0,星期三,0.0243,-0.0167
2026-03-31,72.6,74.2,76.0,72.17,70379.0,星期二,0.0,0.022
2026-03-30,71.6,72.6,72.88,71.05,37291.0,星期一,-0.0172,0.014
2026-03-27,71.7,72.85,73.6,71.67,33723.0,星期五,-0.0132,0.016
2026-03-26,74.75,72.66,74.82,72.57,36930.0,星期四,-0.0033,-0.028
2026-03-25,73.8,75.0,75.48,73.8,47151.0,星期三,0.0044,0.0163
2026-03-24,73.99,73.48,74.1,71.69,50237.0,星期二,0.0147,-0.0069
2026-03-23,74.66,72.92,75.4,72.2,64834.0,星期一,-0.0242,-0.0233
2026-03-20,76.93,76.51,78.0,76.51,44822.0,星期五,0.0017,-0.0055
2026-03-19,77.48,76.8,77.88,76.58,41958.0,星期四,-0.0145,-0.0088
2026-03-18,78.8,78.62,79.58,76.92,55008.0,星期三,-0.001,-0.0023
2026-03-17,79.7,78.88,80.98,78.7,54053.0,星期二,0.0039,-0.0103
2026-03-16,78.79,79.39,79.43,76.76,46203.0,星期一,-0.0024,0.0076
2026-03-13,78.78,78.98,79.68,78.36,41605.0,星期五,-0.0057,0.0025
2026-03-12,80.58,79.23,81.01,79.0,49453.0,星期四,-0.0038,-0.0168
2026-03-11,81.7,80.89,82.28,80.83,46116.0,星期三,-0.0009,-0.0099
2026-03-10,82.5,81.77,82.79,80.8,58052.0,星期二,0.0198,-0.0088
2026-03-09,80.16,80.9,81.54,77.8,66964.0,星期一,-0.0202,0.0092
2026-03-06,79.02,81.81,82.79,78.86,63611.0,星期五,-0.0027,0.0353
2026-03-05,80.0,79.23,80.5,78.9,49520.0,星期四,0.0159,-0.0096
2026-03-04,79.0,78.75,81.24,78.5,56628.0,星期三,-0.008,-0.0032
2026-03-03,83.69,79.64,84.7,79.58,88146.0,星期二,0.0,-0.0484
2026-03-02,84.98,83.69,85.28,83.21,86810.0,星期一,-0.0165,-0.0152
2026-02-27,86.4,86.41,87.42,85.07,61367.0,星期五,-0.0063,0.0001
2026-02-26,84.91,86.95,86.96,84.29,81851.0,星期四,0.0,0.024
2026-02-25,85.0,84.91,85.29,84.24,54306.0,星期三,0.004,-0.0011
2026-02-24,86.27,84.66,86.3,84.19,52321.0,星期二,0.0096,-0.0187
2026-02-13,86.11,85.45,86.68,85.38,53945.0,星期五,-0.0001,-0.0077
2026-02-12,86.5,86.12,86.7,85.01,65753.0,星期四,0.0016,-0.0044
2026-02-11,87.41,86.36,88.39,86.26,87435.0,星期三,0.0235,-0.012
2026-02-10,85.53,85.4,86.58,85.07,50424.0,星期二,-0.0021,-0.0015
2026-02-09,84.41,85.71,85.98,83.0,96681.0,星期一,-0.0205,0.0154
2026-02-06,86.4,86.18,87.39,85.36,44454.0,星期五,-0.0086,-0.0025
2026-02-05,87.4,87.15,88.0,86.86,38438.0,星期四,-0.0072,-0.0029
2026-02-04,88.1,88.03,88.66,86.83,52521.0,星期三,-0.0074,-0.0008
2026-02-03,89.01,88.76,89.01,85.98,84242.0,星期二,0.0138,-0.0028
2026-02-02,88.0,87.8,90.34,87.01,99277.0,星期一,-0.0464,-0.0023
2026-01-30,92.42,92.28,93.57,90.5,62646.0,星期五,-0.0033,-0.0015
2026-01-29,94.68,92.73,96.18,92.6,75579.0,星期四,-0.0096,-0.0206
2026-01-28,96.6,95.6,97.4,94.86,57985.0,星期三,-0.0003,-0.0104
2026-01-27,95.13,96.63,97.0,93.73,64956.0,星期二,-0.0038,0.0158
2026-01-26,99.58,95.49,99.75,95.15,97547.0,星期一,-0.0017,-0.0411
2026-01-23,96.9,99.75,100.21,96.55,113863.0,星期五,0.0053,0.0294
2026-01-22,99.9,96.39,100.5,96.0,121881.0,星期四,-0.0009,-0.0351
2026-01-21,97.8,99.99,100.2,96.88,82635.0,星期三,-0.0058,0.0224
2026-01-20,99.32,98.37,99.9,96.7,71414.0,星期二,0.004,-0.0096
2026-01-19,100.5,98.92,101.0,98.69,87279.0,星期一,-0.0067,-0.0157
2026-01-16,102.0,101.18,102.56,100.1,90508.0,星期五,0.0002,-0.008
2026-01-15,100.9,101.98,102.43,100.37,71730.0,星期四,-0.0138,0.0107
2026-01-14,101.81,102.31,105.75,100.78,140693.0,星期三,0.0,0.0049
2026-01-13,106.0,101.81,106.04,100.8,129775.0,星期二,-0.0053,-0.0395
2026-01-12,103.71,106.56,107.04,101.8,148041.0,星期一,0.0196,0.0275
2026-01-09,99.3,101.72,103.28,98.56,119481.0,星期五,-0.0045,0.0244
2026-01-08,99.47,99.75,101.44,98.21,88196.0,星期四,0.0033,0.0028
2026-01-07,99.0,99.14,100.65,98.2,84062.0,星期三,-0.0057,0.0014
2026-01-06,100.55,99.57,100.89,98.33,102055.0,星期二,0.0043,-0.0097
2026-01-05,95.58,100.12,100.6,95.48,147622.0,星期一,0.0018,0.0475
2025-12-31,94.75,95.41,96.96,92.92,112493.0,星期三,0.0068,0.007
2025-12-30,92.69,94.11,95.2,92.6,58073.0,星期二,-0.0075,0.0153
2025-12-29,93.96,93.39,94.95,93.08,57473.0,星期一,-0.0051,-0.0061
2025-12-26,95.33,94.44,95.78,93.77,61893.0,星期五,0.0001,-0.0093
2025-12-25,94.69,95.32,96.3,93.94,68239.0,星期四,-0.0029,0.0067
2025-12-24,92.8,94.97,95.02,92.3,69432.0,星期三,0.0017,0.0234
2025-12-23,93.88,92.64,94.5,92.21,62462.0,星期二,-0.0018,-0.0132
2025-12-22,93.0,94.05,96.18,92.5,85996.0,星期一,0.0108,0.0113
2025-12-19,92.4,92.01,93.94,91.71,66206.0,星期五,0.0063,-0.0042
2025-12-18,93.88,91.82,94.51,91.75,77396.0,星期四,-0.0097,-0.0219
2025-12-17,90.66,94.8,95.0,90.66,146145.0,星期三,0.0188,0.0457
2025-12-16,90.4,88.99,91.3,88.75,56720.0,星期二,0.0048,-0.0156
2025-12-15,92.0,89.97,92.0,89.8,52387.0,星期一,-0.0077,-0.0221
2025-12-12,89.53,92.71,93.28,88.88,86498.0,星期五,0.0,0.0355
2025-12-11,91.61,89.53,91.83,89.39,46932.0,星期四,-0.0026,-0.0227
2025-12-10,91.02,91.85,91.85,89.98,49878.0,星期三,-0.0018,0.0091
2025-12-09,91.35,91.18,92.5,90.9,56824.0,星期二,-0.0036,-0.0019
2025-12-08,92.1,91.68,92.28,90.9,73968.0,星期一,0.0085,-0.0046
2025-12-05,90.38,91.32,92.18,89.51,65923.0,星期五,0.0023,0.0104
2025-12-04,89.5,90.17,90.3,88.53,52215.0,星期四,-0.0051,0.0075
2025-12-03,91.5,89.96,91.79,89.6,70686.0,星期三,-0.0053,-0.0168
2025-12-02,94.0,91.99,94.0,91.15,112884.0,星期二,-0.0027,-0.0214
2025-12-01,91.0,94.25,95.6,90.07,182658.0,星期一,0.0254,0.0357
2025-11-28,88.6,88.75,89.44,87.15,60126.0,星期五,0.0078,0.0017
2025-11-27,87.2,87.91,91.18,86.9,94821.0,星期四,0.0008,0.0081
2025-11-26,86.0,87.13,89.14,85.5,63109.0,星期三,-0.0019,0.0131
2025-11-25,84.08,86.16,88.26,84.08,77884.0,星期二,0.0069,0.0247
2025-11-24,83.2,83.5,84.18,82.49,46374.0,星期一,0.0085,0.0036
2025-11-21,84.9,82.5,85.28,82.5,62072.0,星期五,-0.0113,-0.0283
2025-11-20,86.8,85.87,87.02,84.7,46889.0,星期四,0.013,-0.0107
2025-11-19,86.58,85.69,87.14,85.11,50540.0,星期三,-0.0014,-0.0103
2025-11-18,87.37,86.7,88.15,86.52,45211.0,星期二,0.0,-0.0077
2025-11-17,87.68,87.37,88.52,86.5,52859.0,星期一,-0.0081,-0.0035
2025-11-14,90.33,88.4,90.38,88.4,58228.0,星期五,-0.009,-0.0214
2025-11-13,89.65,91.15,91.19,89.0,57548.0,星期四,-0.0039,0.0167
2025-11-12,88.2,90.0,91.05,88.1,74034.0,星期三,-0.0028,0.0204
