time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,119.0,118.18,121.07,116.96,684942.0,星期五,0.0152,-0.0069
2026-06-25,114.0,117.22,118.5,113.23,764343.0,星期四,-0.0121,0.0282
2026-06-24,106.9,115.4,116.94,106.9,1098057.0,星期三,0.0055,0.0795
2026-06-23,107.0,106.31,109.36,105.76,525084.0,星期二,0.0016,-0.0064
2026-06-22,103.16,106.83,106.97,101.7,571962.0,星期一,0.0043,0.0356
2026-06-18,97.8,102.72,104.33,97.72,569422.0,星期四,-0.0041,0.0503
2026-06-17,98.26,98.2,98.79,96.5,273504.0,星期三,0.001,-0.0006
2026-06-16,98.83,98.16,100.0,98.0,271702.0,星期二,-0.0054,-0.0068
2026-06-15,99.1,99.37,99.76,97.84,367699.0,星期一,-0.0061,0.0027
2026-06-12,97.5,99.71,99.9,95.09,612700.0,星期五,0.0044,0.0227
2026-06-11,96.01,97.07,97.6,95.53,329180.0,星期四,-0.0106,0.011
2026-06-10,93.35,97.04,97.36,93.2,576466.0,星期三,-0.0014,0.0395
2026-06-09,93.88,93.48,93.88,88.32,824478.0,星期二,-0.0221,-0.0043
2026-06-08,95.72,96.0,97.31,94.06,458455.0,星期一,-0.0087,0.0029
2026-06-05,98.38,96.56,100.24,96.03,424531.0,星期五,0.0168,-0.0185
2026-06-04,98.25,96.75,99.18,96.4,332222.0,星期四,-0.0061,-0.0153
2026-06-03,99.37,98.85,100.3,98.0,341713.0,星期三,-0.0038,-0.0052
2026-06-02,99.98,99.75,100.56,96.08,384078.0,星期二,-0.0001,-0.0023
2026-06-01,101.63,99.99,104.39,99.26,529032.0,星期一,0.0003,-0.0161
2026-05-29,100.8,101.6,103.46,99.44,570781.0,星期五,0.0,0.0079
2026-05-28,102.48,100.8,102.98,99.8,337441.0,星期四,-0.0015,-0.0164
2026-05-27,104.0,102.63,104.28,101.09,372196.0,星期三,-0.0011,-0.0132
2026-05-26,102.0,104.11,104.35,100.61,390969.0,星期二,-0.0054,0.0207
2026-05-25,103.0,102.55,104.0,101.3,311855.0,星期一,-0.0094,-0.0044
2026-05-22,105.38,103.98,105.45,102.58,332227.0,星期五,0.011,-0.0133
2026-05-21,103.11,104.23,107.63,102.73,583265.0,星期四,0.0001,0.0109
2026-05-20,101.4,103.1,104.55,101.21,325473.0,星期三,-0.0038,0.0168
2026-05-19,102.0,101.79,103.79,101.2,284164.0,星期二,-0.0005,-0.0021
2026-05-18,102.9,102.05,103.82,101.32,274708.0,星期一,-0.0022,-0.0083
2026-05-15,104.77,103.13,105.85,102.62,394487.0,星期五,0.0171,-0.0157
2026-05-14,110.0,103.01,111.37,103.0,601413.0,星期四,0.0099,-0.0635
2026-05-13,110.44,108.92,111.16,107.94,351525.0,星期三,0.001,-0.0138
2026-05-12,108.0,110.33,113.16,107.74,649940.0,星期二,-0.0066,0.0216
2026-05-11,106.65,108.72,108.98,105.5,539195.0,星期一,-0.0014,0.0194
2026-05-08,110.01,106.8,110.2,106.7,455335.0,星期五,-0.0114,-0.0292
2026-05-07,109.74,111.28,112.31,109.2,480968.0,星期四,0.0068,0.014
2026-05-06,111.63,109.0,111.74,108.0,540922.0,星期三,0.019,-0.0236
2026-04-30,110.0,109.55,111.01,106.62,596825.0,星期四,-0.0106,-0.0041
2026-04-29,111.0,111.18,114.5,109.92,1040521.0,星期三,0.0039,0.0016
2026-04-28,110.5,110.57,110.57,108.02,538372.0,星期二,0.0993,0.0006
2026-04-27,99.96,100.52,101.19,99.16,322196.0,星期一,-0.0012,0.0056
2026-04-24,99.03,100.08,101.32,98.29,318337.0,星期五,-0.0116,0.0106
2026-04-23,99.92,100.19,101.27,98.89,356491.0,星期四,0.0068,0.0027
2026-04-22,98.2,99.25,99.8,98.12,270679.0,星期三,-0.0036,0.0107
2026-04-21,99.5,98.55,99.99,97.61,299366.0,星期二,-0.0026,-0.0095
2026-04-20,99.39,99.76,100.19,98.32,373939.0,星期一,0.0,0.0037
